Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
94,0.00578719,0.00805423,0.0284123,0.018288,0.0152146,0.0049425,0,0,0.0183991,0,0.0168461,0.0121874,0.0225284,0.0129633,0.0267038,0.00523588,0.00219043,0.0121719,0.00565943,0.0117369,0.00790222,0.0197486,0.00762112,0.0133136,0.00451794,0.0235308,0.0402135,0.00906974,0.0121766,0.00385506,0.0109244,0.0124486,0.013501,0.0123076,0.000840207,0,0,0.0115688,0,0.0107664,0.00332289,0.0345604,0.0231136,0.0296744,0.00616486,0.00745103,0.00857421,0.00663394,0.00732981,0.00835695,0.0082729,0.0129689,0.036496,0.00927601,0.0186368,0.0291146,0.0099614,0.00239866,0.00157341,0.00956258,0.00289115
95,0.00605096,0.00826262,0.0287867,0.0183247,0.0152674,0.00456841,0,0,0.018562,0,0.0167986,0.0121784,0.0222769,0.0133834,0.0267742,0.00516511,0.0017084,0.0127993,0.00590679,0.012845,0.00825941,0.0197171,0.00769437,0.0134318,0.00442282,0.0235498,0.0405997,0.00925892,0.0122036,0.00398485,0.00849954,0.0123824,0.0124233,0.012617,0.00108737,0,0,0.0111999,0,0.0109545,0.00307034,0.0350615,0.0215417,0.0295954,0.00619226,0.00754877,0.00914929,0.00708392,0.0090989,0.00808287,0.00819299,0.0112689,0.0398752,0.00665508,0.0162412,0.0238485,0.0098435,0.00246665,0.00155165,0.00978984,0.00274585
96,0.00611714,0.00888828,0.0291551,0.0183947,0.0154139,0.00417621,0,0,0.0199726,0,0.016723,0.0127533,0.0221228,0.0139525,0.0268728,0.00508555,0.00134454,0.013425,0.00600917,0.013696,0.0085479,0.0196965,0.00772272,0.0135231,0.00428671,0.0235302,0.0410496,0.0100348,0.0121255,0.00446847,0.00850286,0.0122842,0.0113724,0.0129369,0.000887816,0,0,0.0123441,0,0.0106892,0.00350372,0.0356278,0.0188177,0.0296501,0.00600377,0.00795254,0.00939053,0.00758137,0.0107816,0.00798165,0.00799901,0.00876296,0.0436229,0.00384445,0.0123879,0.0188071,0.0102778,0.00267274,0.00140856,0.0107928,0.00329678
97,0.00608727,0.00916301,0.0297642,0.0183693,0.0155521,0.00385026,0,0,0.0201445,0,0.0167425,0.012749,0.022022,0.0144105,0.0269473,0.00500257,0.00120921,0.0140182,0.00607832,0.0144381,0.00888723,0.0196711,0.00780597,0.0137341,0.00437081,0.0234994,0.0417585,0.0102507,0.0121139,0.00457428,0.00941282,0.0121765,0.0106062,0.013142,0.00106392,0,0,0.0117163,0,0.0107926,0.00338256,0.0363494,0.0154363,0.0297708,0.00624881,0.00834996,0.00983612,0.00806396,0.0125259,0.00811007,0.00778431,0.00669262,0.0474297,0.00313788,0.00855465,0.0139688,0.00993625,0.00308544,0.0013968,0.0111081,0.00325289
98,0.00610335,0.00945857,0.030484,0.0182929,0.0156639,0.00362019,0,0,0.0201525,0,0.0167809,0.0126291,0.022089,0.0148666,0.0269606,0.00495671,0.00132373,0.0145545,0.00605501,0.0149586,0.00918718,0.0196534,0.00789511,0.0139981,0.00438133,0.0234638,0.042631,0.0104131,0.0121187,0.0043331,0.0110294,0.0119637,0.0104371,0.0132857,0.00140221,0,0,0.0108518,0,0.0108097,0.0033902,0.0371058,0.0125144,0.0300967,0.00678016,0.0089782,0.0102425,0.00861902,0.0141094,0.00867889,0.00803432,0.00699799,0.0514031,0.00598919,0.00723652,0.00964343,0.00933916,0.00371928,0.00144161,0.0114551,0.00324133
99,0.00617666,0.0098652,0.0312156,0.0182363,0.0156649,0.00346078,0,0,0.0199889,0,0.0168479,0.0123088,0.0223139,0.0152523,0.026915,0.00493371,0.00169309,0.0151763,0.00596686,0.0154506,0.00942298,0.0196194,0.00798454,0.0142504,0.00426377,0.0234199,0.0435566,0.0105296,0.0121883,0.00394117,0.0138547,0.0117014,0.0121634,0.0133527,0.00187139,0,0,0.00989179,0,0.0109297,0.00358266,0.0377672,0.0116525,0.0305371,0.00761729,0.00980677,0.0107386,0.00918864,0.0154214,0.00944236,0.00857836,0.0097123,0.0553136,0.00967488,0.0093152,0.00843265,0.008695,0.00435467,0.00149243,0.0118948,0.00310634
100,0.00626102,0.0104119,0.0317906,0.0181534,0.0156649,0.00337891,0,0,0.019601,0,0.0169509,0.0117858,0.0224105,0.015556,0.0267801,0.00497164,0.00207797,0.0158832,0.00579102,0.0156592,0.00947102,0.019623,0.00799188,0.0143603,0.00422373,0.0233739,0.0442905,0.0105586,0.0123155,0.00376511,0.0174714,0.0114282,0.0151346,0.0132399,0.00251105,0,0,0.00881371,0,0.0111464,0.00385412,0.0382852,0.0130534,0.0310869,0.00859266,0.0107599,0.0113645,0.00971531,0.016303,0.0101195,0.00929579,0.0129512,0.0588895,0.0132276,0.012437,0.0119098,0.00796441,0.00467003,0.00156923,0.0124552,0.00300873
101,0.0061859,0.0113754,0.0322256,0.0180652,0.015641,0.00347352,0,0,0.0200067,0,0.0169081,0.0116655,0.0225041,0.0158059,0.0266138,0.00496433,0.00234449,0.016436,0.0054472,0.0154789,0.00930261,0.0196005,0.00784688,0.014313,0.00412057,0.023291,0.0448194,0.0110276,0.0123582,0.00386148,0.0200409,0.0109944,0.0177621,0.0128007,0.00317701,0,0,0.0108893,0,0.0108299,0.00522029,0.0386768,0.0159511,0.0318318,0.0101375,0.0117557,0.0121274,0.0102293,0.0162736,0.0104292,0.00997489,0.0162407,0.0620826,0.016567,0.0159679,0.0149956,0.00859845,0.0048037,0.00156999,0.0137885,0.00327089
102,0.00643119,0.0119801,0.0326153,0.0179304,0.0155469,0.00346298,0,0,0.0196606,0,0.0169116,0.0111233,0.0225836,0.0159302,0.0263965,0.00487181,0.00254908,0.0170287,0.00518846,0.0153935,0.00921432,0.0195571,0.00772627,0.0142795,0.00407042,0.0231779,0.0452734,0.0111325,0.0124387,0.00381494,0.022826,0.0106767,0.0201542,0.0125247,0.00385274,0,0,0.00973028,0,0.0108996,0.00608818,0.0389669,0.0186254,0.032368,0.0106164,0.0125212,0.012835,0.0104973,0.016232,0.0105046,0.0102225,0.018128,0.0641296,0.0185799,0.0178457,0.0178958,0.00758738,0.0052579,0.00187614,0.014526,0.00339696
103,0.00653329,0.0126759,0.0331077,0.0177713,0.0153003,0.00340947,0,0,0.0193581,0,0.017135,0.0105661,0.0226816,0.0159466,0.0260944,0.00466642,0.00273166,0.0177387,0.00496697,0.0152954,0.00919856,0.0195165,0.00763387,0.0143261,0.00403302,0.0230895,0.0459175,0.0113829,0.0125835,0.0036983,0.0249187,0.0103177,0.0218818,0.0125262,0.00449284,0,0,0.00871388,0,0.0112185,0.00647323,0.0391371,0.0209354,0.0325047,0.0100956,0.0128998,0.0135378,0.0104594,0.0163484,0.0103733,0.010052,0.018683,0.0649941,0.0192761,0.0182312,0.0196583,0.00667712,0.00566556,0.00204122,0.0153141,0.00334872
104,0.00665545,0.0134445,0.0333499,0.0175896,0.0147545,0.00334633,0,0,0.0189952,0,0.0173311,0.00999674,0.0228295,0.0159126,0.025711,0.0044848,0.00285147,0.0184493,0.00472562,0.0150573,0.00918629,0.0195456,0.0075144,0.0144126,0.00393985,0.0230721,0.0464365,0.0116195,0.0127342,0.00351721,0.025615,0.00998157,0.0227221,0.0126591,0.00514411,0,0,0.00773099,0,0.0115929,0.00690904,0.0391947,0.0224418,0.032455,0.00948945,0.0130559,0.0143414,0.0102449,0.0162797,0.0100843,0.00981685,0.0184613,0.0649649,0.0190764,0.0179244,0.020084,0.00573349,0.00603095,0.00229693,0.016124,0.00322888
105,0.00680627,0.0142411,0.0332316,0.0174279,0.013906,0.00325733,0,0,0.0186052,0,0.0175223,0.00949497,0.0229609,0.0158818,0.0253035,0.00436469,0.00285375,0.0191108,0.00462491,0.0148357,0.00916953,0.0196371,0.00738797,0.0144789,0.00379697,0.0231411,0.0467273,0.0118031,0.0128655,0.00337761,0.0247655,0.00969409,0.0223414,0.0128587,0.00569835,0,0,0.00682259,0,0.0120451,0.00730936,0.0391288,0.022295,0.0322862,0.00892056,0.0128436,0.0152127,0.00991269,0.0160133,0.00969908,0.00938482,0.0178069,0.064152,0.0182349,0.0174273,0.0192241,0.0049159,0.00626763,0.00255041,0.0168437,0.00307421
106,0.00654506,0.0152202,0.032843,0.0173408,0.0129628,0.00305682,0,0,0.0184309,0,0.017567,0.00931206,0.0230385,0.0157766,0.0249822,0.00423414,0.00275756,0.0194719,0.00466288,0.0145231,0.00907965,0.0196713,0.00720802,0.0143854,0.00370656,0.0232025,0.0466114,0.0117917,0.012932,0.00330914,0.0242584,0.00935665,0.0215863,0.0133811,0.00625667,0,0,0.00802376,0,0.0120386,0.00784275,0.0389812,0.0212735,0.0319078,0.00800859,0.0125977,0.0162174,0.00948061,0.0160226,0.00930617,0.00861603,0.0164234,0.062389,0.0164004,0.0160891,0.0187252,0.00581651,0.00649261,0.00276773,0.0179344,0.00259724
107,0.00691429,0.0158747,0.0323906,0.0172681,0.0118476,0.00289714,0,0,0.0180354,0,0.017476,0.0090367,0.0230327,0.0156201,0.0246079,0.00402639,0.00254762,0.019806,0.00471632,0.014208,0.00899189,0.0196134,0.00695644,0.0141852,0.00361612,0.0232343,0.046343,0.0116849,0.0129494,0.00325655,0.0232009,0.00922122,0.0205048,0.0138657,0.0065816,0,0,0.00714726,0,0.0123816,0.00819584,0.0388051,0.0210019,0.0316732,0.00762093,0.0123052,0.0169338,0.00899676,0.015672,0.00877063,0.00777299,0.0149851,0.0602108,0.0142262,0.014945,0.0175256,0.00518472,0.00698289,0.00285379,0.0185488,0.00254224
108,0.00713043,0.0163944,0.0317324,0.0172324,0.0104649,0.00283474,0,0,0.0176878,0,0.0174508,0.00883998,0.0230422,0.0154716,0.0242342,0.00393707,0.00228071,0.0200181,0.00476792,0.0138536,0.00887178,0.0194942,0.00655975,0.0137914,0.00333104,0.0232526,0.0458393,0.0115907,0.0129487,0.00322747,0.0222793,0.00917489,0.0192527,0.0143291,0.00681114,0,0,0.00658648,0,0.0126912,0.00846624,0.0385858,0.0207451,0.031486,0.00749912,0.0119744,0.0174554,0.00843896,0.0149541,0.00808926,0.00692228,0.0133316,0.057612,0.0116731,0.0137446,0.0163473,0.00479231,0.00739223,0.00296847,0.0191177,0.00265495
109,0.00717368,0.0168257,0.0311279,0.0172411,0.00908037,0.00287585,0,0,0.0181355,0,0.0174125,0.00898075,0.0231085,0.0154079,0.0238362,0.00411267,0.00206215,0.0201375,0.00476409,0.0134546,0.00878814,0.0193037,0.00605463,0.0131921,0.00299855,0.0232503,0.0453033,0.0120899,0.0128627,0.00336971,0.0206703,0.00916388,0.0173835,0.0146002,0.0068116,0,0,0.00624689,0,0.0130012,0.00843523,0.0383032,0.0206819,0.0314424,0.00740014,0.0115979,0.01778,0.00792906,0.0137488,0.00729804,0.00626124,0.0118343,0.0549746,0.0093525,0.0128243,0.0148607,0.00482894,0.00743923,0.00314201,0.0197954,0.00276155
110,0.00723058,0.0168937,0.0302346,0.0171769,0.00775668,0.00288479,0,0,0.0170621,0,0.0175444,0.00856311,0.0232191,0.0151577,0.0234973,0.00444223,0.00190383,0.0198792,0.00467798,0.0129102,0.00871349,0.0190113,0.00549021,0.0123444,0.00260742,0.0231929,0.044508,0.0113669,0.012922,0.00321494,0.0197133,0.00928055,0.0166354,0.0148683,0.00692406,0,0,0.00638731,0,0.0132415,0.00893632,0.0380384,0.0213149,0.0314312,0.00744092,0.0115328,0.0179139,0.00743897,0.0126347,0.00647039,0.00559465,0.0109387,0.0525454,0.00738965,0.0123324,0.0149367,0.00433911,0.00798818,0.00324088,0.0199936,0.00297742
111,0.00710096,0.0170952,0.0291825,0.0170642,0.00644618,0.00284757,0,0,0.0159951,0,0.0177201,0.0079639,0.0234395,0.0147775,0.0231698,0.00505711,0.00185388,0.0195126,0.00446353,0.0121896,0.00851091,0.0186378,0.00495036,0.0113407,0.00215587,0.0230865,0.0434086,0.0108314,0.0130196,0.00311227,0.0191319,0.00922735,0.0179965,0.0147323,0.00709524,0,0,0.00699391,0,0.0132479,0.00883194,0.0378801,0.0227029,0.0317792,0.00776076,0.012032,0.0181742,0.00692043,0.0119254,0.00570275,0.0046604,0.0116609,0.0515519,0.00665664,0.013385,0.0175507,0.00549609,0.00803031,0.00313865,0.0203,0.00271804
