Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
138,0,0,0,0,0,0,0.0746899,0.0175512,0,0,0,0.0261547,0.0136866,0.0160546,0.0147151,0,0,0.0161088,0,0.0217351,0.00567375,0.0337899,0.0193848,0.0176511,0.0202226,0.0403877,0.0480319,0.0240071,0.0272362,0.0233197,0.0263767,0.0200845,0.0197235,0.0114162,0.0147113,0.0293065,0.0173149,0.0124117,0.00530053,0.0089763,0.0077407,0.0117064,0.0296834,0.0386815,0,0,0.00787339,0,0.0125368,0.00606818,0.0642064,0.00944562,0.0366895,0.018941,0.0389331,0.025581,0.0134148,0.0380691,0.0215742,0.0187968,0.0108801,0.0215431,0.00406814,0.00824929,0.00881234,0.0102136,0.00563365,0.00373792,0.0270373,0.0342804,0,0,0
139,0,0,0,0,0,0,0.074336,0.0172576,0,0,0,0.0261943,0.0135892,0.0160324,0.014642,0,0,0.0152952,0,0.0218927,0.00519594,0.0337824,0.0192958,0.0178552,0.0200978,0.0406305,0.0482773,0.0239831,0.027149,0.0232931,0.0264604,0.0202015,0.0198304,0.0116445,0.0145113,0.0294742,0.0169755,0.0125325,0.00513035,0.00939458,0.00778337,0.0118672,0.0295141,0.0384446,0,0,0.00829177,0,0.0124608,0.00636789,0.064002,0.00978413,0.0367225,0.0188676,0.0392151,0.0256958,0.0135757,0.0381899,0.0218536,0.0187368,0.0108818,0.0214837,0.00402838,0.00822922,0.00930111,0.0102159,0.00550945,0.00372743,0.0266943,0.0340749,0,0,0
140,0,0,0,0,0,0,0.0739299,0.0169047,0,0,0,0.0262503,0.0135291,0.0160187,0.0145879,0,0,0.0145155,0,0.02202,0.00482614,0.0337731,0.0186887,0.0180807,0.0201447,0.0409104,0.0485984,0.0239681,0.0270694,0.0232723,0.0265299,0.0203249,0.0199342,0.0118699,0.0143349,0.029671,0.0166713,0.0126154,0.00506085,0.0099297,0.00783589,0.0122884,0.0293148,0.0381208,0,0,0.00860257,0,0.0123966,0.00666804,0.0637759,0.0103048,0.0367374,0.0187489,0.0394854,0.0257981,0.0137255,0.0383035,0.022039,0.018644,0.0108316,0.0215179,0.0039282,0.00810864,0.0100009,0.0101585,0.00541721,0.00379484,0.0263405,0.0338425,0,0,0
141,0,0,0,0,0,0,0.0734399,0.0164951,0,0,0,0.0263254,0.0134458,0.0160092,0.0145429,0,0,0.0137183,0,0.0221225,0.00452858,0.0337864,0.0180405,0.0183373,0.0201324,0.0411558,0.0489189,0.023916,0.0269587,0.0232396,0.0265188,0.0204284,0.0200216,0.0120231,0.0141955,0.029872,0.016364,0.0126828,0.00504289,0.0104636,0.00787091,0.0126169,0.0291511,0.0377124,0,0,0.00887816,0,0.0123168,0.00697569,0.0635471,0.010796,0.0367584,0.0185841,0.039693,0.0259052,0.013866,0.0384085,0.0220628,0.0185269,0.0107886,0.021472,0.00391251,0.008069,0.0107161,0.0100306,0.00533795,0.0038579,0.025964,0.0335539,0,0,0
142,0,0,0,0,0,0,0.0728928,0.0160606,0,0,0,0.0265149,0.0133806,0.0160177,0.0145411,0,0,0.0129651,0,0.0222271,0.00433501,0.0337915,0.0175751,0.0186157,0.020054,0.0413815,0.049303,0.0238471,0.0268302,0.0231846,0.0265219,0.0205291,0.0201356,0.0122047,0.0140462,0.0299912,0.0161595,0.0127547,0.00502298,0.0110109,0.00788347,0.0129109,0.0289963,0.0372445,0,0,0.00919669,0,0.0122262,0.00730048,0.0633306,0.0112457,0.0368019,0.0184014,0.0398412,0.0260214,0.0139829,0.0385109,0.0222222,0.0184253,0.0108545,0.0213797,0.00394209,0.00813396,0.0114115,0.00989694,0.00526572,0.00392561,0.0255613,0.0332055,0,0,0
143,0,0,0,0,0,0,0.072299,0.0155763,0,0,0,0.02675,0.0133667,0.0160301,0.0145667,0,0,0.0122909,0,0.0222868,0.00426535,0.0337967,0.0172429,0.0189107,0.0198894,0.0416254,0.0497903,0.0237687,0.0267515,0.0230959,0.026516,0.0206074,0.0202512,0.0123731,0.0138974,0.0302071,0.0159264,0.0127822,0.00502555,0.0115707,0.00788512,0.0131879,0.0287514,0.0367164,0,0,0.00949965,0,0.0121478,0.00763676,0.0631234,0.0116674,0.0368413,0.0182768,0.0399373,0.0261248,0.0141282,0.0386247,0.0222417,0.0183453,0.0109853,0.0212755,0.0039719,0.00823543,0.0120819,0.009739,0.005219,0.00401573,0.0251406,0.0328288,0,0,0
144,0,0,0,0,0,0,0.0717361,0.0150495,0,0,0,0.027001,0.0134084,0.0160207,0.0145528,0,0,0.0116277,0,0.0223208,0.0043212,0.0338372,0.0170515,0.019165,0.0196289,0.0419308,0.050394,0.0236987,0.02674,0.0229925,0.026381,0.0205802,0.0202608,0.0123754,0.0137991,0.0306599,0.0156626,0.0127649,0.00512523,0.0120684,0.00785859,0.0134732,0.0284203,0.036179,0,0,0.00972995,0,0.0120806,0.00793934,0.062918,0.0120512,0.0368501,0.0182249,0.0401295,0.0262755,0.0142611,0.0387439,0.0224022,0.0182209,0.0110617,0.0211524,0.00394986,0.00827951,0.0126365,0.00955406,0.00517416,0.0040827,0.0247105,0.0324661,0,0,0
145,0,0,0,0,0,0,0.0711684,0.014502,0,0,0,0.0273039,0.0134863,0.0159456,0.0144254,0,0,0.01094,0,0.0223471,0.0045296,0.0339209,0.0170063,0.0193529,0.0194047,0.0423281,0.0510879,0.0236094,0.0266674,0.0229385,0.0260487,0.0203731,0.0200555,0.0121481,0.0137533,0.0313465,0.0154604,0.0127468,0.0052703,0.0125217,0.00782799,0.0137729,0.0280008,0.0356726,0,0,0.00993543,0,0.0119817,0.00819913,0.0626966,0.0123305,0.0367884,0.0181822,0.0404345,0.0264958,0.0143541,0.0388273,0.0227271,0.0180587,0.0110897,0.021026,0.00393785,0.00824746,0.013046,0.00940666,0.00506094,0.00411763,0.0242573,0.0321322,0,0,0
146,0,0,0,0,0,0,0.0704603,0.0139001,0,0,0,0.0274769,0.0135722,0.015924,0.0143598,0,0,0.01028,0,0.0223354,0.00482246,0.0339753,0.0166168,0.0195621,0.0193378,0.0426872,0.0518641,0.0235187,0.0265544,0.022901,0.0260373,0.0204203,0.0200778,0.0122502,0.0135832,0.0317077,0.0153575,0.0127212,0.00539186,0.0129268,0.00779637,0.0140946,0.0275934,0.035072,0,0,0.0100631,0,0.0119067,0.00839715,0.0625273,0.0125477,0.0367374,0.0181484,0.040734,0.026733,0.0142659,0.0388043,0.0227432,0.0177983,0.0110597,0.0209011,0.00401267,0.00814873,0.0130934,0.00921703,0.00502604,0.00414209,0.0237342,0.0316992,0,0,0
147,0,0,0,0,0,0,0.069635,0.0132825,0,0,0,0.0276367,0.0137126,0.0159715,0.0143323,0,0,0.00974798,0,0.0223073,0.00523538,0.0340071,0.0160651,0.0198203,0.0193283,0.0429644,0.0527718,0.0234302,0.0264666,0.0228188,0.0262124,0.0206076,0.020248,0.0125315,0.0133909,0.0318864,0.0152629,0.0127039,0.00551723,0.0133048,0.00775982,0.0144644,0.0272039,0.034354,0,0,0.0101324,0,0.0118663,0.0085778,0.0624162,0.0127977,0.0367312,0.0181535,0.0409711,0.0269414,0.0140956,0.0386925,0.0225031,0.0174789,0.0109881,0.0207723,0.00414794,0.00792091,0.0127665,0.00895172,0.00503672,0.00417729,0.0232634,0.0311741,0,0,0
