Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
112,0.0485991,0.0520473,0.0370799,0,0.0170971,0.0597355,0,0,0.0140614,0,0,0.0495268,0.0369189,0.0470837,0.0087599,0.00894145,0.0256484,0.0341986,0.0225064,0.0414122,0.0640288,0.0517736,0.0618939,0.0614946,0.0588154,0.0557621,0.0275941,0.0471934,0.0131241,0.011407,0.0383555,0,0.0141932,0.0542433,0.0247323,0,0,0.0169239,0,0,0.0386954,0.0536594,0.0175086,0.0188717,0.0163291,0.0363835,0.0179238,0.0699367,0.0905352,0.0636812,0.0427324,0.0699955,0.0538075,0.0505305,0.0689105,0.0122898,0.0193908,0.00794685,0.00996279,0.0289275,0.0164418,0,0,0
113,0.048409,0.0520312,0.0340358,0,0.0181554,0.0604102,0,0,0.0141875,0,0,0.0499036,0.0362422,0.0493739,0.0093318,0.00872186,0.026338,0.0339701,0.0220657,0.0414589,0.0639363,0.0513683,0.0608808,0.0604921,0.0579392,0.0549046,0.0322252,0.0464663,0.0129042,0.0118142,0.0362749,0,0.0121663,0.0529634,0.0244578,0,0,0.0168774,0,0,0.0392378,0.0532938,0.0191695,0.0188365,0.016776,0.036222,0.0180793,0.0699358,0.0901316,0.062931,0.0423438,0.0690374,0.0529517,0.0492776,0.0678565,0.0154463,0.018615,0.00771131,0.0108067,0.0286711,0.0167374,0,0,0
114,0.0482649,0.0522303,0.0310959,0,0.0190789,0.0612668,0,0,0.0147563,0,0,0.0504487,0.0353862,0.051293,0.00991441,0.00826763,0.0270235,0.0339743,0.021732,0.0413374,0.0638718,0.051039,0.0595427,0.0590971,0.0567421,0.0538389,0.0372498,0.0454427,0.0127479,0.0122673,0.0339261,0,0.0106015,0.051343,0.0245825,0,0,0.0181971,0,0,0.0393612,0.0529122,0.0208973,0.0187017,0.017021,0.0362003,0.0187065,0.0705943,0.089754,0.0617788,0.0414093,0.0682213,0.0521447,0.0482471,0.0671145,0.0193901,0.0175947,0.00788006,0.0104797,0.0284896,0.017043,0,0,0
115,0.0483397,0.0522443,0.0288876,0,0.0199285,0.061817,0,0,0.0154505,0,0,0.0510851,0.034722,0.0526507,0.0105934,0.00761999,0.0274665,0.0340996,0.0219123,0.0411797,0.0640912,0.0510798,0.0579949,0.0574811,0.0553807,0.0526419,0.042341,0.0442322,0.0124098,0.0129359,0.03208,0,0.00986115,0.0501734,0.0243323,0,0,0.0181472,0,0,0.0401598,0.0524939,0.0219119,0.0181923,0.0172768,0.0362455,0.0187736,0.0711008,0.089384,0.0610043,0.0406245,0.067706,0.0515246,0.0476829,0.0667027,0.0223328,0.0165951,0.00820618,0.0114525,0.0282684,0.0176167,0,0,0
116,0.0483698,0.0522966,0.0274612,0,0.0210222,0.0620665,0,0,0.0162667,0,0,0.0516725,0.0344657,0.0540657,0.0113632,0.00664836,0.0278748,0.0343791,0.0222667,0.0409254,0.0643577,0.0511675,0.0565041,0.055863,0.0539822,0.0514747,0.0476849,0.0430197,0.0122736,0.013511,0.0313526,0,0.0096224,0.0494231,0.0240809,0,0,0.0183666,0,0,0.0406987,0.0521554,0.0220199,0.0172473,0.0180141,0.0365058,0.0187635,0.0711819,0.0893014,0.0610363,0.0403784,0.0673786,0.0510718,0.0473739,0.0663981,0.0232253,0.0156697,0.00827344,0.0123836,0.0280849,0.0182347,0,0,0
117,0.0480989,0.0524983,0.0271335,0,0.0228241,0.0621704,0,0,0.0175361,0,0,0.0520158,0.0333423,0.0553938,0.0131506,0.0119215,0.0279412,0.0349127,0.0222452,0.0448807,0.0663256,0.0509052,0.0544375,0.0532441,0.0516337,0.0492667,0.0465026,0.0417789,0.0125992,0.0136177,0.0309658,0,0.0100615,0.048947,0.0236798,0,0,0.0196944,0,0,0.0408162,0.0513796,0.021248,0.016169,0.0186079,0.0371292,0.0192771,0.0709068,0.0895271,0.06179,0.0399119,0.0672848,0.0510681,0.0475573,0.066444,0.0231065,0.0144667,0.00805251,0.0129532,0.0280344,0.0187873,0,0,0
118,0.0481933,0.052589,0.0260761,0,0.0236087,0.0620672,0,0,0.0179701,0,0,0.0524247,0.0336767,0.0553172,0.0136831,0.0114699,0.0278889,0.0352919,0.0230506,0.0448689,0.0669569,0.0514006,0.0531517,0.0517666,0.0505014,0.048124,0.051629,0.04096,0.0123462,0.0141891,0.0309586,0,0.0108603,0.0489308,0.0232273,0,0,0.0193065,0,0,0.0415053,0.0509271,0.020196,0.0159353,0.0188761,0.0376175,0.019091,0.0706151,0.0902072,0.0629888,0.039063,0.0672635,0.0514111,0.0479755,0.0666171,0.0225014,0.0139019,0.00840341,0.0139255,0.0280047,0.0194166,0,0,0
119,0.048151,0.0526784,0.0255707,0,0.0241024,0.0622154,0,0,0.0184299,0,0,0.0525443,0.0340421,0.0543917,0.0142285,0.010785,0.0277597,0.0356317,0.023967,0.0446643,0.0675651,0.0520322,0.0521039,0.0505957,0.0495833,0.0473673,0.0575138,0.0405252,0.0123923,0.0142976,0.0306533,0,0.011928,0.0487812,0.023082,0,0,0.0195409,0,0,0.0417352,0.0504452,0.0190497,0.0158109,0.0188169,0.0381818,0.0192452,0.0703056,0.0908481,0.0640182,0.0379472,0.0674972,0.0521386,0.0486925,0.0670472,0.0223723,0.0135064,0.00846989,0.014289,0.0281029,0.0197221,0,0,0
120,0.0479726,0.0526573,0.0260569,0,0.0244072,0.0625168,0,0,0.0186418,0,0,0.0525207,0.034322,0.0534407,0.0147821,0.0104377,0.0276797,0.0357723,0.0249123,0.0443893,0.0681158,0.052734,0.0515829,0.049819,0.0492045,0.0470362,0.0636853,0.0404819,0.0125212,0.0142205,0.0301888,0,0.0127624,0.0485172,0.0229964,0,0,0.0196873,0,0,0.0417349,0.0499187,0.0182706,0.015644,0.0184609,0.0386414,0.0194531,0.0698579,0.0910055,0.064456,0.0371539,0.0678576,0.0527913,0.0493981,0.0675645,0.0225851,0.0133158,0.0082927,0.0144872,0.0283105,0.0197821,0,0,0
121,0.0476735,0.0526162,0.0270003,0,0.0246854,0.0628567,0,0,0.0185656,0,0,0.0524379,0.0344908,0.0532603,0.0153603,0.0106067,0.0275079,0.0357669,0.0257401,0.0439758,0.0684785,0.053404,0.0513965,0.049469,0.0492114,0.0469279,0.0681581,0.0407412,0.012517,0.014162,0.0298459,0,0.013158,0.0482537,0.0228987,0,0,0.0200005,0,0,0.0416679,0.0494775,0.0180789,0.0154164,0.0180231,0.0389154,0.0198649,0.069231,0.090527,0.0642068,0.0371512,0.0681845,0.0531372,0.0498224,0.0680558,0.0228543,0.0131793,0.00834609,0.0141301,0.0286154,0.0196461,0,0,0
