Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LBHD,IMU_B
21,0,0,0,0,0.0486575,0.0511693,0,0,0.0305012,0,0.0351256,0.0614822,0,0.0217622,0,0,0.0536658,0.0335095,0.0520738,0.0137433,0.00397549,0.0348476,0.0413499,0.0292055,0.0406586,0.0651323,0.0510738,0.0521749,0.0483115,0.0516954,0.0503877,0.050489,0.0369368,0.0130407,0.0143676,0.0225998,0,0.0151091,0.0579506,0.0287571,0,0,0.0257467,0,0,0.0455999,0.0392961,0.0207292,0.00652101,0.0216394,0.0427295,0.0280046,0.0301912,0.0292191,0.0543828,0.0523648,0.0659973,0.0451471,0.0424622,0.0645923,0.041458,0.0095928,0.0118042,0.0145383,0.0293027,0.0131212,0,0,0,0,0
22,0,0,0,0,0.0487766,0.0511437,0,0,0.0293742,0,0.0356495,0.0611484,0,0.0217863,0,0,0.0536743,0.0332596,0.0532301,0.0140027,0.00452153,0.0349858,0.0412575,0.0292519,0.0407508,0.0652038,0.0507675,0.0521617,0.0481729,0.0514189,0.0501882,0.0541798,0.0369761,0.0129051,0.0143237,0.0231333,0,0.0149304,0.0583942,0.0288307,0,0,0.0258649,0,0,0.0453617,0.0391957,0.020084,0.00696174,0.0214704,0.0425571,0.0280694,0.0305779,0.028861,0.0545884,0.0528503,0.0660717,0.0453384,0.0426888,0.0649894,0.0394795,0.00953384,0.0115092,0.0144875,0.0293095,0.012953,0,0,0,0,0
23,0,0,0,0,0.0489136,0.0511293,0,0,0.028499,0,0.0360634,0.0607021,0,0.0217095,0,0,0.0536702,0.0330687,0.0542699,0.0141856,0.00500341,0.0353436,0.0412582,0.029251,0.040808,0.0650732,0.0508735,0.0521524,0.0481898,0.0511844,0.050071,0.0579021,0.0371009,0.012885,0.0142127,0.0238478,0,0.014738,0.0588801,0.028962,0,0,0.0260424,0,0,0.0452392,0.0391488,0.0196032,0.0073766,0.0212399,0.0423254,0.028204,0.0308771,0.0285858,0.0545074,0.0532642,0.0661352,0.0455291,0.0429885,0.0655983,0.0373416,0.00953438,0.0113259,0.0144435,0.0293791,0.0127936,0,0,0,0,0
24,0,0,0,0,0.0490841,0.051121,0,0,0.0279244,0,0.0363912,0.0603391,0,0.0215673,0,0,0.053679,0.0328808,0.0552503,0.0142688,0.00535906,0.0358061,0.0411463,0.0291586,0.0408434,0.0648198,0.0510152,0.0521541,0.0483159,0.0511184,0.0500968,0.0615301,0.0372652,0.0130194,0.0140378,0.0245401,0,0.0146797,0.0595752,0.029154,0,0,0.0261762,0,0,0.0451732,0.0391275,0.019173,0.00768497,0.0210743,0.0420405,0.0283045,0.0309265,0.0283407,0.0544854,0.0535984,0.066173,0.0455198,0.0433087,0.0657782,0.0354169,0.00954246,0.0112827,0.0144016,0.0294935,0.0126107,0,0,0,0,0
25,0,0,0,0,0.0493297,0.0510488,0,0,0.0275789,0,0.0366015,0.0598905,0,0.0214396,0,0,0.0536381,0.0326938,0.0561974,0.0142379,0.00588138,0.0364268,0.0409025,0.0290754,0.0408746,0.0646907,0.0508098,0.0521931,0.0485248,0.051315,0.0503984,0.0649935,0.0374129,0.013026,0.0138731,0.0252072,0,0.0146797,0.0602094,0.0292811,0,0,0.025724,0,0,0.0454228,0.0390903,0.0187204,0.00780131,0.0208949,0.0417715,0.0279671,0.0309072,0.0283352,0.0545748,0.0538178,0.0661457,0.0452381,0.0435666,0.0656193,0.0337128,0.00972259,0.0113045,0.014948,0.0295819,0.0125127,0,0,0,0,0
26,0,0,0,0,0.049489,0.0511471,0,0,0.0274943,0,0.0365891,0.0596083,0,0.0213184,0,0,0.0535928,0.0325547,0.0569896,0.0142397,0.00663398,0.036986,0.0407785,0.0289259,0.0406614,0.0646983,0.0501968,0.052598,0.0489315,0.0518785,0.0510315,0.0683914,0.0374735,0.013077,0.0136794,0.0257012,0,0.0147308,0.060672,0.0295101,0,0,0.0263853,0,0,0.0449315,0.0391195,0.0185111,0.00788231,0.0208205,0.0414328,0.0284802,0.0307937,0.0283766,0.0547165,0.0540592,0.0660178,0.0450411,0.0436179,0.0657284,0.0322598,0.00955322,0.0112002,0.0141961,0.0298089,0.0122334,0,0,0,0,0
27,0,0,0,0,0.0497257,0.051193,0,0,0.0277252,0,0.0365441,0.0594404,0,0.0212972,0,0,0.0534674,0.0323473,0.0577535,0.0141382,0.00733765,0.0377182,0.0407178,0.0288066,0.0406569,0.0644682,0.0497281,0.0529511,0.0495296,0.0526705,0.0519604,0.0715424,0.0375315,0.0130501,0.0134253,0.0260562,0,0.0146801,0.0610685,0.0296264,0,0,0.0261972,0,0,0.0449244,0.0391576,0.0184915,0.00789555,0.0208054,0.041155,0.028359,0.0308909,0.028287,0.0548126,0.0542839,0.0659145,0.0450418,0.043606,0.0655943,0.0310461,0.00964626,0.0111269,0.0143026,0.030021,0.0121342,0,0,0,0,0
28,0,0,0,0,0.0499579,0.0512009,0,0,0.0282461,0,0.0364944,0.0592312,0,0.0212329,0,0,0.0533859,0.0321207,0.0585175,0.0139791,0.0081621,0.0384074,0.0406115,0.028663,0.040815,0.0642084,0.0493706,0.0534483,0.0503117,0.0536186,0.0530995,0.0742967,0.0376264,0.0130589,0.0132105,0.0263526,0,0.0146628,0.0614614,0.0297272,0,0,0.0260404,0,0,0.0448814,0.039194,0.0184199,0.00790895,0.0209149,0.0408599,0.0281407,0.0313884,0.0282363,0.0548998,0.0545593,0.065757,0.0451046,0.0436364,0.0656231,0.0300584,0.00974068,0.0111073,0.0143107,0.030241,0.0120485,0,0,0,0,0
29,0,0,0,0,0.0501628,0.0511971,0,0,0.0288852,0,0.0364103,0.0589281,0,0.0211288,0,0,0.0533247,0.0318769,0.0592159,0.0138055,0.0091088,0.0390134,0.040577,0.0284665,0.0410705,0.0640576,0.0490205,0.0541966,0.0511696,0.0546456,0.0542747,0.0767219,0.0377198,0.0130193,0.0130722,0.026761,0,0.0147241,0.0618284,0.0298383,0,0,0.025931,0,0,0.0447763,0.0392262,0.0181432,0.00794365,0.0210449,0.0405135,0.0277616,0.0321473,0.0282033,0.0550157,0.0548483,0.0656026,0.0451869,0.0437294,0.0652583,0.0290678,0.00984931,0.0110333,0.0142413,0.0302936,0.0120154,0,0,0,0,0
30,0,0,0,0,0.0503491,0.0512014,0,0,0.0296643,0,0.0362163,0.0585532,0,0.0209849,0,0,0.053311,0.0316627,0.0598266,0.0136491,0.0101728,0.0395255,0.04061,0.0282599,0.0414076,0.0640138,0.0486643,0.0550523,0.0520614,0.0556457,0.0554316,0.0788465,0.0378361,0.0129963,0.0130019,0.0272197,0,0.0148054,0.0622181,0.0299467,0,0,0.0258087,0,0,0.044694,0.0392377,0.0178743,0.00799317,0.0211757,0.0401147,0.0274473,0.0325831,0.0282222,0.0551818,0.0551844,0.0654429,0.0452106,0.043775,0.0652318,0.0280205,0.0099859,0.0109415,0.0141398,0.0302382,0.012018,0,0,0,0,0
