Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,RTIBA,RTIB
21,0,0,0,0,0.0430696,0.0523658,0,0,0,0.0371617,0,0.0207388,0.0561117,0,0,0.0357165,0,0,0.0627855,0.0244837,0.0324963,0.0149749,0.0176847,0.0437729,0.0358741,0.0265488,0.0462881,0.0622404,0.044486,0.0694481,0.067187,0.0661932,0.0650628,0.028954,0.0479734,0.0482311,0.0323528,0.0307231,0,0.0103926,0.0600629,0.0194573,0,0,0.0205641,0,0,0.0391283,0.0489341,0.0275447,0.0139267,0.017278,0.0405923,0.0108732,0.0358166,0.0210772,0.0546643,0.0572848,0.0616817,0.0274995,0.0161721,0.00872318,0.0083197,0.027926,0.0244401,0,0,0,0,0,0
22,0,0,0,0,0.0427041,0.0522413,0,0,0,0.0382941,0,0.0203968,0.0562829,0,0,0.0359205,0,0,0.0629543,0.0240498,0.0317675,0.0146023,0.0160108,0.0440003,0.0361949,0.0262037,0.0458909,0.0622399,0.0445422,0.0692264,0.066895,0.0658739,0.0647503,0.026688,0.0479347,0.0484843,0.0324039,0.0291308,0,0.0116947,0.0596926,0.019284,0,0,0.0206438,0,0,0.0392766,0.0492904,0.0262009,0.0136925,0.0173695,0.0409976,0.010872,0.0363664,0.0210559,0.0551228,0.0577919,0.0625159,0.0331095,0.0156666,0.00854645,0.00866742,0.0278331,0.0245606,0,0,0,0,0,0
23,0,0,0,0,0.0423664,0.0521655,0,0,0,0.0387403,0,0.0200856,0.0564503,0,0,0.0360236,0,0,0.0631129,0.0236362,0.0310276,0.0142114,0.015541,0.0444132,0.0363201,0.025923,0.0460019,0.0624395,0.0447873,0.0690305,0.0666119,0.0656506,0.0645016,0.0253917,0.0478235,0.0481735,0.0321566,0.0281709,0,0.0132194,0.0594032,0.0191818,0,0,0.0206931,0,0,0.0394376,0.0494536,0.0259298,0.0135273,0.0171223,0.0412549,0.0110334,0.0368159,0.0207058,0.0552785,0.0580897,0.0638574,0.0376656,0.0152917,0.0085322,0.00886914,0.027695,0.0244912,0,0,0,0,0,0
24,0,0,0,0,0.0420579,0.0521158,0,0,0,0.0387038,0,0.019858,0.0566137,0,0,0.0359158,0,0,0.0631101,0.0233367,0.0305531,0.0139321,0.0160157,0.0447191,0.0363183,0.025726,0.0463004,0.0625674,0.0450823,0.0688975,0.0664445,0.0656495,0.0642427,0.0248261,0.047589,0.0478497,0.0318949,0.0275091,0,0.0136244,0.059252,0.0191137,0,0,0.0207019,0,0,0.0396385,0.0493128,0.0257066,0.0132735,0.0163296,0.0414372,0.0111657,0.0372411,0.0204773,0.0551516,0.0582735,0.0646545,0.0387077,0.0150719,0.00853206,0.00909041,0.0274566,0.0243819,0,0,0,0,0,0
25,0,0,0,0,0.041521,0.0520657,0,0,0,0.0387023,0,0.019565,0.0566913,0,0,0.0359664,0,0,0.0632156,0.023199,0.0302113,0.0137033,0.0167784,0.0450201,0.0366888,0.0253649,0.046115,0.0624341,0.0453932,0.0689729,0.0664826,0.0657105,0.0641959,0.0244565,0.0475915,0.0477718,0.0320371,0.0170164,0,0.0203755,0.0590269,0.0187655,0,0,0.0207138,0,0,0.0398009,0.0485915,0.0161947,0.013267,0.017502,0.0413811,0.0110933,0.035558,0.0225187,0.0558964,0.0575433,0,0.0408348,0.0148477,0.00853061,0.00926586,0.0270876,0.0247084,0,0,0,0,0,0
26,0,0,0,0,0.0413911,0.0520985,0,0,0,0.0387155,0,0.01941,0.0565827,0,0,0.0356968,0,0,0.0630326,0.0233166,0.0302381,0.013392,0.0168716,0.0448445,0.0366066,0.0252071,0.0457717,0.062238,0.0455599,0.0690249,0.0665405,0.0657202,0.0643327,0.0243581,0.0475944,0.0472239,0.0318188,0.0247537,0,0.0171881,0.0591091,0.0187724,0,0,0.0207487,0,0,0.0397733,0.0487291,0.0168681,0.0128893,0.0181036,0.0414629,0.0111228,0.0356584,0.022219,0.0556837,0.0574578,0,0.029959,0.0148743,0.00857128,0.00920926,0.0267864,0.0247106,0,0,0,0,0,0
27,0,0,0,0,0.0418896,0.0522176,0,0,0,0.0382298,0,0.0196081,0.0567926,0,0,0.0348549,0,0,0.0623811,0.0230483,0.0304259,0.0132189,0.0168601,0.0438032,0.0357939,0.0253104,0.0456504,0.0624435,0.0457774,0.0688591,0.066328,0.0656535,0.0644299,0.02485,0.0474862,0.0458782,0.0310612,0.0266914,0,0.0193522,0.0590449,0.0193691,0,0,0.0206395,0,0,0.0395651,0.0489497,0.030495,0.0125612,0.0142017,0.0417663,0.0115242,0.0402373,0.0181437,0.0531022,0.0590117,0.062585,0.0356216,0.0151557,0.0086727,0.0090175,0.0264119,0.0239536,0,0,0,0,0.0383517,0
28,0,0,0,0,0.0419458,0.0523502,0,0,0,0.0384478,0,0.0198365,0.0570263,0,0,0.034487,0,0,0.0621411,0.0229944,0.0301731,0.013196,0.0173687,0.0432796,0.0356869,0.025274,0.0452382,0.0623671,0.0459011,0.0689901,0.0663287,0.0659394,0.0646065,0.0242964,0.0474273,0.0452898,0.0309961,0.0268804,0,0.0192667,0.0588545,0.0193873,0,0,0.0205647,0,0,0.0393866,0.0490373,0.0298852,0.0122778,0.013834,0.0417989,0.0116039,0.0402917,0.0175054,0.05255,0.0587197,0.063486,0.0348907,0.0153219,0.00875271,0.00884748,0.0255394,0.0238791,0,0,0,0,0.0370012,0
29,0,0,0,0,0.0421388,0.0524249,0,0,0,0.0389681,0,0.0200359,0.0574906,0,0,0.0342612,0,0,0.0619628,0.0228947,0.0297842,0.0137566,0.0180404,0.0425939,0.0356352,0.0252204,0.0449469,0.0624536,0.0461177,0.0690379,0.066238,0.0660569,0.0646986,0.0232876,0.0474291,0.0448622,0.0309304,0.026915,0,0.0193336,0.0583639,0.0194698,0,0,0.0205617,0,0,0.0391937,0.0491848,0.0295925,0.0120879,0.0131731,0.0418463,0.0116947,0.0402165,0.01671,0.0519841,0.0582804,0.0639253,0.0353144,0.015545,0.00887208,0.00861739,0.0252667,0.0237691,0,0,0,0,0.036729,0
30,0,0,0,0,0.0424197,0.0524405,0,0,0,0.0398682,0,0.0201613,0.0580124,0,0,0.0341373,0,0,0.0618395,0.0228957,0.0294031,0.0140577,0.0185536,0.0419005,0.0355239,0.0251614,0.0449649,0.0624121,0.0464103,0.0690421,0.066122,0.0660108,0.0647013,0.0219383,0.0474307,0.0446229,0.0308803,0.0266976,0,0.019171,0.0578346,0.019649,0,0,0.0205548,0,0,0.0389914,0.0491798,0.0297957,0.0119373,0.01215,0.0421022,0.0117841,0.0397764,0.0160104,0.0512806,0.0576113,0.0641678,0.036173,0.0158184,0.00895859,0.00837676,0.0254047,0.0236635,0,0,0,0,0.0365618,0
