Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M
22,0,0,0,0,0.0504267,0.0480458,0,0,0.0270164,0,0.0416566,0.0560805,0,0,0.0227912,0,0,0.0549724,0.0339648,0.0638101,0.0153188,0.0137463,0.0351773,0.043157,0.0280619,0.0418592,0.0632133,0.0477102,0.0538145,0.0498768,0.0547015,0.0552334,0.0690533,0.0364634,0.0129647,0.0149225,0.0343391,0,0.0147101,0.0683575,0.0303834,0,0,0.0259795,0,0,0.0460047,0.0362686,0.0166286,0.0149355,0.0213917,0.0314814,0.0273722,0.0335094,0.0291228,0.0565352,0.0576161,0.0654081,0.0465095,0.0437828,0.0669259,0.0167773,0.0110597,0.0114248,0.0189512,0.0363384,0.00693695,0,0,0,0
23,0,0,0,0,0.0505401,0.047922,0,0,0.0273237,0,0.0411793,0.0558387,0,0,0.0225742,0,0,0.054876,0.0337343,0.0632172,0.0150501,0.0149705,0.0356301,0.0426291,0.0277905,0.0427613,0.0633099,0.047208,0.0545089,0.0506078,0.05554,0.05614,0.0681846,0.0365124,0.012963,0.014607,0.0346444,0,0.0147327,0.0688569,0.0306994,0,0,0.0259161,0,0,0.0459779,0.0364357,0.0165917,0.0149523,0.0217606,0.0311766,0.0276432,0.0337503,0.0289381,0.056781,0.0579959,0.0652154,0.0463788,0.0441102,0.066904,0.0164696,0.0112447,0.0113564,0.0188316,0.0363019,0.00685666,0,0,0,0
24,0,0,0,0,0.0505515,0.0478064,0,0,0.0309342,0,0.0366135,0.0563796,0,0,0.0230366,0,0,0.0543116,0.0329614,0.0611306,0.0153241,0.0124884,0.0349842,0.0417608,0.0271644,0.0417546,0.0615485,0.0460827,0.0558944,0.0528824,0.0564584,0.0567993,0.0767014,0.0366134,0.0132774,0.0141189,0.0366204,0,0.0150625,0.0687561,0.0312797,0,0,0.0255079,0,0,0.0464379,0.037072,0.0158426,0.0152376,0.0227947,0.031561,0.0281898,0.0339304,0.0292446,0.0573865,0.0584793,0.0646689,0.0461881,0.0438862,0.0665363,0.0142274,0.0116552,0.0112542,0.0185526,0.0363018,0.00608953,0,0,0,0
25,0,0,0,0,0.0506119,0.0477161,0,0,0.030893,0,0.036462,0.0559893,0,0,0.0229211,0,0,0.0542059,0.0328179,0.0608338,0.0153503,0.0146251,0.0352695,0.0415709,0.0265553,0.0431171,0.0618761,0.0455762,0.0567301,0.0535136,0.0571995,0.057668,0.0748542,0.0366997,0.0132225,0.0139164,0.0370979,0,0.0151807,0.0693996,0.0314631,0,0,0.0253873,0,0,0.0463287,0.037,0.015752,0.0153722,0.0231602,0.0311423,0.028205,0.0340045,0.0290291,0.0573758,0.0587218,0.0645409,0.0460855,0.0436764,0.0664376,0.013563,0.0117307,0.0112295,0.0182832,0.0362027,0.00606016,0,0,0,0
26,0,0,0,0,0.0507321,0.0476831,0,0,0.0307948,0,0.0360907,0.0556804,0,0,0.0227862,0,0,0.0540896,0.0327074,0.0602175,0.015274,0.0164648,0.0355091,0.0413596,0.0260033,0.0445877,0.0623232,0.0452214,0.0577356,0.0543238,0.0578963,0.0585365,0.0729297,0.036829,0.013219,0.013693,0.0378314,0,0.0151154,0.0699883,0.031581,0,0,0.0252,0,0,0.0461633,0.0369505,0.0158542,0.0154676,0.0236272,0.0306412,0.0280688,0.0339766,0.0287765,0.05731,0.0589501,0.064327,0.0458547,0.0437005,0.0663426,0.0127788,0.011819,0.0111318,0.0180034,0.0361593,0.00603686,0,0,0,0
27,0,0,0,0,0.0509248,0.0476893,0,0,0.0306356,0,0.0355313,0.0554682,0,0,0.0226337,0,0,0.053951,0.0326364,0.0592897,0.0151126,0.0177309,0.0357183,0.0411528,0.0256082,0.0460226,0.0627654,0.0450249,0.0588138,0.0553341,0.0588155,0.0594288,0.0709741,0.0370063,0.013228,0.0134824,0.0384753,0,0.0151316,0.0704802,0.0316389,0,0,0.0249557,0,0,0.0459679,0.036958,0.0159778,0.0155631,0.0240121,0.0300527,0.0278227,0.0338518,0.0283987,0.0571821,0.0591517,0.0641776,0.0456447,0.0436293,0.066293,0.0122902,0.0119251,0.0109656,0.0177373,0.0360978,0.00602212,0,0,0,0
28,0,0,0,0,0.0511498,0.0476486,0,0,0.0304582,0,0.0348692,0.0553231,0,0,0.0224148,0,0,0.0537856,0.0326003,0.0581011,0.0149524,0.0185158,0.0358644,0.0409907,0.0256271,0.0473778,0.0632145,0.0449281,0.0598798,0.0564535,0.0597628,0.0603327,0.0688238,0.0371947,0.0132758,0.0133191,0.039051,0,0.0152496,0.0709189,0.0320074,0,0,0.0246871,0,0,0.0458212,0.0370312,0.0159982,0.0156799,0.0243284,0.029445,0.0276342,0.0336724,0.0280058,0.0570015,0.0593211,0.0641234,0.0454929,0.0434927,0.0662507,0.0119327,0.0120527,0.0108256,0.0174652,0.0359621,0.00605168,0,0,0,0
29,0,0,0,0,0.0513821,0.0475993,0,0,0.0303507,0,0.0340117,0.0552554,0,0,0.022232,0,0,0.0536623,0.0326191,0.0567079,0.0147389,0.0190399,0.0359886,0.0408135,0.0257968,0.0488262,0.0637177,0.0449491,0.0609373,0.0576477,0.0606384,0.0611641,0.0661954,0.0374212,0.0133174,0.0132474,0.0397358,0,0.0153011,0.071333,0.0322905,0,0,0.0243967,0,0,0.0456908,0.037135,0.0160392,0.0157915,0.024728,0.0288787,0.0274377,0.0336655,0.0276954,0.0568412,0.0594305,0.0640377,0.0453649,0.0435963,0.0662384,0.0115678,0.0121472,0.0107161,0.0171626,0.0357351,0.00611216,0,0,0,0
30,0,0,0,0,0.0515909,0.0475768,0,0,0.0303102,0,0.0328881,0.0552229,0,0,0.0220968,0,0,0.0536,0.0327131,0.0554342,0.0144433,0.0194149,0.0361006,0.040575,0.0260688,0.0504651,0.0643092,0.0451284,0.062127,0.0589235,0.0615514,0.0619943,0.0629363,0.0376208,0.0134153,0.0131561,0.040614,0,0.0153384,0.0717411,0.032384,0,0,0.0240992,0,0,0.045564,0.0372057,0.0161315,0.0158952,0.0252395,0.0283373,0.0271613,0.0340208,0.0273835,0.0566489,0.0593935,0.0639977,0.0452667,0.043676,0.066319,0.0112605,0.0122294,0.0106108,0.0168583,0.0353832,0.00618921,0,0,0,0
31,0,0,0,0,0.0518108,0.0475707,0,0,0.0305015,0,0.0316791,0.0552259,0,0,0.0219624,0,0,0.0535477,0.0328772,0.0539624,0.0140068,0.0195928,0.0361592,0.0403776,0.0264592,0.0521693,0.0649992,0.0454611,0.0633847,0.0603214,0.0626125,0.062898,0.0588457,0.0377999,0.0134358,0.0131404,0.0415427,0,0.015326,0.0720922,0.0324597,0,0,0.0238298,0,0,0.0454111,0.0373015,0.0162219,0.0159512,0.0257532,0.0278302,0.0267783,0.034443,0.0270172,0.0563886,0.0592298,0.0639856,0.0451829,0.0436772,0.0663723,0.0110504,0.0123916,0.0104922,0.0165306,0.0351985,0.00629038,0,0,0,0
32,0,0,0,0,0.0520391,0.0475185,0,0,0.0313543,0,0.0304565,0.0553253,0,0,0.0217141,0,0,0.053501,0.033091,0.0515796,0.0134905,0.0193605,0.0361187,0.0404202,0.0269997,0.0538373,0.0656955,0.0459366,0.0646345,0.0617567,0.0636797,0.0638146,0.0539419,0.0379901,0.0135596,0.0130251,0.0425037,0,0.0152298,0.0722603,0.0328146,0,0,0.0235722,0,0,0.0452346,0.0374631,0.0162687,0.0159498,0.0262327,0.0273766,0.0265303,0.034631,0.0266359,0.0560582,0.0590103,0.0639608,0.0451267,0.0436663,0.066391,0.0109709,0.0126031,0.010374,0.0161413,0.0350824,0.00645713,0,0,0,0
33,0,0,0,0,0.0522588,0.0474548,0,0,0.0331005,0,0.0290863,0.0555073,0,0,0.0214079,0,0,0.0533935,0.0334213,0.0491468,0.0128349,0.0187062,0.0359368,0.0402931,0.0277484,0.0553784,0.0662784,0.046661,0.0658805,0.0632604,0.0647283,0.064736,0.0479397,0.0383085,0.0137158,0.012858,0.0434295,0,0.0151127,0.0723374,0.0330276,0,0,0.0233155,0,0,0.0450151,0.0376586,0.0162074,0.0158746,0.0265377,0.0269577,0.0263588,0.0347238,0.026176,0.0557326,0.0589189,0.0640335,0.0450347,0.0436162,0.0663704,0.0110285,0.0126731,0.0102564,0.0157672,0.0349068,0.00663753,0,0,0,0
34,0,0,0,0,0.0525168,0.0474059,0,0,0.0356799,0,0.0276315,0.05587,0,0,0.0210865,0,0,0.0532371,0.0338198,0.046396,0.0118047,0.017709,0.0355591,0.040022,0.0287097,0.0566705,0.0667944,0.0477627,0.0671695,0.0647501,0.065792,0.0656822,0.0405138,0.0386376,0.0137646,0.012745,0.0444051,0,0.0150515,0.0724207,0.0331155,0,0,0.0230336,0,0,0.0448033,0.0381047,0.0160562,0.0157338,0.0261731,0.0265349,0.0261444,0.0348489,0.0256324,0.0554663,0.0589507,0.0646326,0.0448835,0.0435299,0.0663736,0.0113281,0.0128207,0.0101259,0.0153985,0.0346991,0.0068151,0,0,0,0
35,0,0,0,0,0.0535369,0.0473368,0,0,0.0335595,0,0.0256363,0.0572578,0,0,0.0203693,0,0,0.0528241,0.0337726,0.0421597,0.00845827,0.0164984,0.0354904,0.0396991,0.0309605,0.053724,0.0666404,0.0505076,0.0690209,0.0665199,0.0676693,0.0669638,0.0404019,0.0393633,0.0139015,0.012433,0.045568,0,0.0149635,0.0720628,0.0339898,0,0,0.0223696,0,0,0.0441338,0.0391528,0.0157999,0.015603,0.0251988,0.0256038,0.0255352,0.0351089,0.0248558,0.0551265,0.0589551,0.0656093,0.0447762,0.0434682,0.0666055,0.0118084,0.0133442,0.00976051,0.0144788,0.0344172,0.00747662,0,0,0,0
