Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,IMU_B
19,0,0,0,0,0.0506027,0.052088,0,0,0.0518724,0,0.0214089,0.0638751,0,0,0.0239052,0,0,0.0549592,0.0282152,0.0232653,0.0113053,0.021675,0.035986,0.0550847,0.0258596,0.041017,0.0635728,0.0505578,0.0658265,0.0617961,0.0618291,0.0612851,0.0129613,0.0362451,0.0141333,0.0150213,0.0256322,0,0.0221713,0.0550312,0.0268449,0,0,0.0194231,0,0,0.0402251,0.0472695,0.0430638,0.0154166,0.0276203,0.0426933,0.016738,0.0318945,0.0293021,0.0554349,0.053695,0.0600448,0.0344734,0.0608664,0.0573139,0.0176724,0.0095379,0.00812114,0.0316979,0.0186601,0,0,0,0.033981,0
20,0,0,0,0,0.0506589,0.0522228,0,0,0.0513057,0,0.0215674,0.0640099,0,0,0.0234283,0,0,0.0548055,0.0285746,0.0230329,0.0110875,0.0225655,0.0353373,0.0546239,0.0256609,0.0408622,0.0635978,0.0506188,0.0657756,0.0616841,0.0617281,0.06119,0.012821,0.0366599,0.0143846,0.0147615,0.0256392,0,0.0221025,0.0551259,0.0269977,0,0,0.0193527,0,0,0.0399833,0.0473625,0.0417535,0.0152758,0.0279181,0.0426533,0.0169104,0.0317956,0.0299942,0.0557868,0.0536917,0.0607056,0.0353122,0.0611045,0.0546322,0.0178063,0.00951291,0.00792454,0.0315355,0.0186324,0,0,0,0.0347296,0
21,0,0,0,0,0.0508403,0.0522209,0,0,0.0507094,0,0.0217731,0.0641558,0,0,0.0229653,0,0,0.0546262,0.0290425,0.0229049,0.0108526,0.0230057,0.0347102,0.0541754,0.025487,0.0406942,0.0634392,0.0506051,0.0657485,0.0616445,0.0615629,0.0611006,0.0127345,0.0370023,0.0144105,0.0145736,0.0254378,0,0.0219726,0.0552136,0.027203,0,0,0.0192423,0,0,0.039749,0.0474059,0.04114,0.014984,0.028112,0.042626,0.0169681,0.0316584,0.0306576,0.0560442,0.0537309,0.0613992,0.0363314,0.0615668,0.0512453,0.018013,0.00947916,0.00777136,0.0314758,0.0186205,0,0,0,0.0354647,0
22,0,0,0,0,0.0511371,0.0521959,0,0,0.0503389,0,0.0219263,0.0641078,0,0,0.0224781,0,0,0.0544134,0.0294069,0.0226057,0.0106405,0.0237419,0.0342539,0.0536517,0.0252619,0.040581,0.0638701,0.0504516,0.0657977,0.0616075,0.0615596,0.0610713,0.0125843,0.0373664,0.0144075,0.014375,0.0256907,0,0.0210969,0.0553524,0.02746,0,0,0.0190797,0,0,0.0395295,0.0473774,0.0401065,0.0145972,0.0280696,0.0427297,0.0169686,0.0314675,0.0313564,0.056198,0.0538015,0.0619774,0.0373431,0.0621069,0.0474325,0.0182465,0.00949665,0.007626,0.0314701,0.0185948,0,0,0,0.0362023,0
23,0,0,0,0,0.0517632,0.0522186,0,0,0.0498145,0,0.0221336,0.0640693,0,0,0.021951,0,0,0.0540576,0.0293547,0.022447,0.0106572,0.024042,0.033461,0.0527858,0.0250285,0.0405813,0.0642566,0.0502412,0.0658427,0.0615543,0.0616157,0.0610694,0.0124085,0.0378269,0.0143032,0.0140526,0.0322985,0,0.0209312,0.0557413,0.0280054,0,0,0.0189324,0,0,0.0392906,0.0475473,0,0.014214,0.0321198,0.0428695,0.017167,0.0325329,0.0334914,0.0576178,0.0550057,0.0591241,0.0342933,0.0574445,0.046404,0.0183845,0.00952188,0.00750485,0.0316438,0.0183413,0,0,0,0.0313742,0
24,0,0,0,0,0.0521215,0.0521949,0,0,0.0496692,0,0.0223045,0.0640767,0,0,0.0217217,0,0,0.053744,0.0295099,0.0224321,0.0104371,0.0240559,0.0331029,0.0522093,0.02485,0.0404525,0.0641333,0.0501637,0.0658444,0.0615042,0.0616273,0.0611189,0.0124192,0.0380873,0.014136,0.0138454,0.0336608,0,0.020164,0.0559629,0.028334,0,0,0.0188512,0,0,0.0390934,0.0474574,0,0.0138606,0.0314675,0.0429074,0.0172375,0.0323664,0.0339537,0.0578324,0.0550911,0.0598969,0.0353716,0.0580726,0.0414781,0.0184821,0.00954529,0.00740207,0.0317706,0.0182688,0,0,0,0.0323691,0
25,0,0,0,0,0.0522336,0.052057,0,0,0.0498256,0,0.0225917,0.0641597,0,0,0.0215322,0,0,0.0536057,0.0303205,0.0223375,0.00991338,0.0242375,0.0329558,0.0520476,0.024801,0.0400828,0.0638404,0.0503657,0.0657933,0.0613703,0.0612732,0.0610738,0.0125457,0.0381411,0.0140668,0.0137947,0.0312745,0,0.019045,0.0563,0.0283531,0,0,0.0179685,0,0,0.0395157,0.0469705,0.0355876,0.0130662,0.0266271,0.0427794,0.0165421,0.0312808,0.0328995,0.0566566,0.0541821,0.063615,0.0399543,0.0634198,0.033288,0.0185399,0.00932404,0.00879738,0.0317744,0.0184954,0,0,0,0.038299,0
26,0,0,0,0,0.0526989,0.0521803,0,0,0.0494892,0,0.0227865,0.0640133,0,0,0.0208643,0,0,0.0533527,0.0301745,0.0223852,0.0098913,0.0241147,0.0322831,0.0511578,0.0245866,0.0400918,0.0636294,0.0501017,0.0659058,0.061459,0.06114,0.0611328,0.0124987,0.0386634,0.0141355,0.0135293,0.0377405,0,0.0184247,0.0567242,0.0290773,0,0,0.0190701,0,0,0.0386164,0.0472426,0,0.012813,0.0294849,0.0429557,0.0176218,0.0325391,0.0351191,0.057966,0.0552534,0.0615532,0.0376987,0.059564,0.0300869,0.0187391,0.00971564,0.00667077,0.0320373,0.0180574,0,0,0,0.0342317,0
27,0,0,0,0,0.0526553,0.052091,0,0,0.049831,0,0.0231103,0.0639027,0,0,0.0207553,0,0,0.0533623,0.0312181,0.0223047,0.00923658,0.0242989,0.0323075,0.0510213,0.0246371,0.0396465,0.0633799,0.0503345,0.065848,0.0613705,0.0609751,0.0609157,0.0125589,0.0387528,0.0142093,0.0134876,0.0376498,0,0.0175375,0.0568464,0.0290808,0,0,0.0184053,0,0,0.0389145,0.0468218,0.0325596,0.0117365,0.0246344,0.0427235,0.0171845,0.0317104,0.0342331,0.0565239,0.0545773,0.0650073,0.0417635,0.0645853,0.0226609,0.0187543,0.00964348,0.00758875,0.0319684,0.0182873,0,0,0,0.0396488,0
28,0,0,0,0,0.0529971,0.0521218,0,0,0.0499228,0,0.0233066,0.0636079,0,0,0.0203885,0,0,0.0532351,0.0316884,0.0223114,0.00885144,0.0241454,0.0321746,0.0506557,0.0245704,0.039501,0.0631677,0.0502979,0.0658726,0.0614627,0.0612165,0.0607914,0.0125175,0.0390415,0.0143165,0.0133846,0.0415135,0,0.0163235,0.0571767,0.0294418,0,0,0.0184648,0,0,0.038655,0.0468713,0.0310045,0.0112617,0.023431,0.0426042,0.0173923,0.0320369,0.0344924,0.0562753,0.0550943,0.0658399,0.0426192,0.0652362,0.0178491,0.0189532,0.0099275,0.00716684,0.0320177,0.0181749,0,0,0,0.0405314,0
