Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
58,0,0,0,0,0.0571237,0.049866,0,0,0,0.0446276,0,0.0250498,0.0616926,0,0,0.0188878,0,0,0.0521502,0.0320314,0.0315485,0.0102732,0.0267564,0.0399678,0.0472087,0.0372675,0.050252,0.0672698,0.055104,0.0711692,0.0671707,0.0696462,0.0678999,0.0170139,0.0403962,0.0131191,0.0123775,0.0567253,0,0.0103529,0.0608841,0.0332887,0,0,0.0212454,0,0,0.0384461,0.0484879,0.0231763,0.0139468,0.0178896,0.0364541,0.0183961,0.0404267,0.0165982,0.0483225,0.0586209,0.0694045,0.0265125,0.0460204,0.0628295,0.0212533,0.0155678,0.00880155,0.00735979,0.0321698,0.0153157,0,0,0
59,0,0,0,0,0.0569461,0.049923,0,0,0,0.043161,0,0.0248008,0.0611253,0,0,0.0191292,0,0,0.0523171,0.0318857,0.0326713,0.0107825,0.0246859,0.0401173,0.0477945,0.0364461,0.0514988,0.0669112,0.0541059,0.0709396,0.0675125,0.0698551,0.0680886,0.019483,0.0402218,0.0130392,0.0126751,0.0567201,0,0.0103215,0.0612922,0.0330389,0,0,0.0210447,0,0,0.038567,0.0485583,0.0245412,0.0145081,0.0187256,0.0361297,0.0182991,0.0403699,0.0167461,0.0487089,0.0585437,0.0696037,0.025728,0.0432892,0.0618315,0.0212727,0.0156075,0.00888914,0.00752058,0.0322771,0.0153832,0,0,0
60,0,0,0,0,0.0568244,0.0497895,0,0,0,0.0441077,0,0.0241546,0.0601323,0,0,0.0197372,0,0,0.052305,0.0320685,0.0339781,0.0112431,0.0205753,0.0403128,0.0483139,0.0352604,0.053283,0.0665003,0.0525382,0.0703973,0.0676604,0.0698685,0.0680617,0.0205525,0.0399831,0.0129541,0.0126234,0.0560901,0,0.0104437,0.0619436,0.0327143,0,0,0.0198237,0,0,0.0394288,0.0480307,0.0259621,0.0148024,0.0194045,0.0360555,0.0172336,0.0398668,0.0170951,0.0488482,0.0581742,0.0703179,0.0254057,0.0410622,0.061158,0.0206369,0.0156775,0.0085866,0.00946637,0.0322072,0.0156645,0,0,0
61,0,0,0,0,0.0566761,0.0498646,0,0,0,0.0441231,0,0.0238612,0.0593917,0,0,0.020097,0,0,0.0525133,0.0316843,0.034532,0.0117837,0.0182649,0.0404007,0.0488962,0.0342157,0.054367,0.0662649,0.0509964,0.0695403,0.0671755,0.0699431,0.0681607,0.0220955,0.039772,0.0129752,0.0128115,0.0552476,0,0.0109211,0.0624182,0.0325295,0,0,0.0198413,0,0,0.0394598,0.047767,0.0273709,0.0150105,0.0198428,0.0357619,0.0173448,0.0393336,0.0172383,0.0491138,0.057976,0.0707935,0.0252752,0.0392661,0.0601495,0.0199986,0.0156664,0.00848893,0.00957816,0.0323007,0.0156669,0,0,0
62,0,0,0,0,0.0566055,0.0500507,0,0,0,0.0436976,0,0.0226355,0.0588839,0,0,0.0204581,0,0,0.0527673,0.0311655,0.034245,0.0119192,0.0165848,0.0406349,0.0495632,0.0336034,0.0551918,0.066433,0.0496679,0.0689241,0.066657,0.070159,0.0686259,0.023312,0.0396375,0.0130654,0.0129767,0.0544027,0,0.0116527,0.0627197,0.0323959,0,0,0.0197862,0,0,0.0395165,0.0475165,0.0289251,0.0152669,0.0200258,0.035437,0.0174844,0.0384392,0.0173003,0.0495667,0.0578288,0.0717458,0.0251833,0.0378989,0.0594174,0.019651,0.0157043,0.008582,0.00961144,0.0324535,0.0156633,0,0,0
63,0,0,0,0,0.0565238,0.0502902,0,0,0,0.0417896,0,0.0205607,0.0586929,0,0,0.0207202,0,0,0.0529823,0.0307874,0.0331418,0.0116879,0.0154587,0.0411141,0.0501905,0.0334942,0.0554041,0.0670041,0.0491252,0.0689168,0.0666563,0.0701446,0.0688634,0.0252582,0.0393701,0.0129931,0.0132134,0.0534493,0,0.0126563,0.062764,0.0322558,0,0,0.0201245,0,0,0.0392738,0.0474379,0.0307022,0.0156756,0.0198706,0.0351852,0.018112,0.0381904,0.0171839,0.0497812,0.057737,0.0728786,0.0251185,0.0368643,0.0586716,0.01963,0.0157108,0.00874106,0.00889784,0.0326887,0.0156007,0,0,0
64,0,0,0,0,0.056261,0.0503402,0,0,0,0.0399617,0,0.0186161,0.0586171,0,0,0.0211659,0,0,0.0531451,0.0308506,0.0316267,0.0115607,0.0137165,0.0419139,0.0508702,0.0336395,0.0550323,0.0675978,0.0494066,0.0693794,0.0671885,0.0694843,0.0683299,0.0273993,0.0388905,0.0128277,0.0134232,0.0522011,0,0.0137853,0.0624695,0.0318428,0,0,0.0199743,0,0,0.0394916,0.0474094,0.0326409,0.0160162,0.0193141,0.0352529,0.0182127,0.038259,0.0169701,0.0499328,0.0575092,0.074016,0.0252497,0.0360364,0.0577646,0.0195933,0.0156259,0.00875264,0.00912879,0.0328057,0.0156828,0,0,0
65,0,0,0,0,0.0556525,0.050217,0,0,0,0.039259,0,0.0182742,0.0585288,0,0,0.0218554,0,0,0.0534369,0.0310507,0.030284,0.0114041,0.0112665,0.0428911,0.0517446,0.0337415,0.0544653,0.0677283,0.0498219,0.0699758,0.0677902,0.0685995,0.0674496,0.0285242,0.0383035,0.0128078,0.0136501,0.0505721,0,0.0148495,0.0619018,0.0311521,0,0,0.0200052,0,0,0.039804,0.0472994,0.0345942,0.0161032,0.0186541,0.0359516,0.0183491,0.0377597,0.0167845,0.0502079,0.0572116,0.075231,0.0255939,0.0353133,0.0568323,0.019061,0.0153396,0.00857511,0.00955589,0.0328133,0.0157983,0,0,0
66,0,0,0,0,0.0549321,0.0499244,0,0,0,0.0383343,0,0.0193851,0.0582568,0,0,0.0233691,0,0,0.0534834,0.0309075,0.0304587,0.011133,0.011945,0.0436562,0.0528494,0.0336642,0.0538373,0.0672103,0.0495742,0.0698725,0.067693,0.0673327,0.0662057,0.0292467,0.0376175,0.0126046,0.0136279,0.0486569,0,0.0158073,0.0613857,0.0303604,0,0,0.0196156,0,0,0.0405205,0.0469498,0.0364628,0.0160393,0.0180369,0.0372419,0.0178813,0.0374827,0.0167481,0.050085,0.0570577,0.0764279,0.02584,0.0346492,0.0558731,0.0182323,0.014944,0.00828916,0.0106915,0.0326887,0.0162992,0,0,0
67,0,0,0,0,0.0537419,0.0495901,0,0,0,0.0412725,0,0.0214214,0.0574899,0,0,0.0246192,0,0,0.0541053,0.0305948,0.0323744,0.0118282,0.0188514,0.0430865,0.0539682,0.0320109,0.055432,0.0669103,0.0478301,0.0682484,0.0663929,0.0647009,0.0641607,0.0248755,0.036655,0.0124318,0.0143572,0.0466005,0,0.0166833,0.0614573,0.0294598,0,0,0.0201627,0,0,0.0410839,0.0468474,0.0382364,0.0159036,0.0177169,0.0384198,0.0179219,0.0376449,0.0169541,0.0503524,0.0571994,0.0776356,0.0258483,0.0343893,0.0550681,0.0179898,0.0140702,0.00837493,0.0111309,0.0325914,0.0165979,0,0,0
