Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,
1216,0.072186,0,0,0,0,0.0779355,0,0,0,0,0,0,0.0260722,0.020531,0.0225306,0.0121966,0,0,0.0566349,0,0.0557258,0.0250169,0.0314853,0.0252472,0.0371053,0.0113897,0.0441206,0.0748213,0.00566479,0.00468087,0.0033884,0.0449169,0.0138949,0.0166992,0.0159653,0.0305358,0.0220469,0.0580917,0.0101912,0.0270013,0.0266061,0.0161427,0.0262768,0.015127,0.0504259,0,0,0.0473584,0,0.0372691,0.0154297,0.0439969,0.0262825,0.0346757,0.00716329,0.0421943,0.0874123,0.00967574,0.0302166,0,0.012969,0.0121879,0.042316,0.0151261,0.0107971,0.0228064,0.0585333,0.0667987,0.0172314,0.0756374,0.0453291,0,0,0,0
1217,0.071373,0,0,0,0,0.0774749,0,0,0,0,0,0,0.0260805,0.0206314,0.0224854,0.0121946,0,0,0.0560967,0,0.0556189,0.024577,0.0315419,0.0253804,0.0368221,0.0112857,0.0444349,0.0744086,0.00556084,0.00472205,0.00343227,0.0448676,0.0139459,0.0167628,0.0159758,0.0305368,0.022065,0.0577987,0.0105981,0.0267198,0.0266017,0.0161052,0.0262552,0.0151516,0.0498962,0,0,0.0473011,0,0.0367123,0.0141476,0.0439867,0.0262222,0.0346355,0.00720129,0.0424186,0.0864465,0.009792,0.030259,0,0.0130867,0.0121209,0.0422464,0.0150492,0.0107147,0.0228131,0.0583987,0.0645578,0.0158668,0.0754237,0.0443212,0,0,0,0
1218,0.070564,0,0,0,0,0.0770006,0,0,0,0,0,0,0.0260327,0.0207996,0.0225055,0.0122013,0,0,0.0555636,0,0.0556127,0.0241929,0.031538,0.0254721,0.0367492,0.0113112,0.0447705,0.0739927,0.00546658,0.00469472,0.00343462,0.0447678,0.0139918,0.0168102,0.0159557,0.0305394,0.0220314,0.057465,0.0110292,0.026454,0.0263405,0.016259,0.0260096,0.015128,0.0493846,0,0,0.0465091,0,0.0362484,0.0129852,0.0440328,0.0260015,0.034664,0.00715729,0.0426479,0.0850836,0.00983448,0.0302874,0,0.0131298,0.0121076,0.0421578,0.0149486,0.0106906,0.0224342,0.0578428,0.0619715,0.01441,0.0752068,0.0433214,0,0,0,0
1219,0.0696382,0,0,0,0,0.0764626,0,0,0,0,0,0,0.0260025,0.020887,0.0227077,0.0122203,0,0,0.0552232,0,0.0554523,0.0240047,0.03145,0.0254859,0.0368387,0.011351,0.0450746,0.0735231,0.00541014,0.00461402,0.00346889,0.0446802,0.0140037,0.0168233,0.0159475,0.0305563,0.0220227,0.0574653,0.0114392,0.0263573,0.0261925,0.0165052,0.0258606,0.0151045,0.0487904,0,0,0.045502,0,0.0358691,0.011887,0.044106,0.0258959,0.0347691,0.00705325,0.0428645,0.0835104,0.00981455,0.0303224,0,0.0130462,0.0121333,0.0421327,0.0149412,0.0107119,0.0221353,0.0569729,0.0597829,0.0130333,0.0748259,0.0422517,0,0,0,0
1220,0.0579371,0,0,0,0,0.0635065,0,0,0,0,0,0,0.0249011,0.020832,0.0227138,0.0113704,0,0,0.0556166,0,0.0545117,0.0252416,0.0318096,0.0255468,0.0349108,0.0112788,0.0382765,0.0663502,0.00538482,0.00442697,0.00358139,0.0447565,0.0137731,0.016435,0.0158862,0.0306524,0.0209217,0.0556218,0.0116703,0.0272168,0.0265514,0.0132344,0.0264918,0.0136593,0.0390892,0,0,0.0224548,0,0,0.0296796,0.0436119,0.0266335,0.0324161,0.00780444,0.0369885,0.0520648,0.00998903,0.0300693,0,0.0134616,0.0126482,0.0427725,0.0153159,0.0111014,0.0229202,0.0273944,0.0387632,0.0272296,0.0624567,0.0346704,0,0,0,0
1221,0.0668487,0,0,0,0,0.0747091,0,0,0,0,0,0,0.0259011,0.0209727,0.0229421,0.0122275,0,0,0.0545857,0,0.055003,0.0238901,0.0312541,0.0254075,0.0370613,0.0113182,0.0453593,0.0719668,0.00529925,0.00450111,0.00337148,0.0445118,0.0140658,0.0167821,0.0162633,0.0306098,0.0219575,0.0572328,0.0121926,0.0264026,0.0260652,0.0162542,0.0257581,0.0150486,0.0468023,0,0,0.0434665,0,0.0351612,0.0103341,0.0442919,0.0258909,0.0349094,0.00670812,0.0430674,0.0802303,0.00965216,0.0304002,0,0.0127231,0.0121832,0.0421463,0.0150251,0.0107871,0.0218428,0.0551859,0.0574104,0.011583,0.0732701,0.0396291,0,0,0,0
1222,0.0561488,0,0,0,0,0.062473,0,0,0,0,0,0,0.0248717,0.0208432,0.0225352,0.0114668,0,0,0.0556951,0,0.0541974,0.0253051,0.0315047,0.0253953,0.0352512,0.0112648,0.0382564,0.0655379,0.00527749,0.00424689,0.00344096,0.044571,0.0137713,0.0163735,0.0160048,0.0306474,0.0209262,0.0558296,0.0124168,0.027579,0.0269043,0.0140853,0.0267487,0.0136324,0.0380281,0,0,0.0199672,0,0,0.0290705,0.0438973,0.0268452,0.0326163,0.00740018,0.0369933,0.0494539,0.00978512,0.0300933,0,0.0131571,0.0125716,0.0428139,0.0154266,0.0110129,0.0231941,0.0259032,0.0371218,0.0264464,0.0614727,0.0329012,0,0,0,0
1223,0.0556468,0,0,0,0,0.0618895,0,0,0,0,0,0,0.0248462,0.0208149,0.0224872,0.0114095,0,0,0.0561094,0,0.0542938,0.02546,0.0313563,0.0253216,0.0351598,0.0112992,0.0379254,0.0656572,0.00517164,0.0042144,0.00347435,0.0445129,0.013702,0.0163361,0.015904,0.0306294,0.0209276,0.0562722,0.0128494,0.0278748,0.0270497,0.0145067,0.0268259,0.0136822,0.0377459,0,0,0.019015,0,0,0.0293869,0.0440022,0.0268937,0.0325492,0.00731305,0.0366966,0.048345,0.00981533,0.0301228,0,0.0131896,0.0125296,0.042844,0.0154158,0.0109508,0.0232681,0.0249824,0.0362638,0.0265106,0.0610555,0.0323686,0,0,0,0
1224,0.0544301,0,0,0,0,0.0599614,0,0,0,0,0,0,0.0245828,0.0206591,0.0223837,0.0113335,0,0,0.0561454,0,0.0538367,0.0259378,0.0313191,0.0252945,0.034627,0.0112181,0.036401,0.0646067,0.00508189,0.00421301,0.00359844,0.0444966,0.013625,0.0162476,0.0158197,0.0306443,0.0206841,0.0560307,0.0132641,0.0280746,0.0269099,0.0155963,0.0267266,0.0135693,0.0371988,0,0,0.0146701,0,0,0.0289984,0.0439314,0.0268511,0.032136,0.00746431,0.0353327,0.043634,0.00987884,0.0301169,0,0.0133582,0.0126003,0.0428492,0.0153715,0.0109819,0.0231966,0.0217095,0,0.0270058,0.0591224,0.0315415,0,0,0,0
1225,0.0542703,0,0,0,0,0.0605294,0,0,0,0,0,0,0.024735,0.0206237,0.0223829,0.0113134,0,0,0.055807,0,0.0539605,0.0256577,0.0312907,0.0252941,0.0349196,0.0112143,0.0372479,0.0646149,0.00504543,0.00420884,0.0035859,0.0445237,0.0136471,0.0162877,0.0157951,0.0306011,0.0208421,0.0558189,0.0137496,0.0282956,0.0268202,0.0151267,0.0266487,0.0136718,0.0371742,0,0,0.0168029,0,0,0.0304064,0.043927,0.0268148,0.0323186,0.00738387,0.0361333,0.0451754,0.00995699,0.0300952,0,0.013398,0.0126251,0.0428156,0.0153969,0.0110002,0.0230076,0.0229325,0.0352607,0.0263512,0.0598359,0.0309241,0,0,0,0
