Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,RTHI
1028,0.00447778,0,0,0,0,0.0235178,0,0,0,0,0,0,0.0376643,0.0345572,0.0414285,0.0163071,0,0,0.0718603,0,0.0500745,0.0467908,0.0356455,0.0542554,0.0192697,0.017174,0.0203241,0.0231265,0.013734,0.0170248,0.0126384,0.0399148,0.0143316,0.0189014,0.0246084,0.0215216,0.0483108,0.0491388,0.0323425,0.0369093,0.0118108,0.0356069,0.0161516,0.0148479,0.015145,0,0,0.0584869,0,0.0390006,0.0337842,0.0414441,0.0213667,0.0201294,0.00661941,0.00802737,0.0351897,0.024355,0.0190536,0.0240344,0.0145956,0.0432572,0.0148397,0.0147028,0.0107068,0.0454345,0.0369363,0.0227826,0.0221709,0.0114438,0,0,0,0,0.0215945
1029,0.00452598,0,0,0,0,0.0234813,0,0,0,0,0,0,0.0376519,0.0346031,0.0410322,0.0165582,0,0,0.0719399,0,0.0500175,0.0468687,0.0356793,0.0542396,0.018964,0.0174557,0.0201859,0.023257,0.0138991,0.0173431,0.0128651,0.0397244,0.0140261,0.0181613,0.0243287,0.0211798,0.0483379,0.0490919,0.0323619,0.0369186,0.01182,0.0356032,0.0163051,0.0151276,0.0147268,0,0,0.058531,0,0.0389953,0.0338818,0.0413498,0.0215508,0.0201123,0.00693355,0.00806949,0.0350582,0.0242683,0.0192745,0.0242676,0.0148252,0.0434835,0.015051,0.014909,0.00993083,0.0453082,0.036796,0.0228057,0.0221705,0.0113878,0,0,0,0,0
1030,0.00463434,0,0,0,0,0.0233808,0,0,0,0,0,0,0.0374486,0.0346729,0.0404358,0.0167009,0,0,0.0720561,0,0.0499764,0.0470039,0.0357427,0.0541206,0.0187507,0.0175612,0.0199997,0.0234841,0.0140768,0.0175534,0.0129719,0.0395641,0.0137338,0.0174491,0.0240209,0.0209772,0.0483123,0.049127,0.0323901,0.0369634,0.0116881,0.0356089,0.0163859,0.0153117,0.014418,0,0,0.0585647,0,0.0390095,0.0339497,0.0412869,0.0218651,0.0201541,0.00727403,0.00804757,0.0349835,0.0242094,0.0193731,0.0243894,0.0149714,0.043467,0.0151821,0.0150738,0.00937609,0.0453022,0.0369782,0.0228211,0.0222232,0.0113189,0,0,0,0,0
1031,0.0047285,0,0,0,0,0.0233804,0,0,0,0,0,0,0.0373945,0.0347075,0.0401391,0.0167773,0,0,0.0721719,0,0.0499952,0.0471108,0.035792,0.0541868,0.0185469,0.0175446,0.0198414,0.0236152,0.0142142,0.017704,0.0131983,0.0393377,0.0133035,0.0167319,0.02365,0.0207857,0.048353,0.0492144,0.0324563,0.0370261,0.0115302,0.0355919,0.0163712,0.0154063,0.0142507,0,0,0.0586155,0,0.0390011,0.0338864,0.0412445,0.022071,0.0202832,0.00762845,0.00799988,0.0350131,0.0241661,0.0193488,0.0244213,0.0149958,0.0432973,0.0152129,0.015142,0.00881214,0.045325,0.0366401,0.0228736,0.0223534,0.0113187,0,0,0,0,0.0216604
1032,0.0049112,0,0,0,0,0.0232407,0,0,0,0,0,0,0.0377003,0.0347469,0.0400033,0.0169013,0,0,0.0721293,0,0.0500556,0.0471015,0.0358596,0.0541536,0.0182909,0.0175295,0.0198533,0.0237257,0.0143074,0.017877,0.0134998,0.0391204,0.0127835,0.0161285,0.0233413,0.0205873,0.0485554,0.0491296,0.0325198,0.0370293,0.0115986,0.0355734,0.0165334,0.0156084,0.0141067,0,0,0.0586381,0,0.039005,0.0339408,0.0411737,0.0223688,0.0202419,0.00819165,0.00815109,0.0350688,0.0239467,0.019594,0.0246973,0.0151852,0.0434282,0.0154259,0.0153531,0.00806388,0.0453883,0.0366149,0.0229374,0.0223808,0.0114956,0,0,0,0,0
1033,0.00492794,0,0,0,0,0.0231009,0,0,0,0,0,0,0.0377034,0.0348055,0.0398637,0.0170332,0,0,0.0721519,0,0.0500229,0.0471099,0.0359286,0.0542062,0.0180274,0.0172894,0.0197901,0.0234929,0.0143375,0.017918,0.0134905,0.039049,0.0125098,0.0156295,0.0230972,0.0203716,0.0483818,0.0491588,0.0325422,0.0369688,0.0115317,0.0355653,0.0165538,0.015709,0.0140154,0,0,0.0586272,0,0.0390356,0.0339291,0.0410272,0.0224817,0.020322,0.00858779,0.00798623,0.0351127,0.0239665,0.0195274,0.024592,0.0152238,0.0433334,0.0154786,0.0154209,0.00742267,0.0454778,0.0366652,0.0229809,0.0223412,0.0116053,0,0,0,0,0.022356
1034,0.00506806,0,0,0,0,0.0230458,0,0,0,0,0,0,0.0373611,0.0348501,0.0394145,0.017137,0,0,0.0721788,0,0.0499346,0.0471217,0.0359765,0.0543277,0.0178309,0.0170912,0.0196914,0.0235224,0.0143874,0.0179467,0.0132868,0.0389932,0.012404,0.015405,0.0228344,0.0201029,0.0478236,0.0489776,0.0325136,0.0369679,0.0116479,0.0355442,0.0167349,0.015804,0.0138461,0,0,0.0586395,0,0.0390597,0.0338756,0.0408992,0.0225037,0.0203576,0.00893399,0.00793072,0.0351431,0.0239024,0.0195883,0.0246055,0.0154008,0.0433979,0.0156195,0.0155942,0.00680991,0.0455322,0.0367341,0.0230379,0.0222998,0.0117356,0,0,0,0,0.0224787
1035,0.00526326,0,0,0,0,0.0231139,0,0,0,0,0,0,0.0367942,0.0348806,0.0386369,0.0171632,0,0,0.0721165,0,0.0499283,0.0471282,0.0359468,0.0538581,0.0176739,0.0169189,0.019564,0.0237914,0.0143962,0.0179001,0.0131647,0.0389632,0.012478,0.0154427,0.02275,0.0197403,0.0469612,0.0487977,0.0325123,0.0370278,0.0118858,0.0355376,0.0169082,0.0158135,0.0137108,0,0,0.0586229,0,0.0390509,0.0339639,0.0408161,0.0225994,0.020421,0.00912051,0.00793454,0.0352324,0.023806,0.0196485,0.0246468,0.0155763,0.0434779,0.0157774,0.0157593,0.00632815,0.0455579,0.0367519,0.0230676,0.0223486,0.0118529,0,0,0,0,0.0223885
1036,0.00551876,0,0,0,0,0.0232748,0,0,0,0,0,0,0.0361052,0.0349213,0.0380444,0.01717,0,0,0.0720416,0,0.0498743,0.0471538,0.0358717,0.053201,0.0175764,0.0166975,0.0193896,0.0240723,0.0143973,0.0177332,0.012982,0.0390195,0.0127598,0.0154951,0.0227905,0.0193841,0.0457067,0.0485962,0.0325066,0.0371122,0.0121066,0.0355349,0.0170631,0.0157696,0.0135091,0,0,0.0586674,0,0.0390448,0.0340399,0.0407364,0.0228291,0.0204806,0.0092299,0.00786824,0.0353248,0.0237329,0.0197042,0.0246951,0.0157477,0.0435584,0.0159699,0.0159476,0.00605766,0.0456002,0.0365951,0.0230678,0.0224274,0.0119325,0,0,0,0,0.021996
1037,0.00574219,0,0,0,0,0.0232313,0,0,0,0,0,0,0.0356087,0.0349546,0.0375523,0.0171913,0,0,0.0719818,0,0.0497785,0.0471748,0.0357552,0.052396,0.0175262,0.0163753,0.0193665,0.0242459,0.0143882,0.0175343,0.0125688,0.0391974,0.013112,0.0154301,0.0229849,0.0190764,0.0441882,0.0483982,0.0324815,0.0371443,0.0123763,0.0355157,0.0172114,0.0158283,0.0133202,0,0,0.0587024,0,0.0390464,0.0340288,0.0406572,0.0230379,0.0205294,0.00935098,0.00774385,0.0353545,0.0237129,0.0197554,0.024704,0.0159043,0.0436245,0.0161186,0.0161563,0.0059215,0.0456344,0.0365959,0.023069,0.0225331,0.0119817,0,0,0,0,0.0216789
