Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,RASI,,x80
19,0.106892,0,0,0,0,0.15539,0,0,0,0,0,0,0.0253662,0.0588757,0.00524976,0.0133672,0,0,0.187362,0,0.0654309,0.108648,0.018162,0.0299954,0.04439,0.00706175,0.0576947,0.17509,0.00799717,0.00829783,0.00746281,0.041179,0.010979,0.0103563,0.00910282,0.0235648,0.0358347,0.152928,0.0175438,0.142848,0.0216506,0.0332975,0.024124,0.105456,0,0,0.0621534,0,0.0279739,0.0288586,0.0540614,0.0451461,0.0468987,0.0132177,0.0457753,0.161689,0.00650328,0.0359471,0.00917757,0.00660515,0.0240327,0.0480898,0.0246273,0.0257794,0.0235243,0.0988375,0.0119057,0.0168492,0.151134,0.0635721,0,0,0,0,0,0
20,0.110137,0,0,0,0,0.145216,0,0,0,0,0,0,0.0235638,0.0599154,0.0047549,0.00988341,0,0,0.18928,0,0.0658447,0.109316,0.0156867,0.0290725,0.0399875,0.00732107,0.0476198,0.156271,0.00958387,0.00902283,0.0070504,0.0394021,0.010523,0.00993257,0.00858577,0.0240191,0.0329448,0.144021,0.0178587,0.142751,0.0208432,0.0335516,0.0221654,0.109529,0,0,0.0571538,0,0.0294872,0.0269724,0.0561902,0.0433267,0.0496553,0.0121221,0.0376348,0.152244,0.0104177,0.0377398,0.00908256,0.00941777,0.0215471,0.0459243,0.0223821,0.0235914,0.0226689,0.091779,0.0113242,0.0150376,0.139329,0.0700686,0,0,0,0,0,0
21,0.0783773,0,0,0,0,0.149899,0,0,0,0,0,0,0.0271745,0.0613038,0.00449611,0.0124967,0,0,0.166437,0,0.0629697,0.0980274,0.0177377,0.0283237,0.0419332,0.00673186,0.0547617,0.168988,0.00830631,0.00840932,0.00637772,0.0405213,0.0109791,0.0105654,0.00912265,0.023418,0.0370084,0.14841,0.0150926,0.142496,0.0231344,0.0333441,0.0234854,0.0952203,0,0,0.0558677,0,0.0288517,0.0259739,0.0545262,0.0449617,0.045457,0.0137916,0.0441404,0.158604,0.00706832,0.035743,0.00797587,0.00697921,0.024646,0.0481272,0.0245879,0.0262903,0.0259589,0.093547,0.0130735,0.0149292,0.152162,0.0408473,0,0,0,0,0,0
22,0.10692,0,0,0,0,0.143781,0,0,0,0,0,0,0.0250733,0.0605423,0.00413415,0.00931675,0,0,0.186548,0,0.0653144,0.107681,0.0149507,0.0272161,0.0382187,0.00707036,0.0467115,0.154149,0.0100292,0.00919817,0.00598489,0.0386709,0.0104788,0.0101029,0.00865174,0.0239093,0.0338289,0.143142,0.0179459,0.142465,0.0220884,0.033433,0.0213009,0.108004,0,0,0.0554115,0,0.0297278,0.0262729,0.0569336,0.0419658,0.0491761,0.0125966,0.0375046,0.150674,0.0116453,0.0378292,0.00859057,0.0107393,0.0215419,0.045441,0.0218271,0.0232811,0.0244977,0.0900402,0.0120542,0.0144327,0.138493,0.0674806,0,0,0,0,0,0
23,0.0840369,0,0,0,0,0.151412,0,0,0,0,0,0,0.0287087,0.0610048,0.00433049,0.0128884,0,0,0.169765,0,0.0632439,0.0994968,0.0169371,0.0261876,0.0408017,0.0065054,0.0556214,0.171535,0.00855287,0.00864807,0.00534111,0.0399073,0.0107778,0.010609,0.00906059,0.0234733,0.0379715,0.149961,0.0157901,0.142292,0.0242265,0.0332192,0.0229004,0.0963899,0,0,0.0569346,0,0.028651,0.0259737,0.0552443,0.0431161,0.0455966,0.0146374,0.0459378,0.159145,0.00816338,0.0356371,0.00636771,0.0083029,0.0249385,0.0477025,0.0241386,0.0263982,0.0279035,0.0945074,0.0137333,0.0150715,0.152342,0.0448577,0,0,0,0,0,0
24,0.103676,0,0,0,0,0.142615,0,0,0,0,0,0,0.0261637,0.0609143,0.00355147,0.00881066,0,0,0.18396,0,0.0649678,0.106315,0.0143095,0.0247874,0.0365114,0.00687366,0.0462011,0.152706,0.0100955,0.00926651,0.00507255,0.0382306,0.0102171,0.0100203,0.00844389,0.0240862,0.0342593,0.142644,0.0179259,0.142299,0.0226063,0.0335152,0.0207306,0.106445,0,0,0.0539057,0,0.0300762,0.0249278,0.0576612,0.0394005,0.0486731,0.0134935,0.0377375,0.149557,0.0127851,0.0379293,0.00843261,0.0123005,0.0217373,0.0450089,0.0211834,0.0231631,0.0259259,0.0886683,0.0130159,0.0137265,0.137992,0.064962,0,0,0,0,0,0
25,0.0721125,0,0,0,0,0.148338,0,0,0,0,0,0,0.0295601,0.0624678,0.00404683,0.0120395,0,0,0.159339,0,0.0620929,0.0943675,0.0163213,0.0235266,0.0385981,0.00626628,0.0536483,0.16895,0.00857829,0.00878366,0.00459021,0.0396706,0.0104041,0.0104383,0.00876743,0.0236846,0.0381658,0.147221,0.0147278,0.142427,0.0241483,0.0332751,0.0222426,0.0943906,0,0,0.0537602,0,0.0292721,0.0240894,0.0560266,0.040507,0.0451084,0.0154467,0.0450039,0.15777,0.00937559,0.0356901,0.00630652,0.00991975,0.0251176,0.047437,0.0236887,0.0264105,0.0286895,0.0918075,0.0147387,0.0138123,0.152144,0.0369585,0,0,0,0,0,0
26,0.103718,0,0,0,0,0.143435,0,0,0,0,0,0,0.0273247,0.0609216,0.00327082,0.00880803,0,0,0.182921,0,0.0647784,0.105869,0.013859,0.0222307,0.0354314,0.00667994,0.0468232,0.154318,0.010093,0.00970421,0.00462024,0.0382784,0.00989278,0.00989044,0.00825507,0.0242538,0.0349773,0.143169,0.0178715,0.14255,0.0223156,0.0334645,0.0197954,0.10661,0,0,0.0541513,0,0.02996,0.0248764,0.0584838,0.0361299,0.0485053,0.0144691,0.0388633,0.150259,0.0138935,0.0381371,0.0100538,0.013904,0.0218716,0.0447721,0.0207112,0.0231027,0.0263934,0.0890669,0.0135538,0.0135976,0.138835,0.0649459,0,0,0,0,0,0
27,0.082703,0,0,0,0,0.149116,0,0,0,0,0,0,0.0303958,0.0614775,0.00421266,0.0121228,0,0,0.167787,0,0.062966,0.0985741,0.0158252,0.0209214,0.0378232,0.00603708,0.053929,0.168408,0.00856299,0.00943758,0.00425364,0.0398709,0.00996043,0.0102472,0.00857763,0.0239248,0.0383802,0.148671,0.0157333,0.142313,0.02342,0.033364,0.0215047,0.0966566,0,0,0.054533,0,0.0290419,0.0246316,0.0568652,0.0369882,0.0453565,0.0159626,0.0458446,0.156796,0.0105768,0.0360401,0.00803232,0.0114889,0.0249706,0.0471756,0.0232352,0.0262171,0.0284613,0.0919417,0.0152034,0.0138651,0.150167,0.0447969,0,0,0,0,0,0
28,0.112157,0,0,0,0,0.146376,0,0,0,0,0,0,0.0293707,0.0602789,0.00379384,0.0100547,0,0,0.189644,0,0.0653827,0.109115,0.0140086,0.0198725,0.0355033,0.0062367,0.0495781,0.162297,0.00967443,0.010575,0.00443435,0.0390928,0.0095878,0.0098146,0.00823024,0.0243402,0.036738,0.14815,0.01865,0.142369,0.0221331,0.033433,0.0200736,0.109936,0,0,0.0552515,0,0.0294635,0.0253354,0.0586311,0.0334123,0.0475991,0.0149091,0.0417901,0.151462,0.0135203,0.0377292,0.00995141,0.0140524,0.022749,0.0453638,0.0212746,0.0240088,0.0265333,0.0904781,0.0144547,0.013726,0.139777,0.0712093,0,0,0,0,0,0
