Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUR_B,RTHII,RTHIA,,x82
19,0.0615184,0,0,0,0,0.0808531,0,0,0,0,0,0.00936019,0.0162446,0.00437884,0.0342426,0,0,0.0812916,0,0.0472309,0.040394,0.0268342,0.01026,0.0559773,0.00915692,0.0722094,0.0880522,0.00415215,0.00385352,0.00345291,0.0403397,0.00594881,0.00428024,0.00473861,0.0332388,0.00452525,0.0781241,0.0211721,0.0348991,0.0239364,0.0188357,0.00839209,0.0370995,0.0316294,0,0,0.0507237,0,0.0286526,0.0120661,0.0475209,0.0269433,0.0437073,0.0310627,0.0639831,0.0714316,0.0167182,0.0195303,0.022637,0.0265835,0.0124685,0.0248888,0.0343987,0.0588311,0.0632975,0.00743335,0.0846085,0.0351517,0,0,0,0,0,0,0,0
20,0.0597053,0,0,0,0,0.0794379,0,0,0,0,0,0.00937404,0.015949,0.00440491,0.0340704,0,0,0.0798838,0,0.0468427,0.0403648,0.0267883,0.0103327,0.0558698,0.00909406,0.072051,0.0871041,0.00379874,0.00385445,0.00344486,0.0403277,0.00596862,0.00431561,0.0047804,0.0332454,0.00454226,0.0775807,0.0211503,0.0361521,0.0236245,0.0189198,0.00843778,0.0369385,0.0307919,0,0,0.0497445,0,0.0280518,0.0116166,0.0474443,0.0267158,0.0435064,0.0311607,0.0637724,0.06893,0.0165391,0.0193769,0.0225663,0.026641,0.012387,0.0247265,0.033957,0.057257,0.0599331,0.00730338,0.0833594,0.0335156,0,0,0,0,0,0,0,0
21,0.0578041,0,0,0,0,0.0779313,0,0,0,0,0,0.00949858,0.0157084,0.00443699,0.0338842,0,0,0.0782038,0,0.0460787,0.0402233,0.0267729,0.0103762,0.0557223,0.00911554,0.0718519,0.0860731,0.00367233,0.00384289,0.00343339,0.0403342,0.0059691,0.004358,0.00482902,0.033248,0.00469124,0.0767676,0.0209082,0.0374233,0.0229861,0.0190503,0.00846665,0.036713,0.0299456,0,0,0.048168,0,0.0275236,0.0112146,0.0473467,0.0261124,0.0431378,0.0311153,0.0634209,0.0661686,0.0159611,0.0189669,0.0222049,0.0266903,0.0121281,0.0241856,0.0329892,0.0554828,0.0563034,0.00761996,0.0820038,0.0318465,0,0,0,0,0,0,0,0
22,0.0558163,0,0,0,0,0.0763449,0,0,0,0,0,0.00958954,0.0152275,0.00439118,0.0336368,0,0,0.0760288,0,0.0455018,0.0398892,0.026759,0.0104424,0.0555613,0.00911505,0.0715111,0.0846673,0.00387577,0.00380871,0.00337991,0.0403068,0.00598323,0.00438089,0.00489894,0.0332456,0.00475085,0.0754858,0.0208782,0.0383126,0.0227483,0.0191001,0.00849791,0.0363975,0.0290279,0,0,0.0466626,0,0.0270602,0.0107107,0.0472785,0.0258944,0.0428867,0.0311259,0.0629802,0.0635469,0.0157977,0.0188266,0.0220614,0.0267458,0.0120297,0.0240008,0.0326064,0.0538357,0.0531344,0.0083595,0.0805498,0.0301081,0,0,0,0,0,0,0,0
23,0.0538127,0,0,0,0,0.0747218,0,0,0,0,0,0.00957185,0.0152723,0.00442352,0.0333551,0,0,0.0737964,0,0.0455755,0.0394851,0.0267426,0.0105437,0.0554367,0.00909692,0.0711158,0.082973,0.00400868,0.00375967,0.00335971,0.0402788,0.00602147,0.00441437,0.00493169,0.033211,0.00465306,0.0739714,0.0207678,0.0389209,0.0227224,0.0191545,0.0085304,0.0360772,0.0281086,0,0,0.0450428,0,0.0266962,0.0102042,0.0472129,0.0258762,0.0427184,0.0312187,0.062553,0.0609838,0.0158682,0.018899,0.0220837,0.0267998,0.0120418,0.0240242,0.0325361,0.0520167,0.0504845,0.009251,0.079076,0.0283409,0,0,0,0,0,0,0,0
24,0.0518479,0,0,0,0,0.0729745,0,0,0,0,0,0.0094841,0.0154122,0.00451733,0.0330788,0,0,0.0712948,0,0.0457114,0.0388387,0.0267499,0.0106083,0.0553343,0.00909527,0.0706829,0.0811408,0.00405026,0.003663,0.0032701,0.0402498,0.00607096,0.00446401,0.00495805,0.0331847,0.00446253,0.0722308,0.0204353,0.0392805,0.0226859,0.019224,0.00855701,0.0357188,0.0272224,0,0,0.0433566,0,0.0263986,0.00995896,0.0471555,0.0258493,0.0425567,0.0312632,0.0620942,0.058397,0.0159339,0.0189785,0.0220847,0.0268709,0.0120429,0.0240299,0.0324799,0.0500798,0.0481789,0.00982539,0.0775965,0.0265581,0,0,0,0,0,0,0,0
25,0.0497421,0,0,0,0,0.0713707,0,0,0,0,0,0.00938415,0.0153529,0.00458407,0.0328824,0,0,0.0685716,0,0.045843,0.0380061,0.0267718,0.0106476,0.0551879,0.00903265,0.0703528,0.0789362,0.00401908,0.00363756,0.00321594,0.0402373,0.0061155,0.00451018,0.00500324,0.0332059,0.00428552,0.070044,0.0199892,0.0394018,0.0226363,0.0193992,0.00854726,0.0352995,0.0262926,0,0,0.0415672,0,0.0260827,0.00993406,0.0471165,0.0257959,0.0424126,0.031247,0.0616953,0.0558379,0.0159977,0.0190059,0.0220538,0.0269366,0.012029,0.024004,0.0323944,0.0480628,0.04617,0.0101064,0.0760706,0.0246749,0,0,0,0,0,0,0,0
26,0.0479901,0,0,0,0,0.0700166,0,0,0,0,0,0.00925552,0.0151621,0.00460789,0.0326439,0,0,0.0662585,0,0.0458118,0.0372603,0.0268297,0.0106305,0.054826,0.00890451,0.0698874,0.0771012,0.00395053,0.00363281,0.00320379,0.0402036,0.00608876,0.00451057,0.00503114,0.0332505,0.00413086,0.0680823,0.0195198,0.0395654,0.0227455,0.0198489,0.00857304,0.0348023,0.0254903,0,0,0.0391603,0,0.0261575,0.0103245,0.0470208,0.0259373,0.0421557,0.0312794,0.0611298,0.0530551,0.0162186,0.0191332,0.0221329,0.0270086,0.0120927,0.0241168,0.0325271,0.0457692,0.0432465,0.0101551,0.0746562,0.0230518,0,0,0,0,0,0,0,0
27,0.0463629,0,0,0,0,0.0686933,0,0,0,0,0,0.00920669,0.0149605,0.00464101,0.0323137,0,0,0.0641001,0,0.0459999,0.0364636,0.0268552,0.0105958,0.0545053,0.00883566,0.0693356,0.0753009,0.00388524,0.00367514,0.00317979,0.0401372,0.00604812,0.00452896,0.00504982,0.0332926,0.00404343,0.0660846,0.019099,0.0394857,0.0230985,0.0201609,0.00859185,0.0343529,0.0247747,0,0,0.0373716,0,0.0263287,0.0109283,0.0469832,0.0263163,0.0420623,0.0314216,0.0605766,0.0509229,0.0166082,0.0194421,0.0223903,0.02706,0.0122947,0.0244803,0.0330415,0.0440111,0.0418061,0.0100129,0.0733156,0.0216356,0,0,0,0,0,0,0,0
28,0.0449669,0,0,0,0,0.0674724,0,0,0,0,0,0.00924657,0.0147383,0.00478689,0.0319821,0,0,0.0619552,0,0.0463429,0.0356584,0.0268475,0.0106036,0.0542373,0.0087859,0.0688346,0.0735889,0.00389055,0.0037307,0.00315981,0.040109,0.00604865,0.00455135,0.00506735,0.0332842,0.00403909,0.064178,0.0187947,0.0393132,0.0232964,0.0202047,0.00859523,0.0341894,0.0242528,0,0,0.0359244,0,0.0264763,0.011466,0.0469852,0.0264608,0.0419436,0.031523,0.0600983,0.0492916,0.0167175,0.0195894,0.0224955,0.0270921,0.0124041,0.0246491,0.0333368,0.0426368,0.0416671,0.00984876,0.0721454,0.0205237,0,0,0,0,0,0,0,0
