Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,RASI,x79,,x90
19,0.0602371,0,0,0,0,0.0536691,0,0,0,0,0,0,0.0246634,0.052213,0.00649478,0.00387138,0,0,0.0768849,0,0.0564298,0.0417665,0.0275273,0.00636458,0.0417966,0.00510344,0.0153772,0.0673856,0.00603287,0.00478697,0.0102154,0.0404212,0.00315931,0.00423236,0.00327405,0.0305118,0.0260894,0.0604181,0.0207079,0.0268253,0.0192677,0.0406431,0.0186091,0.0549528,0,0,0.0259885,0,0.0385062,0.0142971,0.0516301,0.016397,0.0298703,0.0101949,0.00711046,0.0572082,0.00567834,0.0354787,0.0102526,0.00563948,0.0191808,0.0474779,0.0187745,0.0200919,0.0290953,0.0302624,0.0232206,0.0167744,0.0472985,0.0387981,0,0,0.00358517,0,0,0
20,0.0605784,0,0,0,0,0.0541964,0,0,0,0,0,0,0.0248548,0.0522471,0.00634312,0.00409722,0,0,0.076851,0,0.0565349,0.0417956,0.0275308,0.00727247,0.041865,0.00528904,0.0152588,0.0672877,0.00614126,0.00484017,0.0101018,0.0403603,0.00345125,0.00427297,0.00370754,0.030386,0.0264759,0.0602955,0.0206617,0.026924,0.0195452,0.0406318,0.019661,0.0555299,0,0,0.0261367,0,0.038596,0.0141668,0.0515208,0.0179093,0.0300074,0.0101008,0.0070711,0.0582823,0.00559825,0.0355835,0.00997995,0.00563028,0.0202864,0.0480163,0.0197741,0.0213621,0.0290166,0.0307421,0.0231853,0.01665,0.0478015,0.0389612,0,0,0.00337612,0,0,0
21,0.0609814,0,0,0,0,0.054854,0,0,0,0,0,0,0.025004,0.0522041,0.00624597,0.00428804,0,0,0.0768976,0,0.056574,0.0418443,0.0275284,0.00829169,0.0419409,0.0055753,0.0151691,0.0672561,0.00617626,0.0049082,0.0100162,0.0403286,0.00379564,0.00434606,0.00419371,0.0302746,0.0267956,0.0602077,0.020552,0.0270944,0.0197873,0.0406025,0.0203216,0.0561978,0,0,0.0263631,0,0.0386349,0.0141432,0.0514115,0.0189645,0.030062,0.0100236,0.00705141,0.0595116,0.00551829,0.0356252,0.00976279,0.00548133,0.021024,0.0483823,0.0204368,0.0222325,0.0288868,0.0312484,0.0231193,0.0165788,0.0484136,0.0391571,0,0,0.00328208,0,0,0
22,0.0614615,0,0,0,0,0.0556448,0,0,0,0,0,0,0.0249796,0.0521405,0.00600064,0.00446837,0,0,0.0770138,0,0.05659,0.0418724,0.0274033,0.00939943,0.0420327,0.00586866,0.0151093,0.0673138,0.00623643,0.00487102,0.00993589,0.0402415,0.00417436,0.00460126,0.00464836,0.0301388,0.0270733,0.0601553,0.0204278,0.0272856,0.0196864,0.040636,0.0206534,0.0569456,0,0,0.026654,0,0.0387508,0.0141902,0.0513663,0.0195153,0.0298834,0.00997832,0.00695537,0.0608099,0.00530984,0.0355665,0.00956,0.00532558,0.0214553,0.0486077,0.0207949,0.0226885,0.0285231,0.0317756,0.0231596,0.0165422,0.0491672,0.0394264,0,0,0.00319115,0,0,0
23,0.0619856,0,0,0,0,0.0565069,0,0,0,0,0,0,0.0247984,0.0521617,0.00582491,0.00464213,0,0,0.0770962,0,0.0566456,0.0418724,0.0273371,0.0106192,0.0421165,0.00609713,0.0151191,0.0674227,0.00628258,0.00480998,0.0098449,0.0401807,0.00456365,0.0049333,0.00511393,0.0299717,0.0272438,0.0601479,0.0203447,0.0274235,0.0194207,0.0406732,0.0207155,0.0577639,0,0,0.0269644,0,0.0388746,0.0142764,0.0512277,0.019584,0.0298649,0.00995253,0.00688289,0.0621694,0.00505,0.0354722,0.00948937,0.00514562,0.0216032,0.0486597,0.020857,0.0228476,0.0280812,0.0323017,0.023212,0.0165258,0.0500058,0.0396775,0,0,0.00323675,0,0,0
24,0.0626061,0,0,0,0,0.05752,0,0,0,0,0,0,0.0244219,0.0521699,0.00575225,0.00483541,0,0,0.0771449,0,0.0566902,0.0419207,0.0272376,0.0118425,0.0421799,0.00628024,0.0151448,0.0676658,0.00635822,0.00473539,0.00971604,0.0401098,0.00493081,0.00521736,0.00554754,0.0298122,0.0271931,0.0602717,0.0202471,0.0275824,0.0190343,0.0407097,0.0205353,0.058647,0,0,0.027361,0,0.0389496,0.0143937,0.0510795,0.0195352,0.0297278,0.00984675,0.00676886,0.063697,0.00485286,0.0353092,0.00956843,0.00497632,0.0214471,0.0485436,0.0207736,0.0226831,0.0275783,0.0329387,0.0232305,0.0165146,0.0509973,0.0399483,0,0,0.00331426,0,0,0
25,0.0632945,0,0,0,0,0.0586627,0,0,0,0,0,0,0.0237991,0.0520633,0.00559697,0.00505167,0,0,0.0771949,0,0.0566812,0.0420844,0.0271084,0.0131404,0.0422106,0.00643359,0.0151631,0.0680344,0.0064525,0.00450665,0.00955526,0.0400128,0.00527435,0.00542932,0.00594999,0.0296529,0.0268352,0.0605454,0.0200811,0.0278518,0.018526,0.0407007,0.020074,0.0595782,0,0,0.027817,0,0.0389386,0.0145278,0.0509427,0.0199114,0.0294638,0.00959416,0.00665612,0.0653183,0.00473006,0.0350556,0.00976342,0.00486037,0.0209498,0.0483196,0.0203339,0.0221002,0.0272242,0.0336848,0.023302,0.0164818,0.0521003,0.0402763,0,0,0.00338506,0,0,0
26,0.0640317,0,0,0,0,0.0597534,0,0,0,0,0,0,0.0229152,0.0519334,0.00546726,0.00538103,0,0,0.0774125,0,0.0567121,0.0422996,0.0270401,0.0144948,0.0422126,0.00655999,0.0150098,0.0685399,0.00647264,0.00425413,0.00932378,0.0399254,0.00560317,0.00556227,0.00631394,0.0294787,0.0261275,0.0609053,0.0199425,0.0281432,0.0180485,0.0407086,0.0193494,0.0605934,0,0,0.028431,0,0.0388843,0.0148215,0.0507406,0.0204061,0.0295117,0.00934986,0.00648646,0.0670448,0,0.0348453,0.00986911,0.00473739,0.0202056,0.0478804,0.0196079,0.0212525,0.0268696,0.0346658,0.0232855,0.0165113,0.0531218,0.0407909,0,0,0.00331097,0,0,0
27,0.0624881,0,0,0,0,0.0584253,0,0,0,0,0,0,0.0223747,0.0519399,0.00545171,0.00573458,0,0,0.0769706,0,0.0568575,0.0419666,0.0271548,0.0159327,0.0421277,0.00661624,0.0149239,0.0672875,0.00641228,0.00407574,0.00909682,0.0398751,0.00592581,0.00572161,0.00669607,0.0293207,0.0258369,0.0601936,0.0199817,0.0280096,0.0173939,0.0407664,0.0182172,0.059301,0,0,0.0280525,0,0.0388763,0.0146659,0.0503869,0.0199998,0.0295372,0.0093235,0.00642109,0.0658858,0.00445527,0.0343319,0.0105452,0.00470306,0.0192592,0.0474373,0.018755,0.0201554,0.02642,0.0340527,0.0230558,0.0163013,0.0519439,0.0397855,0,0,0.00323071,0,0,0
28,0.0610809,0,0,0,0,0.0572027,0,0,0,0,0,0,0.0217369,0.051985,0.00561977,0.00610451,0,0,0.0765472,0,0.0569784,0.0416641,0.0271982,0.0175228,0.0420187,0.00664706,0.0147739,0.0661529,0.00635683,0.00387551,0.00890161,0.0397693,0.00629133,0.00599983,0.00713039,0.0291793,0.0254725,0.0595385,0.0200251,0.0278835,0.0167184,0.0408561,0.0171866,0.0580748,0,0,0.0276606,0,0.0389462,0.0143818,0.050105,0.0198352,0.0295029,0.00953651,0.00631115,0.064794,0.00419039,0.0340159,0.0107941,0.00460244,0.0182944,0.0467531,0.0177388,0.0191353,0.0258316,0.0334453,0.0228774,0.0160858,0.0508691,0.0389245,0,0,0.00311916,0,0,0
