Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,x75
19,0.050628,0,0,0,0,0.0764942,0,0,0,0,0,0,0.00856895,0.0224071,0.00630238,0.0271933,0,0,0.0460395,0,0.0534364,0.0276802,0.0272137,0.0044545,0.0559683,0.00490565,0.0709801,0.0715517,0.00457599,0.00532028,0.0042176,0.0397149,0.00273067,0.004523,0.000810302,0.0336371,0.0131323,0.0503506,0.00783486,0.0215582,0.0133769,0.0199028,0.0073162,0.0300071,0.0267639,0,0,0.047379,0,0.0273246,0.0144292,0.0497795,0.0141496,0.0421668,0.0070092,0.0623517,0.0651255,0.00650601,0.0296465,0.00442959,0.00757693,0.00461422,0.03506,0.00552685,0.00597698,0.0215398,0.0543078,0.0641266,0.0126707,0.0806781,0.0247647,0,0,0,0,0
20,0.0493905,0,0,0,0,0.0757767,0,0,0,0,0,0,0.00862178,0.0230205,0.0063211,0.0270774,0,0,0.0445754,0,0.0536656,0.0257577,0.0272166,0.00443811,0.0556341,0.00488615,0.0709297,0.0697094,0.00459212,0.00540351,0.00421081,0.0396721,0.00287952,0.00459597,0.000821475,0.0336417,0.0131788,0.0488639,0.0088705,0.0191829,0.0132688,0.0200223,0.00725053,0.0299445,0.0264912,0,0,0.0465372,0,0.0265777,0.0147253,0.0497619,0.0140943,0.0419586,0.00699834,0.0621403,0.0630455,0.00644428,0.0296737,0.0044238,0.0077316,0.00461418,0.0351172,0.00554201,0.00594746,0.0214778,0.0529774,0.0620082,0.0125827,0.080231,0.0235679,0,0,0,0,0
21,0.0483195,0,0,0,0,0.0750555,0,0,0,0,0,0,0.0085037,0.0233936,0.00635127,0.026919,0,0,0.0433781,0,0.0539556,0.0242715,0.027195,0.00440482,0.0553294,0.00486659,0.0705989,0.068182,0.00460694,0.00540466,0.00419189,0.0396321,0.00296842,0.00462311,0.000846965,0.0336622,0.0130523,0.0476789,0.0099083,0.017549,0.0130975,0.02038,0.00719719,0.0297435,0.0262182,0,0,0.0450638,0,0.0259873,0.0149746,0.0497663,0.0139385,0.0418581,0.00690896,0.0617822,0.0605071,0.00638375,0.0295816,0.00432929,0.00771417,0.00462586,0.0351425,0.00557447,0.00591664,0.0214387,0.0512203,0.0582917,0.0124512,0.0796232,0.0225087,0,0,0,0,0
22,0.0473517,0,0,0,0,0.0743434,0,0,0,0,0,0,0.00845559,0.0233974,0.00635272,0.0266613,0,0,0.0425321,0,0.0542036,0.0230892,0.0271487,0.0043658,0.0552285,0.00483218,0.0701781,0.0669679,0.00467104,0.00545161,0.00417703,0.0395447,0.00302781,0.00467135,0.000888812,0.0337048,0.0130192,0.0468876,0.0109007,0.0166489,0.0128899,0.0204818,0.00709111,0.0294315,0.0260547,0,0,0.0438967,0,0.0256086,0.0151854,0.0497176,0.0137326,0.0418883,0.00673137,0.0614968,0.0586513,0.00627938,0.0296177,0.00422678,0.00758907,0.00464508,0.0351954,0.00559956,0.00587006,0.0211652,0.05001,0.0563135,0.012515,0.0789834,0.0215786,0,0,0,0,0
23,0.0455903,0,0,0,0,0.0727177,0,0,0,0,0,0,0.00840099,0.0237069,0.00631838,0.026238,0,0,0.0417214,0,0.05421,0.0221042,0.0270835,0.00431218,0.0549164,0.00478085,0.0693959,0.0651087,0.00470444,0.00553909,0.00412437,0.0394361,0.0030393,0.00467408,0.000920989,0.0337372,0.0130004,0.0458527,0.0118036,0.0156852,0.0128375,0.0189834,0.00715851,0.0290101,0.0254441,0,0,0.0430443,0,0.0262528,0.0152761,0.0497128,0.0135756,0.0418068,0.00693903,0.0607926,0.0560034,0.00633364,0.0297394,0.00438334,0.00768825,0.00473374,0.0352746,0.00556595,0.00581319,0.0208845,0.0485214,0,0.0116131,0.0775072,0.0204235,0,0,0,0,0
24,0.0447051,0,0,0,0,0.0720617,0,0,0,0,0,0,0.00838616,0.0238487,0.00626866,0.0260718,0,0,0.0410657,0,0.0542643,0.0211152,0.0270477,0.00432877,0.0547536,0.00474331,0.0690299,0.0639117,0.00468978,0.00566381,0.00406307,0.0394006,0.00302914,0.00465116,0.000872084,0.0337439,0.0129935,0.0451853,0.0125341,0.0150789,0.0128067,0.0190961,0.00720491,0.0288695,0.0255129,0,0,0.0421325,0,0.0261419,0.0156738,0.0496962,0.0134607,0.041736,0.00713588,0.0603963,0.0547557,0.00633823,0.0298274,0.0045189,0.00770076,0.00479723,0.0353295,0.00553427,0.00578047,0.0206596,0.0475583,0,0.0120895,0.0768652,0.0197595,0,0,0,0,0
25,0.043805,0,0,0,0,0.071342,0,0,0,0,0,0,0.00828776,0.0240277,0.0062763,0.0259173,0,0,0.0405721,0,0.0543841,0.0201457,0.0270417,0.0042559,0.0544739,0.00474405,0.0685532,0.0627508,0.00470276,0.0056851,0.00407796,0.0393406,0.00305933,0.00461911,0.000883622,0.0337829,0.0128471,0.0445631,0.0134233,0.0144252,0.0127457,0.0192788,0.00719734,0.0286587,0.0255251,0,0,0.0410396,0,0.0260194,0.0159945,0.0496966,0.0133634,0.0415998,0.00718503,0.0598871,0.0535032,0.00630449,0.0298454,0.0045463,0.00766033,0.0048288,0.0353881,0.00549902,0.00575478,0.0205091,0.046517,0,0.0125475,0.0761654,0.0192118,0,0,0,0,0
26,0.0429955,0,0,0,0,0.0706588,0,0,0,0,0,0,0.00823039,0.0241268,0.00633227,0.0256769,0,0,0.0402396,0,0.0545121,0.0194182,0.0270393,0.00420985,0.0542386,0.00475091,0.0679679,0.0617292,0.00470155,0.0056475,0.0041364,0.0393008,0.00309264,0.00463988,0.000923881,0.0338269,0.012703,0.0440685,0.0142381,0.0140815,0.0126345,0.0193773,0.00713862,0.0283612,0.0255203,0,0,0.0400006,0,0.0259094,0.0162843,0.0496805,0.0132353,0.0414898,0.00715305,0.059277,0.0523372,0.00626056,0.0297765,0.00451609,0.0075954,0.00482065,0.0354239,0.0054406,0.00570872,0.0204306,0.0456295,0,0.0129694,0.0754005,0.0187969,0,0,0,0,0
27,0.0422175,0,0,0,0,0.0698589,0,0,0,0,0,0,0.00818082,0.0242134,0.00620599,0.0254052,0,0,0.0399075,0,0.0547087,0.0188886,0.0270375,0.00425229,0.0540212,0.00471868,0.0673257,0.0605447,0.00470659,0.00558096,0.00413717,0.0393517,0.00305758,0.0046488,0.000932458,0.0338282,0.0125531,0.0434128,0.0147265,0.013937,0.0125511,0.0194664,0.00714178,0.028013,0.0255357,0,0,0.0390966,0,0.0258365,0.0165507,0.049649,0.0130828,0.041387,0.00714202,0.0586211,0.0513922,0.0062226,0.0296825,0.00450449,0.00759054,0.00479906,0.0354254,0.00539794,0.00567137,0.020375,0.0448555,0,0.0133604,0.0745708,0.0184248,0,0,0,0,0
28,0.0424354,0,0,0,0,0.0700334,0,0,0,0,0,0,0.00816679,0.0242471,0.00618711,0.025374,0,0,0.0398453,0,0.0548909,0.0182817,0.0270478,0.00440303,0.0539684,0.00463304,0.0670865,0.0601987,0.00468795,0.00548191,0.00397912,0.0394662,0.00296711,0.00459754,0.00089948,0.0337446,0.0125921,0.0433764,0.0148838,0.0140534,0.0124896,0.020976,0.00707475,0.0278436,0.0260593,0,0,0.0385623,0,0.0249456,0.0172583,0.0496369,0.0129346,0.0413078,0.0070975,0.0583813,0.0515238,0.00614442,0.0297535,0.00448668,0.00760288,0.0047973,0.0354302,0.00538611,0.00564783,0.0201283,0.0447161,0.0545579,0.014685,0.0747048,0.0184325,0,0,0,0,0
