Timestep,C7,CBL,CBR,CFL,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,CFR
1840,0.00667374,0,0,0,0.0260921,0,0,0,0,0,0,0.037641,0.0348485,0.0500566,0.0247686,0,0,0.0716011,0,0.0462989,0.0475162,0.0335289,0.0592979,0.0147541,0.0149067,0.0345429,0.0170881,0.0100642,0.00972733,0.00993792,0.0414746,0.0154301,0.0221774,0.0268087,0.0242756,0.0564904,0.0508975,0.0275414,0.036235,0.0200379,0.0337392,0.0231375,0.0317781,0.020409,0,0,0.0722876,0,0.0370844,0.036839,0.044514,0.0382648,0.0215442,0.014387,0.0176635,0.0440269,0.0192723,0.0268001,0.0145916,0.0201122,0.01669,0.0196432,0.0159427,0.0210455,0.0222762,0.0595743,0.0286029,0.0221034,0.0267763,0.0142022,0,0,0,0
1841,0.00704911,0,0,0,0.0264236,0,0,0,0,0,0,0.038203,0.0348829,0.0506095,0.0241298,0,0,0.0716804,0,0.0464196,0.0475193,0.0341503,0.0605301,0.0149491,0.0149414,0.0340275,0.0171613,0.00974759,0.0100119,0.0100387,0.0413991,0.0156114,0.0225529,0.0268583,0.0245863,0.0572573,0.0511778,0.0276762,0.0360996,0.0209398,0.0337831,0.0236261,0.0304648,0.020512,0,0,0.0720386,0,0.0371247,0.0364948,0.0441798,0.0381777,0.0214661,0.0155109,0.0172601,0.0439693,0.0194341,0.0262464,0.0146304,0.0203362,0.0163264,0.0203961,0.0153721,0.0205556,0.0237663,0.0592854,0.0288249,0.0220018,0.0267944,0.0141562,0,0,0,0
1842,0.00742139,0,0,0,0.0266609,0,0,0,0,0,0,0.0387122,0.0349207,0.0511877,0.0236116,0,0,0.0718559,0,0.0465758,0.0475756,0.034757,0.0618936,0.0150596,0.0150187,0.0334094,0.0172495,0.00923802,0.0101299,0.0104266,0.0414059,0.0158069,0.0228867,0.0268802,0.0248897,0.0579847,0.0515043,0.0278129,0.0359896,0.0215367,0.0337803,0.02373,0.0292926,0.0205453,0,0,0.071682,0,0.0371273,0.0362798,0.0439162,0.0378146,0.0213197,0.0167535,0.0169204,0.0437876,0.0196798,0.0256223,0.0147556,0.020748,0.0157209,0.0210327,0.0148693,0.0197476,0.024715,0.0589566,0.02892,0.0218338,0.0267895,0.0141165,0,0,0,0
1843,0.00771957,0,0,0,0.0267766,0,0,0,0,0,0,0.0395245,0.0349276,0.0519508,0.0233113,0,0,0.0721648,0,0.0467412,0.0477075,0.0353036,0.0633863,0.0149899,0.015214,0.0327783,0.0173481,0.00875404,0.00985385,0.0109411,0.0416158,0.01596,0.0232956,0.0269073,0.025126,0.0588923,0.051885,0.0278989,0.0359008,0.0220303,0.0338064,0.0237561,0.0284846,0.0204559,0,0,0.0713627,0,0.0371527,0.0362928,0.0437352,0.0375059,0.0211831,0.0178045,0.0166301,0.0434417,0.0200439,0.024907,0.0150917,0.0213793,0.014993,0.0215555,0.0144659,0.018871,0.0253056,0.0584503,0.0290182,0.0216923,0.0267512,0.0140465,0,0,0,0
1844,0.00801636,0,0,0,0.026827,0,0,0,0,0,0,0.0403641,0.0349075,0.052775,0.0231566,0,0,0.072529,0,0.046879,0.0478585,0.0357979,0.0649028,0.0148868,0.015373,0.0322413,0.0173724,0.00832941,0.00908223,0.0115015,0.0418022,0.0161131,0.0237678,0.0269224,0.0254272,0.0597401,0.0522905,0.0279244,0.0357936,0.022102,0.0338753,0.0233034,0.0279863,0.0203521,0,0,0.0709452,0,0.0372253,0.0361301,0.0437659,0.036441,0.0210713,0.0179566,0.0164211,0.0430318,0.0203964,0.0239698,0.0155704,0.0219154,0.0139221,0.0222256,0.0138397,0.0176029,0.0253837,0.0578911,0.0293393,0.0216299,0.0267554,0.0139829,0,0,0,0
1845,0.00826711,0,0,0,0.0268618,0,0,0,0,0,0,0.0412198,0.0349132,0.0536847,0.0230727,0,0,0.0729128,0,0.0470145,0.0479832,0.036271,0.0661758,0.0148734,0.0153916,0.0318378,0.0173575,0.00795495,0.00850465,0.0120434,0.0414804,0.0163781,0.0242579,0.0269917,0.0257797,0.0605312,0.0526637,0.0278886,0.0356928,0.0220849,0.0339607,0.0228532,0.0278797,0.0202682,0,0,0.0705631,0,0.0373066,0.0358619,0.0438568,0.0350745,0.0210046,0.0174595,0.0162974,0.0426039,0.020639,0.0231813,0.0159159,0.0223069,0.0130312,0.0229831,0.0132322,0.0165993,0.0254239,0.0573774,0.0297922,0.0216087,0.0268099,0.0138885,0,0,0,0
1846,0.0084564,0,0,0,0.0268689,0,0,0,0,0,0,0.0417318,0.0349441,0.0543852,0.0229776,0,0,0.0732402,0,0.0471999,0.0480498,0.0367182,0.0671608,0.0150312,0.0151683,0.0315784,0.0172261,0.00753267,0.00845397,0.0124081,0.0407064,0.0167656,0.0248132,0.0271424,0.0263196,0.0608439,0.0529513,0.0278555,0.0355751,0.0222524,0.033984,0.0227096,0.0279616,0.0202376,0,0,0.0702958,0,0.0373177,0.0354221,0.0439221,0.0334739,0.0209162,0.0166441,0.0162738,0.0421374,0.0206394,0.0227462,0.0159882,0.0224664,0.012304,0.0238342,0.0126315,0.0158697,0.0259731,0.0568624,0.0299835,0.0214713,0.0268654,0.0138019,0,0,0,0
1847,0.00858011,0,0,0,0.0268694,0,0,0,0,0,0,0.0428628,0.0348502,0.0556643,0.0228061,0,0,0.0736275,0,0.0473493,0.0481115,0.0370218,0.0683889,0.0152435,0.0151868,0.0313244,0.0171758,0.00705636,0.00925072,0.0131625,0.0404158,0.0171158,0.0254098,0.0273703,0.0267899,0.0613752,0.0531794,0.0277938,0.0353439,0.0231283,0.0340103,0.023392,0.0280287,0.0201128,0,0,0.0698928,0,0.0373216,0.0353221,0.0439413,0.0322836,0.0209007,0.016458,0.0161634,0.041622,0.0205564,0.0224874,0.0159732,0.0225932,0.0117527,0.0247198,0.0121489,0.0154775,0.0269854,0.0563182,0.0301082,0.0213697,0.0268902,0.0136169,0,0,0,0
1848,0.00870562,0,0,0,0.0268788,0,0,0,0,0,0,0.0440159,0.0347481,0.0570327,0.0225569,0,0,0.0740101,0,0.0474984,0.0481526,0.0373222,0.0702445,0.0154921,0.0152825,0.0311296,0.0171245,0.00664097,0.00986756,0.0141907,0.0404743,0.0176741,0.0260672,0.0276276,0.0274062,0.0616177,0.0534308,0.0277153,0.0350176,0.0242618,0.0340614,0.0242354,0.0279406,0.0199784,0,0,0.0694149,0,0.0373591,0.0353623,0.0438084,0.0311082,0.020975,0.0168102,0.0160786,0.041149,0.0204484,0.022372,0.0160384,0.0227484,0.0113392,0.025702,0.0115727,0.0151268,0.0280772,0.0558016,0.030404,0.0213428,0.0269017,0.0133938,0,0,0,0
1849,0.00884569,0,0,0,0.0269413,0,0,0,0,0,0,0.0452728,0.034679,0.0583881,0.0222118,0,0,0.074388,0,0.0476823,0.0481756,0.0375692,0.0725874,0.0158019,0.0153982,0.0309648,0.0170426,0.00620545,0.01002,0.0153979,0.0406528,0.0183054,0.0267943,0.0278918,0.0280486,0.0617478,0.0537433,0.0276267,0.0347166,0.0254051,0.0341217,0.0249997,0.0276664,0.0198977,0,0,0.0691003,0,0.0373997,0.0351681,0.0435984,0.03012,0.0211847,0.0176168,0.0160322,0.0407923,0.0203899,0.022132,0.0163189,0.0230612,0.0109222,0.026837,0.010867,0.0145183,0.0292347,0.055407,0.0306254,0.0213879,0.0269169,0.013171,0,0,0,0
