Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,IMUR_M,RFIN,L5FT
19,0.0520075,0,0,0,0,0.0595797,0,0,0,0,0,0.0502037,0.0245304,0.0426069,0,0,0.0725595,0,0.0550944,0.0348255,0.0444006,0.0178653,0.0171728,0.0149411,0.0487468,0.0584586,0.0156839,0.0131447,0.0159487,0.0583278,0.0102299,0.013581,0.00871255,0.0246554,0.0529728,0.0572806,0.0226164,0.0161375,0.0186103,0.0157266,0.0187172,0.204471,0.0539858,0,0,0.0706444,0,0.0562922,0.062602,0.0272186,0.0222247,0.00272303,0.0352443,0.0744868,0.0151326,0.0352806,0.0140325,0.00859779,0.00855975,0.0227403,0.00991487,0.00754329,0.0134692,0.0505486,0.084675,0.0271482,0.0563296,0.0383147,0,0,0,0,0,0,0
20,0.0511654,0,0,0,0,0.0590284,0,0,0,0,0,0.0502296,0.0246328,0.0427529,0,0,0.0727125,0,0.0551243,0.0349592,0.044215,0.0177859,0.0173177,0.014597,0.0494577,0.0584049,0.0154035,0.0131662,0.0157513,0.0581299,0.00996824,0.0135377,0.00874669,0.0247307,0.0541672,0.0577052,0.0226018,0.0162735,0.016402,0.0157543,0.019368,0.204791,0.0531591,0,0,0.0707831,0,0.0564862,0.0619614,0.0283715,0.0222504,0.00369547,0.0356343,0.0737021,0.0150866,0.0354682,0.013945,0.00858365,0.00775643,0.0235805,0.00935789,0.00714095,0.0108898,0.0503667,0.0843417,0.0272095,0.0558658,0.0377292,0,0,0,0,0,0,0
21,0.0499992,0,0,0,0,0.0580486,0,0,0,0,0,0.0502659,0.0247547,0.0428892,0,0,0.0729821,0,0.0551545,0.0351448,0.0439848,0.0175502,0.0174432,0.0142131,0.0502432,0.0585658,0.0150043,0.0132339,0.0155324,0.0579362,0.00969643,0.0133649,0.00873321,0.0248046,0.055353,0.0582875,0.0225605,0.0164438,0.0142336,0.0158395,0.0199015,0.205078,0.0516349,0,0,0.071068,0,0.056657,0.0614514,0.0296284,0.022173,0.00484105,0.0360284,0.0723129,0.0149262,0.0355952,0.0136809,0.00842457,0.0073308,0.0243171,0.00900272,0.00747534,0.0093551,0.0502232,0.0840204,0.0272884,0.0549612,0.036888,0,0,0,0,0,0,0
22,0.0484493,0,0,0,0,0.0564883,0,0,0,0,0,0.0502996,0.0249495,0.0430149,0,0,0.0733718,0,0.0551735,0.0353692,0.0437435,0.0171864,0.0175802,0.0137873,0.0510465,0.058943,0.0145198,0.0133429,0.0153612,0.0577719,0.00937743,0.013226,0.00866316,0.0248738,0.0564906,0.0589879,0.0224882,0.0166021,0.0121501,0.0160072,0.0203526,0.205334,0.049329,0,0,0.0714106,0,0.0568132,0.0610932,0.0308292,0.0220879,0.00603812,0.0364548,0.0701478,0.0146462,0.035691,0.0131239,0.00807319,0.00731368,0.0249879,0.00888882,0.00846232,0.00895235,0.0499702,0.0836197,0.0274567,0.05344,0.0356619,0,0,0,0,0,0,0
23,0.0465179,0,0,0,0,0.0543302,0,0,0,0,0,0.0503319,0.025193,0.0431064,0,0,0.0738623,0,0.0551767,0.0356226,0.0435059,0.0167531,0.0176932,0.0133529,0.0517968,0.0595279,0.0141429,0.0134808,0.0152322,0.0576111,0.00903337,0.0132293,0.00858292,0.0249426,0.0575883,0.0598214,0.0223818,0.0167898,0.010193,0.0160881,0.0207523,0.205566,0.0462669,0,0,0.0716095,0,0.0568907,0.0609055,0.0318679,0.0219758,0.00718176,0.0368978,0.0671479,0.0142291,0.0356989,0.0126341,0.00754147,0.00782314,0.0255326,0.00898385,0.00995607,0.00998829,0.0494453,0.0831623,0.0277164,0.0512711,0.0340968,0,0,0,0,0,0,0
24,0.0441735,0,0,0,0,0.0512896,0,0,0,0,0,0.0503746,0.0256364,0.0431772,0,0,0.0744418,0,0.0551325,0.0359339,0.0432549,0.0162801,0.0177521,0.0129778,0.0525631,0.0603944,0.01378,0.0136434,0.0151051,0.0574072,0.00869464,0.0133614,0.00854168,0.0250176,0.0586429,0.0608808,0.0222544,0.0170282,0.00822115,0.0162453,0.0210365,0.205749,0.0421636,0,0,0.071932,0,0.0569741,0.0608984,0.0326158,0.021798,0.00845274,0.0371703,0.0631252,0.0137088,0.035675,0.0123288,0.00696236,0.00889007,0.0259779,0.00925423,0.0117241,0.012201,0.0488851,0.082516,0.0280692,0.0481819,0.0321572,0,0,0,0,0,0,0
25,0.041766,0,0,0,0,0.0468448,0,0,0,0,0,0.0504077,0.0258945,0.0432361,0,0,0.0752369,0,0.0550603,0.0364388,0.0429959,0.0158112,0.0177441,0.0126498,0.0532419,0.0617889,0.0133713,0.0138113,0.01496,0.0571735,0.00838419,0.0135394,0.00854118,0.0251159,0.0596592,0.0622691,0.0220804,0.0173795,0.00636683,0.0165308,0.021101,0.205894,0.0367513,0,0,0.0726834,0,0.0571733,0.0609827,0.0331179,0.0214788,0.00999928,0.0374332,0.0577961,0.0132054,0.0356557,0.0123929,0.00650301,0.0100887,0.0263917,0.0097304,0.013531,0.0147163,0.0485922,0.0815556,0.0286541,0.0435134,0.0301495,0,0,0,0,0,0,0
26,0.0403594,0,0,0,0,0.041326,0,0,0,0,0,0.0504519,0.0261216,0.0433051,0,0,0.0761205,0,0.0549936,0.0370348,0.0427399,0.015355,0.0176087,0.0123727,0.0536557,0.063578,0.0129732,0.0139888,0.01479,0.0569346,0.00813411,0.0135466,0.00852532,0.0252186,0.0606105,0.0638455,0.0218769,0.0178044,0.00505138,0.0168736,0.0209201,0.206038,0.0315221,0,0,0.0740034,0,0.057599,0.0610603,0.0337814,0.0209987,0.0114699,0.037721,0.0523735,0.0128346,0.0356317,0.0123766,0.00626036,0.011034,0.0268441,0.0102046,0.0150931,0.0166373,0.0490557,0.0804193,0.0294223,0.0374352,0.0291531,0,0,0,0,0,0,0
27,0.0413538,0,0,0,0,0.0356419,0,0,0,0,0,0.0506246,0.0263286,0.0431608,0,0,0.0768686,0,0.0549578,0.0375628,0.042601,0.0148652,0.0171664,0.0122307,0.0531036,0.0656904,0.0126619,0.014026,0.0146461,0.0567889,0.00793524,0.0135657,0.00848142,0.0252934,0.0611613,0.0654786,0.0217356,0.0182004,0.0054051,0.0172061,0.0207473,0.206022,0.0292859,0,0,0.076304,0,0.0583759,0.061023,0.0346622,0.0206805,0.0125382,0.0377548,0.0494196,0.0125226,0.0356219,0.0123651,0.00616036,0.0118002,0.027308,0.0106994,0.0163163,0.0171838,0.0514002,0.0790534,0.0302149,0.0303965,0.0302019,0,0,0,0,0,0,0
28,0.0422907,0,0,0,0,0.0293783,0,0,0,0,0,0.0509562,0.0254573,0.0415273,0,0,0.072729,0,0.0548836,0.0355927,0.0433025,0.0140016,0.0131363,0.0129603,0.0430385,0.0634495,0.0129949,0.0129176,0.015054,0.0573671,0.00799461,0.012957,0.00839057,0.0253109,0.0578616,0.0622288,0.0222581,0.0176177,0.0084521,0.0173321,0.020519,0.205628,0.030213,0,0,0.0811613,0,0.0599134,0.0596964,0.0350698,0.021787,0.012997,0.0336331,0.0548679,0.0128344,0.0359255,0,0.00583499,0.0122158,0.0280465,0.0108643,0.0167241,0.0163769,0.0606539,0.0783123,0.0313975,0.0216618,0.029446,0,0,0,0,0,0,0
