Coordinates
version=1
nRows=870
nColumns=38
inDegrees=no

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
60.34	2.86647	1.37761	-1.22848	0.638063	0.290397	0.947828	-0.0375338	0.0164685	-0.135637	0.306472	-0.440211	0	0	-0.179869	-0.103687	-0.116066	0	-0.574696	0	0	-0.363014	0.0809092	0.042098	0.77563	-0.706164	0.520801	1.14203	0.354524	0	0	1.05069	-0.575324	0.989747	1.01526	0.181614	0	0
60.35	2.86699	1.37793	-1.22872	0.638117	0.2903	0.947704	-0.0352104	0.0158893	-0.137411	0.310445	-0.438478	0	0	-0.178438	-0.103667	-0.114428	0	-0.57322	0	0	-0.364172	0.0800516	0.041841	0.775713	-0.705476	0.519065	1.14154	0.355219	0	0	1.05109	-0.575225	0.989522	1.01506	0.182439	0	0
60.36	2.86811	1.37847	-1.22939	0.638169	0.290191	0.947555	-0.0328729	0.0151929	-0.138805	0.313768	-0.437176	0	0	-0.176538	-0.103513	-0.112556	0	-0.57198	0	0	-0.365281	0.0791518	0.0414823	0.775818	-0.705117	0.518213	1.14149	0.356624	0	0	1.05171	-0.575088	0.989644	1.01478	0.183264	0	0
60.37	2.86888	1.37956	-1.22957	0.638272	0.29001	0.947367	-0.0293579	0.0144766	-0.139797	0.318176	-0.435038	0	0	-0.173562	-0.103315	-0.109356	0	-0.569733	0	0	-0.366183	0.0781838	0.0410463	0.775548	-0.7045	0.516415	1.14155	0.357825	0	0	1.0525	-0.575163	0.989903	1.01474	0.184438	0	0
60.38	2.86909	1.38093	-1.22926	0.638391	0.28976	0.947095	-0.0249832	0.0138204	-0.139849	0.323384	-0.43262	0	0	-0.169596	-0.103105	-0.105716	0	-0.56653	0	0	-0.36711	0.0772916	0.040563	0.775624	-0.703776	0.51476	1.14171	0.358537	0	0	1.05323	-0.575509	0.989769	1.01504	0.185563	0	0
60.39	2.86887	1.38228	-1.22866	0.638489	0.289408	0.946739	-0.0200273	0.0131965	-0.138888	0.329371	-0.430077	0	0	-0.164733	-0.102974	-0.10165	0	-0.562203	0	0	-0.368282	0.0766323	0.040268	0.776455	-0.703155	0.513572	1.14148	0.359116	0	0	1.05422	-0.575557	0.989724	1.01493	0.186798	0	0
60.4	2.87306	1.38089	-1.2323	0.638569	0.288796	0.946484	-0.0180327	0.0127723	-0.137319	0.334527	-0.434985	0	0	-0.161527	-0.103118	-0.0978912	0.00400749	-0.567629	0	0	-0.373483	0.0763246	0.0401827	0.77935	-0.703539	0.514005	1.14196	0.356222	0	0	1.05704	-0.575766	0.990641	1.01522	0.184912	0	0
60.41	2.87384	1.38198	-1.23238	0.638637	0.288129	0.94597	-0.0115022	0.0117178	-0.136666	0.343724	-0.431767	0	0	-0.152765	-0.103423	-0.0936588	0.0166001	-0.562198	0	0	-0.376318	0.0758916	0.0395845	0.781245	-0.702944	0.512321	1.14232	0.357268	0	0	1.05853	-0.576319	0.989255	1.0162	0.186255	0	0
60.42	2.87272	1.38378	-1.23042	0.638712	0.28736	0.945315	-0.00301568	0.0104608	-0.136795	0.355013	-0.427267	0	0	-0.140798	-0.104103	-0.0893505	0.0337956	-0.552467	0	0	-0.378823	0.0756732	0.0388549	0.783337	-0.702384	0.510708	1.14304	0.358661	0	0	1.06005	-0.577193	0.987353	1.01778	0.188031	0	0
60.43	2.86917	1.38546	-1.22586	0.638768	0.286493	0.944526	0.00607317	0.0095309	-0.137215	0.367183	-0.422647	0	0	-0.127303	-0.10544	-0.0844811	0.0535167	-0.541213	0	0	-0.381749	0.0761442	0.0380359	0.7861	-0.701929	0.509278	1.14386	0.359346	0	0	1.06194	-0.578468	0.985595	1.01983	0.1899	0	0
60.44	2.85642	1.39105	-1.21178	0.638793	0.285706	0.94332	0.0209499	0.00851001	-0.138233	0.382666	-0.40869	0	0	-0.106372	-0.107446	-0.0799578	0.0801013	-0.508567	0	0	-0.37995	0.0771709	0.0367643	0.787328	-0.700956	0.507123	1.1448	0.365402	0	0	1.06154	-0.57946	0.981345	1.02183	0.195861	0	0
60.45	2.84943	1.39259	-1.2032	0.638833	0.284719	0.942315	0.0296874	0.00838385	-0.138271	0.393659	-0.40431	0	0	-0.0914068	-0.109764	-0.074237	0.102293	-0.496705	0	0	-0.383531	0.0783934	0.0362794	0.789562	-0.7015	0.504929	1.14674	0.36613	0	0	1.06451	-0.58025	0.980471	1.02395	0.197041	0	0
60.46	2.84974	1.39064	-1.20186	0.638916	0.283587	0.94148	0.0335865	0.00856605	-0.137966	0.402121	-0.407763	0	0	-0.0818771	-0.11209	-0.0689102	0.120811	-0.502318	0	0	-0.391532	0.0794978	0.0360435	0.793335	-0.702167	0.50336	1.14826	0.362838	0	0	1.06969	-0.581112	0.981638	1.02577	0.19551	0	0
60.47	2.83942	1.39511	-1.19015	0.639018	0.282707	0.940083	0.0467441	0.00780115	-0.1375	0.416038	-0.392681	0	0	-0.0627066	-0.114015	-0.0661256	0.147016	-0.469961	0	0	-0.391782	0.0799995	0.0360482	0.792835	-0.702077	0.498235	1.15035	0.366679	0	0	1.07176	-0.580891	0.980211	1.02697	0.198139	0	0
60.48	2.84392	1.39369	-1.19345	0.639147	0.28158	0.939123	0.0517489	0.00701918	-0.13626	0.425721	-0.397347	0	0	-0.0552175	-0.114925	-0.0608655	0.161338	-0.476614	0	0	-0.399991	0.079987	0.0358956	0.796711	-0.702756	0.497455	1.15188	0.363747	0	0	1.07684	-0.582298	0.981219	1.02951	0.196841	0	0
