Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71
9,0,0,0,0,0.0107195,0.00222911,0,0,0.0158001,0.0280191,0.0152569,0.00570361,0,0,0.0144218,0,0.0246668,0.0119808,0.0405428,0.0189466,0.0162839,0.0285486,0.00447039,0.0104022,0.0190355,0.0276382,0.0220059,0.064494,0.00971591,0.0071117,0.00366644,0.018662,0.0149762,0.00816839,0.0172947,0.00607759,0.0114844,0.026766,0.0119005,0.0027681,0.0133695,0,0,0.0173103,0,0.0105567,0.00538418,0.0648522,0.0146952,0.0138625,0.00840625,0.00340163,0.0233135,0.00346704,0.0637428,0.00820114,0.00355218,0.0027098,0.00684405,0.00411091,0.00150753,0.0112527,0.0113842,0.0132557,0.00632326,0.00489846,0.0137627,0,0,0,0,0
10,0,0,0,0,0.00960146,0.0019469,0,0,0.0166733,0.028054,0.0156338,0.00580272,0,0,0.0140602,0,0.0246269,0.0116121,0.0400932,0.0192097,0.0164034,0.02978,0.00456457,0.00914371,0.0196172,0.0284129,0.0230289,0.0646625,0.00994668,0.00687626,0.00363279,0.0185732,0.0161003,0.00804907,0.0173734,0.00610719,0.0109495,0.0268439,0.0113504,0.00293695,0.0126836,0,0,0.0166624,0,0.010105,0.00538327,0.0646012,0.0141609,0.0138042,0.00956949,0.00328023,0.0237755,0.00429499,0.0640158,0.00889248,0.00464091,0.00369082,0.00695391,0.00380573,0.00128707,0.010704,0.0107888,0.0132176,0.00671127,0.00491045,0.012716,0,0,0,0,0
11,0,0,0,0,0.00849803,0.00194158,0,0,0.0177455,0.0280543,0.0161153,0.00598366,0,0,0.0137875,0,0.0246047,0.011276,0.0399185,0.0196856,0.0164828,0.0310113,0.00464165,0.00770204,0.0201813,0.0291202,0.0240808,0.0648877,0.0101827,0.00668544,0.00371958,0.0185871,0.0171294,0.00808325,0.0174605,0.00614999,0.0107293,0.0269374,0.0111619,0.00315042,0.0119467,0,0,0.0159626,0,0.00958893,0.00549257,0.0644162,0.0140919,0.0136349,0.0106162,0.0032097,0.0239921,0.00477293,0.0642066,0.00960818,0.00573344,0.00455748,0.00732729,0.00376222,0.00173084,0.0104743,0.0102541,0.0129777,0.00720888,0.00487742,0.0116067,0,0,0,0,0
12,0,0,0,0,0.00761406,0.0021612,0,0,0.0188257,0.0280277,0.0166206,0.00635566,0,0,0.0135917,0,0.024593,0.0109495,0.0397706,0.0200919,0.0165559,0.0319729,0.00471552,0.00612937,0.0205315,0.0295755,0.0249585,0.0651657,0.0103384,0.0064756,0.00397773,0.0186671,0.018226,0.00832782,0.017561,0.00616618,0.0110717,0.0268788,0.0114702,0.00340695,0.011199,0,0,0.0152219,0,0.0095448,0.00577351,0.0642876,0.0145344,0.0134662,0.0113494,0.00313187,0.0239908,0.00507205,0.0642563,0.0101439,0.00669369,0.00504935,0.00790089,0.00384386,0.00203725,0.0107938,0.00971244,0.0138051,0.00731149,0.00474956,0.0104644,0,0,0,0,0
13,0,0,0,0,0.00685181,0.0024871,0,0,0.0197498,0.0279823,0.0171411,0.00668206,0,0,0.0133254,0,0.0245951,0.0105741,0.0396632,0.0205204,0.0166446,0.0328419,0.00474526,0.00456112,0.0208777,0.0299766,0.0258455,0.06553,0.0105672,0.0063553,0.00426242,0.0187261,0.0192428,0.00855704,0.0176648,0.00611217,0.0115318,0.0267973,0.0119827,0.00362656,0.0105666,0,0,0.0144591,0,0.00949224,0.00617914,0.0642249,0.0152151,0.0134379,0.0119955,0.00296789,0.0238969,0.00552847,0.0642734,0.0105854,0.00760543,0.00539206,0.00860253,0.00392683,0.00224554,0.0112308,0.00920091,0.0148651,0.0074552,0.00463943,0.0093913,0,0,0,0,0
14,0,0,0,0,0.0062993,0.00282056,0,0,0.0204571,0.0279111,0.0176658,0.00688674,0,0,0.0129245,0,0.0245866,0.0101239,0.0395863,0.0209958,0.0167182,0.0338412,0.00474542,0.00311284,0.0213066,0.0304712,0.0269061,0.0658875,0.0110444,0.00640575,0.00452867,0.0187373,0.0200442,0.00852702,0.0177598,0.00599374,0.0116713,0.0267595,0.0122848,0.00372645,0.0100018,0,0,0.0137528,0,0.00939135,0.00660225,0.0642073,0.0157882,0.0135535,0.0127769,0.00275116,0.0236798,0.00639344,0.0643058,0.0111856,0.00866973,0.00585537,0.00919142,0.00371512,0.00261249,0.0113475,0.0087111,0.0161077,0.00758389,0.00454828,0.00849462,0,0,0,0,0
15,0,0,0,0,0.0060336,0.00311452,0,0,0.0212202,0.0277959,0.018175,0.00713894,0,0,0.0123797,0,0.0245478,0.00957875,0.0394334,0.0213982,0.0167733,0.0346175,0.00474605,0.0019738,0.0215817,0.0307058,0.027784,0.0662494,0.0114825,0.00649113,0.00484134,0.0187441,0.0209689,0.00850914,0.0178301,0.00583558,0.0115974,0.0267088,0.0124917,0.00380469,0.00949835,0,0,0.0131419,0,0.00927346,0.00695795,0.0641996,0.0163237,0.01378,0.0135701,0.00253713,0.0233421,0.00694498,0.0643631,0.0119841,0.00982225,0.00645897,0.00972756,0.00321243,0.00320423,0.0112518,0.00820474,0.0172684,0.00774576,0.00444734,0.00771699,0,0,0,0,0
16,0,0,0,0,0.00604388,0.00335233,0,0,0.0220043,0.027622,0.0185566,0.00732313,0,0,0.0117379,0,0.0244909,0.00896151,0.0391897,0.0216018,0.0167845,0.0352856,0.00472497,0.00187889,0.0217299,0.0307513,0.028569,0.0664946,0.0119295,0.00672542,0.00530772,0.0187772,0.0218566,0.00850938,0.0179008,0.00561167,0.0116039,0.0267307,0.0128091,0.00398077,0.00916247,0,0,0.0125607,0,0.00913833,0.00742625,0.0641911,0.0168561,0.0139645,0.014324,0.00238376,0.0230559,0.00730182,0.0644233,0.0126275,0.0109152,0.00706064,0.0102362,0.00292444,0.00386599,0.0112169,0.0077728,0.0185491,0.00789845,0.00435928,0.00708065,0,0,0,0,0
17,0,0,0,0,0.00611336,0.00349984,0,0,0.0228632,0.0274182,0.0189924,0.00749104,0,0,0.0110725,0,0.0243753,0.00826288,0.0389619,0.0219013,0.0167914,0.0358696,0.00473577,0.00300054,0.0218526,0.030761,0.0292982,0.0668416,0.0123947,0.0070006,0.00579012,0.0188532,0.0227434,0.00855309,0.017956,0.00534917,0.0116902,0.0267094,0.0130611,0.00416583,0.00898701,0,0,0.0120261,0,0.00902071,0.00803713,0.0641532,0.0172715,0.0140951,0.0151251,0.00227623,0.0227358,0.00775082,0.0644423,0.0131719,0.0118955,0.00765585,0.0107705,0.00280906,0.00434323,0.0112085,0.00740243,0.0196615,0.0080766,0.00418361,0.00665437,0,0,0,0,0
18,0,0,0,0,0.00641017,0.00354114,0,0,0.0237116,0.0271337,0.019393,0.00774425,0,0,0.0103236,0,0.0242155,0.00743362,0.0387611,0.022131,0.0168229,0.0363817,0.00476235,0.00453215,0.0219725,0.0307302,0.0300066,0.067253,0.012903,0.0072858,0.00623751,0.0189791,0.0237208,0.00859934,0.0180195,0.00500124,0.0117869,0.026638,0.0132326,0.00429895,0.00887837,0,0,0.0115532,0,0.00896509,0.00862927,0.0641895,0.017558,0.0143536,0.0159927,0.00225606,0.0223311,0.00818407,0.0644123,0.0136948,0.0127087,0.00825329,0.0112082,0.0025741,0.00473446,0.0112205,0.00704885,0.020758,0.008221,0.00395427,0.00642203,0,0,0,0,0
19,0,0,0,0,0.00692413,0.00357706,0,0,0.0245606,0.0267546,0.0198467,0.0082782,0,0,0.00957317,0,0.0239539,0.00665232,0.0385797,0.0223991,0.0168719,0.0368014,0.00478973,0.00619523,0.0220357,0.0307179,0.0306277,0.067533,0.0133968,0.00756032,0.00674339,0.0191535,0.0247695,0.00868229,0.0180591,0.00461875,0.0118376,0.0265277,0.0133711,0.00440635,0.00888885,0,0,0.0111323,0,0.00896953,0.00917571,0.0643315,0.0178466,0.0146826,0.0166628,0.002321,0.0218919,0.00860001,0.0644035,0.014103,0.0134428,0.00869057,0.0116469,0.00236472,0.00531474,0.0111812,0.00678444,0.0218664,0.00827672,0.00377119,0.00630283,0,0,0,0,0
20,0,0,0,0,0.00748582,0.00366141,0,0,0.0253668,0.026302,0.0202756,0.00857658,0,0,0.00891183,0,0.0235986,0.00592543,0.0384444,0.0226106,0.0168977,0.037103,0.00482641,0.00800835,0.022026,0.030646,0.0311467,0.0678675,0.0138846,0.00798121,0.00739123,0.0193741,0.0257645,0.00886164,0.0180683,0.00418626,0.0119433,0.0262749,0.0133988,0.00444874,0.00903926,0,0,0.0107572,0,0.00900382,0.00976292,0.0643823,0.0179244,0.0148104,0.0171425,0.00234173,0.0215041,0.00898579,0.0643609,0.0144324,0.0141338,0.00909029,0.0120111,0.00212553,0.00594022,0.0112528,0.00655227,0.0228568,0.00838037,0.00359449,0.00636048,0,0,0,0,0
21,0,0,0,0,0.00816368,0.0037932,0,0,0.0261086,0.0258033,0.0206436,0.00856615,0,0,0.00839707,0,0.0232048,0.00525742,0.0382384,0.0227875,0.0168563,0.0374425,0.00489542,0.00982972,0.0220502,0.0306482,0.0316497,0.068092,0.0144295,0.00849166,0.00796667,0.0196157,0.0266581,0.00910933,0.0180561,0.0037542,0.012093,0.0259964,0.0133542,0.00443632,0.00928501,0,0,0.0105062,0,0.00902174,0.0104752,0.0643896,0.0179652,0.0148568,0.0176899,0.00233659,0.0212063,0.00925787,0.0642615,0.0147423,0.0146738,0.00940636,0.0123934,0.00212373,0.00662323,0.0113515,0.0063475,0.0238108,0.00859083,0.0034689,0.00656767,0,0,0,0,0
22,0,0,0,0,0.00896363,0.00399295,0,0,0.0267418,0.0253131,0.0209496,0.00836604,0,0,0.00795833,0,0.0228545,0.00459547,0.0379895,0.0229379,0.0168224,0.0378704,0.0050195,0.0114583,0.0220346,0.0306945,0.0321031,0.0681737,0.0150288,0.00905753,0.00845192,0.0198755,0.027413,0.00926013,0.0180504,0.00336283,0.0122052,0.0256563,0.0132576,0.00442822,0.00964831,0,0,0.0104363,0,0.00898872,0.0113482,0.0643686,0.0179195,0.014811,0.0182193,0.00233368,0.0210167,0.00944027,0.0641532,0.0150044,0.0151248,0.0096095,0.0127446,0.00217877,0.00720285,0.0114338,0.00621247,0.0250259,0.00898631,0.00343439,0.00689652,0,0,0,0,0
23,0,0,0,0,0.00962923,0.00424202,0,0,0.027417,0.0248341,0.0212302,0.0083495,0,0,0.00756277,0,0.0224988,0.00401749,0.0377826,0.0230519,0.0167876,0.0381416,0.00510518,0.0128298,0.0219496,0.0306098,0.032452,0.068253,0.0155928,0.00955981,0.00892963,0.0201638,0.0283012,0.00915021,0.0180286,0.00305288,0.0122843,0.0253766,0.01326,0.00446825,0.0100432,0,0,0.0105744,0,0.00884937,0.0123838,0.0643326,0.0179282,0.0148418,0.0186179,0.00237526,0.0209862,0.00963367,0.0640284,0.015248,0.0155293,0.00992379,0.0130665,0.00211476,0.00775929,0.0114999,0.0062022,0.0266075,0.0095292,0.00345919,0.00729291,0,0,0,0,0
24,0,0,0,0,0.0103787,0.00456901,0,0,0.0282074,0.0243297,0.0214487,0.00845037,0,0,0.00717093,0,0.0221887,0.00359395,0.037632,0.023172,0.0167572,0.0382475,0.0051318,0.0140171,0.0217779,0.0304031,0.03272,0.0683802,0.0160845,0.00997375,0.0093689,0.0204745,0.0294217,0.00907953,0.0180152,0.00283503,0.0123402,0.025069,0.013372,0.00455915,0.010451,0,0,0.0110264,0,0.00864475,0.0136699,0.0642989,0.0180458,0.0148995,0.0190706,0.00243438,0.0212528,0.00984462,0.0639211,0.0154759,0.0159614,0.010382,0.0133704,0.00202454,0.00829293,0.0115318,0.00638828,0.0284971,0.0102627,0.00350791,0.00768293,0,0,0,0,0
25,0,0,0,0,0.0110688,0.00500072,0,0,0.0290848,0.0238829,0.0215583,0.0086312,0,0,0.00677949,0,0.0219326,0.00327694,0.037523,0.0233235,0.0167035,0.0382409,0.00520996,0.0150298,0.0215325,0.0301118,0.0329526,0.0684993,0.0165314,0.0104108,0.0098281,0.0208357,0.0307038,0.00905848,0.0180049,0.00272292,0.0123913,0.024888,0.0134098,0.00464675,0.0108681,0,0,0.0117706,0,0.00848937,0.0150688,0.0642156,0.0181323,0.0148886,0.0194555,0.0024806,0.0219188,0.0100564,0.0638899,0.0156346,0.0164029,0.0108669,0.0136314,0.0019988,0.00879575,0.0115301,0.00681401,0.0303974,0.0109916,0.00360464,0.0081033,0,0,0,0,0
26,0,0,0,0,0.0116435,0.00550699,0,0,0.0299805,0.0235856,0.0217214,0.00868849,0,0,0.00637999,0,0.0217434,0.00307603,0.037414,0.023496,0.0166685,0.0381105,0.00521059,0.0158215,0.0212545,0.0297751,0.0331369,0.0685753,0.0169292,0.0109149,0.0102984,0.0212175,0.0319651,0.00892374,0.0180288,0.00273749,0.0123248,0.024672,0.0133468,0.00478031,0.0112995,0,0,0.0128638,0,0.00834409,0.016464,0.064121,0.018063,0.0149432,0.0198194,0.00254767,0.0230414,0.010341,0.0638918,0.015816,0.0169464,0.0112686,0.0138108,0.00199678,0.00935162,0.0113871,0.00742149,0.0321729,0.0117369,0.00378158,0.00853615,0,0,0,0,0
27,0,0,0,0,0.0124704,0.00604945,0,0,0.0308685,0.0233657,0.0218871,0.00835819,0,0,0.00604348,0,0.0216203,0.0029577,0.0372883,0.0235078,0.0167065,0.0378637,0.00488256,0.0166617,0.0209221,0.0293315,0.0332504,0.0686988,0.0172794,0.0114177,0.0106397,0.0216054,0.0331878,0.00880792,0.0180855,0.00279669,0.0122628,0.0244958,0.0132722,0.00482898,0.0118839,0,0,0.0140927,0,0.0082214,0.0176786,0.0640198,0.0179168,0.0149021,0.02015,0.00246825,0.0246747,0.0106653,0.063887,0.0160027,0.0175879,0.0116928,0.0139475,0.00213182,0.00995302,0.0111864,0.00804007,0.0338599,0.0123979,0.00377941,0.00904658,0,0,0,0,0
28,0,0,0,0,0.0132401,0.00661587,0,0,0.0317909,0.0232299,0.0223281,0.00853129,0,0,0.00551798,0,0.0216102,0.0028905,0.037177,0.0237047,0.0165712,0.0376508,0.0049302,0.0173423,0.020593,0.0289027,0.0333049,0.0687624,0.0176002,0.0119462,0.0109387,0.0219979,0.0344249,0.00857851,0.0181165,0.00297036,0.0121674,0.0240611,0.0131795,0.00482763,0.0123714,0,0,0.0154205,0,0.0086566,0.0188248,0.0639059,0.0175591,0.0148039,0.0204128,0.00248294,0.0269305,0.0109792,0.0638354,0.0161846,0.0182965,0.0121803,0.0139979,0.00233383,0.0105852,0.0109667,0.00891375,0.0359043,0.0131758,0.00399847,0.00958609,0,0,0,0,0
29,0,0,0,0,0.0132306,0.0066211,0,0,0.0326596,0.0232506,0.02269,0.00881939,0,0,0.00648839,0,0.0215908,0.00326719,0.0370852,0.0239415,0.0165547,0.0375156,0.00493034,0.0177077,0.0202893,0.028553,0.0333485,0.0687897,0.0179959,0.0125325,0.0113865,0.0224282,0.0354416,0.00911031,0.0181872,0.0029596,0.0121823,0.0243165,0.0131866,0.00478617,0.0122195,0,0,0.0157668,0,0.00803021,0.0193594,0.0637839,0.0173146,0.0149156,0.0206396,0.00246483,0.0264998,0.0112708,0.0637613,0.0163947,0.0190445,0.0127922,0.014203,0.0027224,0.0110317,0.0108016,0.00904165,0.036035,0.0135569,0.00411943,0.00949074,0,0,0,0,0
30,0,0,0,0,0.0131657,0.00657345,0,0,0.0335574,0.0233488,0.0229474,0.00887964,0,0,0.00746657,0,0.0216217,0.00376187,0.0370168,0.0242201,0.0165038,0.0372735,0.00509267,0.0178281,0.0199109,0.0281319,0.0333479,0.0687594,0.0183842,0.0131182,0.0118774,0.0228504,0.0365802,0.00976499,0.0182224,0.00303243,0.0121477,0.0243575,0.0132199,0.00480852,0.0120807,0,0,0.0160936,0,0.00779919,0.0197743,0.0636311,0.0173824,0.0149735,0.0208495,0.00252588,0.0260044,0.0115855,0.0636823,0.016588,0.0197877,0.0130449,0.0144233,0.00303326,0.0113305,0.0106751,0.00922017,0.0362483,0.01399,0.00435285,0.00932949,0,0,0,0,0
31,0,0,0,0,0.0131139,0.00660678,0,0,0.0343634,0.0235561,0.0231481,0.0087692,0,0,0.00834023,0,0.0217611,0.00435972,0.0369629,0.0245057,0.0164286,0.0370302,0.00538257,0.0178052,0.0195685,0.0277327,0.0333172,0.0686887,0.0188006,0.0136843,0.0122786,0.0232596,0.0376687,0.0102575,0.0182629,0.00314937,0.0121016,0.0243972,0.0132891,0.00468652,0.0119878,0,0,0.0163356,0,0.00775958,0.0200366,0.0634518,0.0177358,0.0149038,0.0211899,0.00258459,0.0255584,0.0119581,0.0636595,0.0167235,0.0205809,0.0129146,0.0147082,0.00333293,0.0115917,0.0105564,0.00940683,0.036376,0.0143233,0.00468524,0.0092012,0,0,0,0,0
32,0,0,0,0,0.0130915,0.0067096,0,0,0.0352224,0.0239288,0.0233994,0.00834865,0,0,0.00908848,0,0.0219785,0.0049058,0.0369109,0.0248497,0.0163834,0.0367301,0.00565295,0.0177009,0.0192748,0.0272973,0.0332147,0.0686122,0.0191446,0.0141771,0.0125559,0.0236596,0.0388159,0.0106223,0.0182926,0.00331591,0.0119901,0.0245058,0.0134566,0.00461805,0.0119388,0,0,0.0163733,0,0.00779761,0.0202256,0.0633176,0.017854,0.0149319,0.0215438,0.00274795,0.025188,0.0124392,0.0636405,0.0168392,0.0214658,0.0130826,0.0150095,0.00365174,0.0118909,0.010422,0.00956776,0.0364547,0.0145506,0.00501339,0.00919407,0,0,0,0,0
33,0,0,0,0,0.013263,0.00689404,0,0,0.0361321,0.0244598,0.0236829,0.00820629,0,0,0.00969221,0,0.0223218,0.00531391,0.0369162,0.0252068,0.0163266,0.036305,0.00587656,0.0176361,0.0188787,0.0267093,0.0330136,0.0685398,0.0194107,0.014545,0.012806,0.0240493,0.0400271,0.0106086,0.0183371,0.00358923,0.0119355,0.0246255,0.0136204,0.00469921,0.0120042,0,0,0.0163323,0,0.0078318,0.0203927,0.0631467,0.0177166,0.0150961,0.021838,0.00304462,0.0249053,0.0129858,0.063555,0.0169751,0.0224507,0.0135145,0.0152707,0.00402306,0.0121997,0.0102996,0.00973216,0.0365893,0.0147435,0.0053497,0.00930035,0,0,0,0,0
34,0,0,0,0,0.0137756,0.00720124,0,0,0.0369654,0.0251158,0.0238273,0.00825166,0,0,0.0101603,0,0.0228013,0.00557476,0.0368693,0.0254341,0.0162672,0.0357887,0.00608767,0.0176197,0.0184789,0.0260519,0.0327888,0.0684959,0.0196723,0.0150194,0.0130983,0.0244181,0.0412392,0.0107902,0.0184176,0.0040153,0.0119335,0.0247986,0.0137505,0.00477724,0.0122021,0,0,0.0161672,0,0.00780275,0.0204971,0.0629056,0.0177707,0.0151357,0.0221224,0.00332755,0.0246481,0.0135028,0.0635108,0.0171572,0.0233288,0.0140367,0.0154979,0.00431738,0.0125063,0.0101839,0.00983548,0.036699,0.0148793,0.00563302,0.00944785,0,0,0,0,0
