Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71
19,0,0,0,0,0.00857519,0.00268366,0,0,0.0284915,0.0217807,0.0222883,0.00886268,0,0,0.0222745,0,0.0216761,0.0125695,0.0381481,0.0260307,0.0161352,0.036074,0.00631172,0.020543,0.0206661,0.0287073,0.0320328,0.0672829,0.0182131,0.0133384,0.0115635,0.0240648,0.0281406,0.0202598,0.0164433,0.00418915,0.0120551,0.0259094,0.0122837,0.00458625,0.00846162,0,0,0.0113858,0,0.0118994,0.00859198,0.0622264,0.0170492,0.013131,0.0198812,0.00500522,0.0234674,0.0114828,0.064177,0.0156965,0.0194617,0.0126627,0.0141934,0.0027854,0.0113211,0.0107838,0.00532022,0.015741,0.00852613,0.00250829,0.0082871,0,0,0,0,0
20,0,0,0,0,0.0089697,0.00263135,0,0,0.0292399,0.0216463,0.0224795,0.00902643,0,0,0.0210566,0,0.0215717,0.0117171,0.0380425,0.026307,0.016062,0.0353281,0.00645819,0.0211731,0.0200864,0.0278676,0.0316698,0.0671479,0.0184884,0.0139345,0.0118715,0.024484,0.029451,0.0195283,0.0164376,0.00414636,0.01182,0.026027,0.0122232,0.00451562,0.0087626,0,0,0.0112463,0,0.0117217,0.0090672,0.0621105,0.0172061,0.0130065,0.0203459,0.00508842,0.0240216,0.0118476,0.0640878,0.0158986,0.0202327,0.0128714,0.014426,0.0030111,0.0116765,0.0110183,0.00549951,0.0163244,0.00895389,0.00220369,0.00849943,0,0,0,0,0
21,0,0,0,0,0.00946891,0.00292629,0,0,0.0300325,0.0215027,0.0223295,0.00860848,0,0,0.020444,0,0.0215473,0.0111423,0.0378928,0.0263005,0.0159083,0.0343264,0.00653022,0.0218234,0.0192779,0.0267038,0.0311317,0.0670743,0.0188698,0.014543,0.0121858,0.0249551,0.0308349,0.0192798,0.0165048,0.00390876,0.0119773,0.02585,0.0121758,0.00461994,0.00916133,0,0,0.0111342,0,0.0115047,0.00968184,0.0619735,0.0172853,0.0128409,0.0207768,0.00530736,0.0240032,0.0121995,0.064014,0.0161403,0.0209591,0.0132891,0.0146738,0.00328916,0.0120495,0.0109925,0.00570296,0.0165486,0.0095816,0.00202082,0.00881417,0,0,0,0,0
22,0,0,0,0,0.00975587,0.00305871,0,0,0.0470581,0.0211373,0.0213938,0.00410908,0,0,0.0199071,0,0.0216554,0.0105712,0.040109,0.0224887,0.0143044,0.017689,0.00509579,0.0226132,0.0107942,0.0195303,0.0154839,0.0614187,0.0220473,0.0267169,0.0173714,0.0252129,0.0597217,0.019143,0.0165348,0.00369732,0.0117796,0.0248468,0.0112771,0.00366463,0.00918134,0,0,0.0115272,0,0.0117499,0.0108804,0.0607412,0.0158795,0.0121556,0.0203165,0.00566971,0.0229161,0.0123462,0.0647906,0.0158338,0.0214975,0.0133868,0.0145096,0.00352825,0.0125805,0.0111183,0.00598757,0.0174637,0.0105173,0.00227567,0.00918688,0,0,0,0,0
23,0,0,0,0,0.0101707,0.00338427,0,0,0.0469076,0.0211081,0.0214933,0.00415765,0,0,0.0193884,0,0.0216887,0.0103005,0.0399262,0.0232221,0.0143133,0.0178324,0.00521851,0.0230462,0.0111012,0.019964,0.0157564,0.0613799,0.0224684,0.0269952,0.0174717,0.0256358,0.0597942,0.0188756,0.0165825,0.00352935,0.0118359,0.024572,0.0112103,0.00364717,0.00954214,0,0,0.0115838,0,0.0116417,0.0115544,0.0605625,0.0160928,0.0122301,0.0206214,0.00570232,0.0227801,0.012544,0.0647202,0.0160503,0.0220423,0.0137499,0.0147529,0.00384874,0.0130567,0.0111708,0.00637812,0.0183838,0.0109544,0.00222043,0.0095236,0,0,0,0,0
24,0,0,0,0,0.0106035,0.00377348,0,0,0.0467558,0.0212181,0.0216167,0.00396876,0,0,0.0188867,0,0.0217623,0.0100624,0.0398055,0.0238996,0.0142766,0.0179097,0.00541673,0.0235328,0.011372,0.0204494,0.0158957,0.0613165,0.0229354,0.0273154,0.0177018,0.0260081,0.0599456,0.0184386,0.0166267,0.00325171,0.0119217,0.0242806,0.0111235,0.00368726,0.00992636,0,0,0.0116774,0,0.0114859,0.0123458,0.0604281,0.0161578,0.0123294,0.0209571,0.00578675,0.0226484,0.0127319,0.0646633,0.0162261,0.022313,0.014103,0.0149534,0.00411672,0.0135272,0.0112686,0.00677688,0.0193659,0.0114871,0.0022504,0.0099393,0,0,0,0,0
25,0,0,0,0,0.011043,0.00422333,0,0,0.0469917,0.0215074,0.0217548,0.0039678,0,0,0.0184032,0,0.0218442,0.00985746,0.0396947,0.0246027,0.0142223,0.0179544,0.00566952,0.0240223,0.0115831,0.0209208,0.0160257,0.0612808,0.0233658,0.0277123,0.0179302,0.0263589,0.060281,0.0181216,0.0166457,0.00285084,0.0120429,0.0240566,0.0110849,0.0037607,0.0103499,0,0,0.011772,0,0.0112308,0.0130136,0.0602108,0.0161012,0.0124153,0.0212877,0.00592738,0.02259,0.0129186,0.0645769,0.0164268,0.0224758,0.0144263,0.0151267,0.00427546,0.0140699,0.0113724,0.00718292,0.0202792,0.0118863,0.00237121,0.0103561,0,0,0,0,0
26,0,0,0,0,0.0115856,0.00476731,0,0,0.0473548,0.0220501,0.0218972,0.00407876,0,0,0.0179957,0,0.0220012,0.00964554,0.0396005,0.025226,0.0142208,0.0181566,0.0059184,0.0245257,0.0117622,0.0214101,0.0161997,0.0613129,0.0238265,0.0281746,0.0180659,0.0266584,0.0607864,0.0180037,0.0166647,0.00243612,0.0121098,0.0239501,0.0109771,0.00390318,0.0108445,0,0,0.0118303,0,0.0108103,0.0136505,0.0599435,0.0159311,0.0124691,0.0215044,0.00611161,0.0227266,0.0129577,0.064548,0.0166029,0.0226872,0.0147308,0.015305,0.00436828,0.0144695,0.0113995,0.00762909,0.0212757,0.0122096,0.00256771,0.0107366,0,0,0,0,0
27,0,0,0,0,0.0122552,0.00541554,0,0,0.0477581,0.0227955,0.0219845,0.00397664,0,0,0.0177187,0,0.0222553,0.00942239,0.0395153,0.0257785,0.0142295,0.0183304,0.00618171,0.0248114,0.0119181,0.0218746,0.0164012,0.0613236,0.0243636,0.0286505,0.0182943,0.0269396,0.0613723,0.01801,0.0166833,0.00225168,0.0121266,0.023883,0.0108104,0.00405989,0.0113932,0,0,0.011863,0,0.0102914,0.0142117,0.0596978,0.0157294,0.0125052,0.0217102,0.00631917,0.0230249,0.0130462,0.0645764,0.0167695,0.0229566,0.0150794,0.0154844,0.00456286,0.0149263,0.0113826,0.00808487,0.0222931,0.0125312,0.00290561,0.011127,0,0,0,0,0
28,0,0,0,0,0.0129797,0.00611474,0,0,0.0480443,0.023619,0.0220352,0.00394638,0,0,0.0175515,0,0.0225547,0.00929757,0.0394111,0.0264663,0.0142244,0.0184203,0.00645641,0.0252298,0.0120486,0.0222798,0.0166306,0.0613728,0.0248574,0.0290273,0.0185034,0.0272838,0.0618976,0.0179588,0.0167078,0.00249218,0.0121393,0.0238706,0.0105932,0.0041645,0.0119604,0,0,0.0120394,0,0.00970604,0.0149012,0.0595162,0.0154345,0.0125345,0.0219617,0.00653359,0.0234297,0.0132363,0.0646796,0.0169274,0.0232744,0.0154859,0.0156528,0.00483746,0.0152217,0.0113733,0.00855236,0.0233619,0.0128448,0.00332113,0.0114851,0,0,0,0,0
