Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,x72
828,0,0,0,0,0.02687,0.00466644,0,0,0.0781333,0.0236553,0.0231802,0.0105918,0,0,0.0105442,0,0.0222077,0.0106621,0.0417174,0.0169521,0.0197223,0.0182502,0.0095072,0.030349,0.0148821,0.0179366,0.0222101,0.0564558,0.0161732,0.018208,0.0128549,0.029375,0.0976558,0.0076583,0.0185408,0.00565542,0.00811287,0.025391,0.02265,0.00396536,0.0254975,0,0,0.0270471,0,0.0187722,0.0152741,0.0617036,0.0415238,0.0137045,0.0233904,0.0050265,0.0226212,0.014675,0.0564047,0.0184133,0.0235479,0.009194,0.00775712,0.00365549,0.00315016,0.0105338,0.0228444,0.0113019,0.00822419,0.00438251,0.0236345,0,0,0,0,0,0
829,0,0,0,0,0.0268144,0.00476861,0,0,0.0780389,0.0236389,0.023261,0.0106074,0,0,0.0107454,0,0.0222175,0.0107156,0.0416988,0.0169704,0.0197022,0.0182296,0.00950969,0.0302779,0.0148873,0.0179658,0.0223747,0.0564824,0.0161889,0.0181898,0.0128582,0.0293851,0.0975242,0.00769342,0.0185359,0.00566722,0.00811592,0.0253728,0.0226638,0.00392034,0.0253491,0,0,0.0270233,0,0.0187831,0.0153802,0.0617198,0.0416852,0.0136947,0.0233708,0.00503696,0.0224329,0.0146862,0.0563898,0.0182358,0.0235333,0.0091975,0.00772716,0.00366389,0.00312332,0.0105645,0.0227988,0.0113272,0.0082363,0.00445722,0.0235578,0,0,0,0,0,0
830,0,0,0,0,0.0267202,0.00488982,0,0,0.0780059,0.0236973,0.0232131,0.0106022,0,0,0.0107294,0,0.0222143,0.010688,0.0416779,0.0169581,0.0196453,0.0182247,0.0094935,0.0302309,0.014899,0.0179794,0.0228099,0.0564838,0.0162148,0.0182119,0.0128556,0.0293981,0.097473,0.00759377,0.018509,0.00561423,0.00820742,0.0253907,0.0227385,0.00386817,0.0251798,0,0,0.0269936,0,0.0187721,0.0153875,0.0617309,0.0418018,0.0137053,0.0233142,0.0050322,0.0222462,0.0146683,0.0563937,0.0181769,0.0234259,0.00915468,0.00770321,0.00372014,0.0030932,0.0105729,0.0226218,0.0113421,0.00818805,0.00449197,0.0234443,0,0,0,0,0,0
831,0,0,0,0,0.02678,0.00496838,0,0,0.0780054,0.0237725,0.0232316,0.0105982,0,0,0.0107645,0,0.0222101,0.0107633,0.0416795,0.0169604,0.0196598,0.0182402,0.00948315,0.0301568,0.0149086,0.0179684,0.0229961,0.0564716,0.0162084,0.0182149,0.0128385,0.0293721,0.0974659,0.00749891,0.0185041,0.00564195,0.00829065,0.0253385,0.0227547,0.00391678,0.025104,0,0,0.0269999,0,0.0188232,0.0153866,0.0617131,0.0417428,0.0137005,0.0233077,0.00500586,0.0219987,0.0146489,0.0564135,0.0181846,0.0233766,0.0091277,0.00770481,0.00374847,0.00306956,0.0106848,0.0225976,0.0112993,0.00809646,0.00447791,0.0234114,0,0,0,0,0,0
832,0,0,0,0,0.0268427,0.00497861,0,0,0.0780479,0.0237888,0.0231322,0.0106047,0,0,0.0108411,0,0.0222319,0.01088,0.0416933,0.0170689,0.0196943,0.018242,0.00947063,0.0300897,0.0149174,0.0179638,0.0229835,0.0564868,0.0161996,0.0182003,0.012835,0.029354,0.0974989,0.00752453,0.0185254,0.00571974,0.0083649,0.0252924,0.0228183,0.00395648,0.0250277,0,0,0.0269969,0,0.0188484,0.0153777,0.0617068,0.0419733,0.0137065,0.0232562,0.00499667,0.0218047,0.014612,0.0564259,0.0181545,0.0233522,0.00906232,0.00765061,0.00380329,0.00308065,0.0106718,0.0227405,0.0112363,0.00797963,0.00451046,0.0233721,0,0,0,0,0,0
833,0,0,0,0,0.0268996,0.00500618,0,0,0.0780154,0.0237053,0.0231159,0.0105666,0,0,0.0109946,0,0.0222376,0.0109816,0.0417071,0.0172655,0.0197147,0.0182366,0.00943698,0.0300056,0.014914,0.0179763,0.0229488,0.0564945,0.0162101,0.0181803,0.0128429,0.0293268,0.0974555,0.00764908,0.0185536,0.00586217,0.00845927,0.0252258,0.0228604,0.00398734,0.0249944,0,0,0.0269977,0,0.0188649,0.0153761,0.0617111,0.0420671,0.0137098,0.0232336,0.00498225,0.0216309,0.0146135,0.056435,0.0182542,0.0232863,0.00900074,0.00761048,0.00381928,0.00309766,0.0106978,0.0229782,0.0111377,0.00788077,0.00452803,0.0233317,0,0,0,0,0,0
834,0,0,0,0,0.0269158,0.00503824,0,0,0.0780017,0.0235374,0.0231962,0.0105337,0,0,0.0111789,0,0.0222055,0.0110753,0.041716,0.0171683,0.0197303,0.0182181,0.0094169,0.0299275,0.0148999,0.0179817,0.0229438,0.056486,0.0162057,0.0181644,0.0128468,0.0292812,0.0974502,0.00767449,0.0185647,0.00604133,0.00854675,0.0251075,0.0229119,0.00400775,0.0249933,0,0,0.0269727,0,0.0189059,0.0153447,0.0617093,0.0420144,0.0137065,0.0232199,0.00495347,0.0214629,0.0146131,0.0564522,0.0185143,0.0232389,0.00896718,0.0075896,0.00383041,0.00311515,0.010736,0.0231006,0.0109754,0.00773606,0.00452991,0.0233174,0,0,0,0,0,0
835,0,0,0,0,0.0269654,0.0051353,0,0,0.0780485,0.0235241,0.0231669,0.0105157,0,0,0.0112295,0,0.0221956,0.0111366,0.0417311,0.017092,0.0197368,0.0182111,0.00940123,0.0299789,0.0149166,0.0179808,0.0229772,0.0564697,0.0161972,0.0181802,0.012849,0.02928,0.0975213,0.00758031,0.018553,0.0060746,0.00855711,0.0246499,0.0229546,0.00400816,0.0249894,0,0,0.0267164,0,0.0193271,0.0150595,0.061707,0.0421043,0.0137134,0.0232096,0.0049168,0.0211875,0.014611,0.05648,0.0185775,0.0232174,0.00896954,0.00758643,0.00386073,0.00311945,0.0107615,0.0231069,0.0105234,0.00735839,0.0045818,0.0233509,0,0,0,0,0,0
836,0,0,0,0,0.0271768,0.0052633,0,0,0.0779757,0.0236364,0.0232775,0.0104861,0,0,0.011054,0,0.0221986,0.0110318,0.0417393,0.0170739,0.0196873,0.0182285,0.00935813,0.0303047,0.014984,0.0180296,0.0230102,0.056482,0.0161843,0.0181699,0.0128402,0.0293196,0.0974434,0.00753616,0.0185256,0.00588473,0.00860477,0.0246109,0.0229447,0.00399581,0.0251776,0,0,0.0254711,0,0.0190689,0.0142828,0.0617384,0.0420556,0.0137679,0.0231914,0.00491083,0.0209403,0.0146117,0.0565051,0.0186075,0.0232105,0.00897581,0.00757706,0.00386239,0.00313566,0.0107597,0.0231857,0.00969652,0.00715829,0.00467843,0.0235746,0,0,0,0,0,0
837,0,0,0,0,0.0270033,0.00515435,0,0,0.07808,0.023606,0.0233746,0.0105417,0,0,0.0111735,0,0.0221961,0.0111348,0.0417619,0.0171036,0.0197383,0.018218,0.00944303,0.0300079,0.0149726,0.0180157,0.0230276,0.0564428,0.0161645,0.0181826,0.0128226,0.0293137,0.0975643,0.00752708,0.0185274,0.00596957,0.00861317,0.0246497,0.0229436,0.00402633,0.0249996,0,0,0.0266191,0,0.0193082,0.0149342,0.0617805,0.0421282,0.0137352,0.0231979,0.0049457,0.0211317,0.0145979,0.0564946,0.0185448,0.0231959,0.00895931,0.00757172,0.00387862,0.00314868,0.0108473,0.0231459,0.0104231,0.00728209,0.00455803,0.0233953,0,0,0,0,0,0
