Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,x72
502,0,0,0,0,0.0275032,0.00581894,0,0,0.0824892,0.0237962,0.0234829,0.0109552,0,0,0.0123137,0,0.022172,0.011859,0.0419869,0.0183764,0.0198633,0.0182417,0.00954605,0.031505,0.0160969,0.0188822,0.0236746,0.0568034,0.0166419,0.0190423,0.01293,0.0289373,0.103291,0.00834975,0.0184196,0.00631782,0.012536,0.0272567,0.0237321,0.00450863,0.0270583,0,0,0.0276458,0,0.0177273,0.0161416,0.0614478,0.0446631,0.0137337,0.0226085,0.00511908,0.024976,0.0142323,0.0566629,0.0173955,0.0225794,0.00797067,0.00783279,0.00436663,0.00427176,0.0163106,0.0250534,0.0121755,0.00960014,0.00495646,0.0253348,0,0,0,0,0,0
503,0,0,0,0,0.0274997,0.00574364,0,0,0.0825337,0.0238479,0.0234977,0.0109845,0,0,0.0123266,0,0.0222188,0.0118984,0.0420458,0.0183672,0.0199331,0.0182591,0.0095305,0.0314157,0.0160869,0.0188681,0.0236906,0.056779,0.0166048,0.0190375,0.0129254,0.0289308,0.103314,0.00829077,0.0184915,0.00632179,0.012455,0.0273004,0.0237602,0.00453742,0.027066,0,0,0.0276733,0,0.0177258,0.0161189,0.0614328,0.0448415,0.0137019,0.0226365,0.00510835,0.0249493,0.0142351,0.0566687,0.0174233,0.0225496,0.00797528,0.00782436,0.00439084,0.00430891,0.0162398,0.0250798,0.0121888,0.00952782,0.0049143,0.0253232,0,0,0,0,0,0
504,0,0,0,0,0.0274999,0.00567846,0,0,0.0824952,0.0238769,0.0235324,0.0109868,0,0,0.012259,0,0.0222553,0.0118627,0.0419987,0.0183357,0.0199751,0.0183104,0.0095245,0.0314186,0.0161606,0.0189098,0.0237323,0.0567786,0.0165675,0.019007,0.0128995,0.0289077,0.103237,0.00823767,0.0185344,0.00632567,0.0123631,0.0273115,0.023766,0.00455728,0.0271092,0,0,0.0276661,0,0.0176817,0.0161338,0.0613973,0.0449765,0.0136908,0.0226873,0.00510376,0.0250079,0.0142483,0.0566595,0.0175221,0.0225739,0.00798174,0.00783816,0.00438321,0.0043133,0.0161595,0.0251093,0.0121806,0.0093868,0.00491768,0.0253402,0,0,0,0,0,0
505,0,0,0,0,0.0275493,0.00561923,0,0,0.0825713,0.0238799,0.0236295,0.0110155,0,0,0.0122026,0,0.0222809,0.011811,0.0420043,0.0182926,0.0199738,0.0183586,0.00953325,0.0314169,0.0161645,0.0189105,0.0237359,0.0567639,0.0165235,0.0189917,0.012868,0.0288923,0.103272,0.00830751,0.0185295,0.00633966,0.0122867,0.0272906,0.0238165,0.00459585,0.0272118,0,0,0.0276426,0,0.0176721,0.0161133,0.0614117,0.0449579,0.0136764,0.022696,0.00510587,0.025096,0.0142461,0.056636,0.0176708,0.0225575,0.00796043,0.00786743,0.00440654,0.00429853,0.0160678,0.0251295,0.0121423,0.00936035,0.00488628,0.025403,0,0,0,0,0,0
506,0,0,0,0,0.0276166,0.0056819,0,0,0.0826445,0.0238246,0.0237096,0.0110321,0,0,0.0121156,0,0.0222615,0.0117367,0.0420893,0.0182771,0.0199742,0.0183834,0.00956025,0.0314527,0.0161548,0.0188993,0.023749,0.0567382,0.0164987,0.0189753,0.012859,0.0288885,0.103348,0.00825258,0.018487,0.00631667,0.0121994,0.0272736,0.023865,0.00464209,0.0273516,0,0,0.027624,0,0.0176912,0.0160629,0.0614815,0.0450513,0.0136641,0.0226878,0.00510335,0.025231,0.014249,0.056634,0.0176606,0.022598,0.00795141,0.00788266,0.00441784,0.00428167,0.0159726,0.0251696,0.0120791,0.00922491,0.00487382,0.0254746,0,0,0,0,0,0
507,0,0,0,0,0.0276435,0.00566521,0,0,0.0826815,0.0237381,0.0236185,0.0110328,0,0,0.0120061,0,0.0221896,0.0117032,0.0421025,0.0182523,0.0199921,0.0184102,0.00960377,0.0315103,0.0161665,0.0189287,0.0237798,0.0567112,0.016477,0.0189384,0.0128419,0.0288781,0.103396,0.00809701,0.0184341,0.00625171,0.0120925,0.0272469,0.0238547,0.00462804,0.02748,0,0,0.0275943,0,0.017734,0.0160745,0.0615011,0.0449964,0.0136445,0.0226934,0.00509562,0.0254195,0.0142485,0.0566275,0.0175785,0.0226381,0.00797861,0.00789775,0.00439856,0.00423602,0.015878,0.0252259,0.0120334,0.00914389,0.00488982,0.0255227,0,0,0,0,0,0
508,0,0,0,0,0.027652,0.00553482,0,0,0.0827753,0.0236844,0.0235392,0.0110608,0,0,0.0118917,0,0.0221354,0.0116335,0.0421632,0.0182451,0.0200479,0.018424,0.00966027,0.0315222,0.0161295,0.0189189,0.0237782,0.0566667,0.0164624,0.018934,0.0128283,0.0288834,0.103547,0.00806845,0.0184216,0.00619686,0.012012,0.0272548,0.0238623,0.00459513,0.0275725,0,0,0.0275746,0,0.017781,0.0162052,0.0614769,0.0450686,0.0136076,0.0226969,0.00510161,0.0256376,0.0142914,0.0566075,0.0176849,0.0226635,0.0079859,0.00792026,0.00437824,0.00413464,0.0158279,0.0252603,0.012049,0.00914587,0.00486934,0.0255461,0,0,0,0,0,0
509,0,0,0,0,0.0276626,0.00542126,0,0,0.0827905,0.0236796,0.0235713,0.0110739,0,0,0.0118358,0,0.0221422,0.0115615,0.042195,0.0182473,0.0200835,0.0184357,0.00966935,0.0315804,0.0161309,0.0189293,0.0237976,0.0566313,0.0164263,0.0189011,0.0127934,0.0288763,0.103533,0.00801467,0.0184476,0.00615414,0.0119262,0.0272336,0.0238685,0.00456392,0.0277177,0,0,0.0275683,0,0.0177873,0.0162211,0.0614853,0.0450054,0.0135957,0.0227011,0.0051128,0.0259272,0.0143279,0.05661,0.0177309,0.0226934,0.00797093,0.00794284,0.00434868,0.00398731,0.0157503,0.0253416,0.0120064,0.0091294,0.00485441,0.025653,0,0,0,0,0,0
510,0,0,0,0,0.0276386,0.00553598,0,0,0.0827105,0.0237717,0.0236051,0.0110592,0,0,0.0119206,0,0.0222086,0.0115885,0.0421403,0.0182574,0.0200503,0.0184421,0.00964666,0.0315302,0.0161784,0.0189738,0.0238171,0.056639,0.0164061,0.0188589,0.0127849,0.0288928,0.103391,0.0080451,0.0184975,0.00620562,0.0119386,0.0271566,0.0238763,0.00456834,0.0275678,0,0,0.0276294,0,0.0178039,0.0161052,0.0614753,0.0450395,0.0135836,0.0227102,0.00510608,0.0256559,0.0143192,0.0566278,0.017712,0.0226837,0.00796456,0.00790877,0.00435936,0.00400368,0.0157315,0.0252785,0.0119899,0.00916184,0.00487694,0.0255922,0,0,0,0,0,0
511,0,0,0,0,0.0276474,0.00563461,0,0,0.0827666,0.0239243,0.0236146,0.0110631,0,0,0.0119076,0,0.0222819,0.0116257,0.0421389,0.0182687,0.0200673,0.0184309,0.00964927,0.0314659,0.0161645,0.0189514,0.0237988,0.0566342,0.0164024,0.0188538,0.012804,0.0289111,0.103373,0.00802536,0.0185169,0.00621952,0.0120134,0.0270505,0.0238632,0.00461733,0.027434,0,0,0.0276794,0,0.0178821,0.0160431,0.0614503,0.0449272,0.0135805,0.0227286,0.00509968,0.0253488,0.0143047,0.0566355,0.0177227,0.0226631,0.0079783,0.0078889,0.00437141,0.00398436,0.0157786,0.0252272,0.0119726,0.00933024,0.00482276,0.02551,0,0,0,0,0,0
512,0,0,0,0,0.0276361,0.00567998,0,0,0.0827132,0.0239974,0.023604,0.0110621,0,0,0.0118408,0,0.022325,0.0116058,0.0421034,0.0182464,0.0200728,0.0184313,0.00963959,0.0313895,0.0161645,0.0189386,0.0237839,0.0566417,0.0164156,0.0188597,0.0128215,0.0289258,0.103324,0.00799494,0.0185601,0.00616853,0.0120847,0.0269469,0.0238536,0.00460312,0.027298,0,0,0.0277176,0,0.0179662,0.0160518,0.0614051,0.0449602,0.013583,0.0227197,0.00507545,0.0250678,0.0142945,0.0566442,0.0177485,0.0226296,0.00796063,0.00786147,0.00439629,0.00415269,0.0158506,0.0251554,0.011976,0.00949504,0.00480183,0.025421,0,0,0,0,0,0
513,0,0,0,0,0.0276409,0.00568457,0,0,0.0826622,0.0240039,0.0235958,0.0110696,0,0,0.0118422,0,0.0223072,0.0116018,0.0421123,0.0181388,0.0200695,0.0184129,0.00960666,0.0312879,0.0161081,0.0189092,0.0237604,0.0566369,0.016426,0.0188722,0.0128355,0.0289367,0.103356,0.00798271,0.0185659,0.00617292,0.0121391,0.0268685,0.0238482,0.00458904,0.0271475,0,0,0.0277849,0,0.0180377,0.0160885,0.0613775,0.0450668,0.0135878,0.0227224,0.00504655,0.0248398,0.0142831,0.0566441,0.0177747,0.022626,0.0079501,0.00783996,0.00442151,0.0042425,0.0159157,0.0251328,0.0119991,0.0094908,0.00477965,0.0253649,0,0,0,0,0,0
514,0,0,0,0,0.0276439,0.00568802,0,0,0.0825255,0.0239014,0.023557,0.011015,0,0,0.0119448,0,0.0221921,0.0116838,0.04206,0.0179744,0.0200272,0.0184187,0.00956674,0.0311633,0.016133,0.0189471,0.0237604,0.0566331,0.0164205,0.0188585,0.0128202,0.0289396,0.103223,0.00795238,0.0185336,0.0062909,0.0121522,0.0268201,0.0238428,0.00458171,0.0270274,0,0,0.027888,0,0.0180736,0.0161358,0.0613786,0.0449283,0.013617,0.0227268,0.00502197,0.0246607,0.0142489,0.056644,0.017701,0.0225669,0.00792567,0.00782279,0.00443454,0.0041661,0.0159168,0.0250875,0.01204,0.00951437,0.00472759,0.0252765,0,0,0,0,0,0
515,0,0,0,0,0.02763,0.00571448,0,0,0.0824579,0.0237265,0.0235636,0.0110029,0,0,0.0120992,0,0.0221194,0.0117768,0.0420262,0.0181003,0.0200074,0.0184063,0.00956023,0.0310737,0.0161652,0.018941,0.0237293,0.0566356,0.016424,0.0188317,0.0128194,0.0289345,0.103121,0.00787161,0.0185518,0.00648881,0.0121576,0.0267702,0.023835,0.00457105,0.0269453,0,0,0.0279604,0,0.0181357,0.0161762,0.0613788,0.0448946,0.0136273,0.0227095,0.00499881,0.024506,0.0142267,0.0566453,0.0175823,0.0225178,0.0078959,0.00780802,0.00443437,0.00412377,0.0159045,0.0249954,0.0120722,0.00951803,0.00468842,0.0251999,0,0,0,0,0,0
516,0,0,0,0,0.0276229,0.00570978,0,0,0.0824119,0.023657,0.0236521,0.0110086,0,0,0.0121234,0,0.0221184,0.0118025,0.0420377,0.0182242,0.0200177,0.0184089,0.00955832,0.0310326,0.0161677,0.0189245,0.0236974,0.056642,0.0164131,0.0188054,0.0128388,0.0289441,0.103045,0.00781144,0.0185551,0.00651612,0.0121696,0.0266732,0.0238576,0.00455618,0.0268945,0,0,0.0280132,0,0.0182172,0.0162138,0.0613689,0.0450314,0.0136231,0.0226728,0.0050076,0.0243862,0.0142291,0.0566286,0.0176569,0.0224736,0.00786369,0.00778705,0.00444081,0.00453372,0.0158768,0.0248265,0.0120656,0.00950809,0.00468557,0.0251823,0,0,0,0,0,0
517,0,0,0,0,0.0275825,0.00565426,0,0,0.0820869,0.0237593,0.0237756,0.0109428,0,0,0.0120303,0,0.0221587,0.0117374,0.0420723,0.0182146,0.019961,0.0184659,0.00951373,0.0310129,0.0162477,0.0190089,0.0237261,0.0566783,0.0163786,0.0187263,0.0128364,0.0289327,0.102647,0.00773104,0.0185646,0.00637917,0.0121663,0.0266022,0.0238558,0.00453099,0.0268521,0,0,0.0280427,0,0.0182545,0.0161622,0.061352,0.0449023,0.0136415,0.0226737,0.005014,0.0243459,0.0142247,0.0566225,0.0177192,0.0224936,0.00786216,0.00777052,0.00443543,0.00473247,0.0158201,0.0247345,0.0120526,0.00945085,0.00470778,0.0251758,0,0,0,0,0,0
518,0,0,0,0,0.0275587,0.00554381,0,0,0.0814505,0.0238357,0.0236206,0.0108161,0,0,0.0119271,0,0.0221742,0.0116903,0.042127,0.0181293,0.0198414,0.0185356,0.00943906,0.0309965,0.0164582,0.0192293,0.0237962,0.0567596,0.0163455,0.0185881,0.0127938,0.0289053,0.101885,0.00773002,0.018596,0.00629329,0.0121037,0.026557,0.0238535,0.00450022,0.0268201,0,0,0.0280646,0,0.018308,0.0162436,0.0613538,0.0448747,0.0136899,0.0226793,0.00500353,0.0243685,0.0142409,0.0566463,0.0176692,0.0224772,0.00785646,0.00773637,0.0044466,0.00469059,0.0157111,0.0246918,0.0120225,0.00927098,0.00471637,0.0251424,0,0,0,0,0,0
519,0,0,0,0,0.0275401,0.0054016,0,0,0.0812937,0.0238333,0.0236162,0.0108138,0,0,0.0118661,0,0.0221803,0.011674,0.0421301,0.0180534,0.0198357,0.0184852,0.00944814,0.0309891,0.0164416,0.0192261,0.0237624,0.0567466,0.0163808,0.0185572,0.0127749,0.0288927,0.101683,0.00781202,0.018603,0.00627759,0.0120536,0.0265062,0.0238538,0.00448677,0.0268228,0,0,0.0280055,0,0.0183507,0.0162936,0.0614055,0.0450571,0.0137068,0.0226557,0.00502065,0.0243814,0.0142366,0.056655,0.0174924,0.0224498,0.00783976,0.00772148,0.00445832,0.00464672,0.015658,0.0247211,0.0119872,0.00916871,0.00472152,0.0251089,0,0,0,0,0,0
520,0,0,0,0,0.0274811,0.00531071,0,0,0.0815124,0.0238096,0.0234174,0.010887,0,0,0.0118296,0,0.0221948,0.0116256,0.0420916,0.0179347,0.0198852,0.0184499,0.00951837,0.030976,0.0162951,0.0190937,0.0237221,0.056685,0.0163868,0.0186006,0.0127743,0.028892,0.101962,0.00788273,0.0185896,0.0062276,0.0120391,0.026448,0.0238494,0.00448758,0.0268367,0,0,0.0279902,0,0.0183644,0.0163112,0.0614826,0.0450476,0.0137005,0.0226351,0.00505305,0.024449,0.0142203,0.0566327,0.0174029,0.0224361,0.00783536,0.00774207,0.00444959,0.00467849,0.0156338,0.0248634,0.0119947,0.0091794,0.00476076,0.025064,0,0,0,0,0,0
521,0,0,0,0,0.0274509,0.00524614,0,0,0.0813138,0.0237829,0.0233611,0.0108225,0,0,0.0117703,0,0.0222044,0.0115399,0.0421742,0.0180234,0.0198424,0.0185174,0.00950119,0.0310194,0.0163805,0.0191499,0.0237586,0.0566963,0.0163492,0.0185586,0.012757,0.0288982,0.101743,0.00783833,0.0185954,0.00615934,0.0119806,0.0264417,0.0238403,0.00448652,0.0268753,0,0,0.0280227,0,0.0183793,0.0162845,0.0615114,0.0447877,0.0137018,0.0226475,0.00506095,0.0246119,0.0142358,0.0566208,0.0174386,0.0225054,0.00785486,0.00775407,0.00443058,0.00466755,0.0155076,0.0249272,0.0120131,0.00916747,0.00480528,0.0250553,0,0,0,0,0,0
522,0,0,0,0,0.0274331,0.00515432,0,0,0.0813658,0.0237386,0.0234281,0.0108496,0,0,0.0117342,0,0.0222046,0.0114707,0.0423058,0.0181336,0.0198852,0.0185103,0.00952936,0.0310689,0.0162783,0.0190835,0.0237348,0.0566549,0.0163455,0.0185846,0.0127481,0.028908,0.101819,0.00795721,0.018592,0.00614446,0.0118973,0.0264369,0.023834,0.00452617,0.0269446,0,0,0.0280188,0,0.018395,0.0162889,0.061514,0.0447289,0.0136649,0.022658,0.00508046,0.0247941,0.0142559,0.0566151,0.0174956,0.0225766,0.00787213,0.00777419,0.00443265,0.0046397,0.015407,0.0248796,0.011994,0.00912906,0.00484418,0.0250593,0,0,0,0,0,0
523,0,0,0,0,0.0275016,0.00503499,0,0,0.0818289,0.0237066,0.0235225,0.0109311,0,0,0.011899,0,0.0221944,0.0115722,0.0422966,0.0181106,0.019974,0.0184724,0.00957022,0.0310203,0.0160464,0.0188756,0.0237224,0.0565594,0.0163385,0.0186832,0.0127515,0.0289088,0.102409,0.00805068,0.0185976,0.00622262,0.0117948,0.0263232,0.0238423,0.00460202,0.0270743,0,0,0.0279739,0,0.0184331,0.0163324,0.0615104,0.0448302,0.0136118,0.0226552,0.0050786,0.0248784,0.0142516,0.0566205,0.0175138,0.0226061,0.00790403,0.00779585,0.0044652,0.004631,0.01538,0.0249114,0.011902,0.00906274,0.00480117,0.0251404,0,0,0,0,0,0
524,0,0,0,0,0.0275026,0.00487143,0,0,0.08161,0.0237007,0.0234308,0.0109335,0,0,0.0119369,0,0.022171,0.0116275,0.0422694,0.0179089,0.0199864,0.0184777,0.00956621,0.0308745,0.0161138,0.0189236,0.0237481,0.0565729,0.0163075,0.0186333,0.0127381,0.0288772,0.102153,0.00796781,0.0186164,0.00623363,0.0117573,0.0262578,0.023839,0.00463945,0.0271429,0,0,0.0278612,0,0.0184844,0.016333,0.0615061,0.0447768,0.0136397,0.0226575,0.00511717,0.0249756,0.0142395,0.0566232,0.0175103,0.0226012,0.00791042,0.00780177,0.00452157,0.0046104,0.0153682,0.0249561,0.0118759,0.00908828,0.00466063,0.025141,0,0,0,0,0,0
525,0,0,0,0,0.0274753,0.00495918,0,0,0.0815603,0.0237357,0.0234562,0.0110464,0,0,0.0120103,0,0.022162,0.0116746,0.042152,0.0179685,0.0199803,0.0184793,0.00961176,0.0307597,0.0161223,0.0189323,0.0237409,0.0565953,0.0162926,0.0186006,0.0127453,0.0288765,0.101994,0.00785925,0.0185994,0.00624005,0.0117914,0.0261642,0.0238473,0.0046252,0.0269633,0,0,0.0279471,0,0.0185495,0.0162999,0.0614954,0.044818,0.0136717,0.0226449,0.00513223,0.0246851,0.0142198,0.056623,0.0174788,0.0225472,0.00786739,0.00777576,0.00451658,0.0046322,0.0153775,0.0248908,0.0118577,0.00907113,0.00468556,0.025015,0,0,0,0,0,0
526,0,0,0,0,0.0274482,0.0049936,0,0,0.0812517,0.0237912,0.0234073,0.0110045,0,0,0.012056,0,0.0221346,0.0117092,0.0421134,0.0178448,0.0198965,0.0185349,0.00957006,0.0306371,0.0162771,0.0190709,0.0237869,0.0566443,0.0162626,0.018499,0.0127491,0.0288702,0.101499,0.00795685,0.0185621,0.00623094,0.0118057,0.0260699,0.0238436,0.00461448,0.0268275,0,0,0.0280001,0,0.0186252,0.0161963,0.061488,0.0447077,0.0136977,0.0226574,0.00512541,0.0244324,0.0142282,0.0566329,0.0174893,0.0226038,0.00789646,0.00774847,0.00449976,0.00459269,0.0153192,0.0248378,0.0118068,0.00900634,0.00472513,0.024913,0,0,0,0,0,0
527,0,0,0,0,0.0273922,0.00502763,0,0,0.0810785,0.0238209,0.0233671,0.0109508,0,0,0.0120757,0,0.0221315,0.0117123,0.0421038,0.0178754,0.0198603,0.0185856,0.00953289,0.0305585,0.0163295,0.0191151,0.0238119,0.0566629,0.0162471,0.0184587,0.0127423,0.0288772,0.10132,0.00800936,0.0185449,0.00622612,0.0117649,0.0259875,0.0238558,0.00462618,0.0267124,0,0,0.028027,0,0.0186942,0.0159601,0.0614637,0.0448545,0.0136961,0.0226628,0.00511588,0.0242074,0.0142345,0.0566483,0.0175043,0.022607,0.00789013,0.00772702,0.00444653,0.00453848,0.0152508,0.0248019,0.0117407,0.00891188,0.00475029,0.0248242,0,0,0,0,0,0
528,0,0,0,0,0.0273349,0.0050663,0,0,0.0812039,0.0238078,0.0233466,0.0109707,0,0,0.0120813,0,0.0221423,0.0117028,0.0420965,0.0178677,0.0199037,0.018591,0.00957237,0.0305141,0.016255,0.0190496,0.0238145,0.0566401,0.01626,0.0184848,0.0127307,0.0288901,0.101526,0.00802206,0.018546,0.00620915,0.0117555,0.0259113,0.023859,0.00462856,0.02661,0,0,0.0280242,0,0.018721,0.0158518,0.0614754,0.044895,0.0136728,0.0226589,0.00511393,0.0240277,0.0142344,0.0566509,0.0175105,0.022617,0.0078533,0.0077218,0.00443527,0.00454732,0.0152271,0.0247923,0.0116646,0.00881826,0.00475171,0.0247323,0,0,0,0,0,0
529,0,0,0,0,0.0273131,0.0050967,0,0,0.0814016,0.0237911,0.0234364,0.0110243,0,0,0.0120765,0,0.0221705,0.0116766,0.0420843,0.0180817,0.019955,0.0185615,0.00963367,0.0305031,0.0161548,0.0189709,0.0237989,0.0566157,0.0162811,0.0185083,0.0127342,0.0288915,0.101772,0.00802875,0.0185533,0.00618705,0.0117692,0.02581,0.0238835,0.00461097,0.0265307,0,0,0.02796,0,0.0187427,0.0158599,0.0615007,0.0447895,0.0136516,0.0226506,0.00510818,0.023892,0.0142295,0.0566424,0.0175194,0.0226032,0.00784359,0.00774337,0.00444135,0.00458695,0.0152139,0.024801,0.01154,0.00867873,0.0047318,0.0246622,0,0,0,0,0,0
530,0,0,0,0,0.0273235,0.00507768,0,0,0.0811996,0.0237849,0.0234649,0.0109655,0,0,0.0120684,0,0.0221819,0.0116987,0.0420779,0.0180189,0.019897,0.0186086,0.00958451,0.0304942,0.0162431,0.0190675,0.0238461,0.0566447,0.0162609,0.0184635,0.0127285,0.0288888,0.101527,0.00805364,0.0185483,0.00617548,0.0117021,0.0256666,0.0238889,0.00457553,0.026494,0,0,0.0278868,0,0.0187751,0.0158919,0.0615271,0.0447778,0.0136546,0.0226658,0.00507869,0.023779,0.0142443,0.056622,0.0175571,0.0225635,0.00788253,0.00774233,0.0044748,0.00456998,0.0151521,0.0247467,0.0113532,0.00854389,0.00475286,0.0246232,0,0,0,0,0,0
531,0,0,0,0,0.0273204,0.00507835,0,0,0.0812723,0.023796,0.0234737,0.010969,0,0,0.0121115,0,0.0222157,0.0117949,0.0420715,0.0178439,0.0198706,0.018618,0.0095271,0.0304674,0.0162056,0.0190552,0.0238888,0.0566367,0.0162534,0.0184807,0.0127322,0.0289189,0.101618,0.00809803,0.0185529,0.00618821,0.0116618,0.0253711,0.0238922,0.00456887,0.0264328,0,0,0.027724,0,0.0188993,0.0156614,0.0615391,0.0447063,0.0136407,0.0226776,0.00501453,0.0235613,0.0142655,0.056598,0.0176373,0.0225621,0.0078843,0.00775313,0.00454604,0.00453133,0.0150871,0.0246487,0.0110153,0.00835616,0.00482162,0.024574,0,0,0,0,0,0
532,0,0,0,0,0.0274795,0.00525749,0,0,0.0815937,0.0238531,0.0235027,0.0110331,0,0,0.0122176,0,0.0222423,0.0118864,0.0420366,0.0179306,0.019891,0.0186039,0.00955721,0.030551,0.0160452,0.0189397,0.023881,0.0566035,0.0162737,0.0185473,0.0127685,0.0289608,0.102022,0.00824069,0.018535,0.00625142,0.011653,0.0249251,0.0239033,0.00458217,0.0263846,0,0,0.0267916,0,0.0191491,0.0148908,0.0615224,0.0448555,0.0136361,0.0226823,0.00498734,0.0230505,0.0142566,0.0565897,0.017697,0.0225621,0.00786414,0.00776876,0.00452417,0.00451683,0.0150732,0.0245956,0.0102048,0.00797689,0.00494642,0.0245951,0,0,0,0,0,0
533,0,0,0,0,0.0272804,0.00502533,0,0,0.0816209,0.0238102,0.0235241,0.0109836,0,0,0.012093,0,0.0222536,0.0116994,0.0420642,0.0179361,0.0199428,0.0186031,0.00959507,0.0303978,0.0160474,0.0189321,0.0239077,0.0565717,0.0162504,0.0185228,0.0127412,0.0289178,0.102056,0.00830386,0.0185521,0.00619497,0.0116207,0.0250965,0.0239421,0.00458002,0.0263598,0,0,0.0275195,0,0.019134,0.0154773,0.061545,0.0449017,0.0136324,0.0226583,0.00500628,0.0234478,0.0142366,0.0565863,0.0176106,0.0225568,0.0078603,0.00777234,0.004433,0.00451662,0.0150137,0.0245561,0.0107911,0.0084432,0.00488931,0.0245272,0,0,0,0,0,0
534,0,0,0,0,0.0272443,0.00490022,0,0,0.0812753,0.023787,0.0234891,0.0107904,0,0,0.0120178,0,0.0222465,0.0116673,0.0420764,0.018058,0.0199354,0.0186332,0.00959142,0.0303489,0.016217,0.0190954,0.0239555,0.0566139,0.0162263,0.0184353,0.0126969,0.0288818,0.101634,0.0083743,0.0185684,0.00619613,0.011606,0.025532,0.0239522,0.00457318,0.0263969,0,0,0.0276815,0,0.0188234,0.0157952,0.0615609,0.0447505,0.0136471,0.0226742,0.00508165,0.0236762,0.0142621,0.0565922,0.017634,0.0225539,0.00790607,0.00777121,0.00442876,0.00450091,0.0149467,0.0245194,0.0112107,0.008745,0.00487843,0.0245034,0,0,0,0,0,0
535,0,0,0,0,0.0272491,0.00486778,0,0,0.0810487,0.0237888,0.0234494,0.0107235,0,0,0.0119712,0,0.0222377,0.0116214,0.042064,0.0181757,0.0199311,0.0186328,0.00962511,0.0303443,0.0163166,0.0191751,0.0239609,0.0566364,0.0162187,0.0183844,0.0126781,0.0288576,0.101344,0.00843248,0.0185728,0.00619646,0.0115571,0.0256775,0.0239475,0.00462981,0.0264266,0,0,0.02774,0,0.0187399,0.0158005,0.0615268,0.0448516,0.0136427,0.0227237,0.00514529,0.0237998,0.014295,0.0565923,0.0177441,0.0226016,0.00794732,0.00776503,0.00449562,0.00448429,0.0149024,0.0244901,0.0113845,0.00871043,0.00484803,0.0244883,0,0,0,0,0,0
536,0,0,0,0,0.0272048,0.00482,0,0,0.0810416,0.0238065,0.0234031,0.0107266,0,0,0.0119578,0,0.0222213,0.0115628,0.042072,0.0182309,0.0198901,0.0186269,0.0096667,0.0303365,0.0163342,0.0191826,0.0239614,0.0566164,0.0161993,0.0183555,0.0126586,0.0288434,0.101296,0.00847303,0.0185598,0.00618899,0.0117791,0.0257865,0.0236626,0.00462499,0.0264449,0,0,0.0277729,0,0.0186736,0.0157749,0.0615406,0.0446081,0.0136274,0.0228517,0.00517895,0.0239438,0.0143497,0.0565522,0.0177591,0.0228256,0.00815705,0.00790525,0,0.00441208,0.0147951,0.024441,0.0115144,0.00879826,0.00481669,0.0244632,0,0,0,0,0,0
537,0,0,0,0,0.0271598,0.00477322,0,0,0.0810708,0.0237912,0.0234009,0.0107314,0,0,0.0118765,0,0.0222336,0.0115262,0.0420627,0.0181151,0.0198974,0.0186348,0.00968343,0.0303588,0.0163266,0.0191649,0.0239599,0.056603,0.0161915,0.0183501,0.0126422,0.0288459,0.101324,0.00844743,0.0185559,0.00613365,0.0113873,0.0258302,0.0239248,0.00464718,0.0265004,0,0,0.0277591,0,0.0186457,0.0157404,0.0615153,0.0449646,0.0136032,0.0227594,0.00517824,0.0241055,0.014191,0.0565727,0.0176035,0.0227109,0.00797683,0.00773836,0.00442208,0.00432223,0.0147598,0.024398,0.0116007,0.00889666,0.00479638,0.0244714,0,0,0,0,0,0
538,0,0,0,0,0.0270972,0.00478925,0,0,0.0810502,0.023761,0.0233925,0.0107487,0,0,0.0118097,0,0.0222237,0.0114402,0.0420605,0.0178482,0.0199192,0.0186666,0.00973223,0.0303757,0.0163206,0.0191668,0.0239554,0.0565963,0.016163,0.0183336,0.0126213,0.0288272,0.101325,0.00843683,0.0185521,0.00609605,0.0113259,0.0258991,0.0239116,0.00464147,0.026582,0,0,0.0277044,0,0.0186112,0.015721,0.0615273,0.0449324,0.0136133,0.0227679,0.00523143,0.024349,0.014243,0.0565585,0.0176172,0.0227044,0.0079948,0.00776796,0.00441965,0.00420127,0.0147425,0.0243778,0.0116572,0.00894493,0.00477974,0.024472,0,0,0,0,0,0
