Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,RTIBA,RTIBI
412,0,0,0,0,0.0208703,0.00473012,0,0,0.0337564,0.0193658,0.0238065,0.00862045,0,0,0.00340267,0,0.021092,0.0045672,0.0372051,0.0296569,0.0161116,0.0272474,0.010177,0.0232437,0.0114286,0.0151031,0.0301997,0.0698062,0.022585,0.0200101,0.0162694,0.0263247,0.0366102,0.00678601,0.0178641,0.00220787,0.0260821,0.0218452,0.0121441,0.00552177,0.0174735,0,0,0.00591984,0,0.012442,0.00945977,0.0601722,0.0144296,0.0127168,0.0267579,0.00755432,0.0212098,0.0189535,0.0656598,0.019616,0.0309707,0.0214343,0.021904,0.0297165,0.00629324,0.0168632,0.0083077,0.00147334,0.0176565,0,0,0,0,0,0.0178544,0.00794275
413,0,0,0,0,0.0210415,0.00441791,0,0,0.0340791,0.0194098,0.0239443,0.00843836,0,0,0.0033069,0,0.0209859,0.0045924,0.0371772,0.029842,0.0160894,0.0269497,0.0103091,0.0238462,0.0112575,0.0149822,0.0300433,0.0698022,0.022647,0.0202069,0.0162909,0.0264823,0.0369907,0.00725334,0.0178396,0.00232733,0.0259728,0.0216011,0.0119974,0.00579569,0.017762,0,0,0.00498187,0,0.0128463,0.00803256,0.0601575,0.0150372,0.0128053,0.0268328,0.00788275,0.0211959,0.0188432,0.0655366,0.0195869,0.0308499,0.0214573,0.0218932,0.0295624,0.00626903,0.0147562,0.00722625,0.00123347,0.0179656,0,0,0,0,0,0.0178987,0.00794113
414,0,0,0,0,0.0212415,0.00414037,0,0,0.0342764,0.0194471,0.0238805,0.00822296,0,0,0.00319687,0,0.0209009,0.00463972,0.0371392,0.030043,0.016042,0.026682,0.010541,0.0243857,0.0111205,0.0148494,0.0298674,0.069786,0.0226642,0.020351,0.0163234,0.0266481,0.037243,0.00772487,0.017838,0.00246874,0.0258226,0.0213603,0.0120017,0.00634201,0.0180285,0,0,0.00413889,0,0.013376,0.00675743,0.0603809,0.0155367,0.0129979,0.0269527,0.00843399,0.0212039,0.0187962,0.0654147,0.0196418,0.0308027,0.0215507,0.0219437,0.0292968,0.00626121,0.0126523,0.00624435,0.00102817,0.0183029,0,0,0,0,0,0.0179772,0.00797318
415,0,0,0,0,0.0215998,0.00402516,0,0,0.0343565,0.0195253,0.0237658,0.00858475,0,0,0.00292328,0,0.0207977,0.00464372,0.0370982,0.0302492,0.0160284,0.0265048,0.0105513,0.0251233,0.0109888,0.0147589,0.0298513,0.0697415,0.0227703,0.0204667,0.0163015,0.0268015,0.0373401,0.00824831,0.0178771,0.00255035,0.0257424,0.0212468,0.0119463,0.00625069,0.0183618,0,0,0.00339106,0,0.013848,0.00556776,0.0602996,0.01515,0.0129207,0.0269186,0.00837369,0.0216329,0.0187987,0.0654872,0.0196563,0.0307761,0.0215607,0.0220394,0.0290977,0.006411,0.0105259,0.00525219,0.00108018,0.0186636,0,0,0,0,0,0.0179504,0.00797986
416,0,0,0,0,0.0217606,0.00382828,0,0,0.0344678,0.0195437,0.0236982,0.00905456,0,0,0.00322225,0,0.0207598,0.00470895,0.037008,0.0303225,0.0159427,0.0262678,0.010833,0.0256607,0.0108018,0.0146768,0.029729,0.0696838,0.0228177,0.0205756,0.0162821,0.0269258,0.0375013,0.00895322,0.0178975,0.00260648,0.0255877,0.0210143,0.0119555,0.00686813,0.0185873,0,0,0.00303996,0,0.0143421,0.00456744,0.0604661,0.0148194,0.0131069,0.027061,0.00896549,0.0220342,0.0187962,0.0653483,0.0197075,0.0308066,0.0216206,0.0221728,0.0288339,0.00654225,0.00844666,0.0044734,0.00114829,0.0189927,0,0,0,0,0,0.0180124,0.00798694
417,0,0,0,0,0.021886,0.00369066,0,0,0.0345699,0.0195009,0.0236827,0.00904343,0,0,0.00350858,0,0.0207537,0.00480058,0.0369438,0.0303934,0.0159095,0.0260395,0.0110633,0.0260053,0.0106417,0.0146209,0.0295286,0.0696016,0.0228017,0.020658,0.0162911,0.0270198,0.0376423,0.00962988,0.0179173,0.00271562,0.0254305,0.0208402,0.0119951,0.00728223,0.0187688,0,0,0.00275378,0,0.0147506,0.00362482,0.0605421,0.0149235,0.013183,0.0271714,0.00939095,0.0225401,0.0188407,0.0652892,0.0197329,0.0308932,0.0216764,0.0223248,0.0286342,0.00674368,0.00640185,0.00375792,0.00133011,0.0192954,0,0,0,0,0,0.0180565,0.00800636
418,0,0,0,0,0.0219209,0.00356176,0,0,0.034582,0.0194134,0.0236342,0.00867272,0,0,0.00353559,0,0.0207552,0.00487751,0.0368925,0.0305261,0.0159137,0.0258867,0.0111769,0.0262676,0.0105172,0.0145918,0.0293762,0.0695425,0.0227815,0.0207234,0.016336,0.0271195,0.0376889,0.00954,0.0179417,0.00278915,0.025265,0.0207233,0.0120022,0.00746664,0.0189132,0,0,0.00262819,0,0.0151009,0.00278294,0.060542,0.0153093,0.0131446,0.027217,0.00948101,0.022939,0.0189055,0.0652969,0.019727,0.0309718,0.0217015,0.0222058,0.028455,0.00690912,0.00468138,0.00316366,0.00144937,0.0195863,0,0,0,0,0,0.0181197,0.008024
419,0,0,0,0,0.0220027,0.00346746,0,0,0.0345892,0.0193638,0.0236271,0.00860411,0,0,0.00357489,0,0.0208037,0.00488817,0.0369134,0.0306662,0.0159049,0.0257281,0.011233,0.0264819,0.0104186,0.014563,0.0292104,0.0694494,0.0227752,0.0207991,0.0163607,0.0271992,0.037708,0.00940326,0.0179914,0.00277626,0.0251436,0.0207419,0.0120182,0.00745448,0.0191125,0,0,0.00266251,0,0.0153508,0.00213067,0.0605106,0.0158462,0.0131305,0.0272595,0.00953338,0.0236048,0.0189664,0.0653087,0.019738,0.0310823,0.0217292,0.0221394,0.0283078,0.00721097,0.00329614,0.00273875,0.00153554,0.0199179,0,0,0,0,0,0.0181903,0.00807682
420,0,0,0,0,0.0221583,0.00336595,0,0,0.0346132,0.0193579,0.0235998,0.00877824,0,0,0.00364478,0,0.0208597,0.00492216,0.036962,0.0307445,0.0159051,0.0255018,0.0113108,0.0265118,0.0102671,0.014485,0.0289667,0.0693451,0.0227595,0.0208419,0.0163702,0.027263,0.0378011,0.00935854,0.0180245,0.00277651,0.0250593,0.020778,0.0120668,0.00744829,0.0193397,0,0,0.00275715,0,0.0155081,0.00164929,0.0604926,0.0160312,0.0131378,0.0273001,0.00961595,0.0243743,0.0190576,0.0653472,0.0197611,0.0312192,0.0217539,0.0221626,0.028175,0.00761244,0.00227512,0.002428,0.00164653,0.0202372,0,0,0,0,0,0.0182564,0.00814188
421,0,0,0,0,0.0222871,0.00333045,0,0,0.0345926,0.0193558,0.0234883,0.00867147,0,0,0.00366745,0,0.0209369,0.00496995,0.0369674,0.0308013,0.0159144,0.0252126,0.0114433,0.0263921,0.0100843,0.0143445,0.0288207,0.0692721,0.0227443,0.0208457,0.0163341,0.0273432,0.0380127,0.00931249,0.0180484,0.00280313,0.0250119,0.0209012,0.0119714,0.00758267,0.0195118,0,0,0.00290975,0,0.0155653,0.00137303,0.06046,0.016028,0.0131297,0.0273319,0.0096907,0.0252369,0.0191606,0.0653848,0.0197753,0.0313579,0.0217769,0.0222053,0.0281127,0.00803679,0.00194914,0.0022383,0.00172658,0.0204985,0,0,0,0,0,0.0182894,0.00818856
