Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LTIBP,LILC,BBL,LBHD,LGTR,L5HD,LWRB,LTIBI
247,0,0,0,0,0,0.031348,0.0390981,0,0,0,0.0289234,0.0254303,0,0.0188829,0,0,0.0302331,0.0194158,0.0160896,0.0270471,0.0327317,0.0603897,0.083377,0.0879339,0.0691303,0.0412048,0.0353469,0.0340551,0.011062,0.00933469,0.0305784,0,0.0337789,0.0346739,0,0,0.0193494,0,0,0.0329028,0.0854163,0.0560665,0.0180802,0.0208389,0.0383263,0.0356564,0.0484487,0.080987,0.0738872,0.0340307,0.056616,0.0281291,0.0379112,0.0701851,0.0603279,0.0108287,0.0110157,0.0169792,0.0182087,0.0260398,0,0,0,0,0.0437346,0.0174018,0,0,0.0902989,0,0.0199776,0.0374965
248,0,0,0,0,0,0.0313675,0.0391197,0,0,0,0.0293085,0.0252902,0,0.0189041,0,0,0.0302497,0.019305,0.0158766,0.0267338,0.0325916,0.0605736,0.0834463,0.0881653,0.0692569,0.0413415,0.0355173,0.0335851,0.0111145,0.00928831,0.0304732,0,0.0335472,0.0346204,0,0,0.0186614,0,0,0.0330151,0.0852474,0.0554557,0.0172388,0.0210634,0.0382355,0.0355704,0.0485347,0.0810355,0.0737775,0.0339236,0.0569286,0.0284165,0.0382061,0.0704589,0.0591796,0.0108389,0.0113079,0.0170665,0.0181649,0.0261185,0,0,0,0,0.043888,0.0168929,0,0,0.0899843,0,0.0199519,0.0375332
249,0,0,0,0,0,0.0308037,0.0390284,0,0,0,0.0292301,0.0252927,0,0.019189,0,0,0.0302889,0.0189661,0.0155888,0.0270253,0.0329757,0.0603785,0.0834205,0.0883304,0.0691754,0.0414647,0.0356738,0.0335418,0.0111655,0.00930402,0.0305435,0,0.0330019,0.0342172,0,0,0.0192494,0,0,0.0327684,0.083946,0.0543392,0.0160524,0.0254805,0.0382983,0.0357572,0.0499062,0.0839506,0.0742326,0.0322485,0.0566956,0.0304413,0.0374976,0.0696076,0.0513622,0.0106755,0.0110344,0.0169086,0.0179139,0.0266464,0,0,0,0,0.0440865,0.0166797,0,0,0.0897367,0,0.0201123,0.0374567
250,0,0,0,0,0,0.031301,0.0389517,0,0,0,0.0295662,0.0252298,0,0.0189188,0,0,0.0301817,0.0192594,0.0152814,0.0262036,0.0323328,0.0607514,0.0835008,0.0886712,0.0697149,0.0413154,0.0355004,0.0328576,0.011111,0.00933659,0.0306665,0,0.0328697,0.0346879,0,0,0.0191496,0,0,0.0328709,0.0846887,0.0542146,0.0164893,0.0215486,0.0383157,0.0357358,0.0488645,0.0814541,0.0737847,0.0338919,0.0576634,0.0291331,0.0390262,0.0712045,0.057837,0.0107837,0.0109652,0.0170174,0.0180738,0.0260825,0,0,0,0,0.0442385,0.0164855,0,0,0.0896471,0,0.0198996,0.0373634
251,0,0,0,0,0,0.0312852,0.0388574,0,0,0,0.0297959,0.0251783,0,0.0188132,0,0,0.0301733,0.0194379,0.0152336,0.0259744,0.0322555,0.0607737,0.0835825,0.0887345,0.0698116,0.0412302,0.0353378,0.0323683,0.011059,0.00937595,0.0307043,0,0.0325537,0.034815,0,0,0.0191838,0,0,0.0330804,0.0843014,0.0537055,0.0162846,0.021779,0.03842,0.0357651,0.0490303,0.0817893,0.0738626,0.0339575,0.0581646,0.0294802,0.039528,0.0717184,0.0576242,0.0108326,0.0109732,0.0170716,0.018037,0.0259559,0,0,0,0,0.0443461,0.0164388,0,0,0.0896797,0,0.0198787,0.037477
252,0,0,0,0,0,0.0313349,0.0388288,0,0,0,0.0298822,0.0252088,0,0.0187142,0,0,0.0301487,0.0196267,0.0153471,0.025587,0.0321889,0.0608136,0.0836595,0.0887043,0.0697798,0.0410886,0.0351809,0.0321077,0.0109711,0.00939727,0.0307391,0,0.0322731,0.0349382,0,0,0.0192361,0,0,0.0331677,0.0840016,0.0531037,0.0156959,0.0220802,0.0384134,0.0357574,0.0492101,0.0821797,0.0740525,0.0341433,0.0587337,0.029985,0.0401275,0.0723086,0.0573633,0.0107314,0.0109815,0.017002,0.0180234,0.0258236,0,0,0,0,0.0442739,0.0161817,0,0,0.0897544,0,0.0199039,0.0375083
253,0,0,0,0,0,0.0308749,0.0387738,0,0,0,0.0299091,0.0251988,0,0.0190139,0,0,0.0302102,0.0194148,0.0155592,0.0258398,0.0326783,0.0604951,0.0836174,0.0885058,0.0693956,0.0409978,0.0351465,0.0319066,0.0110652,0.00946763,0.031233,0,0.031738,0.0345886,0,0,0.0191425,0,0,0.0332768,0.0828318,0.052215,0.0144707,0.0265712,0.0385031,0.0358138,0.050401,0.0852338,0.0746969,0.0326049,0.058736,0.0319951,0.0396112,0.0714884,0.0500308,0.0106204,0.0110629,0.016915,0.0177566,0.0263141,0,0,0,0,0.0442194,0.0160973,0,0,0.0897897,0,0.0200576,0.0375582
254,0,0,0,0,0,0.0309916,0.0387574,0,0,0,0.0301958,0.0251624,0,0.019025,0,0,0.0301916,0.0192392,0.0155815,0.0254572,0.0325968,0.0605344,0.083573,0.0885217,0.0694084,0.0407388,0.0349995,0.0313799,0.0111101,0.00952581,0.0312899,0,0.0313626,0.034643,0,0,0.0190921,0,0,0.0332678,0.0825376,0.051747,0.0143928,0.0267146,0.0386472,0.0358636,0.0505013,0.08558,0.0749512,0.0329447,0.0594232,0.0324715,0.040296,0.0721713,0.0504676,0.01067,0.0111112,0.0168535,0.0177265,0.0261928,0,0,0,0,0.0443411,0.01608,0,0,0.0897819,0,0.0200354,0.03738
255,0,0,0,0,0,0.0317015,0.0387609,0,0,0,0.0305928,0.0251572,0,0.0187315,0,0,0.0300326,0.0193567,0.0154998,0.0245039,0.0319226,0.060956,0.0836402,0.0887619,0.0698174,0.0405063,0.0348442,0.0306224,0.0110782,0.00946846,0.0307883,0,0.0310626,0.0351635,0,0,0.0191135,0,0,0.0331715,0.0827818,0.05146,0.0154826,0.0228361,0.0388384,0.0358878,0.0497898,0.0834748,0.074836,0.0350524,0.0607106,0.0317713,0.0420201,0.0741974,0.0583573,0.0106601,0.0111481,0.0167838,0.0179562,0.025457,0,0,0,0,0.0443169,0.016129,0,0,0.0897183,0,0.0199173,0.0371532
256,0,0,0,0,0,0.0319467,0.0386731,0,0,0,0.0309071,0.0250259,0,0.01874,0,0,0.0297012,0.01938,0.0155117,0.0242669,0.0317259,0.0610573,0.0837604,0.0887674,0.069729,0.0406139,0.0349992,0.0303723,0.0110047,0.00928623,0.030589,0,0.0305646,0.0353153,0,0,0.0179889,0,0,0.0333377,0.0823721,0.0507331,0.0149676,0.023237,0.038809,0.0357106,0.0498492,0.0838119,0.0750577,0.0352465,0.061286,0.0324573,0.0426497,0.0747659,0.0588179,0.0107383,0.011648,0.017079,0.0179482,0.0253422,0,0,0,0,0.0442552,0.0159004,0,0,0.0896058,0,0.0199313,0.0373073
