Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,BBL,LTIBP,LWRB,LWRA,LILC,LBHD
60,0,0,0,0,0,0.0296264,0.0402112,0,0,0,0.0413178,0,0.0206637,0,0.0147751,0,0,0.0309253,0.0946008,0.0255957,0.0272909,0.0280794,0.0353782,0.0718105,0.0862673,0.105734,0.0925761,0.0398617,0.0905506,0.0921679,0.0394483,0.0158852,0.051392,0,0.0161905,0.0347933,0,0,0.0211879,0,0,0.0336543,0.0778151,0.0238125,0.0173178,0.0186419,0.0431351,0.0400613,0.0655443,0.104604,0.0940553,0.0491696,0.0723444,0.0451846,0.0531259,0.0880743,0.0137773,0.00967407,0.00952509,0.0182948,0.0183722,0.0283486,0,0,0,0,0,0.0390055,0.0143698,0.00904266,0.0202169,0
61,0,0,0,0,0,0.0292619,0.0404281,0,0,0,0.0441825,0,0.0191286,0,0.0146015,0,0,0.0313599,0.0937017,0.0269493,0.0278702,0.0270637,0.0356927,0.0718899,0.0869787,0.106198,0.09283,0.0389131,0.0912082,0.0918031,0.0414933,0.0160438,0.0512136,0,0.015938,0.0345854,0,0,0.0210716,0,0,0.0340232,0.0778872,0.0242245,0.0175026,0.0190042,0.0425968,0.0405199,0.0650474,0.104311,0.0937017,0.0484516,0.0721927,0.0451948,0.0530463,0.0878245,0.0132484,0.00970966,0.00926807,0.018263,0.0185267,0.0283007,0,0,0,0,0,0.0397058,0.0142409,0.00903827,0.0195759,0
62,0,0,0,0,0,0.0290361,0.0405215,0,0,0,0.0456565,0,0.0184104,0,0.0145481,0,0,0.0315268,0.0925495,0.0279319,0.0284673,0.0264422,0.0359073,0.0720472,0.0875347,0.106907,0.0934052,0.0382601,0.0913773,0.0913854,0.0426529,0.0161491,0.05088,0,0.015697,0.0344734,0,0,0.0210298,0,0,0.0343025,0.0780579,0.0248093,0.0176305,0.0193968,0.0422396,0.0408757,0.0645637,0.104007,0.0934062,0.0477776,0.0720991,0.0451232,0.052898,0.0874578,0.0127566,0.00981144,0.00905564,0.0183522,0.0186269,0.0282401,0,0,0,0,0,0.0400058,0.0144553,0.00904362,0.0191557,0
63,0,0,0,0,0,0.0289014,0.0404936,0,0,0,0.0459341,0,0.0182811,0,0.0144704,0,0,0.0315968,0.0913774,0.028337,0.0283577,0.0262097,0.0360338,0.0722685,0.0880256,0.107513,0.0940194,0.037957,0.091237,0.0911547,0.0428629,0.0162675,0.0505264,0,0.0155032,0.0344144,0,0,0.0210306,0,0,0.0343948,0.0783441,0.0255565,0.0177131,0.019807,0.0420808,0.0410573,0.064125,0.103726,0.093179,0.0471894,0.0719931,0.04488,0.0525624,0.0869553,0.0123294,0.0099342,0.00905901,0.0183858,0.0186708,0.0282174,0,0,0,0,0,0.0397589,0.0145842,0.00885505,0.0189047,0
64,0,0,0,0,0,0.0291407,0.0402183,0,0,0,0.0453618,0,0.0185464,0,0.0137769,0,0,0.0316905,0.0904934,0.0271555,0.0271913,0.0271634,0.0356366,0.0724059,0.0884874,0.107598,0.0943978,0.0381688,0.0909472,0.0913116,0.0411813,0.0166658,0.0505794,0,0.0149384,0.0344595,0,0,0.0189733,0,0,0.0347819,0.078777,0.0267501,0.0185919,0.020651,0.0427604,0.040531,0.0632193,0.103259,0.0928292,0.0460999,0.0718428,0.0448769,0.0522922,0.0863439,0.0124968,0.0106517,0.0103307,0.0188995,0.0184054,0.0282996,0,0,0,0,0,0.039291,0.0150814,0.00879548,0.0194604,0
65,0,0,0,0,0,0.0287361,0.040246,0,0,0,0.0433798,0,0.0193669,0,0.0147565,0,0,0.0312149,0.0902671,0.0264826,0.0254585,0.0268535,0.036346,0.0723423,0.0880818,0.107428,0.0943532,0.0385662,0.0906223,0.0917606,0.0406474,0.0160821,0.0491081,0,0.0154682,0.0342948,0,0,0.021393,0,0,0.0342003,0.0792232,0.0271651,0.0177299,0.0204676,0.0425223,0.0408488,0.0632665,0.103091,0.092854,0.0462932,0.0708425,0.0439746,0.0516518,0.0856528,0.0111138,0.00980122,0.00924239,0.0185298,0.0184055,0.028433,0,0,0,0,0,0.0388135,0.0148419,0.00871443,0.0192913,0
66,0,0,0,0,0,0.0287093,0.0400903,0,0,0,0.0406214,0,0.0207945,0,0.0152016,0,0,0.0307191,0.0908588,0.0241163,0.0235154,0.0275284,0.0365598,0.0722797,0.0876793,0.107175,0.093967,0.0396279,0.089865,0.0920548,0.0385729,0.0157244,0.0481275,0,0.0156589,0.0341633,0,0,0.0216017,0,0,0.0340717,0.0796941,0.0281747,0.0177979,0.0208482,0.0430394,0.0406496,0.0628413,0.102759,0.0926847,0.045897,0.0701668,0.043315,0.0510074,0.0848599,0.0105422,0.00957516,0.00954959,0.0186236,0.0180291,0.0286856,0,0,0,0,0,0.038403,0.0152963,0.00890443,0.0200518,0
67,0,0,0,0,0,0.0287707,0.0398043,0,0,0,0.0373759,0,0.0234629,0,0.0159323,0,0,0.0300863,0.0921481,0.0215273,0.022339,0.0283156,0.0367676,0.0720915,0.0874182,0.106839,0.0933694,0.0409074,0.0886835,0.0922576,0.0359262,0.0151959,0.0470746,0,0.0161305,0.034151,0,0,0.0215323,0,0,0.0340031,0.0802817,0.0292664,0.017913,0.0210494,0.0437219,0.040374,0.0624487,0.102333,0.0925666,0.045595,0.0694616,0.0423664,0.050253,0.08398,0.0101667,0.00956938,0.00999522,0.0190112,0.017431,0.0289891,0,0,0,0,0,0.0379189,0.0154785,0.00891557,0.0211061,0
68,0,0,0,0,0,0.0288923,0.0397231,0,0,0,0.0348412,0,0.0265693,0,0.0163092,0,0,0.0296424,0.0934475,0.0203286,0.0229904,0.0287814,0.0369328,0.0723415,0.0876514,0.106921,0.0931585,0.0421464,0.0870291,0.0926596,0.0338883,0.014984,0.0465205,0,0.016396,0.0341594,0,0,0.0212701,0,0,0.0339853,0.080736,0.0303942,0.0184646,0.0212432,0.044041,0.039922,0.0619734,0.101843,0.0922997,0.0451577,0.0686069,0.0412001,0.0493658,0.082921,0.00990769,0.00953106,0.010452,0.0191832,0.0171066,0.0290105,0,0,0,0,0,0.0375622,0.0157209,0.00886443,0.0216239,0
69,0,0,0,0,0,0.0293964,0.0394936,0,0,0,0.0363764,0,0.0251211,0,0.0173301,0,0,0.0285772,0.0945259,0.0232259,0.0258956,0.0295119,0.0367604,0.072905,0.0880872,0.107186,0.0932233,0.0434973,0.0853308,0.0919622,0.0386161,0.0141532,0.0496266,0,0.015995,0.0346866,0,0,0.0205937,0,0,0.0339902,0.0803045,0.0306842,0.0196003,0.022652,0.0450295,0.0393296,0.0624665,0.102349,0.092285,0.0447141,0.0670855,0.0404461,0.0474014,0.0807125,0.0121182,0.00986956,0.0108448,0.019277,0.016808,0.028705,0,0,0,0,0,0.0370858,0.0164631,0.00907065,0.0225839,0
