Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x69,x70,x71,x72,RWRB
94,0,0,0,0,0,0,0.0219583,0.0458464,0,0,0,0.0310119,0,0.016202,0,0,0.0696059,0,0,0.0247551,0.0893364,0.0276137,0.0265771,0.0253746,0.0176012,0.039534,0.0800392,0.0999615,0.110135,0.086797,0.0323346,0.0292346,0.0885934,0.0495635,0.0425567,0.0198918,0.0318221,0.036183,0.033742,0,0.0201217,0.0260126,0,0,0.0245262,0,0,0.0374614,0.0727285,0.0307471,0.0186368,0.0248253,0.0469022,0.0459208,0.0666628,0.103726,0.0880229,0.0382988,0.071497,0.0442334,0.0515792,0.0848938,0.0372076,0.0142632,0.0123719,0.0240741,0.0295495,0,0,0,0,0.0197584
95,0,0,0,0,0,0,0.0219355,0.0458451,0,0,0,0.0308578,0,0.0176245,0,0,0.0691848,0,0,0.0245767,0.0900253,0.0276621,0.0259656,0.0261008,0.017634,0.0405132,0.0808467,0.100192,0.110714,0.0881142,0.032649,0.0288838,0.0888617,0.0499071,0.0473263,0.0196311,0.0317756,0.0361085,0.0343526,0,0.0200025,0.0256029,0,0,0.0244537,0,0,0.0374256,0.0730845,0.0311348,0.0179375,0.0248499,0.0465698,0.0458011,0.0661208,0.103348,0.0885888,0.0388759,0.0713961,0.0440148,0.0515798,0.0851678,0.0361027,0.0138855,0.0123867,0.023926,0.0299325,0,0,0,0,0.0197871
96,0,0,0,0,0,0,0.0220255,0.0458611,0,0,0,0.0311322,0,0.0188304,0,0,0.0690093,0,0,0.0243165,0.0907479,0.0277653,0.0250896,0.0268385,0.0177205,0.0415551,0.0814083,0.100295,0.111301,0.0891199,0.0331507,0.0285721,0.0895837,0.0499744,0.0510413,0.0195429,0.0319144,0.035983,0.0341499,0,0.0199772,0.0254305,0,0,0.0243105,0,0,0.0374735,0.0731148,0.030887,0.0175548,0.0238841,0.0464208,0.0456227,0.0663995,0.104178,0.0897791,0.039717,0.0715779,0.0443708,0.0516393,0.0854075,0.0358486,0.0133999,0.0124066,0.0236593,0.0303066,0,0,0,0,0.0199455
97,0,0,0,0,0,0,0.0219645,0.0458638,0,0,0,0.031511,0,0.0191896,0,0,0.0689949,0,0,0.0240298,0.0914145,0.0281578,0.0241041,0.0274062,0.017927,0.0424887,0.0816293,0.100167,0.111746,0.0897357,0.0334591,0.0282649,0.0901024,0.0501775,0.0522644,0.0194067,0.0321499,0.035866,0.0328859,0,0.0202532,0.0254738,0,0,0.0240997,0,0,0.0373902,0.0729681,0.0302988,0.0174498,0.0225226,0.0466052,0.0454313,0.067323,0.105823,0.0911646,0.040543,0.0718399,0.0452057,0.0515345,0.0852671,0.0376203,0.0129179,0.0123477,0.0233673,0.0309456,0,0,0,0,0.020067
98,0,0,0,0,0,0,0.021764,0.0457452,0,0,0,0.0318053,0,0.0188697,0,0,0.0690256,0,0,0.0237657,0.0920386,0.0283977,0.023094,0.0276566,0.0183322,0.0431277,0.0816229,0.0999003,0.112011,0.0900336,0.0338297,0.028331,0.0903558,0.0506152,0.051734,0.0191867,0.0323069,0.0358363,0.0312216,0,0.0207528,0.0254866,0,0,0.0239264,0,0,0.0373139,0.072775,0.0297558,0.0176093,0.0222229,0.0471619,0.0452596,0.0681008,0.107131,0.092137,0.041102,0.0718486,0.0458905,0.0510701,0.0845359,0.040682,0.0125991,0.0122985,0.0231647,0.0313891,0,0,0,0,0.0200655
99,0,0,0,0,0,0,0.0215904,0.045557,0,0,0,0.0322249,0,0.0184746,0,0,0.0691176,0,0,0.0235718,0.0924394,0.0282337,0.0221182,0.0283768,0.0189002,0.0434517,0.081611,0.0997043,0.112287,0.0902755,0.0345841,0.0287018,0.0907328,0.0509775,0.0508922,0.0191066,0.0324866,0.035861,0.0299031,0,0.0213829,0.0254105,0,0,0.0237178,0,0,0.0371726,0.0726693,0.0296031,0.0179476,0.0227654,0.0478632,0.04506,0.0680487,0.10724,0.0922501,0.0411717,0.0715863,0.0460159,0.0505262,0.0838307,0.0444628,0.0124729,0.0122617,0.0231644,0.0314369,0,0,0,0,0.0199319
100,0,0,0,0,0,0,0.0216036,0.045425,0,0,0,0.0328439,0,0.0182085,0,0,0.0693166,0,0,0.0234416,0.0923861,0.0280036,0.0212939,0.0291194,0.019553,0.0434252,0.0814641,0.0995529,0.112496,0.0903871,0.0354005,0.0294064,0.0913813,0.0512734,0.0505186,0.0193183,0.0326613,0.0358614,0.0292599,0,0.0220029,0.0253521,0,0,0.0235545,0,0,0.0370866,0.0727992,0.0299362,0.0183571,0.0236601,0.0482662,0.044937,0.0674785,0.106492,0.0916942,0.0408974,0.0714922,0.0457965,0.0504854,0.0837591,0.0482236,0.0124475,0.0122477,0.0233312,0.0310733,0,0,0,0,0.0197716
101,0,0,0,0,0,0,0.0218398,0.0453958,0,0,0,0.0335012,0,0.0179073,0,0,0.0694183,0,0,0.0233777,0.0921399,0.0278921,0.0206106,0.0296003,0.0202775,0.0430786,0.0812541,0.0994153,0.112631,0.0904481,0.0363106,0.030303,0.0921892,0.0514328,0.0506814,0.019815,0.0327681,0.0358172,0.028985,0,0.022256,0.0254129,0,0,0.0234355,0,0,0.0371454,0.0730307,0.0307736,0.018755,0.0252211,0.0482068,0.0448987,0.0669686,0.105765,0.0910967,0.0406002,0.0716848,0.0455173,0.0508874,0.0842361,0.0509872,0.0124258,0.0122728,0.0235589,0.0304719,0,0,0,0,0.019721
102,0,0,0,0,0,0,0.0222306,0.0454128,0,0,0,0.0340178,0,0.0176714,0,0,0.0692351,0,0,0.0233871,0.0921584,0.027994,0.0199423,0.0300499,0.021064,0.0424771,0.0808813,0.0992503,0.112729,0.0905578,0.0372681,0.0313209,0.0929842,0.0514596,0.0513787,0.0204864,0.0327672,0.0356917,0.0287691,0,0.0224881,0.0256327,0,0,0.0232778,0,0,0.0372906,0.0731903,0.0315794,0.0190687,0.0267144,0.0476705,0.0448048,0.0668154,0.105477,0.0907736,0.0405062,0.0719136,0.0453228,0.0512969,0.0846302,0.0519236,0.0124503,0.0123163,0.0238015,0.0297843,0,0,0,0,0.0197289
103,0,0,0,0,0,0,0.0226653,0.0454545,0,0,0,0.0343408,0,0.0175741,0,0,0.0686381,0,0,0.0234943,0.0922628,0.0283682,0.0193663,0.0305268,0.0218246,0.0417807,0.0804417,0.0989021,0.112757,0.0907275,0.0381685,0.0324733,0.0937505,0.0515918,0.0526468,0.021192,0.0327898,0.0356361,0.0285541,0,0.0227904,0.0259311,0,0,0.0230485,0,0,0.0374335,0.0732495,0.0319815,0.0191227,0.0267901,0.0468282,0.0446736,0.0669436,0.105615,0.0906996,0.0406897,0.0718552,0.0451359,0.0514742,0.0846898,0.0508124,0.0125189,0.0122919,0.0240188,0.0292573,0,0,0,0,0.0197398
