Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LBHD
19,0,0,0,0,0,0,0.0382743,0.0435283,0,0,0,0.139646,0,0.0476386,0,0.0147406,0,0,0.0273091,0.0938374,0.297476,0.0128447,0.0360471,0.0324627,0.0237127,0.0796747,0.0863861,0.112308,0.0996134,0.0482737,0.0457366,0.0623704,0.0791295,0.169008,0.0146937,0.00942718,0.0146454,0.034392,0,0.023501,0.0386954,0,0,0.0170877,0,0,0.0352891,0.0722076,0.0232212,0.0224547,0.019977,0.0396154,0.0352645,0.0659468,0.100731,0.0886653,0.0450179,0.0729735,0.0433954,0.0547984,0.0897214,0.0194276,0.0131133,0.00933102,0.0169775,0.0230315,0.0178547,0,0,0,0,0
20,0,0,0,0,0,0,0.0376811,0.0437682,0,0,0,0.142444,0,0.0525499,0,0.015401,0,0,0.0265113,0.0928673,0.294206,0.0223798,0.0370498,0.0339766,0.0221022,0.0811978,0.0886411,0.113255,0.100353,0.051032,0.0474024,0.0664285,0.0864742,0.160659,0.0149783,0.00918254,0.015227,0.0343833,0,0.0225222,0.0385514,0,0,0.0160121,0,0,0.0351451,0.0724034,0.0247032,0.0232048,0.0188412,0.042945,0.0360401,0.0651269,0.0999498,0.0882255,0.0444307,0.0731449,0.0433862,0.0548716,0.089549,0.0210563,0.0135866,0.0101741,0.0182583,0.023526,0.0182162,0,0,0,0,0
21,0,0,0,0,0,0,0.0377423,0.0440455,0,0,0,0.145874,0,0.0540438,0,0.0151684,0,0,0.0268571,0.0947923,0.293957,0.0210904,0.0376406,0.0338399,0.0217603,0.0820953,0.0886909,0.113487,0.10205,0.0512924,0.0473537,0.0671103,0.0891269,0.153809,0.0150384,0.0095346,0.0146978,0.0345244,0,0.0220943,0.0387319,0,0,0.0153542,0,0,0.0356682,0.0720369,0.024952,0.0232595,0.0187328,0.0427901,0.035618,0.0647353,0.0995553,0.087436,0.0433942,0.0733029,0.0435396,0.0550001,0.0895586,0.0203627,0.013686,0.00938278,0.0178374,0.0238064,0.0179116,0,0,0,0,0
22,0,0,0,0,0,0,0.0378478,0.0441698,0,0,0,0.147435,0,0.0560929,0,0.0148481,0,0,0.0272281,0.09746,0.291694,0.0185264,0.036726,0.0343982,0.0217169,0.0821108,0.0877547,0.112722,0.102562,0.0511913,0.0477631,0.068243,0.0909943,0.150821,0.0153713,0.00957851,0.0142694,0.0352182,0,0.0217321,0.0387008,0,0,0.0149617,0,0,0.036036,0.0719998,0.0250645,0.0224128,0.018635,0.0423749,0.0349546,0.0645573,0.0995432,0.0872486,0.0431535,0.0729584,0.0432504,0.0546122,0.0890416,0.0184309,0.0134073,0.00898341,0.0173615,0.023901,0.0179955,0,0,0,0,0
23,0,0,0,0,0,0,0.037674,0.0442864,0,0,0,0.14658,0,0.0584052,0,0.0147572,0,0,0.0272742,0.0982979,0.289057,0.0160388,0.0326456,0.0355296,0.0222989,0.0809641,0.0868438,0.111336,0.101094,0.0494961,0.0468946,0.0688358,0.0914337,0.150958,0.0152759,0.00973014,0.0142737,0.0425035,0,0.0182886,0.0386224,0,0,0.0148349,0,0,0.0359313,0.0716504,0.0270655,0.0196005,0.0180905,0.0417096,0.0342356,0.0635485,0.10074,0.0876756,0.0419452,0.0720815,0.0436429,0.0531324,0.0870516,0.0110144,0.0132612,0.00908106,0.0171519,0.0239432,0.0183719,0,0,0,0,0
24,0,0,0,0,0,0,0.0383037,0.044016,0,0,0,0.14253,0,0.0574715,0,0.0146616,0,0,0.0270794,0.0980199,0.287426,0.0120158,0.0272032,0.036387,0.022869,0.0787079,0.08487,0.109539,0.0979699,0.0457073,0.0454089,0.0664097,0.085875,0.160147,0.0155044,0.00927122,0.014781,0.0426373,0,0.0182789,0.0387936,0,0,0.0156987,0,0,0.0350992,0.0724732,0.028214,0.0175213,0.018115,0.0401461,0.033093,0.0632077,0.100638,0.0880158,0.0425337,0.0712979,0.0426596,0.0523223,0.0861114,0.00993768,0.0132136,0.00965282,0.0172369,0.0238451,0.0186228,0,0,0,0,0
25,0,0,0,0,0,0,0.0382322,0.044403,0,0,0,0.14384,0,0.0627442,0,0.0144689,0,0,0.0273919,0.103413,0.284016,0.0103858,0.0251099,0.0364143,0.0228125,0.0775773,0.0837624,0.107666,0.0972897,0.0454672,0.0448976,0.0689258,0.0903379,0.154328,0.015658,0.00960762,0.0141609,0.0444521,0,0.0175551,0.0388685,0,0,0.0147807,0,0,0.0358509,0.0732454,0.0287152,0.0161242,0.0185362,0.0402233,0.032607,0.0627589,0.100422,0.0876577,0.0425204,0.0707209,0.0419345,0.051823,0.0854774,0.00813818,0.0130435,0.00926009,0.0164726,0.0242058,0.018446,0,0,0,0,0
26,0,0,0,0,0,0,0.0385194,0.0446958,0,0,0,0.14,0,0.0642352,0,0.014502,0,0,0.0273223,0.10352,0.281418,0.0100973,0.020668,0.0380294,0.0228399,0.0748724,0.0817749,0.106092,0.0943626,0.0426232,0.0430032,0.0684871,0.086979,0.163039,0.0157775,0.00969816,0.0143459,0.0454942,0,0.0183464,0.0390745,0,0,0.0148159,0,0,0.0356309,0.0756161,0.0325964,0.0142543,0.0179207,0.040487,0.0312276,0.060607,0.0997175,0.0887456,0.0433839,0.0697808,0.0404037,0.0508939,0.0840827,0.00861776,0.0130366,0.00962509,0.0158169,0.0246562,0.0187822,0,0,0,0,0
27,0,0,0,0,0,0,0.0395847,0.044964,0,0,0,0.143195,0,0.0650574,0,0.0144325,0,0,0.0273655,0.107064,0.281076,0.00925918,0.0181012,0.0363342,0.0223428,0.0746212,0.0822304,0.105339,0.0932274,0.0407533,0.0417955,0.0688639,0.0872937,0.161609,0.0162259,0.00983339,0.0141117,0.0412265,0,0.0179725,0.0398289,0,0,0.0146695,0,0,0.0357023,0.0764907,0.029589,0.0152404,0.0168408,0.0396066,0.0305376,0.0620915,0.0976071,0.0870321,0.044215,0.0703051,0.0396678,0.0519842,0.0853374,0.00985456,0.0131565,0.00938003,0.0154176,0.0251775,0.0178642,0,0,0,0,0
28,0,0,0,0,0,0,0.0401352,0.0450314,0,0,0,0.141866,0,0.0624505,0,0.0140383,0,0,0.0274523,0.105707,0.279433,0.0101273,0.0163305,0.0370972,0.0231926,0.0741943,0.0822881,0.105828,0.092045,0.0401412,0.0410525,0.0683528,0.0833964,0.17521,0.0167023,0.00945935,0.0142719,0.0431824,0,0.0176831,0.0399298,0,0,0.0155725,0,0,0.0348772,0.077014,0.0308978,0.0147711,0.0160961,0.0382398,0.0294091,0.0619462,0.0973101,0.0873247,0.0445195,0.069179,0.0382866,0.0509041,0.0839384,0.00756929,0.0130585,0.0100612,0.0151555,0.0254146,0.0183142,0,0,0,0,0
