Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LANK,LTOE
132,0,0,0,0,0,0,0.0378012,0.0388211,0,0,0,0.123238,0,0,0,0.0179179,0,0,0.0291038,0.104553,0.262237,0.0151533,0.0158167,0.0167556,0.0338124,0.0738643,0.0855708,0.108771,0.0903358,0.0268426,0.0296779,0.0539047,0.0583657,0.012888,0.00919497,0.0184849,0.0463172,0,0.0204898,0.0391638,0,0,0.0192108,0,0,0.0327182,0.0675451,0.0216522,0.0180472,0.0210193,0.0417231,0.0332055,0.0704704,0.1054,0.0897328,0.0488203,0.0755373,0.0456399,0.0574046,0.0917546,0.0113678,0.0109831,0.0109979,0.0196914,0.0205115,0.0206541,0,0,0,0,0.0662396,0.207007
133,0,0,0,0,0,0,0.0370028,0.0394647,0,0,0,0.122036,0,0,0,0.0177404,0,0,0.0293768,0.101258,0.263203,0.0155598,0.0169309,0.0156182,0.0339617,0.0744756,0.0864912,0.10934,0.0907573,0.0281027,0.0300234,0.0523696,0.055607,0.0131043,0.00892841,0.0182777,0.0450608,0,0.0210613,0.0386411,0,0,0.0187977,0,0,0.033067,0.0678751,0.0202165,0.0180307,0.0214368,0.0408848,0.0339517,0.0696439,0.104358,0.0891216,0.0480886,0.0751109,0.0451333,0.0570642,0.0917441,0.0110373,0.0104826,0.0110706,0.0196014,0.020986,0.020583,0,0,0,0,0.0606622,0.208479
134,0,0,0,0,0,0,0.0370943,0.0402048,0,0,0,0.120355,0,0,0,0.0173908,0,0,0.0293337,0.0986724,0.263122,0.0164822,0.0185894,0.0144741,0.0331511,0.0751993,0.0878602,0.110012,0.0910438,0.0291029,0.0302575,0.0514997,0.0544643,0.013121,0.00876413,0.0178464,0.0356286,0,0.0239093,0.038877,0,0,0.0182527,0,0,0.033586,0.068262,0.019552,0.0195108,0.0287249,0.0413763,0.0344921,0.0704864,0.101548,0.0868236,0.0482324,0.0754492,0.0435728,0.0575255,0.0931954,0.0194891,0.0100452,0.0111486,0.0194333,0.0217978,0.0197547,0,0,0,0,0.0562298,0.209096
135,0,0,0,0,0,0,0.0359074,0.0405791,0,0,0,0.121467,0,0,0,0.0170945,0,0,0.0296891,0.0937304,0.262965,0.0158281,0.0221309,0.0152882,0.0343029,0.0741813,0.0893973,0.108816,0.0885693,0.0324078,0.0316673,0.0516462,0.0551817,0.0136576,0.00856961,0.0176298,0.0481353,0,0.0141159,0.0379778,0,0,0.0188289,0,0,0.0336638,0.0681447,0.0142774,0.0168342,0.0169525,0.0409058,0.0351244,0.0702137,0.107463,0.0904782,0.0463644,0.0756038,0.0466387,0.0569101,0.0908625,0.00873326,0.00973216,0.0114101,0.0193766,0.0218696,0.0204238,0,0,0,0,0.0482032,0.210378
136,0,0,0,0,0,0,0.0356711,0.0405614,0,0,0,0.119421,0,0,0,0.0165734,0,0,0.0295114,0.0916055,0.261886,0.0157944,0.0262008,0.0159304,0.0345531,0.0738755,0.0904207,0.10817,0.0868307,0.0346496,0.033056,0.0524226,0.0567336,0.013809,0.0085133,0.0174848,0.0493961,0,0.0145993,0.0378404,0,0,0.0194607,0,0,0.0335688,0.0680716,0.0122281,0.0169092,0.0156279,0.0421874,0.0358223,0.0708953,0.10919,0.0917322,0.046269,0.0776029,0.0490922,0.0582301,0.0918507,0.010899,0.00975038,0.0114586,0.0194387,0.0218238,0.020022,0,0,0,0,0.0445738,0.210788
137,0,0,0,0,0,0,0.0343765,0.0401911,0,0,0,0.115786,0,0,0,0.0164678,0,0,0.0294832,0.0897512,0.261303,0.0160307,0.0293706,0.0172788,0.0350834,0.0740446,0.0917999,0.107924,0.0856428,0.0362142,0.0336895,0.0526357,0.0578926,0.0137803,0.00849329,0.0175591,0.0499673,0,0.0156074,0.0371982,0,0,0.0184308,0,0,0.0341215,0.0686833,0.0122669,0.0168982,0.0175793,0.0430137,0.0367925,0.0703034,0.10973,0.0924187,0.0462047,0.0784831,0.0506816,0.0585686,0.0921099,0.0132928,0.00978424,0.0110069,0.0203233,0.0212835,0.0201663,0,0,0,0,0.0414548,0.211987
138,0,0,0,0,0,0,0.0325193,0.0398048,0,0,0,0.110553,0,0,0,0.0173448,0,0,0.0295073,0.0889318,0.262207,0.0162081,0.030948,0.018474,0.0352604,0.0742518,0.0924505,0.107809,0.0852427,0.0371513,0.0343862,0.0529457,0.0588097,0.0131986,0.00875802,0.0176143,0.0479022,0,0.0157697,0.0367789,0,0,0.0182934,0,0,0.0346991,0.0701819,0.0158077,0.0161584,0.0224854,0.0437762,0.0376552,0.0686909,0.108751,0.091836,0.0453844,0.0771809,0.0501637,0.0568933,0.0904003,0.0147766,0.00981537,0.0109201,0.0204409,0.0207022,0.020796,0,0,0,0,0.0407977,0.21286
139,0,0,0,0,0,0,0.0317831,0.0393562,0,0,0,0.100724,0,0,0,0.0180404,0,0,0.0295425,0.0872381,0.257342,0.0167526,0.0330648,0.0199511,0.0346504,0.0747723,0.0936392,0.107991,0.0853801,0.0416583,0.039774,0.057802,0.0630291,0.0127441,0.00933582,0.0173219,0.0460254,0,0.0168728,0.0366265,0,0,0.0186787,0,0,0.035043,0.0712739,0.0214146,0.0152057,0.0276401,0.0448153,0.0381392,0.0674827,0.107618,0.0905719,0.0432038,0.0738415,0.0482738,0.0532054,0.0865113,0.01659,0.00995042,0.0107327,0.0202721,0.0202092,0.0214074,0,0,0,0,0.044253,0.223421
140,0,0,0,0,0,0,0.0308465,0.0391993,0,0,0,0.0950749,0,0,0,0.0189412,0,0,0.029916,0.0871878,0.260789,0.017804,0.0334586,0.0205486,0.0350111,0.0748693,0.0939564,0.108137,0.085436,0.0421665,0.0398156,0.0581335,0.0636867,0.0124162,0.00940515,0.0175255,0.0421619,0,0.0183255,0.0362307,0,0,0.0189531,0,0,0.0350108,0.0731689,0.0264574,0.0140327,0.0301657,0.0449623,0.0389021,0.0650295,0.104359,0.0878634,0.0395877,0.0720705,0.046477,0.0515296,0.0848253,0.0218475,0.0103194,0.0107396,0.0202734,0.0200616,0.0226345,0,0,0,0,0.0454643,0.22528
141,0,0,0,0,0,0,0.0304365,0.039194,0,0,0,0.0895912,0,0,0,0.0194276,0,0,0.0300407,0.0877601,0.264702,0.0184142,0.0334857,0.0207557,0.0354944,0.0754531,0.0942948,0.108594,0.0858147,0.0418233,0.0393591,0.0579138,0.0636948,0.0123543,0.00930687,0.0177531,0.0404414,0,0.0198943,0.0356994,0,0,0.0190059,0,0,0.0348759,0.0747473,0.0303799,0.013394,0.0300525,0.0450346,0.0396175,0.0629046,0.101177,0.0855042,0.0368385,0.0713593,0.045451,0.0510673,0.0844403,0.0264225,0.0106922,0.0107159,0.0203762,0.0201881,0.0238427,0,0,0,0,0.0469224,0.228043
