Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,L5HD,LWRB,LTIBI,LWRA,LILC,LBHD
175,0,0,0,0,0,0,0.0347763,0.0430527,0,0,0,0.0450534,0.0197823,0,0.0137639,0,0,0.0278815,0.0819756,0.0142645,0.0158255,0.0192546,0.0256353,0.0342483,0.0413769,0.0596669,0.0505719,0.0233987,0.0231439,0.0391273,0.0189777,0.0137471,0.0438339,0,0.0279302,0.0381316,0,0,0.0188258,0,0,0.032899,0.0698163,0.0437087,0.0213081,0.0231812,0.038967,0.0341077,0.0224085,0.0562081,0.0604655,0.0331004,0.052627,0.0283874,0.0343321,0.0697748,0.0133609,0.00924908,0.0100991,0.0181358,0.0203057,0.0249568,0,0,0,0,0,0.0163059,0.0371969,0.00829606,0.0127901,0
176,0,0,0,0,0,0,0.0352703,0.0429039,0,0,0,0.0444189,0.0215154,0,0.0146494,0,0,0.0271989,0.0826133,0.0123771,0.0183286,0.0195367,0.0252679,0.0337292,0.0433145,0.0599955,0.0488042,0.0199314,0.0189516,0.0364058,0.0164297,0.0136687,0.0471197,0,0.0280305,0.038799,0,0,0.0187394,0,0,0.0330833,0.0691135,0.0434818,0.0215105,0.0247327,0.0390899,0.0332174,0.0234258,0.0577393,0.0611399,0.0325009,0.0513818,0.0294854,0.032332,0.067565,0.0155795,0.00953522,0.0104958,0.0181163,0.0201125,0.0245209,0,0,0,0,0,0.0153041,0.0350545,0.00879185,0.0126131,0
177,0,0,0,0,0,0,0.0358461,0.0428003,0,0,0,0.0405304,0.0216512,0,0.0147543,0,0,0.0271863,0.0821339,0.0108927,0.0173352,0.0194999,0.0251964,0.0332949,0.0443582,0.06035,0.0479972,0.0193768,0.0171861,0.0376056,0.0145895,0.013857,0.046074,0,0.0280558,0.0392646,0,0,0.0186299,0,0,0.0331308,0.0692687,0.0439547,0.0217431,0.0249905,0.0385583,0.0324655,0.0234925,0.057561,0.0611453,0.0323019,0.050792,0.0286568,0.0316885,0.0667638,0.0156951,0.00987497,0.0103246,0.0181248,0.0205442,0.023821,0,0,0,0,0,0.0148176,0.0355917,0.00881246,0.0118616,0
178,0,0,0,0,0,0,0.0364,0.0428156,0,0,0,0.038039,0.0205516,0,0.0144908,0,0,0.0272261,0.0807593,0.0119078,0.0160404,0.0199131,0.0251746,0.0334576,0.0455464,0.0612613,0.0481706,0.0188141,0.0149704,0.0375922,0.0144031,0.0141376,0.0448521,0,0.0277532,0.0394779,0,0,0.0185403,0,0,0.0329774,0.0693896,0.0442343,0.0221097,0.0251726,0.0383527,0.031877,0.0235086,0.0571677,0.0608317,0.0313453,0.0503398,0.0278767,0.0311973,0.0659923,0.0159724,0.0101024,0.010242,0.0179813,0.0209388,0.02327,0,0,0,0,0,0.0151692,0.0347641,0.00878227,0.0113587,0
179,0,0,0,0,0,0,0.0365059,0.0428908,0,0,0,0.0346941,0.0240386,0,0.0139374,0,0,0.0274541,0.0783063,0.012285,0.0121927,0.0204399,0.0255188,0.0340106,0.0462726,0.0622934,0.0494048,0.0208644,0.0167288,0.0396006,0.0125367,0.0143562,0.0431404,0,0.0269585,0.0390548,0,0,0.0185754,0,0,0.032808,0.0695209,0.0445066,0.0220848,0.0251553,0.037951,0.0316844,0.0236147,0.0568015,0.06041,0.0300137,0.0500778,0.0272932,0.030886,0.0652913,0.0166566,0.0100251,0.0103673,0.0177308,0.0210438,0.0233299,0,0,0,0,0,0.0163451,0,0.00878081,0.011079,0
180,0,0,0,0,0,0,0.0355752,0.0427965,0,0,0,0.0369063,0.0245874,0,0.0134944,0,0,0.0277744,0.0762526,0.0119168,0.0103027,0.021067,0.0261276,0.0355377,0.0472529,0.0630163,0.0511435,0.0210563,0.0171626,0.0378687,0.0126316,0.0142926,0.0411146,0,0.026098,0.0379628,0,0,0.0186375,0,0,0.0327462,0.0699307,0.045257,0.0217522,0.0251237,0.0380924,0.0319873,0.0236687,0.0565033,0.0601766,0.0290305,0.050183,0.0269767,0.0309136,0.0649508,0.0182053,0.00979594,0.0104755,0.0176028,0.0206224,0.0246888,0,0,0,0,0,0.0171272,0,0.0087852,0.0114504,0
181,0,0,0,0,0,0,0.0343066,0.0425342,0,0,0,0.0406282,0.0214166,0,0.0134757,0,0,0.0280051,0.0758736,0.010013,0.0104936,0.0216231,0.0266839,0.0366514,0.0478843,0.0629913,0.0521494,0.0191487,0.0146915,0.0340777,0.0151445,0.0142599,0.0390025,0,0.0257805,0.0372516,0,0,0.0187123,0,0,0.0329137,0.0703901,0.0467288,0.0215097,0.0253543,0.0387095,0.0322226,0.0237392,0.0564201,0.0605088,0.0289651,0.0505494,0.0268322,0.0311391,0.064958,0.0207006,0.00961731,0.0104967,0.0174879,0.0199981,0.0264901,0,0,0,0,0,0.0174976,0.0312926,0.00872127,0.0119694,0
182,0,0,0,0,0,0,0.0333911,0.0422998,0,0,0,0.0405715,0.019691,0,0.0141027,0,0,0.0280716,0.0776965,0.00749077,0.00865057,0.0221212,0.0268897,0.0356552,0.0480665,0.0620769,0.0508878,0.0184828,0.0133561,0.0351604,0.0150081,0.0140314,0.0364121,0,0.0258858,0.0375199,0,0,0.018745,0,0,0.0332548,0.070543,0.0486931,0.0219234,0.0260097,0.0394476,0.0320464,0.0236714,0.0563326,0.0612564,0.0295783,0.0511763,0.0270469,0.0315486,0.0652732,0.0241409,0.00977686,0.0107358,0.0171296,0.0197421,0.0277406,0,0,0,0,0,0.0172023,0.0311609,0.00880586,0.0125194,0
183,0,0,0,0,0,0,0.032883,0.042054,0,0,0,0.0392801,0.0193043,0,0.0144085,0,0,0.028011,0.0803813,0.00644206,0.00808194,0.0224882,0.0270456,0.0346215,0.0481369,0.0612989,0.0483068,0.0177825,0.0126499,0.0361951,0.0151984,0.0138352,0.0340803,0,0.0261486,0.0382479,0,0,0.0186464,0,0,0.0336909,0.0709982,0.0505423,0.022087,0.0268373,0.0399538,0.0318862,0.0238314,0.056428,0.0623298,0.0305774,0.0518613,0.0276488,0.031868,0.0655679,0.0282709,0.010013,0.0108455,0.0170016,0.0197928,0.0284565,0,0,0,0,0,0.0169615,0.0318132,0.00877348,0.013054,0
184,0,0,0,0,0,0,0.0328922,0.0418407,0,0,0,0.0396867,0.0190496,0,0.0145333,0,0,0.0276968,0.0828867,0.00651982,0.00711933,0.0229221,0.0270985,0.0345775,0.0481711,0.0609827,0.0466781,0.0176463,0.0126465,0.0372679,0.0159128,0.0138711,0.0319147,0,0.0265736,0.0388575,0,0,0.0184319,0,0,0.0337982,0.0715935,0.0523025,0.0225634,0.0271107,0.0402914,0.0316901,0.0239297,0.0563295,0.0629611,0.0312619,0.0525834,0.0285667,0.0322281,0.0659141,0.0325226,0.0102619,0.0108994,0.0169319,0.0199589,0.0283608,0,0,0,0,0,0.0166505,0.0325559,0.0086409,0.0132283,0
