Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LILC
71,0,0,0,0,0,0,0.0271368,0.045268,0,0,0,0.0383734,0,0.0260161,0,0,0.0156827,0,0,0.0280313,0.102255,0.0182948,0.0195144,0.0473353,0.0278902,0.0593525,0.0780922,0.0875167,0.0741115,0.0395015,0.0327487,0.0361582,0.041899,0.0287345,0.0151211,0.00926918,0.0146544,0.0296871,0,0.0251995,0.031292,0,0,0.0169989,0,0,0.0355283,0.0850852,0.0411143,0.0143513,0.0296923,0.0529517,0.0255712,0.0540214,0.0917849,0.0842763,0.0391783,0.0671289,0.0394108,0.0475671,0.0800808,0.0597578,0.013707,0.0117746,0.0141261,0.0246089,0.0348416,0,0,0,0,0.0396262
72,0,0,0,0,0,0,0.0270802,0.045289,0,0,0,0.0382706,0,0.0260903,0,0,0.0157097,0,0,0.0280444,0.102323,0.0179522,0.0193953,0.0469189,0.0276568,0.0594097,0.0780791,0.08767,0.0742767,0.0392707,0.0325149,0.0358072,0.0418292,0.0286213,0.0150702,0.00933006,0.0146113,0.0294586,0,0.0251127,0.031181,0,0,0.0169001,0,0,0.0355326,0.0844664,0.0401516,0.0154237,0.0299177,0.0532735,0.0256738,0.0543252,0.0922305,0.0843663,0.0392812,0.0676314,0.0400588,0.0480287,0.0806078,0.0597239,0.0137202,0.0118407,0.0141598,0.0247861,0.0346971,0,0,0,0,0.0394908
73,0,0,0,0,0,0,0.026954,0.0449418,0,0,0,0.0382147,0,0.0261269,0,0,0.0157386,0,0,0.0280667,0.102394,0.0175837,0.0192661,0.0465015,0.0274056,0.0594859,0.0780854,0.0877946,0.0744363,0.0391122,0.0323486,0.0354231,0.0417543,0.0285381,0.0150675,0.00934199,0.0145611,0.0291659,0,0.0249487,0.0310316,0,0,0.0168428,0,0,0.0355703,0.0838766,0.0391509,0.0164998,0.0300411,0.0535775,0.0257973,0.0546018,0.0926176,0.0844012,0.0393264,0.0681422,0.040549,0.0484845,0.0811842,0.0588672,0.0136661,0.011855,0.0142161,0.0249316,0.0345561,0,0,0,0,0.0394001
74,0,0,0,0,0,0,0.0268531,0.0447974,0,0,0,0.0382935,0,0.026154,0,0,0.0157494,0,0,0.0280935,0.102457,0.0173121,0.0190593,0.0460962,0.0271467,0.0596048,0.0781203,0.0879206,0.0745392,0.0388976,0.0321656,0.0353909,0.0414794,0.0284433,0.0150748,0.00933598,0.0145265,0.0288278,0,0.0247465,0.0309035,0,0,0.0168035,0,0,0.0356022,0.0832623,0.0380688,0.0176244,0.0301117,0.053912,0.0258873,0.0548882,0.0929557,0.0843897,0.0393235,0.0686619,0.0410416,0.0488713,0.0817746,0.0573151,0.013591,0.011813,0.0143088,0.0250635,0.0344452,0,0,0,0,0.039371
75,0,0,0,0,0,0,0.0267837,0.0448448,0,0,0,0.0383262,0,0.0262421,0,0,0.0157438,0,0,0.0281318,0.102564,0.0170691,0.0189072,0.0457129,0.0268912,0.0597233,0.0781418,0.0881172,0.0746153,0.0386402,0.0318288,0.0350975,0.0412233,0.0284239,0.0150594,0.00936937,0.014487,0.0285077,0,0.0244265,0.0308036,0,0,0.0167663,0,0,0.0355856,0.0825844,0.0370095,0.0188086,0.030169,0.0542728,0.026012,0.055244,0.093302,0.0843296,0.0392897,0.0691511,0.0414785,0.0495798,0.082407,0.0550504,0.0135323,0.0118,0.0143293,0.0251895,0.0343188,0,0,0,0,0.0393645
76,0,0,0,0,0,0,0.0267405,0.0449477,0,0,0,0.0382463,0,0.026372,0,0,0.0157056,0,0,0.0281688,0.102683,0.0169694,0.0188128,0.0453615,0.0266612,0.0598596,0.0781446,0.0882711,0.0747302,0.0383387,0.0314367,0.0349895,0.0409283,0.0283503,0.0150335,0.00938931,0.0144559,0.0281171,0,0.0241631,0.0307331,0,0,0.0166815,0,0,0.0354788,0.0818553,0.0361035,0.0200407,0.0302217,0.0546377,0.0261984,0.0556042,0.0936369,0.0841759,0.0391904,0.0695445,0.041862,0.050162,0.0831316,0.0523119,0.0134956,0.0118937,0.0142229,0.0253232,0.0341938,0,0,0,0,0.0393403
77,0,0,0,0,0,0,0.0267012,0.0450519,0,0,0,0.038145,0,0.0265103,0,0,0.0156661,0,0,0.0282199,0.102754,0.0168647,0.0187725,0.0449932,0.0264864,0.0598717,0.0781019,0.0883922,0.0749029,0.0380462,0.0311066,0.0346281,0.040821,0.0281891,0.0150079,0.00941992,0.0144394,0.0279854,0,0.0239154,0.0306881,0,0,0.0165639,0,0,0.0353463,0.0811303,0.0350228,0.0212568,0.0301614,0.0549881,0.0264111,0.055964,0.0939131,0.0839725,0.0390749,0.0699096,0.0422031,0.050477,0.0838359,0.0491279,0.0134534,0.0120327,0.0140442,0.0254494,0.0341035,0,0,0,0,0.0392959
78,0,0,0,0,0,0,0.0266506,0.0451312,0,0,0,0.0380946,0,0.0265707,0,0,0.0156167,0,0,0.0282636,0.102797,0.0168629,0.0187281,0.0446137,0.0263596,0.059964,0.0781244,0.0885451,0.0751032,0.0377834,0.0308313,0.0346446,0.0407542,0.0280561,0.0149919,0.00939632,0.0144613,0.028098,0,0.023654,0.0306597,0,0,0.0164709,0,0,0.0353478,0.0804031,0.0338252,0.0224924,0.0299925,0.0553872,0.0265482,0.0563276,0.0941379,0.0837767,0.0390135,0.0702816,0.0425194,0.050912,0.084396,0.0456555,0.0133616,0.011985,0.0142141,0.0255627,0.0340321,0,0,0,0,0.0393337
79,0,0,0,0,0,0,0.0266009,0.0451822,0,0,0,0.0380621,0,0.0265512,0,0,0.0155569,0,0,0.0282874,0.102867,0.0169499,0.0187543,0.044206,0.0262301,0.0601086,0.0781774,0.0886525,0.0752788,0.0375638,0.0305473,0.034683,0.0406426,0.02787,0.0149974,0.00934359,0.0145098,0.028324,0,0.0233722,0.0306418,0,0,0.0164409,0,0,0.0353508,0.0796408,0.0325112,0.0238042,0.0297923,0.0558637,0.0266608,0.0566887,0.0943477,0.0837174,0.0390769,0.0705645,0.0428551,0.0514072,0.0850574,0.0420092,0.0132758,0.0118737,0.0143681,0.0256385,0.0339896,0,0,0,0,0.0395044
80,0,0,0,0,0,0,0.0265697,0.0451998,0,0,0,0.0381541,0,0.0264997,0,0,0.0155414,0,0,0.0282621,0.102923,0.017007,0.0187996,0.0438424,0.0261167,0.0602617,0.0782061,0.0886997,0.0753932,0.0373418,0.0302082,0.0345448,0.0406099,0.027609,0.0149715,0.00929513,0.014508,0.0289141,0,0.0231142,0.0306039,0,0,0.0164032,0,0,0.0352807,0.0788132,0.0312812,0.0249694,0.0296179,0.0562914,0.026722,0.0569813,0.0944705,0.083759,0.0392065,0.0709583,0.043215,0.0518714,0.0857607,0.0386153,0.0132173,0.0118229,0.014425,0.0256783,0.0339418,0,0,0,0,0.0396885
