Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x68,x69,x70,x71,RGTR,RWRB
150,0,0,0,0,0,0,0.033234,0.0394947,0,0,0,0.0294697,0,0.023453,0,0,0.0212379,0,0,0.0293474,0.0892685,0.0292796,0.015874,0.0185457,0.025598,0.0340672,0.0557851,0.082704,0.0879398,0.0665158,0.0414723,0.0354261,0.0419136,0.0485236,0.0456266,0.00893576,0.00872154,0.0188327,0.0294166,0,0.0279541,0.0358267,0,0,0.0172197,0,0,0.0300421,0.0394061,0.0200158,0.0247095,0.0373314,0.0377128,0.0527253,0.0879816,0.078336,0.0403233,0.0624156,0.0364113,0.0425689,0.0764007,0.0340515,0.00863052,0.0090713,0.0208779,0.0231768,0,0,0,0,0.0721859,0.0188125
151,0,0,0,0,0,0,0.0334735,0.039493,0,0,0,0.0301153,0,0.023247,0,0,0.0211669,0,0,0.0293297,0.0890021,0.0281107,0.0158285,0.0181247,0.0256346,0.033966,0.0554435,0.0824707,0.0877524,0.0663697,0.0415953,0.035452,0.0418384,0.0482998,0.0425174,0.00897763,0.00867374,0.0188567,0.0294354,0,0.0281572,0.0359684,0,0,0.0170877,0,0,0.0301299,0.0392751,0.0199619,0.0245421,0.0372406,0.0376666,0.052776,0.0879581,0.0783054,0.0404119,0.0622079,0.0362179,0.0425563,0.0762483,0.03351,0.00859193,0.0091458,0.0208553,0.0230506,0,0,0,0,0.0723115,0.0188083
152,0,0,0,0,0,0,0.033732,0.039439,0,0,0,0.0307622,0,0.0229212,0,0,0.0211528,0,0,0.0293666,0.0889145,0.0270911,0.0157883,0.0176937,0.0257093,0.0338976,0.0551969,0.082281,0.0876958,0.0663983,0.0416532,0.0354818,0.0418774,0.0480454,0.0392714,0.0090593,0.00866882,0.0188682,0.0294772,0,0.0282918,0.0361053,0,0,0.0170592,0,0,0.0302466,0.039289,0.0198924,0.0243749,0.0372002,0.0376488,0.052817,0.0879367,0.0781935,0.040512,0.0619388,0.03606,0.0424277,0.0761061,0.0330132,0.00853773,0.00914635,0.0208145,0.022702,0,0,0,0,0.0724829,0.0187915
153,0,0,0,0,0,0,0.0339248,0.0394448,0,0,0,0.0315762,0,0.022592,0,0,0.0211949,0,0,0.0294209,0.0887249,0.0260334,0.0156619,0.0171435,0.0257613,0.0338356,0.0550113,0.0821018,0.0876365,0.0664719,0.0416308,0.0355429,0.0417775,0.0476529,0.0359858,0.00914742,0.00868758,0.0188365,0.02946,0,0.0284462,0.0362118,0,0,0.0170489,0,0,0.0302071,0.0395599,0.0198608,0.0242242,0.0371937,0.037618,0.0528389,0.0878961,0.0781693,0.0406205,0.0618322,0.0359299,0.0422802,0.0759419,0.0325661,0.00851416,0.00906369,0.0208233,0.022899,0,0,0,0,0.0726469,0.0188207
154,0,0,0,0,0,0,0.0340737,0.0394714,0,0,0,0.0325841,0,0.022146,0,0,0.0212531,0,0,0.0294309,0.0883317,0.0248576,0.015626,0.0162717,0.0257242,0.0338242,0.0548798,0.0819517,0.0875518,0.066599,0.0417073,0.0355521,0.0414914,0.0474267,0.0327678,0.00921437,0.00862706,0.0187569,0.0294642,0,0.0286,0.0362847,0,0,0.017006,0,0,0.0300865,0.0397347,0.0198161,0.0240809,0.0372561,0.0376222,0.0528298,0.0878453,0.0782075,0.0407499,0.0617638,0.0358188,0.0421327,0.0757424,0.0321149,0.0084978,0.00899168,0.0208464,0.0230489,0,0,0,0,0.0728005,0.018886
155,0,0,0,0,0,0,0.0341882,0.0394775,0,0,0,0.0338626,0,0.0217703,0,0,0.0212725,0,0,0.0294239,0.0878192,0.0236556,0.0155475,0.015462,0.0257597,0.0337975,0.0547671,0.0818082,0.0874634,0.0667531,0.0417234,0.0355147,0.0410951,0.0472364,0.0298193,0.00925413,0.00862457,0.0187686,0.029511,0,0.0287084,0.0363541,0,0,0.0169598,0,0,0.0301132,0.0397745,0.0197193,0.0239632,0.0373806,0.0376583,0.0528405,0.0877265,0.0782195,0.0408892,0.0616596,0.0357629,0.0419669,0.0756011,0.0316422,0.00847582,0.00902059,0.0208425,0.0230241,0,0,0,0,0.0729304,0.0189331
156,0,0,0,0,0,0,0.0342889,0.0394563,0,0,0,0.0351429,0,0.021709,0,0,0.0213151,0,0,0.0293944,0.0874899,0.022582,0.0153931,0.014876,0.0259335,0.033764,0.0547683,0.081719,0.0874444,0.0671112,0.041704,0.0355174,0.040795,0.0467187,0.0270681,0.00925543,0.00868321,0.0188214,0.0297107,0,0.0287296,0.0364492,0,0,0.0170771,0,0,0.0302346,0.0397191,0.0195344,0.023874,0.0375309,0.0377318,0.0528262,0.0876105,0.078207,0.0410156,0.0615403,0.0357088,0.0417822,0.0754909,0.0310308,0.00847611,0.00907406,0.0208317,0.022881,0,0,0,0,0.0730764,0.0189413
157,0,0,0,0,0,0,0.0344406,0.0394352,0,0,0,0.0366235,0,0.0216461,0,0,0.0212505,0,0,0.0293601,0.087326,0.0215975,0.0151357,0.0145091,0.0261664,0.0336919,0.0548156,0.0815808,0.0874015,0.0675107,0.0417231,0.0355121,0.0404779,0.046247,0.024523,0.00927322,0.00873257,0.0188784,0.0299478,0,0.0287166,0.0365731,0,0,0.0171183,0,0,0.0302396,0.0396762,0.0192676,0.0237417,0.0376773,0.0378364,0.0527816,0.08749,0.0781678,0.041085,0.061396,0.0356484,0.0416422,0.0753603,0.0303586,0.00846935,0.00908336,0.0208048,0.0226726,0,0,0,0,0.073243,0.0189898
158,0,0,0,0,0,0,0.0346101,0.039422,0,0,0,0.038386,0,0.0214035,0,0,0.0211711,0,0,0.0293038,0.0870372,0.0207166,0.0149272,0.0143754,0.0261602,0.0336132,0.0548825,0.0813781,0.0872614,0.0678587,0.0418126,0.0355064,0.0401296,0.0459044,0.0222793,0.00927286,0.00875895,0.0188666,0.0301482,0,0.0287457,0.0366908,0,0,0.0171764,0,0,0.0301053,0.0396039,0.0189873,0.0236069,0.0378701,0.0379452,0.0527502,0.0873249,0.0781229,0.0411328,0.0612361,0.0355953,0.041581,0.0752356,0.0297074,0.00849234,0.00909013,0.0207879,0.0224905,0,0,0,0,0.0734158,0.0190337
159,0,0,0,0,0,0,0.0347833,0.039417,0,0,0,0.0395896,0,0.0215794,0,0,0.0211086,0,0,0.0292333,0.0865816,0.0200647,0.014673,0.0144509,0.0261766,0.0335944,0.0550171,0.0810118,0.0871859,0.0683923,0.0418602,0.035416,0.0397595,0.045537,0.0205254,0.00927841,0.00870194,0.0188632,0.0305179,0,0.028825,0.0368095,0,0,0.0171891,0,0,0.0300833,0.0394675,0.0186485,0.0234666,0.0380595,0.038046,0.0526873,0.0871483,0.0780974,0.0412576,0.0611867,0.0355699,0.0415483,0.0751134,0.0288487,0.00858027,0.00902284,0.0207989,0.0223508,0,0,0,0,0.0736451,0.019161
