Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
80,0,0,0,0,0,0,0.0375612,0.0453592,0,0,0,0.125258,0,0.0685572,0,0,0.0145086,0,0,0.027094,0.107939,0.279332,0.017452,0.00923428,0.0307811,0.0165797,0.066651,0.0803403,0.100253,0.0829467,0.0345924,0.0338801,0.0605437,0.0758994,0.185842,0.0191772,0.00955374,0.0153477,0.0330745,0,0.0228436,0.0403923,0,0,0.0145267,0,0,0.0374347,0.0792775,0.0376332,0.0166509,0.022884,0.0550859,0.0303215,0.0647027,0.0999797,0.0861565,0.0418033,0.0689252,0.0416187,0.0499934,0.0828632,0.0377833,0.0111004,0.0104616,0.0155307,0.0254322,0.0183138,0,0,0,0
81,0,0,0,0,0,0,0.0377914,0.0454508,0,0,0,0.12633,0,0.0686264,0,0,0.0144294,0,0,0.0271881,0.108413,0.278841,0.0171216,0.00923103,0.0306945,0.0164934,0.0667763,0.0803153,0.100332,0.0831212,0.0344183,0.0337741,0.0606097,0.0757845,0.185397,0.0192111,0.00941439,0.015459,0.0336832,0,0.0226966,0.0404747,0,0,0.0147533,0,0,0.0375266,0.0786362,0.0366079,0.0165902,0.022586,0.0552144,0.0302573,0.0647618,0.100155,0.0862505,0.0421267,0.0693307,0.0419206,0.0504373,0.0834417,0.0353845,0.0110728,0.0105382,0.0157221,0.0253838,0.0183577,0,0,0,0
82,0,0,0,0,0,0,0.0379603,0.045467,0,0,0,0.127528,0,0.068596,0,0,0.0144227,0,0,0.0273119,0.10877,0.27856,0.0169604,0.00908101,0.0303611,0.0163405,0.0668266,0.0803276,0.100383,0.0831939,0.0340685,0.0334575,0.0605704,0.0756389,0.184746,0.0192673,0.00941033,0.0154693,0.034474,0,0.0223508,0.0405777,0,0,0.0148295,0,0,0.0377072,0.0779917,0.0355081,0.0167497,0.0221792,0.0553258,0.0301227,0.0650017,0.100438,0.0863287,0.0425002,0.0696464,0.0421056,0.0508427,0.0839962,0.0333793,0.0110813,0.0105624,0.0157437,0.0253453,0.0183114,0,0,0,0
83,0,0,0,0,0,0,0.038094,0.0451983,0,0,0,0.128675,0,0.0684944,0,0,0.0144679,0,0,0.0274498,0.109214,0.278331,0.0168193,0.00896342,0.0298921,0.016153,0.0668293,0.0802843,0.100409,0.0832472,0.0340065,0.0331878,0.0605771,0.0755695,0.18403,0.0194023,0.00944616,0.0154506,0.0352157,0,0.0220541,0.0406683,0,0,0.0148195,0,0,0.0378377,0.0773471,0.0344964,0.0168983,0.0217638,0.0553535,0.0299329,0.0652582,0.100682,0.0864009,0.0428524,0.0699527,0.0423856,0.0512103,0.0845015,0.0314256,0.0110765,0.0106177,0.0156601,0.025305,0.0182895,0,0,0,0
84,0,0,0,0,0,0,0.0382151,0.0447309,0,0,0,0.129603,0,0.068347,0,0,0.0144723,0,0,0.0275659,0.109666,0.27819,0.016706,0.00887418,0.0292512,0.0159743,0.0667965,0.0801925,0.10037,0.0832763,0.034024,0.0330085,0.0605949,0.0755245,0.183298,0.0195535,0.00949441,0.0154127,0.0358265,0,0.0217832,0.0407177,0,0,0.0147959,0,0,0.0379355,0.0767158,0.0335264,0.0170819,0.0213062,0.0553526,0.0297693,0.0655986,0.100898,0.0864672,0.0432116,0.0702193,0.0426486,0.0514002,0.0849655,0.029663,0.0110807,0.010646,0.0155832,0.0253163,0.0182419,0,0,0,0
85,0,0,0,0,0,0,0.0383416,0.0445518,0,0,0,0.130555,0,0.0681459,0,0,0.014391,0,0,0.0277241,0.110149,0.27807,0.0165606,0.00884972,0.0285835,0.0158448,0.0667257,0.0800662,0.100331,0.0833002,0.0340267,0.0329163,0.0606541,0.075504,0.182603,0.019646,0.00953833,0.015401,0.0364067,0,0.0215882,0.0407731,0,0,0.0148561,0,0,0.0380267,0.0761401,0.032716,0.017235,0.0208055,0.0553153,0.0296182,0.0660106,0.101095,0.0865617,0.0435448,0.0704421,0.0428481,0.0516913,0.0853608,0.0280417,0.011081,0.0106433,0.0156209,0.025315,0.0182251,0,0,0,0
86,0,0,0,0,0,0,0.0383256,0.0449249,0,0,0,0.131631,0,0.0678278,0,0,0.0141135,0,0,0.0279214,0.110862,0.278277,0.016234,0.00883758,0.028081,0.0156068,0.0666416,0.0797886,0.100299,0.0834332,0.0339108,0.0326692,0.0606671,0.0755502,0.181456,0.019688,0.0097636,0.0154095,0.037077,0,0.0212353,0.0408704,0,0,0.0149479,0,0,0.0379741,0.0756613,0.0320619,0.0172264,0.0204742,0.0552181,0.0293073,0.0661895,0.101144,0.0865369,0.0437691,0.070714,0.0430544,0.0520485,0.0857709,0.0266132,0.0110207,0.0109679,0.0156521,0.025589,0.0180609,0,0,0,0
87,0,0,0,0,0,0,0.0385477,0.0450925,0,0,0,0.132668,0,0.0676146,0,0,0.0139363,0,0,0.0280259,0.111365,0.278262,0.0160412,0.00889292,0.0276052,0.0153799,0.0666276,0.0794403,0.100275,0.0835722,0.0337996,0.0325132,0.0606819,0.0755887,0.180548,0.0197672,0.00989384,0.0155019,0.0376258,0,0.0211443,0.0410541,0,0,0.0150479,0,0,0.0380401,0.0751235,0.0313223,0.0173717,0.0201806,0.0551909,0.0291899,0.0662392,0.101233,0.0864562,0.0440824,0.0709549,0.0431921,0.0523305,0.0860963,0.0251125,0.0109626,0.0110748,0.0157244,0.0257498,0.0178289,0,0,0,0
88,0,0,0,0,0,0,0.0388612,0.0451295,0,0,0,0.133665,0,0.0674594,0,0,0.0138366,0,0,0.028055,0.111823,0.278179,0.0158363,0.00894467,0.027193,0.0151332,0.0666822,0.0792457,0.100279,0.0837513,0.0336547,0.0323805,0.0606288,0.0755441,0.179795,0.0198713,0.00993901,0.0154501,0.0381126,0,0.021133,0.0412851,0,0,0.015083,0,0,0.0381378,0.0746182,0.0306429,0.0176253,0.0199224,0.0551784,0.0291152,0.0663444,0.101254,0.0863201,0.0445382,0.0711846,0.0433405,0.0526428,0.0864256,0.0238327,0.0109208,0.0110496,0.0156884,0.025885,0.0175196,0,0,0,0
89,0,0,0,0,0,0,0.0391727,0.045127,0,0,0,0.134615,0,0.0673165,0,0,0.0137452,0,0,0.0280474,0.112288,0.278184,0.0155472,0.00895349,0.0268718,0.0149088,0.0667528,0.079357,0.100324,0.0839619,0.0335482,0.0323369,0.0605675,0.0754362,0.179212,0.0200269,0.00997196,0.0154191,0.0386525,0,0.0212009,0.0415051,0,0,0.0151456,0,0,0.0381557,0.0741233,0.0300687,0.0179593,0.0197577,0.0551535,0.0289828,0.0666006,0.101247,0.0863518,0.0449997,0.0714774,0.0435019,0.053008,0.0868267,0.0226881,0.0109556,0.0110118,0.0157438,0.0260048,0.0172393,0,0,0,0
