Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LELB
19,0.002159,0.00094059,0.0115223,0.0190917,0.00847227,0.00414439,0,0,0,0.0192275,0.00164068,0.0382659,0.0123884,0.0263018,0.00950709,0.00488786,0.0022195,0.00121945,0.00702566,0.00777131,0.0269008,0.00591608,0.00552972,0.00313109,0.0109859,0.0111378,0.00137851,0.00471833,0.00125515,0.00736531,0.018189,0.0192151,0.0107062,0.0023515,0,0,0.0021927,0,0.0160132,0.00158146,0.0355621,0.0365545,0.0277044,0.0075435,0.0144133,0.00326815,0.00245999,0.0231373,0.00504046,0.00585165,0.0160126,0.0313273,0.012998,0.0221505,0.0201464,0.00286692,0.00345792,0.00107116,0.00273275,0.00468593,0,0,0,0,0,0.00381886
20,0.00240153,0.00103523,0.00948665,0.0189874,0.00723854,0.00420454,0,0,0,0.0193267,0.00168966,0.0378885,0.0129696,0.0265767,0.0104448,0.00460155,0.00218143,0.00172535,0.00879389,0.00927397,0.0275621,0.00484084,0.00494562,0.00307538,0.011777,0.00962497,0.00142837,0.00474615,0.0011729,0.00696798,0.0181685,0.0214061,0.0101418,0.00232627,0,0,0.00277763,0,0.0160396,0.00184297,0.0355718,0.0382114,0.0272239,0.00750833,0.0137874,0.00331295,0.00229097,0.0233578,0.00563102,0.00516215,0.0162002,0.0304319,0.0135442,0.0224376,0.0191463,0.00318132,0.00379678,0.00121841,0.00302689,0.00478873,0,0,0,0,0,0.00412736
21,0.00277278,0.00119876,0.0080948,0.01909,0.00678084,0.00449474,0,0,0,0.0193118,0.00187471,0.0375459,0.0140885,0.0267196,0.00967842,0.00446969,0.00224333,0.00277822,0.0101558,0.0104618,0.0284846,0.00457932,0.00505321,0.0033002,0.0125982,0.00883716,0.00173379,0.00490018,0.00128151,0.00752351,0.018136,0.0234439,0.00961936,0.00277563,0,0,0.00323635,0,0.0159394,0.00228427,0.0355392,0.0392786,0.0267975,0.00765459,0.0131454,0.00341507,0.00220852,0.0235517,0.0061321,0.00442302,0.0163085,0.0295349,0.0142317,0.0224507,0.017962,0.00357027,0.0036517,0.00133929,0.0033912,0.0050266,0,0,0,0,0,0.00432746
22,0.00279595,0.000832606,0.0072288,0.0193114,0.0066774,0.00469144,0,0,0,0.0191755,0.00203458,0.037266,0.0151537,0.0266319,0.00817386,0.00429872,0.00211277,0.00349283,0.0110554,0.0110903,0.0290556,0.00511865,0.00583171,0.00367401,0.0130082,0.0085553,0.00170477,0.00497158,0.00145156,0.00902479,0.0182508,0.025754,0.008836,0.00213242,0,0,0.00264939,0,0.0161891,0.00178184,0.035397,0.0404733,0.0264107,0.00824455,0.0118615,0.00184968,0.00212838,0.0238495,0.00674515,0.0034299,0.0166625,0.0287165,0.0149358,0.0225801,0.0165548,0.00307644,0.00420132,0.00108965,0.00253569,0.00433,0,0,0,0,0,0.004663
23,0.00292992,0.000663503,0.0067864,0.0192035,0.00657397,0.00486145,0,0,0,0.019263,0.00184947,0.0368819,0.0157957,0.0264687,0.00765706,0.0043187,0.00181575,0.00373291,0.0116344,0.0113089,0.0290221,0.00577937,0.00689979,0.00399182,0.0131691,0.0085544,0.00161167,0.00484086,0.00135293,0.0113386,0.0183075,0.0277596,0.00813957,0.00251446,0,0,0.00268092,0,0.0162193,0.00178091,0.0352419,0.0410097,0.0259776,0.00902323,0.0110177,0.00151719,0.00231753,0.0240763,0.00716683,0.00259875,0.016887,0.0278799,0.0154114,0.0224944,0.0152765,0.00288076,0.00402903,0.00106604,0.00243516,0.00435347,0,0,0,0,0,0.00467787
24,0.00292661,0.000655718,0.00648367,0.0193004,0.00618992,0.00482084,0,0,0,0.0191772,0.00188375,0.0364239,0.0159743,0.0264531,0.0084407,0.00428283,0.00170749,0.00379687,0.0120393,0.0112086,0.0284364,0.00608259,0.00769991,0.00398115,0.0131105,0.00857536,0.00175306,0.00490313,0.00140544,0.0141337,0.0183353,0.029502,0.00741721,0.00278084,0,0,0.00273764,0,0.0162202,0.00173794,0.0351112,0.0410919,0.0254545,0.00991842,0.0102178,0.00140924,0.00268454,0.024149,0.00740376,0.00199838,0.0171086,0.0269297,0.0158336,0.0222757,0.0141197,0.00273777,0.00379785,0.000992808,0.00243533,0.00431521,0,0,0,0,0,0.00468482
25,0.0029077,0.000714884,0.00613406,0.0196248,0.00550995,0.00462814,0,0,0,0.0189239,0.0021506,0.0360359,0.0157995,0.0266354,0.00939585,0.00415653,0.00185163,0.00411193,0.0122017,0.0109543,0.0275979,0.00590813,0.00795089,0.00366054,0.0128516,0.00853261,0.00216902,0.00522817,0.0016688,0.0171779,0.0182753,0.0309835,0.00666212,0.00285097,0,0,0.00288113,0,0.0161536,0.00170255,0.0350539,0.0409179,0.0249198,0.0107628,0.00940129,0.00152157,0.0029516,0.023862,0.00723355,0.00182104,0.0174876,0.0257476,0.0164405,0.0221554,0.0126912,0.00266631,0.00353706,0.00091526,0.00253939,0.00414865,0,0,0,0,0,0.00483708
26,0.00304473,0.000846976,0.00597472,0.019727,0.00484832,0.0042615,0,0,0,0.0188322,0.00217713,0.0358406,0.0153112,0.0267895,0.0101141,0.00398249,0.00182073,0.00465521,0.012083,0.0107287,0.0268608,0.00565892,0.00798211,0.00325781,0.0125369,0.00861094,0.0023401,0.00526376,0.00162873,0.0203637,0.0182359,0.0319229,0.00585769,0.00283508,0,0,0.00317704,0,0.0161244,0.00167958,0.0350788,0.0401324,0.0243976,0.0114905,0.00852576,0.00173296,0.00316326,0.0232427,0.00667148,0.00197723,0.018012,0.0242675,0.0170785,0.0222079,0.0104625,0.00260787,0.00323082,0.000918993,0.00268366,0.00400019,0,0,0,0,0,0.00527925
27,0.00317758,0.00106925,0.00631049,0.0197329,0.00437681,0.00402187,0,0,0,0.018862,0.00228005,0.0359822,0.0145374,0.026597,0.00997117,0.00409557,0.00167086,0.00498568,0.011416,0.0104713,0.0263152,0.00545895,0.00780571,0.00287449,0.0121988,0.00908834,0.00253964,0.00519291,0.00155867,0.0259753,0.0182134,0.0299138,0.00527261,0.00272584,0,0,0.00372905,0,0.0161106,0.00175842,0.0351505,0.034488,0.0243351,0.011479,0.00662748,0.00204065,0.00471932,0.0208569,0.0049183,0.0041647,0.0178915,0.0216256,0.015608,0.0208015,0.0108575,0.00273324,0.00299649,0.000872325,0.00306113,0.00371421,0,0,0,0,0,0.00576394
28,0.00292693,0.00124347,0.00691415,0.0193747,0.00401427,0.00422556,0,0,0,0.0191745,0.00209737,0.0364507,0.0136491,0.0261226,0.00909086,0.0049868,0.00128615,0.0047834,0.0102728,0.0100746,0.0259424,0.00520146,0.00734448,0.00256345,0.0118448,0.00973216,0.00251361,0.00476284,0.00125478,0.0331753,0.0181385,0.0315865,0.00545909,0.00238404,0,0,0.00457784,0,0.0161253,0.00205527,0.0356466,0.0370371,0.0248836,0.010869,0.00434715,0.0024065,0.00834949,0.0175064,0.0021229,0.00874415,0.0215059,0.02094,0.0178303,0.0251005,0.0193397,0.00323772,0.00266079,0.000942004,0.00338062,0.00321122,0,0,0,0,0,0.00564766
29,0.0029842,0.000931123,0.00702986,0.01933,0.00396508,0.00462576,0,0,0,0.0192591,0.00171193,0.0367343,0.0129565,0.0259136,0.00851677,0.00513647,0.0010601,0.00465377,0.00973866,0.00979771,0.0257372,0.00503718,0.0070389,0.00241753,0.0116927,0.00960345,0.00220706,0.00452457,0.000971971,0.0339053,0.0181659,0.0319686,0.00523437,0.0024616,0,0,0.00447857,0,0.0161081,0.00196066,0.0358303,0.0382263,0.0245256,0.0108451,0.00364486,0.00223229,0.00833582,0.0167972,0.00138583,0.00840446,0.0226301,0.0194766,0.0198238,0.02655,0.0201645,0.0030506,0.00219497,0.000794418,0.00331731,0.00316575,0,0,0,0,0,0.00467733
30,0.00299289,0.000745509,0.00698993,0.0194235,0.00399033,0.00491293,0,0,0,0.0191028,0.0013793,0.0370681,0.012252,0.025829,0.00840229,0.00538866,0.00141424,0.00445441,0.00945899,0.00959218,0.0255281,0.00486479,0.00673472,0.00229244,0.0116101,0.00937955,0.00190022,0.00447949,0.000770965,0.0338381,0.0182412,0.0316511,0.00504518,0.00262622,0,0,0.00419583,0,0.0160983,0.0017744,0.0362205,0.0386283,0.0242088,0.0108331,0.00287943,0.00197811,0.00790114,0.0163013,0.00255695,0.00766689,0.0233681,0.0180498,0.0215414,0.0273737,0.0208747,0.00272373,0.00178803,0.000613998,0.00331791,0.00322097,0,0,0,0,0,0.00397411
31,0.0030473,0.000944009,0.00677998,0.0196373,0.00403793,0.00476928,0,0,0,0.018927,0.00110045,0.0373801,0.0116445,0.0258991,0.00859873,0.00549013,0.00195406,0.00444132,0.00920184,0.00950425,0.0253091,0.00468865,0.00656482,0.00220446,0.0115908,0.00888714,0.00149948,0.00452321,0.000719098,0.0329138,0.0184092,0.0305876,0.00483044,0.00287625,0,0,0.00372053,0,0.0161146,0.00154863,0.0365654,0.0378935,0.023853,0.0108,0.00242533,0.00162094,0.00720884,0.0159353,0.00430837,0.00675204,0.0237384,0.0168294,0.0228246,0.0276514,0.0211819,0.002273,0.00136847,0.000351603,0.0033525,0.0033496,0,0,0,0,0,0.00330882
32,0.00319778,0.00156036,0.00654295,0.0198871,0.00409862,0.00456,0,0,0,0.018935,0.000857304,0.0375474,0.011159,0.0260447,0.00882228,0.00539603,0.00253676,0.0045257,0.00913796,0.00957654,0.0250982,0.00458954,0.00661769,0.00217679,0.0116327,0.00811659,0.00100945,0.00447707,0.000747069,0.0317578,0.0187014,0.0291575,0.0043856,0.00322402,0,0,0.00324942,0,0.0162257,0.00138191,0.0365322,0.0363353,0.0234831,0.0107197,0.00218688,0.00119543,0.00651609,0.0156663,0.00602021,0.00597692,0.0239099,0.0158753,0.0237318,0.0276992,0.0212323,0.00184768,0.000937065,0.00012483,0.00344049,0.00348179,0,0,0,0,0,0.00248849
33,0.00424809,0.0032201,0.00627373,0.0201359,0.00407578,0.00453178,0,0,0,0.0184399,0.00421933,0.0375192,0.0106213,0.0261479,0.00890319,0.00593303,0.00548774,0.0047749,0.00916963,0.00975157,0.0249897,0.00457963,0.00680321,0.00216686,0.011703,0.00754142,0.00534107,0.00361831,0.00251067,0.0300822,0.0190401,0.0276478,0.00420083,0.00491521,0,0,0.00979874,0,0.0162039,0.00518109,0.0365318,0.0348233,0.0233945,0.0105549,0.00120555,0.00224146,0.00584351,0.0154048,0.00740428,0.0055708,0.023936,0.0152186,0.0242283,0.0276176,0.021783,0.00568024,0.00333053,0.000937481,0.00554003,0.00378049,0,0,0,0,0,0
34,0.00366703,0.00136394,0.00585389,0.0203615,0.00397609,0.00425133,0,0,0,0.0188288,0.000919321,0.0374198,0.0101202,0.0263214,0.00900504,0.00568479,0.0024312,0.00504932,0.00935997,0.00999447,0.0250514,0.00470175,0.0071927,0.00227587,0.0118561,0.00688257,0.000733482,0.00421368,0.000778324,0.0282878,0.0189339,0.026453,0.0045659,0.00371607,0,0,0.00244812,0,0.0163249,0.00139965,0.0365405,0.0335712,0.0230264,0.0104628,0.000895604,0.00208243,0.0054588,0.0153365,0.00828196,0.00532742,0.023723,0.0150937,0.0243552,0.0272767,0.0231849,0.00181772,0.000755302,0.000671626,0.0026886,0.00398401,0,0,0,0,0,0.001964
