Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI
110,0.00860718,0.00359917,0.0245868,0.0187679,0.0266506,0,0,0.00363564,0,0.0195145,0.00198976,0.0365229,0.0475776,0.0114134,0.0515944,0.0153089,0.00429666,0.0300846,0.0433577,0.0362424,0.0223352,0.0275943,0.0231311,0.00681887,0.0112997,0.0225585,0.00337498,0.00460685,0.00117348,0.0180593,0.0196706,0.0121323,0.0113276,0.00406929,0,0,0.00463952,0,0.0160049,0.00300976,0.0312343,0.0209619,0.0366432,0.0128991,0.0134686,0.00956681,0.00646041,0.0223132,0.00577244,0.00670787,0.014806,0.0389619,0.0117591,0.0176698,0.0233968,0.00462565,0.00177419,0.00169516,0.00548684,0.00342264,0,0,0,0,0,0.00829244
111,0.00551892,0.000225304,0.0299303,0.018046,0.013646,0,0,0.00119377,0,0.0199483,0.000595416,0.0360349,0.00857447,0.018705,0.00852504,0.00517186,0.00175005,0.0054759,0.0115845,0.0103683,0.0220163,0.00824192,0.0128975,0.00447312,0.0116315,0.0381379,0.000997699,0.00437666,0.000716472,0.0172685,0.0189204,0.0109235,0.00921007,0.0062671,0,0,0.00124196,0,0.0162703,0.000536374,0.033059,0.0184137,0.0360331,0.0112531,0.00618531,0.00691637,0.00672039,0.0215631,0.00575471,0.0071724,0.0136285,0.0393482,0.0113192,0.0161132,0.0217008,0.00185116,0.000857938,0.000282517,0.00208959,0.00385042,0,0,0,0,0,0.00264001
112,0.00807593,0.00383235,0.020792,0.0192575,0.0238251,0,0,0.00377789,0,0.0188927,0.00165698,0.0374173,0.0455291,0.0121534,0.0523882,0.0152135,0.0037759,0.0305927,0.0449315,0.0357784,0.0203918,0.0284729,0.025662,0.00891452,0.0105259,0.0182823,0.00367347,0.00440935,0.00107213,0.018604,0.0196429,0.0119184,0.0123831,0.00355678,0,0,0.00492425,0,0.0160435,0.00330458,0.0322186,0.0208879,0.0359114,0.0141235,0.0143439,0.00976647,0.005829,0.0223171,0.00554937,0.00625902,0.0148452,0.0383834,0.0114787,0.0178527,0.0247216,0.00472283,0.00172373,0.0016025,0.00585125,0.00360474,0,0,0,0,0,0.00839146
113,0.00865644,0.00416975,0.0191882,0.0194386,0.0226657,0,0,0.00370888,0,0.0188264,0.00147803,0.0378898,0.0446282,0.01247,0.0525858,0.0158504,0.00387753,0.0307999,0.0456623,0.0355027,0.0194287,0.028645,0.0266743,0.0100639,0.0101837,0.0159508,0.00360573,0.0043339,0.00107014,0.0190062,0.0196216,0.0124842,0.0130358,0.00468402,0,0,0.00871688,0,0.0161368,0.00455273,0.0325165,0.0210305,0.0355514,0.0156726,0.0154175,0.0100828,0.00548486,0.0223666,0.00574332,0.00591115,0.0149478,0.0380058,0.0114184,0.0179174,0.0250982,0.00435066,0.0040884,0.00163716,0.00608963,0.00347435,0,0,0,0,0,0.0085932
114,0.00538331,0.000792626,0.0298646,0.0186135,0.0114489,0,0,0.00273262,0,0.0196114,0.00141198,0.0370309,0.00928398,0.0195103,0.00681102,0.0054344,0.00193304,0.00651298,0.0104242,0.0107009,0.0213906,0.00768595,0.0107671,0.00291293,0.00984393,0.0386517,0.00201622,0.00415395,0.00142068,0.0178105,0.0188396,0.0115575,0.0107131,0.00641469,0,0,0.0019131,0,0.0161903,4.81373e-05,0.0337698,0.0184402,0.0351832,0.0139494,0.00766983,0.00822395,0.00594352,0.0218454,0.00586368,0.00620766,0.0136195,0.0386422,0.0110806,0.0162041,0.0226308,0.00232465,0.00109453,0.00015434,0.00248653,0.00398901,0,0,0,0,0,0.00314665
115,0.00860539,0.00423934,0.0158283,0.0192458,0.0202273,0,0,0.00433263,0,0.0189901,0.00191082,0.0389989,0.0417154,0.0133859,0.0518198,0.016031,0.00455989,0.0308942,0.046172,0.0343738,0.0176256,0.0286298,0.0275729,0.0120882,0.00990486,0.0122516,0.00389244,0.00425297,0.0012975,0.0192464,0.0194718,0.0126124,0.0137815,0.00460094,0,0,0.00472791,0,0.0158329,0.00291968,0.0328348,0.0211724,0.0348418,0.0171662,0.0165566,0.0119627,0.00494327,0.0224408,0.00594274,0.00558315,0.0148504,0.0374894,0.0110865,0.017691,0.0255936,0.00529639,0.00153054,0.00144242,0.0065145,0.00342959,0,0,0,0,0,0.00952591
116,0.00569969,0.00101248,0.031613,0.0183785,0.0110218,0,0,0.00285395,0,0.0195934,0.00138251,0.0376323,0.0111236,0.019695,0.00620625,0.00643104,0.00235844,0.00725417,0.0097832,0.0104816,0.0210102,0.00826466,0.0109513,0.00349315,0.00874615,0.0410858,0.00211703,0.0041171,0.0012367,0.0181167,0.0188088,0.0117977,0.0117784,0.00660763,0,0,0.00216351,0,0.0160674,0.00010871,0.0340438,0.0189432,0.0346926,0.0157264,0.00939293,0.00960858,0.0055087,0.0220672,0.00629633,0.00575265,0.0136148,0.038159,0.0109093,0.0161538,0.0230858,0.00287733,0.00086259,0.000401269,0.00308034,0.00319459,0,0,0,0,0,0.00433457
117,0.005665,0.00091472,0.0329063,0.0184248,0.0113177,0,0,0.00281,0,0.0196461,0.00126462,0.037924,0.0118645,0.0197976,0.00618233,0.00664507,0.00207582,0.00756715,0.00955454,0.0101499,0.0210125,0.0087348,0.0113976,0.00386143,0.00841972,0.0426958,0.00204882,0.00423098,0.00112669,0.0181476,0.0188205,0.0116026,0.0121327,0.00661881,0,0,0.0025102,0,0.0160474,0.000251273,0.0341502,0.0188607,0.0344616,0.0161362,0.00990213,0.00995022,0.00539056,0.0221903,0.00641456,0.00580935,0.0135703,0.0380399,0.0108914,0.0161742,0.0233189,0.00316851,0.000910221,0.000501753,0.00298164,0.00307203,0,0,0,0,0,0.0047434
118,0.00585911,0.000745084,0.0342853,0.018106,0.01198,0,0,0.00222458,0,0.0201173,0.000892784,0.0382055,0.0120712,0.0199801,0.00622025,0.00716022,0.0018472,0.00778068,0.00912633,0.00976795,0.0211418,0.00933564,0.0118744,0.00436269,0.00827757,0.0442187,0.00189974,0.00445266,0.000784629,0.018219,0.0186855,0.0115163,0.0125475,0.00664365,0,0,0.00281769,0,0.015893,0.000482158,0.0342173,0.0189062,0.0342124,0.016789,0.0107024,0.0101982,0.00523383,0.0223714,0.00668351,0.00588704,0.0135791,0.0379199,0.0109056,0.0161909,0.0236579,0.00347774,0.000626643,0.000533149,0.00297117,0.0030273,0,0,0,0,0,0.00501776
119,0.00557746,0.000789947,0.03537,0.0183996,0.0125814,0,0,0.00258973,0,0.0195927,0.00116357,0.0384692,0.0120542,0.0202039,0.00626441,0.00756035,0.00186164,0.00784001,0.00866196,0.00932209,0.0213029,0.00981857,0.0123321,0.00470424,0.00815029,0.0454837,0.00181114,0.0043169,0.00113269,0.0183831,0.0187111,0.0114699,0.0129471,0.00667238,0,0,0.00323338,0,0.0158856,0.000755247,0.0342173,0.0190408,0.0340787,0.0174648,0.0112855,0.0102865,0.00519075,0.0225604,0.00711403,0.00601754,0.0136277,0.0378004,0.0109118,0.0161094,0.0241171,0.00370594,0.000665138,0.000594495,0.00285913,0.00318423,0,0,0,0,0,0.00519752
120,0.00539515,0.000763259,0.0359124,0.0185027,0.013049,0,0,0.00301122,0,0.0193428,0.00153458,0.0387306,0.0117333,0.0204646,0.00616291,0.00792162,0.00194208,0.00776314,0.00815961,0.00878783,0.0215996,0.0100288,0.0126407,0.00489407,0.00808835,0.0460696,0.00178141,0.00425818,0.00148174,0.0187116,0.018756,0.0114827,0.0132938,0.00674009,0,0,0.00382442,0,0.0159332,0.000998436,0.0342021,0.01912,0.0339606,0.0181296,0.0118361,0.0104216,0.00524773,0.0227637,0.007625,0.00621798,0.0137412,0.0377094,0.0109362,0.0160484,0.024688,0.00390149,0.000880998,0.000667003,0.00272692,0.00325221,0,0,0,0,0,0.00530181
121,0.0055101,0.000515496,0.0357757,0.0183942,0.0132694,0,0,0.0027819,0,0.0197691,0.00130622,0.038967,0.0113209,0.0207663,0.00584993,0.00826147,0.00190559,0.00753151,0.00757389,0.00814756,0.0220367,0.00994013,0.0126865,0.00492,0.0080987,0.0457774,0.00152192,0.00433764,0.0012526,0.019109,0.0186837,0.0115169,0.0136079,0.00672328,0,0,0.00432569,0,0.0158899,0.00121014,0.0342116,0.0191165,0.0338182,0.0187603,0.0123898,0.0106525,0.00531071,0.0229696,0.00809327,0.00647177,0.013879,0.0376409,0.0109891,0.0161602,0.0253326,0.00410287,0.00107814,0.000741644,0.00263071,0.00321639,0,0,0,0,0,0.00529688
122,0.0056415,0.000255013,0.0348503,0.0180439,0.0128215,0,0,0.00222556,0,0.0202654,0.000837701,0.0391833,0.0104981,0.0210869,0.00538192,0.00857721,0.00174194,0.00713581,0.00683159,0.00730714,0.0225744,0.00946498,0.0124046,0.00491118,0.00821448,0.0445903,0.00131096,0.00460323,0.0008202,0.0195285,0.0185061,0.0117152,0.0139538,0.00667694,0,0,0.0046869,0,0.0157436,0.00144206,0.0342541,0.0193159,0.0336946,0.0195388,0.0129073,0.0107289,0.00540181,0.0231604,0.00859054,0.00675593,0.0140993,0.0375516,0.0110783,0.01644,0.0259845,0.00419278,0.00103946,0.000813033,0.00261851,0.00328016,0,0,0,0,0,0.00519622
123,0.00521992,0.000362189,0.0328823,0.0184502,0.011743,0,0,0.00305014,0,0.0196534,0.00131129,0.0393402,0.00938511,0.021421,0.00486417,0.00851945,0.00191425,0.0065447,0.00589112,0.00630452,0.0231532,0.00865969,0.011707,0.00480817,0.00843813,0.0421842,0.00145047,0.00439094,0.00134469,0.0198128,0.0184272,0.0119145,0.0142368,0.00670384,0,0,0.00504985,0,0.0156941,0.00163316,0.0342639,0.0194553,0.033723,0.0202569,0.0129314,0.0106737,0.00546162,0.0233218,0.00909134,0.00705933,0.0143213,0.0375115,0.0111723,0.0167906,0.0264148,0.00419747,0.00106385,0.000884113,0.00232648,0.0034235,0,0,0,0,0,0.00499293
124,0.00512824,0.000494095,0.0294393,0.0182565,0.0101811,0,0,0.00327597,0,0.0197,0.00147606,0.0394293,0.00818971,0.021775,0.00445453,0.00856992,0.00203431,0.0057299,0.0047961,0.00515121,0.023842,0.00755593,0.0104766,0.00422631,0.0089032,0.0381679,0.00151757,0.00434775,0.0013687,0.0200012,0.0183993,0.0122069,0.0144902,0.00676373,0,0,0.00553305,0,0.0157334,0.00175455,0.0342698,0.0196378,0.0337551,0.0209919,0.0129981,0.0107115,0.0055272,0.0235404,0.00962607,0.00735989,0.0145276,0.0375011,0.0113095,0.0170496,0.0266843,0.00425151,0.00110089,0.000997069,0.0021415,0.00347249,0,0,0,0,0,0.00464164
125,0.00593807,0.0011428,0.0243238,0.0173589,0.00776703,0,0,0.00180757,0,0.0207076,0.000820083,0.0394258,0.00703691,0.0222053,0.00428749,0.0089672,0.00187983,0.00493492,0.00398961,0.004331,0.0246368,0.00611241,0.00885271,0.003311,0.00997439,0.0321691,0.00105707,0.00479798,0.00063812,0.0201434,0.0183587,0.0127416,0.0148111,0.00693409,0,0,0.0016503,0,0.0159044,0.00233891,0.0343358,0.0199533,0.0337464,0.0220246,0.0134358,0.0104984,0.00564497,0.0238684,0.0102965,0.00766303,0.0147367,0.0374477,0.0114493,0.0171883,0.0267409,0.0023651,0.00450067,0.00193106,0.002001,0.0033206,0,0,0,0,0,0.00427598
