Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65
191,0.0108002,0.0175916,0.0246187,0.0209715,0.0147569,0.00727947,0,0,0.0133029,0,0.0166268,0.00791891,0.0341841,0.0134085,0.0344876,0.0157897,0.0141878,0.0201315,0.0142499,0.0198449,0.0134525,0.0277298,0.0136373,0.0196824,0.0115957,0.00777693,0.0297923,0.00754902,0.0019646,0.00675314,0.0148532,0.0164239,0.0146709,0.00793167,0.00990775,0,0,0.02905,0,0.0154984,0.0177768,0.036822,0.027714,0.035308,0.0103115,0.00935078,0.0216957,0.0103555,0.0157353,0.0178255,0.0150526,0.0230232,0.0100357,0.0205757,0.0262921,0.0230435,0.0259635,0.0056324,0.00601557,0.0173551,0.0114165,0,0,0,0,0
192,0.0107,0.0175425,0.0254977,0.0209227,0.0158907,0.0075338,0,0,0.0131357,0,0.0166755,0.00785435,0.0341477,0.0136902,0.0344971,0.0153524,0.0142618,0.0201276,0.0138001,0.019081,0.0131981,0.027945,0.0136789,0.0198377,0.0118238,0.00773813,0.0306882,0.00758791,0.00197823,0.0067188,0.0147469,0.0163487,0.0142014,0.00739662,0.00994756,0,0,0.0289302,0,0.0154225,0.0177625,0.0367776,0.0285613,0.0354145,0.00920341,0.0104179,0.0217894,0.0103959,0.0156187,0.0178196,0.0147456,0.022947,0.0101172,0.0201591,0.026094,0.0252977,0.0258901,0.00564184,0.00609466,0.0173364,0.0113641,0,0,0,0,0
193,0.010672,0.0175701,0.0264969,0.0208996,0.0171331,0.00781649,0,0,0.0130484,0,0.0167071,0.00786123,0.0340957,0.0141952,0.0344512,0.0148009,0.0142446,0.0200633,0.0133748,0.0183427,0.0129284,0.0281495,0.0136872,0.0200824,0.0120308,0.00765953,0.0317091,0.00754503,0.00206441,0.00666965,0.0147282,0.0162952,0.013945,0.00668549,0.0100312,0,0,0.0288626,0,0.0153965,0.0178124,0.0366417,0.0289681,0.0354892,0.00795481,0.0114759,0.0219016,0.0101103,0.015564,0.0176927,0.0140953,0.0230661,0.0101624,0.0199632,0.0260067,0.0261434,0.0258806,0.00566993,0.00622085,0.0174605,0.011318,0,0,0,0,0
194,0.0106774,0.0176635,0.0274036,0.0209033,0.0181915,0.00788079,0,0,0.0130023,0,0.0167218,0.00789108,0.0340696,0.0145767,0.0343626,0.0143526,0.0143069,0.0199116,0.0130409,0.0178,0.0126843,0.028302,0.0137086,0.0202963,0.0122363,0.00753008,0.0326596,0.00746207,0.00226518,0.00664289,0.0145734,0.0162346,0.013847,0.0057464,0.0100995,0,0,0.0288272,0,0.0153802,0.0178738,0.0364239,0.0288575,0.035475,0.00682341,0.0125056,0.0220225,0.00965219,0.0154484,0.0174772,0.0133281,0.0232788,0.0102243,0.0198779,0.0261358,0.0263688,0.0259029,0.00572515,0.00638689,0.0177233,0.0111819,0,0,0,0,0
195,0.0107124,0.0177843,0.027939,0.0208587,0.0188151,0.00767327,0,0,0.0130477,0,0.0167916,0.00791213,0.0341271,0.0146337,0.0342938,0.0140754,0.0143509,0.0197782,0.012917,0.017432,0.012463,0.0283513,0.0136834,0.0203445,0.0124384,0.00735021,0.0332191,0.00744153,0.00247314,0.00661085,0.0142905,0.0161382,0.0138633,0.00457177,0.0101144,0,0,0.0286993,0,0.0153075,0.0178117,0.036055,0.0285426,0.0352916,0.0060799,0.0133673,0.0220636,0.0092074,0.0152068,0.0172528,0.0126513,0.0234742,0.0103436,0.0198278,0.0264093,0.0262713,0.0258671,0.00577983,0.00645419,0.0180811,0.0109736,0,0,0,0,0
196,0.0107926,0.0179049,0.0281264,0.0207221,0.0190438,0.00737709,0,0,0.013166,0,0.0169051,0.00799641,0.0343413,0.0144358,0.0342283,0.0138108,0.0141406,0.019625,0.0128453,0.0170927,0.0122587,0.0283216,0.0135905,0.0200627,0.0125729,0.00713977,0.0334235,0.00762404,0.00257932,0.00660164,0.0140399,0.0160714,0.0137303,0.00350317,0.0101068,0,0,0.0284461,0,0.0152513,0.0176797,0.0358984,0.027771,0.0350995,0.0058112,0.0138537,0.0220089,0.00892074,0.0150599,0.0168907,0.0120934,0.0236848,0.010405,0.0198514,0.0267187,0.0259009,0.0257519,0.00584054,0.00646818,0.018394,0.0107675,0,0,0,0,0
197,0.0109079,0.0180328,0.0282038,0.0206236,0.0191155,0.00721281,0,0,0.0133551,0,0.0169992,0.00810341,0.0344885,0.0141633,0.0341622,0.0134441,0.0138891,0.0193765,0.0127029,0.0166714,0.0120353,0.028397,0.0134413,0.0196895,0.0126328,0.00697537,0.0335375,0.00788468,0.0026367,0.00655942,0.0138368,0.016052,0.0134711,0.0027451,0.0100995,0,0,0.0282552,0,0.0152347,0.0176037,0.0358391,0.0267044,0.034982,0.00596146,0.0140758,0.0219371,0.00871115,0.0148195,0.0164377,0.0116301,0.0238428,0.0104947,0.0198432,0.0269142,0.0252573,0.0257023,0.00584818,0.00657841,0.0186872,0.0105733,0,0,0,0,0
198,0.011015,0.018169,0.0283758,0.0206267,0.0191817,0.00719708,0,0,0.0135823,0,0.0170237,0.00819701,0.0346047,0.013926,0.0340863,0.0131125,0.0137306,0.0191244,0.0126017,0.0163034,0.0118499,0.0285229,0.0133263,0.0192886,0.0127009,0.00684596,0.0338154,0.00814021,0.00276172,0.00641999,0.0135348,0.0160719,0.0132607,0.00236694,0.0100776,0,0,0.0280199,0,0.0152411,0.0175936,0.0358804,0.0255214,0.0348765,0.00632537,0.0141533,0.0218773,0.0085267,0.0145127,0.0161516,0.0112239,0.0238957,0.0105508,0.01981,0.026865,0.0243468,0.0256864,0.00585696,0.00671867,0.0189635,0.0103597,0,0,0,0,0
199,0.0111287,0.0182824,0.0285797,0.0206245,0.0192448,0.00722332,0,0,0.0137838,0,0.0170341,0.00827117,0.0346995,0.0136731,0.0340429,0.0128509,0.0136284,0.0189316,0.0125462,0.0160254,0.0117172,0.0285949,0.0132707,0.0190289,0.0127669,0.0067054,0.0341201,0.00841271,0.00281422,0.00630762,0.0130142,0.0160816,0.0131146,0.00237381,0.0100253,0,0,0.027653,0,0.0152334,0.0175627,0.0359873,0.0242673,0.0347697,0.00665597,0.0141647,0.0217704,0.00837361,0.0142182,0.0158153,0.0108303,0.0238176,0.0104956,0.0198096,0.0265764,0.0231977,0.0256,0.00594769,0.00683003,0.0191708,0.0102101,0,0,0,0,0
200,0.0112274,0.0183881,0.0289477,0.0206719,0.0194109,0.00728316,0,0,0.0139352,0,0.0169982,0.00834663,0.034792,0.0135755,0.0340199,0.012684,0.0134839,0.0187696,0.012506,0.01585,0.0116675,0.0285989,0.01327,0.0189593,0.0128429,0.00653685,0.0346311,0.00869489,0.0028458,0.00649662,0.0121834,0.0160626,0.0131981,0.00261044,0.00998628,0,0,0.0273971,0,0.0152099,0.0174459,0.0360525,0.0230994,0.0346584,0.00690168,0.0142044,0.0216033,0.00816084,0.0139309,0.0153302,0.0104246,0.0237168,0.0103447,0.0198624,0.0261689,0.0216217,0.0254364,0.00608435,0.00687637,0.0192707,0.0101381,0,0,0,0,0
