Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LWRA
41,0.0125928,0.0181365,0.0248694,0.0226167,0.0107149,0.00690821,0,0,0.00956431,0,0.0156046,0.00663398,0.0363651,0.0163836,0.0251508,0.00884914,0.00688051,0.0271468,0.00544853,0.0114534,0.00787406,0.0265918,0.00926911,0.013186,0.0076562,0.0146171,0.0297414,0.0103955,0.0069953,0.0195238,0.0179062,0.0175452,0.0154885,0.0074462,0,0,0.0136067,0,0.0142366,0.00838216,0.0378031,0.0202615,0.0325636,0.0207382,0.014703,0.0155028,0.00507595,0.0216369,0.00610153,0.00330972,0.010629,0.023605,0.0129238,0.0111607,0.0149679,0.0144123,0.00245351,0.00425623,0.0219461,0.0113908,0,0,0,0,0,0.00287033
42,0.0127502,0.0179089,0.0238626,0.0226529,0.0100428,0.00711728,0,0,0.00980713,0,0.0156579,0.00678797,0.0360384,0.0180096,0.0253258,0.00964809,0.00655463,0.0267655,0.00561819,0.0133713,0.00924612,0.0268974,0.0102893,0.0146198,0.00813563,0.0154457,0.0289494,0.00996734,0.00702371,0.0194109,0.0178637,0.0179678,0.0151645,0.00778786,0,0,0.0142279,0,0.0142583,0.00876637,0.0377591,0.0211127,0.0322291,0.0206312,0.0145753,0.0157692,0.00481006,0.0216546,0.00594138,0.00266647,0.0111538,0.0230326,0.0129492,0.0117373,0.0133344,0.0148904,0.00264395,0.00436086,0.0216421,0.0117642,0,0,0,0,0,0.00287904
43,0.0128954,0.0178213,0.0226563,0.0224538,0.00965127,0.00732647,0,0,0.0100669,0,0.0158785,0.00680695,0.0356462,0.0192997,0.0253811,0.0107471,0.00663985,0.0261723,0.00598922,0.0147297,0.0103984,0.0273563,0.0114055,0.0159137,0.00861071,0.0161657,0.0278429,0.00981226,0.00700547,0.0193775,0.017811,0.0183637,0.0147699,0.00808701,0,0,0.0146703,0,0.0142522,0.00901216,0.0375778,0.021681,0.0318867,0.0204093,0.0145583,0.0159966,0.00464263,0.021721,0.00591479,0.00212605,0.01169,0.0224071,0.0130882,0.0123263,0.0112485,0.0152044,0.0027831,0.00442109,0.0212562,0.0121401,0,0,0,0,0,0.00257285
44,0.0129398,0.0179918,0.0214139,0.0220672,0.0093247,0.00742733,0,0,0.0103421,0,0.01619,0.00664665,0.0354029,0.0200626,0.0252533,0.0126066,0.00703197,0.0256932,0.00652354,0.0160547,0.0111364,0.0273972,0.0121893,0.016827,0.00885803,0.0163286,0.0264975,0.00998595,0.0069593,0.0195183,0.0178251,0.0188429,0.0142373,0.00835014,0,0,0.0148382,0,0.0142576,0.00910968,0.037322,0.0222062,0.0314985,0.0198826,0.0145417,0.0162513,0.00459668,0.0219221,0.00603952,0.00178208,0.0122155,0.0216958,0.0133972,0.0129403,0.00909715,0.0153286,0.00279345,0.00438874,0.0209651,0.0124936,0,0,0,0,0,0.00213868
45,0.012925,0.017847,0.0205751,0.0220004,0.00909218,0.00739241,0,0,0.0105173,0,0.0162954,0.00655859,0.0351665,0.0202533,0.0250516,0.0146773,0.00750778,0.0253793,0.00738437,0.0176627,0.0114239,0.0268335,0.0125776,0.0175399,0.00886108,0.0159768,0.0252638,0.0100636,0.00695967,0.0197776,0.0178613,0.0194216,0.0135852,0.00859311,0,0,0.0149753,0,0.0142807,0.00908937,0.0370335,0.022716,0.0311545,0.0190538,0.0144558,0.0164169,0.00464848,0.0222544,0.00630841,0.00167346,0.0127816,0.0208646,0.013894,0.0136261,0.00703086,0.0152879,0.00265148,0.00434554,0.0206912,0.0128391,0,0,0,0,0,0.00197026
46,0.01281,0.0175317,0.020293,0.0220722,0.00911264,0.00740754,0,0,0.0106395,0,0.0162318,0.00652954,0.0348379,0.0202486,0.0249135,0.0160421,0.00783135,0.0251275,0.00838313,0.0192092,0.0114896,0.0259165,0.0126452,0.0179849,0.00872342,0.0153253,0.0246359,0.0100442,0.00700613,0.0202026,0.0178955,0.0203,0.0128662,0.008837,0,0,0.0150754,0,0.0143269,0.00906897,0.0367898,0.0234683,0.0309224,0.0180177,0.0142062,0.0165399,0.00470005,0.0225794,0.00655955,0.00171704,0.0135371,0.0201301,0.0144886,0.0146414,0.00562698,0.0152597,0.0024857,0.00433521,0.0204175,0.0130973,0,0,0,0,0,0.00185723
47,0.0126602,0.0172148,0.0203346,0.0220601,0.00945183,0.00745626,0,0,0.0106362,0,0.0160503,0.00641383,0.0344082,0.0202814,0.0248641,0.0163037,0.00803843,0.0248816,0.00938145,0.020133,0.011417,0.0250846,0.0125316,0.018358,0.00855074,0.0147168,0.0246759,0.0100792,0.00704387,0.0213359,0.0179496,0.0213002,0.0121254,0.00897007,0,0,0.0149997,0,0.014359,0.00907205,0.0366205,0.0242049,0.0306676,0.016999,0.0139888,0.0165718,0.0046737,0.0228449,0.00688088,0.00197476,0.0146613,0.0192684,0.0151028,0.0161257,0.00470047,0.0151875,0.00231536,0.0042476,0.0200693,0.0133197,0,0,0,0,0,0.00178695
48,0.0125641,0.0169559,0.0204857,0.0221697,0.00999457,0.00734382,0,0,0.0106026,0,0.0158993,0.00628572,0.0338955,0.0202607,0.0248458,0.0162348,0.00815308,0.0246718,0.0100882,0.0203248,0.0113755,0.0245641,0.0126324,0.0189205,0.00850447,0.0143775,0.0249972,0.0100558,0.00698788,0.0223711,0.0179998,0.0219874,0.0114662,0.00904541,0,0,0.0148287,0,0.0143687,0.00912814,0.0364984,0.0247551,0.0304172,0.0161221,0.0138362,0.0165066,0.00454096,0.02296,0.00730504,0.00246636,0.0160083,0.0183575,0.0159081,0.017832,0.00386287,0.0150713,0.00221299,0.00409733,0.0197148,0.0136345,0,0,0,0,0,0.00183811
49,0.0125075,0.0167029,0.0207313,0.0223345,0.010446,0.00718394,0,0,0.0106016,0,0.0158061,0.0061661,0.0335027,0.020149,0.0248292,0.0162343,0.00831669,0.0245448,0.0104537,0.0201611,0.0114672,0.0243984,0.0129324,0.0197101,0.00858883,0.0142576,0.025393,0.0100815,0.0069945,0.0225326,0.0180353,0.0218909,0.0108268,0.0091541,0,0,0.0147471,0,0.0143755,0.00907431,0.0364258,0.0248477,0.030213,0.0152155,0.0138933,0.0164202,0.00437147,0.0228608,0.00772129,0.00284358,0.0172229,0.0174531,0.0166128,0.0193142,0.00283148,0.0148853,0.0021064,0.0039377,0.019364,0.0139739,0,0,0,0,0,0.00180534
50,0.0125088,0.0164802,0.0209353,0.0224712,0.0105774,0.00718023,0,0,0.0106682,0,0.015716,0.0060692,0.0332687,0.0199648,0.0248577,0.0163287,0.00846505,0.0244315,0.0104907,0.019789,0.0115254,0.0244507,0.0131691,0.0202854,0.00864358,0.0142188,0.0257536,0.0101712,0.0070331,0.0218707,0.0180587,0.0210614,0.0100887,0.00932405,0,0,0.0147832,0,0.0143896,0.00897803,0.0363795,0.0244532,0.0300456,0.0143076,0.014037,0.0162981,0.00419757,0.0226463,0.00827294,0.00309866,0.0182752,0.0164678,0.0172675,0.0204066,0.00285695,0.014637,0.00205343,0.00378692,0.0190136,0.0142543,0,0,0,0,0,0.00176423
51,0.0125916,0.0163399,0.0210713,0.0226484,0.0104179,0.00740372,0,0,0.0107455,0,0.0156378,0.00597667,0.0332206,0.019618,0.0249894,0.0165118,0.00865175,0.0243958,0.0104957,0.0194919,0.0114689,0.0246197,0.0131749,0.0204104,0.0084914,0.0141332,0.0261733,0.0103374,0.00704111,0.0205025,0.0181018,0.0196004,0.0094284,0.00956493,0,0,0.0147192,0,0.0143941,0.00884375,0.0363333,0.0236048,0.0299023,0.0136415,0.0141461,0.0162133,0.00403694,0.0223521,0.00897723,0.00338114,0.0192048,0.0154157,0.0179646,0.0210974,0.00445619,0.0143827,0.00202073,0.00361101,0.0187103,0.0145287,0,0,0,0,0,0.00184752
52,0.0127231,0.0162474,0.0212294,0.0227644,0.0100054,0.00755551,0,0,0.0108657,0,0.0155508,0.005903,0.033297,0.0189866,0.0251795,0.0165645,0.00892571,0.0244946,0.0103588,0.019324,0.0113385,0.0248092,0.0129562,0.0198917,0.00820249,0.0139602,0.0266995,0.0106355,0.00698759,0.0185095,0.0181745,0.0176887,0.0090272,0.00988886,0,0,0.0146243,0,0.0144081,0.00874504,0.0363125,0.0221132,0.0297525,0.0132812,0.0141583,0.0162992,0.00370982,0.0219845,0.00974261,0.00373072,0.019986,0.0144101,0.0186431,0.021586,0.00587649,0.0140966,0.00207762,0.00339908,0.0185187,0.014831,0,0,0,0,0,0.00196544
53,0.01281,0.016269,0.0214917,0.0228368,0.00945331,0.00732219,0,0,0.0111685,0,0.0154523,0.00588418,0.0333534,0.0181306,0.0253609,0.0163978,0.00924591,0.0245468,0.0102354,0.0191525,0.0111434,0.0249031,0.0125565,0.0190913,0.00782706,0.0136871,0.0272775,0.0110515,0.00698294,0.0160647,0.018255,0.0154578,0.00882364,0.0101545,0,0,0.0144394,0,0.0144109,0.00858272,0.036292,0.0200847,0.0296031,0.0129045,0.0141374,0.0164148,0.00320051,0.0215801,0.0105143,0.0041964,0.0206565,0.0136053,0.019215,0.0220955,0.00662346,0.0136878,0.00222957,0.00318782,0.0184459,0.0152264,0,0,0,0,0,0.00199767
54,0.0129132,0.0163903,0.022303,0.0230201,0.00912357,0.00706998,0,0,0.0113223,0,0.0153325,0.0058093,0.0333116,0.0171276,0.025535,0.0163707,0.00947246,0.0246219,0.0103102,0.0189863,0.0110422,0.0248711,0.0122647,0.0185669,0.00756513,0.0133111,0.0284221,0.011406,0.00701208,0.0136754,0.0183546,0.0130714,0.00865615,0.0103775,0,0,0.0141645,0,0.0144198,0.00837173,0.0363484,0.0177204,0.0295009,0.0124245,0.0139398,0.0164847,0.00251118,0.0212131,0.0111399,0.00472595,0.0212145,0.0130542,0.0195266,0.0225619,0.00759021,0.0133255,0.00238722,0.00297487,0.0184726,0.0158087,0,0,0,0,0,0.0021467
55,0.0130007,0.0165468,0.0235367,0.0231946,0.00918529,0.00700486,0,0,0.01146,0,0.0152476,0.00578004,0.0333238,0.0163276,0.0257613,0.0165013,0.00936457,0.0247913,0.0105206,0.0187565,0.0109636,0.0247511,0.0121655,0.0184255,0.00737159,0.0128905,0.0300971,0.0116563,0.00701113,0.0114426,0.0184187,0.0108933,0.00839458,0.0105646,0,0,0.0140065,0,0.0144387,0.00823131,0.0365343,0.0156782,0.029487,0.0116027,0.0133388,0.0166172,0.00177907,0.0208946,0.0115658,0.00513291,0.0214597,0.0128241,0.0194364,0.0227219,0.0106647,0.013116,0.00256549,0.00284008,0.0186013,0.0164764,0,0,0,0,0,0.00228912
56,0.0131269,0.0166707,0.0250202,0.0232725,0.00975848,0.00731207,0,0,0.0115713,0,0.015218,0.00576187,0.0332671,0.0157191,0.0259508,0.0165732,0.00905105,0.0249912,0.0105394,0.0185829,0.0108937,0.0247669,0.0121107,0.0186429,0.00724753,0.012549,0.032036,0.0117202,0.00700411,0.0103597,0.0184094,0.00938329,0.00808269,0.010646,0,0,0.013986,0,0.0144386,0.00819545,0.0368005,0.0146949,0.029642,0.010446,0.0123846,0.016732,0.00153243,0.0205608,0.0118149,0.0052833,0.0214373,0.0128976,0.0190061,0.0225438,0.0152456,0.0131156,0.00270677,0.00276006,0.0188339,0.0170419,0,0,0,0,0,0.00234084
