Timestep,C7,CLAV,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,LASI,LWRA
19,0.00250215,0.00200627,0.0359541,0.0171952,0.0130587,0,0,0.00526294,0,0.0205113,0.00284378,0.0379979,0.0115366,0.0212649,0.0066336,0.00494849,0.00284389,0.00924961,0.00935294,0.0106114,0.0215435,0.0103592,0.0132304,0.00428999,0.00905421,0.0476866,0.00304639,0.00179515,0.0258571,0.0188093,0.0260425,0.00948077,0.00464548,0,0,0.00315446,0,0.0158338,0.00194979,0.034138,0.0301825,0.0338842,0.0139754,0.00956904,0.00686141,0.00249135,0.0224983,0.0154506,0.0112112,0.0206701,0.0339374,0.0119123,0.0269449,0.0249178,0.00345923,0.00076128,0.000542385,0.00037785,0.00238194,0,0,0,0,0,0.00633945,0.00464925
20,0.00391547,0.00225327,0.0363989,0.0162638,0.0126615,0,0,0.00466501,0,0.0209961,0.002919,0.0383288,0.0117698,0.0213637,0.00649888,0.00458564,0.00336288,0.00937281,0.00902413,0.010185,0.0214266,0.0103911,0.0127697,0.00459161,0.00860647,0.0483519,0.00305295,0.00294703,0.0266523,0.0187309,0.0268254,0.00972032,0.00604887,0,0,0.00167058,0,0.0157865,0.000742272,0.0340629,0.0307337,0.0338922,0.0143336,0.00938426,0.00741288,0.00263766,0.0224697,0.015597,0.0112757,0.0208218,0.0334724,0.0120887,0.0271263,0.0250149,0.00271324,0.000732994,0.000839149,0.000907887,0.00385264,0,0,0,0,0,0.00636592,0
21,0.00420357,0.00226139,0.0366558,0.0161888,0.012408,0,0,0.00478928,0,0.0209617,0.00285313,0.0384863,0.0116032,0.0215171,0.00631935,0.00441162,0.00354082,0.00926389,0.00854885,0.00955111,0.0214057,0.0101922,0.0126637,0.0047804,0.00829017,0.0486994,0.00307654,0.00285024,0.0282571,0.0186977,0.0285168,0.00983674,0.00595444,0,0,0.00258912,0,0.0158277,0.000934293,0.0341017,0.0320506,0.0336934,0.0152573,0.00942979,0.00720926,0.0028244,0.022747,0.0162542,0.0116232,0.021487,0.0329112,0.0125351,0.0279331,0.0261522,0.00289579,0.000793215,0.000772254,0.000912234,0.004298,0,0,0,0,0,0.00630719,0
22,0.00432487,0.00222665,0.036462,0.0161635,0.0123068,0,0,0.00491078,0,0.0209525,0.00283342,0.0386199,0.0109444,0.0217056,0.00621935,0.00426724,0.00361638,0.00891777,0.00787418,0.00877608,0.0215586,0.0100463,0.0129723,0.00479862,0.00817833,0.048571,0.00307464,0.00282204,0.029997,0.0186113,0.030322,0.00986921,0.00577493,0,0,0.0033797,0,0.0157948,0.00127975,0.0341398,0.0333635,0.033527,0.0162276,0.00941653,0.00697636,0.00300211,0.0230362,0.016858,0.0119359,0.0221079,0.0323632,0.012931,0.0286698,0.0275946,0.00308057,0.000709821,0.000716969,0.000900189,0.00456973,0,0,0,0,0,0.00589708,0
23,0.00309802,0.00121119,0.0355375,0.0171531,0.0121755,0,0,0.00594982,0,0.0205656,0.00303494,0.038685,0.0102928,0.0219303,0.00635746,0.00438496,0.00346911,0.00821117,0.00703636,0.00787215,0.0219569,0.0100251,0.013243,0.00461,0.00824092,0.0476265,0.00318431,0.00186097,0.0320128,0.0186013,0.032369,0.00990578,0.00510295,0,0,0.00382837,0,0.0157471,0.00167606,0.0340448,0.0348908,0.0332793,0.0173826,0.00966437,0.00727439,0.00328622,0.0233577,0.0175668,0.0122868,0.0226859,0.0317861,0.0133758,0.0293959,0.0293428,0.00328605,0.000572349,0.000622147,0.000347464,0.00380424,0,0,0,0,0,0.00522127,0.00484824
24,0.00241402,0.00324589,0.0341896,0.0165309,0.0118045,0,0,0,0,0.0202726,0.00622186,0.0393949,0.0103841,0.021751,0.00712586,0.00210304,0.00619217,0.00789361,0.00666444,0.00703488,0.0222114,0.0102399,0.0136917,0.00452945,0.00849614,0.0460514,0.00689747,0.00488016,0.0245955,0.0186781,0.0248851,0.00726549,0.00435574,0,0,0.00412544,0,0.0158378,0.00189246,0.0348999,0.0157166,0.0320029,0.00770274,0.00696938,0.00740538,0.00620534,0.0192136,0.00658815,0.00658261,0.00417052,0.0362587,0.0125583,0.00488744,0.0266224,0.00341521,0.00071366,0.000504617,0.00245035,0.00401204,0,0,0,0,0,0.00436287,0
25,0.00223117,0.00107961,0.0308345,0.0175904,0.0112962,0,0,0.0059936,0,0.0203938,0.00335812,0.0396073,0.00967149,0.0219743,0.00706523,0.00265035,0.00407173,0.00702767,0.00579161,0.00582829,0.022713,0.00979324,0.0133627,0.00441209,0.00883784,0.0415486,0.00324914,0.00201602,0.0220067,0.0185469,0.0225529,0.00743392,0.00352065,0,0,0.00381783,0,0.0158529,0.00143734,0.0349498,0.0135499,0.0317294,0.00878896,0.00769267,0.00609162,0.00592672,0.0196397,0.0059501,0.00593686,0.00494999,0.0366075,0.0122043,0.00511772,0.0238234,0.0026702,0.00060015,0.000663165,0.00118668,0.00273924,0,0,0,0,0,0.00424534,0.00475143
26,0.0021962,0.00110024,0.0262715,0.0174725,0.0100126,0,0,0.00601203,0,0.0204963,0.00328372,0.0396419,0.00880537,0.0222605,0.00701289,0.00282615,0.00420795,0.00615228,0.00511355,0.00459952,0.0233946,0.00893206,0.0124314,0.00431866,0.0093374,0.0353201,0.00322594,0.00195222,0.019451,0.0184425,0.0203757,0.00768869,0.00309518,0,0,0.00412712,0,0.0158893,0.00153759,0.0350355,0.0118105,0.0317222,0.0100307,0.00772667,0.00540561,0.00556231,0.0198752,0.00527494,0.00520194,0.00573724,0.0368152,0.0119284,0.00571684,0.0209899,0.00251578,0.000710328,0.000612644,0.00139277,0.00266091,0,0,0,0,0,0.00410274,0.0047258
27,0.00222087,0.00113477,0.020799,0.0173609,0.00773088,0,0,0.00613052,0,0.0205209,0.00340143,0.0395762,0.00762823,0.0224932,0.00676853,0.00292571,0.00437055,0.00558739,0.00503633,0.00391163,0.0243252,0.00753901,0.0106657,0.00391333,0.0101583,0.0278739,0.00323473,0.00195463,0.0172982,0.0183197,0.0185174,0.00786179,0.00289428,0,0,0.00419452,0,0.0158788,0.00157418,0.0351826,0.0105135,0.0317016,0.0110993,0.00755828,0.00497254,0.00518501,0.0201189,0.00479927,0.00449455,0.00642469,0.036996,0.0116633,0.00637278,0.0185782,0.00234111,0.000701761,0.000643929,0.00159052,0.00268066,0,0,0,0,0,0.00384705,0.00469105
28,0.00215097,0.00119772,0.0147545,0.017592,0.00492934,0,0,0.00646599,0,0.0205138,0.0035386,0.0395052,0.00642819,0.0226245,0.00629113,0.00304012,0.00455142,0.00561634,0.00549474,0.00404497,0.0256281,0.0058912,0.00817235,0.00324189,0.0110201,0.0198603,0.00334264,0.00201154,0.0154491,0.0183221,0.0169617,0.00798315,0.00278677,0,0,0.00426114,0,0.0159462,0.001655,0.0354676,0.00974293,0.0316592,0.0120779,0.00733245,0.00476731,0.004792,0.0204126,0.00449897,0.00380451,0.00709821,0.0371368,0.0114203,0.00711481,0.0164283,0.00225301,0.000724517,0.000743962,0.00167551,0.00273568,0,0,0,0,0,0.00360577,0.00474512
29,0.00269036,0.00122384,0.00890333,0.017817,0.00256427,0,0,0.00692495,0,0.0205331,0.00362002,0.0394191,0.00589744,0.0226846,0.00559288,0.00335128,0.00431975,0.00626807,0.00643587,0.00499861,0.0271986,0.0042881,0.00559622,0.00255142,0.0119065,0.0123658,0.00362005,0.00205003,0.0139216,0.0182935,0.0155571,0.00826536,0.00431182,0,0,0.00143172,0,0.0159206,0.00161547,0.0359787,0.00940483,0.031564,0.0132291,0.00748387,0.00607794,0.00430776,0.020769,0.00442609,0.00302361,0.00776214,0.0371899,0.0112214,0.00795805,0.0142812,0.00165204,0.00243019,0.00138087,0.00121185,0.00348866,0,0,0,0,0,0.00337613,0.00481168
