Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,LEAR,R5FT
25,0,0,0,0,0,0,0.0180278,0,0,0,0.0407065,0,0.0299275,0.0389663,0,0.023511,0,0,0.042394,0.0267253,0.0376297,0.0285454,0.022442,0.0270993,0.0303361,0.0245449,0.0382342,0.0406115,0.025938,0.0302385,0.0309481,0.0183864,0.0274796,0.0146789,0.0378896,0.0212365,0,0,0.020922,0.0377768,0.0363376,0,0,0.0248171,0,0,0.0242869,0.0588014,0.0599733,0.00715969,0.0252857,0.0315354,0.0414312,0.0617345,0.0945083,0.0900426,0.0580936,0.0740422,0.0517427,0.0399797,0.0700511,0.069331,0.040227,0.00389173,0.00854293,0.0620162,0,0,0,0,0,0.0334704
26,0,0,0,0,0,0,0.0180269,0,0,0,0.0404669,0,0.0297864,0.0392182,0,0.0215177,0,0,0.0359648,0.0269283,0.0378099,0.0285548,0.0223577,0.0270994,0.029703,0.0242748,0.0385006,0.040702,0.0259756,0.0302802,0.0309792,0.0183003,0.0274807,0.0150684,0.0379808,0.017503,0,0,0.0200935,0.0382079,0.0365714,0,0,0.0248515,0,0,0.0243012,0.0588082,0.0584549,0.00693495,0.0237722,0.0314546,0.0415856,0.0615676,0.094889,0.0902338,0.0583501,0.0742086,0.0522902,0.0402078,0.0696576,0.066316,0.0400412,0.00395972,0.00850021,0.0616526,0,0,0,0,0,0.032745
27,0,0,0,0,0,0,0.018027,0,0,0,0.0403165,0,0.0296783,0.0393492,0,0.0213925,0,0,0.0360249,0.0273391,0.0381369,0.0284329,0.0222307,0.027139,0.0295651,0.0241584,0.0382589,0.0406923,0.0260452,0.0305705,0.0309658,0.0182008,0.0278489,0.0154143,0.037982,0.0175635,0,0,0.0196325,0.0386872,0.0365418,0,0,0.0249258,0,0,0.0240682,0.0588777,0.0570822,0.00667537,0.0222905,0.031285,0.0415545,0.0617869,0.095279,0.0901561,0.0588582,0.0743617,0.0525829,0.0404696,0.069571,0.0623237,0.0398905,0.00426646,0.00846414,0.0613322,0,0,0,0,0,0.0314373
28,0,0,0,0,0,0,0.0180273,0,0,0,0.0403588,0,0.0297271,0.0393086,0,0.0215621,0,0,0.0368998,0.0277843,0.03824,0.0282691,0.0222836,0.0271182,0.0293955,0.0239816,0.0379393,0.0407374,0.0261434,0.0305947,0.0309521,0.0181903,0.0278325,0.0154944,0.0379745,0.0182041,0,0,0.0196401,0.0391096,0.0364856,0,0,0.0250764,0,0,0.0236826,0.0590037,0.0551916,0.00652477,0.0217392,0.0309901,0.0413654,0.0619414,0.0956438,0.0900574,0.0593217,0.0745173,0.0526796,0.0409239,0.0693881,0.0564961,0.0397378,0.00475036,0.0086816,0.0609261,0,0,0,0,0,0.0302595
29,0,0,0,0,0,0,0.018093,0,0,0,0.0404628,0,0.0300352,0.0391589,0,0.0216852,0,0,0.0370155,0.0282423,0.0382311,0.02824,0.0223931,0.0270583,0.0292791,0.0237561,0.0375282,0.0407789,0.0262886,0.0304755,0.0311578,0.0183176,0.0275057,0.0154417,0.0379956,0.0182042,0,0,0.0198568,0.0394741,0.0364339,0,0,0.0250014,0,0,0.0237132,0.0588807,0.052668,0.00647673,0.0213896,0.0306126,0.0411419,0.0619485,0.0958896,0.0901604,0.0600348,0.07465,0.052774,0.0416954,0.069152,0.0489574,0.0397325,0.00474117,0.00875622,0.0605893,0,0,0,0,0,0.03002
30,0,0,0,0,0,0,0.0182369,0,0,0,0.040889,0,0.0301814,0.0388828,0,0.0214999,0,0,0.0369749,0.0287705,0.0379727,0.0282473,0.0224015,0.027013,0.0291732,0.0235755,0.0370788,0.0407977,0.0265625,0.0306197,0.0313164,0.0185306,0.0276239,0.0151697,0.0380554,0.0181391,0,0,0.0202549,0.0397407,0.0363539,0,0,0.0247677,0,0,0.0240601,0.0587363,0.0497681,0.00663904,0.0212528,0.0300869,0.0407825,0.061936,0.095849,0.0903446,0.0608172,0.0747554,0.0528445,0.0426773,0.0688028,0.0405157,0.0398957,0.00445929,0.00862538,0.0603582,0,0,0,0,0,0.0314119
31,0,0,0,0,0,0,0.0184527,0,0,0,0.0419066,0,0.029937,0.0384958,0,0.0212619,0,0,0.037032,0.0293834,0.0377334,0.0283047,0.022492,0.0269742,0.0290811,0.0234031,0.0366663,0.0408295,0.0270304,0.030916,0.0314,0.0188313,0.028296,0.0150969,0.0381692,0.0181604,0,0,0.0208422,0.0398519,0.0363387,0,0,0.0248072,0,0,0.0237685,0.0585947,0.0471353,0.00703887,0.0216495,0.0294312,0.0403101,0.0620538,0.0953081,0.090443,0.0618199,0.0748211,0.0529451,0.0436357,0.0685775,0.0321406,0.0399115,0.00484065,0.00872626,0.0600411,0,0,0,0,0,0.0342661
32,0,0,0,0,0,0,0.0187727,0,0,0,0.0429885,0,0.0298559,0.037976,0,0.0212432,0,0,0.0370245,0.0301543,0.0376998,0.0282701,0.0228017,0.0268804,0.0290048,0.0233187,0.0361769,0.0408302,0.027844,0.0312074,0.0315588,0.0191196,0.0284836,0.0153872,0.0383669,0.0181225,0,0,0.021571,0.0399786,0.0362865,0,0,0.0246908,0,0,0.0236307,0.0583201,0.0448854,0.00787279,0.0225836,0.0285208,0.0397745,0.0620442,0.0941943,0.0904384,0.0631953,0.0749941,0.0532218,0.0445814,0.0687702,0.0243423,0.04004,0.00497698,0.00899238,0.0595944,0,0,0,0,0,0.0377741
33,0,0,0,0,0,0,0.019153,0,0,0,0.0442558,0,0.0299247,0.0372236,0,0.0212802,0,0,0.0369459,0.0310093,0.0374494,0.0282299,0.0231254,0.0266909,0.0290015,0.0234442,0.03516,0.0407481,0.0286509,0.0315271,0.0320495,0.0191301,0.0285457,0.0156693,0.0385648,0.0180609,0,0,0.0222584,0.0399379,0.0361557,0,0,0.0244948,0,0,0.0237187,0.0580132,0.0429039,0.00914499,0.0241513,0.0273585,0.039146,0.0619098,0.0927401,0.0903487,0.0645984,0.0750854,0.0536898,0.0453669,0.0690645,0.0173511,0.040271,0.00494444,0.00907098,0.0591955,0,0,0,0,0,0.0418344
34,0,0,0,0,0,0,0.0195073,0,0,0,0.0456086,0,0.0300499,0.0362897,0,0.0210934,0,0,0.0369128,0.0319066,0.0369124,0.0282516,0.023492,0.0264989,0.0289154,0.0237797,0.0343649,0.0405724,0.0294382,0.0318314,0.0326487,0.0191983,0.0287802,0.0160821,0.038833,0.0180079,0,0,0.0230248,0.0400418,0.0360262,0,0,0.0243188,0,0,0.0238416,0.0576774,0.0412096,0.0106674,0.0260184,0.0260886,0.0386032,0.06167,0.0908473,0.0902887,0.0659836,0.0746539,0.0540979,0.0461237,0.0692166,0.0117384,0.0405271,0.00488458,0.00908379,0.0590821,0,0,0,0,0,0.0453125
