Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,x73
19,0,0,0,0,0,0,0.028497,0.0403917,0,0,0,0.0420613,0,0.0248631,0.0374624,0,0,0.0184957,0,0,0.0441506,0.034604,0.0289154,0.0287942,0.0229029,0.0238475,0.0330585,0.0402624,0.0470744,0.0379242,0.0204891,0.0371261,0.0357806,0.0269366,0.0312024,0.0163598,0.0392921,0.0125886,0.0116842,0.0398339,0,0.0213111,0.0447303,0.0390439,0,0,0.0254621,0,0,0.0253787,0.0618027,0.035096,0.0272618,0.02612,0.0266271,0.0379055,0.047482,0.0794463,0.0810168,0.0550653,0.0669561,0.0481428,0.0392094,0.0601586,0.0090023,0.0361191,0.00651808,0.0117442,0.0650828,0,0,0,0.0432026,0
20,0,0,0,0,0,0,0.0287001,0.0404021,0,0,0,0.0397107,0,0.0253362,0.0381987,0,0,0.01847,0,0,0.0440844,0.034491,0.0280409,0.029491,0.0229648,0.0242786,0.0330259,0.0383068,0.0459922,0.0386608,0.0218024,0.0374165,0.0365996,0.0256759,0.029839,0.0158202,0.0396279,0.0125591,0.0116368,0.0396506,0,0.0211477,0.0441633,0.0391091,0,0,0.0251164,0,0,0.0254505,0.062362,0.0354747,0.0281813,0.025746,0.0253433,0.0373597,0.0476643,0.0795182,0.0812951,0.0546499,0.0672393,0.0480583,0.0390554,0.0604082,0.0106014,0.0365336,0.00645826,0.0117425,0.065352,0,0,0,0.0435921,0
21,0,0,0,0,0,0,0.028713,0.0402872,0,0,0,0.0387911,0,0.0262634,0.0383477,0,0,0.0184384,0,0,0.0441047,0.0346547,0.0277853,0.029619,0.023279,0.024442,0.0328899,0.0366531,0.0452773,0.0397199,0.0238156,0.0372705,0.0366404,0.0250659,0.0296054,0.0149652,0.0397876,0.012519,0.011592,0.0389109,0,0.0212477,0.0435176,0.0392718,0,0,0.0250788,0,0,0.0254672,0.0627517,0.0358753,0.0285918,0.0255493,0.0243196,0.0370971,0.047814,0.0796344,0.0815585,0.054178,0.0675089,0.0480965,0.0389226,0.0608031,0.0125757,0.0366587,0.00636459,0.0117068,0.0658425,0,0,0,0.0438777,0
22,0,0,0,0,0,0,0.0286367,0.0400881,0,0,0,0.0380337,0,0.0268074,0.0384411,0,0,0.0184316,0,0,0.0442255,0.034315,0.0279658,0.0294038,0.0236361,0.024517,0.0326805,0.0362212,0.0452822,0.0399579,0.0248359,0.0366108,0.0362247,0.0248554,0.0299737,0.0155839,0.03974,0.0125267,0.0115631,0.0382087,0,0.0214839,0.042773,0.0394082,0,0,0.0251016,0,0,0.0254306,0.0629912,0.0365228,0.0289979,0.0253842,0.0238601,0.0370698,0.0478827,0.079842,0.0818077,0.0537142,0.0677869,0.0483002,0.0387102,0.0612283,0.0147872,0.0366928,0.00626015,0.0117216,0.0662306,0,0,0,0.0434521,0
23,0,0,0,0,0,0,0.0285714,0.0401165,0,0,0,0.0378192,0,0.0270998,0.0385182,0,0,0.0184692,0,0,0.0443629,0.0335767,0.028841,0.0287936,0.0236524,0.0245945,0.0325245,0.0369089,0.0455092,0.0388285,0.0241469,0.0358363,0.0358874,0.0248377,0.0304963,0.0166052,0.0396233,0.0125781,0.011517,0.0374666,0,0.0217382,0.0420881,0.0394802,0,0,0.0250417,0,0,0.0253166,0.063033,0.0377937,0.0294493,0.025307,0.0238615,0.0372197,0.0480004,0.080216,0.0821638,0.0534404,0.0679925,0.0486166,0.0384081,0.0615427,0.018331,0.0368578,0.0062894,0.0117181,0.0665737,0,0,0,0.0425249,0
24,0,0,0,0,0,0,0.0286239,0.0399077,0,0,0,0.0378919,0,0.0275755,0.0384602,0,0,0.0184837,0,0,0.0443142,0.0329687,0.0304956,0.0280602,0.0235738,0.0248277,0.0326374,0.0377759,0.0455511,0.0373411,0.0229573,0.0352689,0.0355572,0.0248227,0.0311892,0.0168493,0.039759,0.0125694,0.0115117,0.0365055,0,0.0223082,0.0411724,0.0396015,0,0,0.0250059,0,0,0.0252009,0.0629786,0.0397137,0.0297825,0.025653,0.0240801,0.0374069,0.048169,0.0806611,0.0824879,0.053357,0.0680976,0.0489217,0.0379249,0.0616205,0.0233325,0.0369669,0.00635033,0.0116731,0.0671845,0,0,0,0.0435285,0
25,0,0,0,0,0,0,0.028343,0.039504,0,0,0,0.037705,0,0.0282512,0.0380596,0,0,0.0185327,0,0,0.0442953,0.0328828,0.0321437,0.0277399,0.0238771,0.0249778,0.0329519,0.0379879,0.0451553,0.0364752,0.0227594,0.0347486,0.0352975,0.0243897,0.0312113,0.0170373,0.0396073,0.012548,0.011526,0.0361028,0,0.0228731,0.0399559,0.0397123,0,0,0.0251164,0,0,0.0251534,0.0630293,0.0422746,0.0299061,0.0262988,0.0243622,0.0376453,0.0485238,0.0812159,0.0829888,0.053364,0.0681334,0.048974,0.0370464,0.0614103,0.0295143,0.0366714,0.00638615,0.011619,0.0678457,0,0,0,0.0440726,0
26,0,0,0,0,0,0,0.027898,0.039216,0,0,0,0.0372648,0,0.0287404,0.0373229,0,0,0.0186406,0,0,0.0443742,0.0333395,0.0328802,0.0277605,0.0242442,0.0250506,0.0333899,0.0375554,0.0444972,0.0363652,0.0231701,0.034343,0.0350124,0.0234157,0.0301793,0.01793,0.0390832,0.012641,0.011514,0.0364278,0,0.0236543,0.0386024,0.0397172,0,0,0.0254489,0,0,0.0251642,0.0630989,0.0450998,0.0296591,0.0270931,0.0246579,0.0380317,0.0492325,0.0818392,0.0836255,0.0534428,0.0681895,0.0487148,0.0357796,0.0612429,0.0367169,0.0362443,0.00643006,0.0116095,0.0683319,0,0,0,0.0437867,0
27,0,0,0,0,0,0,0.0274775,0.0390501,0,0,0,0.0367213,0,0.0288578,0.0363636,0,0,0.0189536,0,0,0.0445744,0.0336704,0.0327731,0.0280025,0.0243057,0.0250582,0.0340545,0.0368416,0.0439132,0.0367444,0.0232458,0.0340158,0.0346968,0.0226948,0.028934,0.0188736,0.0384121,0.0128217,0.0114812,0.0374035,0,0.0248323,0.037328,0.0396174,0,0,0.0259831,0,0,0.0252237,0.0631385,0.0474177,0.0289291,0.0276114,0.0251248,0.0386482,0.0504128,0.082733,0.0845106,0.0538546,0.0683498,0.0484739,0.0344492,0.0614344,0.0445077,0.0357331,0.00649696,0.0116978,0.0686655,0,0,0,0.0432399,0
28,0,0,0,0,0,0,0.0271065,0.0389821,0,0,0,0.0360499,0,0.0285717,0.0354174,0,0,0.019391,0,0,0.0447318,0.0332873,0.0319953,0.0284488,0.0240516,0.0252228,0.0348707,0.0362401,0.0436528,0.0372588,0.0228036,0.033784,0.0343177,0.0224056,0.0280188,0.0191459,0.037533,0.0128808,0.0116144,0.0382412,0,0.0257287,0.0359263,0.0394591,0,0,0.0265786,0,0,0.0253453,0.0632031,0.0492317,0.0278191,0.0279955,0.0257803,0.0393926,0.0518599,0.0841486,0.0855252,0.0544627,0.0687067,0.048548,0.0334304,0.062193,0.052156,0.0351577,0.00657156,0.0118385,0.0689549,0,0,0,0.0427667,0
