Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73
72,0,0,0,0,0,0,0.0199719,0,0,0,0.0557843,0,0.0257056,0.042423,0,0,0.0194885,0,0,0.0402708,0.0260063,0.0350828,0.0213936,0.0300642,0.0308693,0.0105562,0.0212603,0.0291381,0.0374317,0.026892,0.0351773,0.0323296,0.0251867,0.0294463,0.024759,0.0493143,0.00905031,0.0112844,0.0539282,0,0.0235154,0.028909,0.0385589,0,0,0.0228282,0,0,0.02544,0.0713082,0.0292305,0.0150034,0.0299832,0.0400442,0.028918,0.0643782,0.0805102,0.0861597,0.141469,0.0746596,0.0522487,0.043096,0.0648806,0.00702415,0.0503404,0.00530206,0.0124035,0.0567241,0,0,0,0
73,0,0,0,0,0,0,0.0199437,0,0,0,0.0559181,0,0.0250822,0.0419121,0,0,0.0195933,0,0,0.0402447,0.0260522,0.034822,0.0208808,0.0302694,0.0306589,0.00951879,0.0218204,0.0294821,0.0369983,0.0264429,0.0351553,0.0326761,0.025164,0.029097,0.0251781,0.0500387,0.00893616,0.0113649,0.0532729,0,0.0222023,0.0290144,0.0388189,0,0,0.0226809,0,0,0.0253855,0.070927,0.0265167,0.0153165,0.0325867,0.0397903,0.0287199,0.0628172,0.0821108,0.0849778,0.138984,0.0732282,0.051962,0.0422456,0.0628157,0.00985702,0.0504393,0.00528107,0.0123343,0.0564928,0,0,0,0
74,0,0,0,0,0,0,0.0198985,0,0,0,0.0558732,0,0.0245039,0.0413813,0,0,0.0196566,0,0,0.0403089,0.0259413,0.0347513,0.0204641,0.0305376,0.0305551,0.00891658,0.0224317,0.0300579,0.0365428,0.0257461,0.0351651,0.0331346,0.0250628,0.0285484,0.0257085,0.0504694,0.00893733,0.0114396,0.0541082,0,0.0204043,0.0292016,0.0390872,0,0,0.0227261,0,0,0.0254545,0.0707899,0.0240548,0.015823,0.0333164,0.0398224,0.028591,0.0614027,0.0838591,0.0845743,0.136465,0.0725029,0.051182,0.0419173,0.0622658,0.0126047,0.0504242,0.0052904,0.0124928,0.056394,0,0,0,0
75,0,0,0,0,0,0,0.0198731,0,0,0,0.0557877,0,0.0237105,0.0409126,0,0,0.0196378,0,0,0.040391,0.0256446,0.034727,0.0201033,0.0304539,0.0303431,0.00865551,0.0229065,0.0308102,0.0363787,0.0250179,0.035202,0.0338351,0.0246843,0.0278478,0.0265676,0.050814,0.00898302,0.0115462,0.0531537,0,0.019578,0.0296709,0.0393687,0,0,0.0228129,0,0,0.0255388,0.0702454,0.0226421,0.0163105,0.0322592,0.0402463,0.0286074,0.0604898,0.0847684,0.0846787,0.135542,0.0727769,0.0505047,0.0417422,0.0626376,0.0126834,0.0505287,0.00526168,0.0125952,0.0563036,0,0,0,0
76,0,0,0,0,0,0,0.0198032,0,0,0,0.0553936,0,0.0226759,0.0408807,0,0,0.0197412,0,0,0.0403727,0.0252597,0.0347931,0.019834,0.0299877,0.0300661,0.00843506,0.023126,0.0315872,0.0365781,0.0244,0.0353107,0.0346867,0.0243236,0.0269559,0.02778,0.0510907,0.00896562,0.0115123,0.0514161,0,0.0194447,0.0300634,0.039615,0,0,0.0228779,0,0,0.0255183,0.0696065,0.022481,0.0164036,0.0310159,0.0407858,0.0288515,0.0603538,0.0841007,0.084582,0.13617,0.0732746,0.0501732,0.0414893,0.0631649,0.0115016,0.0505736,0.00518937,0.0126664,0.0563833,0,0,0,0
77,0,0,0,0,0,0,0.0195728,0,0,0,0.0545155,0,0.021694,0.0414401,0,0,0.0197854,0,0,0.0403706,0.0249004,0.0349066,0.0195994,0.0293248,0.0299734,0.00824449,0.0231851,0.0322865,0.0370389,0.0241153,0.0354636,0.0356124,0.023927,0.0260004,0.0292365,0.0513597,0.00892494,0.0116962,0.0506117,0,0.0191627,0.0301334,0.0398132,0,0,0.022906,0,0,0.0253978,0.0689774,0.0230558,0.0163222,0.0307523,0.0409591,0.0292021,0.0606847,0.0829121,0.0840477,0.137184,0.0733658,0.0500317,0.0411583,0.0631843,0.0106458,0.0503946,0.00511952,0.0126634,0.0566923,0,0,0,0
78,0,0,0,0,0,0,0.0192443,0,0,0,0.0534172,0,0.0209238,0.0419987,0,0,0.0197556,0,0,0.0403425,0.0246296,0.03515,0.0193824,0.0283122,0.0302549,0.00825275,0.0230621,0.0329822,0.0376766,0.0241993,0.0354541,0.0363875,0.0234224,0.0250306,0.0305006,0.0514431,0.00881538,0.0118731,0.0506277,0,0.0189742,0.0297979,0.0399359,0,0,0.0230164,0,0,0.025271,0.0684029,0.0237555,0.0163718,0.0312263,0.0406478,0.0296612,0.0607602,0.0823865,0.0834388,0.137317,0.0729854,0.0500351,0.040763,0.0626783,0.0104824,0.0501174,0.00514914,0.0127297,0.0570971,0,0,0,0
79,0,0,0,0,0,0,0.0188647,0,0,0,0.0528373,0,0.0202017,0.0423328,0,0,0.0196572,0,0,0.0404334,0.0244896,0.0349538,0.0192819,0.0271385,0.0309594,0.0084806,0.0229578,0.0337248,0.0384945,0.0242603,0.0353261,0.0368045,0.0228624,0.0240762,0.030698,0.0512106,0.00895483,0.0118214,0.0505168,0,0.0189068,0.0291738,0.0399935,0,0,0.0232533,0,0,0.0251552,0.0680514,0.0246072,0.0164313,0.0317884,0.0400748,0.030176,0.0604299,0.0827219,0.0830941,0.136922,0.0724343,0.0500037,0.0403154,0.0618888,0.0105724,0.0497035,0.00523068,0.0127862,0.0575571,0,0,0,0
80,0,0,0,0,0,0,0.018459,0,0,0,0.0535089,0,0.0191125,0.0425562,0,0,0.0194833,0,0,0.0407029,0.0245393,0.0341082,0.0191557,0.0258604,0.0318335,0.00903132,0.0230797,0.0346503,0.0393577,0.024085,0.0350466,0.0366232,0.0223631,0.0234932,0.0292973,0.0506368,0.00923281,0.0117232,0.049883,0,0.0187335,0.0286249,0.0399673,0,0,0.023696,0,0,0.0250406,0.0678477,0.0253892,0.0164183,0.0319037,0.0395435,0.0308626,0.0600887,0.0834864,0.0829047,0.136648,0.0719428,0.0498937,0.039913,0.0607702,0.0108193,0.0491032,0.00531337,0.0127831,0.0580556,0,0,0,0
81,0,0,0,0,0,0,0.0180554,0,0,0,0.0540303,0,0.0179303,0.0426527,0,0,0.019275,0,0,0.0409219,0.024669,0.0331171,0.018987,0.0246804,0.0327368,0.00990252,0.0235081,0.0359039,0.040192,0.0236744,0.0346933,0.0359302,0.0218696,0.0234065,0.0266701,0.0498308,0.00916287,0.0119891,0.0487192,0,0.018385,0.0282193,0.039906,0,0,0.0242634,0,0,0.0250352,0.06773,0.0261115,0.0163937,0.0314925,0.0393191,0.0317477,0.0597288,0.0840994,0.0828932,0.136524,0.0712173,0.0495539,0.0395513,0.0601426,0.0104832,0.0484163,0.00547429,0.0128195,0.0585553,0,0,0,0
