Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,T10,x70,x71,x72,LWRA,x73,RFHD,CLAV
163,0,0,0,0,0,0,0.0206901,0,0,0,0.0409859,0,0.0307905,0.0349627,0,0,0.0168428,0,0,0.043099,0.0321697,0.0353418,0.0188546,0.0231642,0.0303594,0.0278005,0.0197903,0.0356101,0.0419768,0.0293125,0.0311413,0.0307034,0.0155409,0.025641,0.0182082,0.0421588,0.0106513,0.0758312,0,0.0274403,0.0351821,0.0419399,0,0,0.0230354,0,0.0191498,0.0596688,0.0351643,0.0162229,0.0274934,0.0367487,0.0431633,0.065533,0.0899103,0.093143,0.141541,0.0724663,0.0498869,0.0433972,0.0644459,0.0308435,0.0408244,0.00748971,0.0562043,0,0,0,0.0117927,0,0,0
164,0,0,0,0,0,0,0.0206367,0,0,0,0.0410655,0,0.0302763,0.0358393,0,0,0.0167492,0,0,0.0430866,0.0320198,0.0355357,0.0186206,0.0228772,0.0299832,0.0276464,0.0195711,0.0359596,0.0418349,0.0291556,0.0302687,0.0304639,0.0151623,0.0253205,0.0192453,0.042127,0.0106054,0.0746542,0,0.0253792,0.0346631,0.0419716,0,0,0.0231467,0,0.0191904,0.05972,0.0341827,0.0160069,0.026199,0.0372084,0.0432433,0.0661477,0.0880876,0.093206,0.142712,0.0724413,0.0486135,0.0427518,0.0649954,0.0281801,0.0408094,0.00745626,0.0563073,0,0,0,0.0118712,0,0,0
165,0,0,0,0,0,0,0.0207355,0,0,0,0.0411446,0,0.0296272,0.0364401,0,0,0.0166058,0,0,0.0430573,0.0321334,0.0356061,0.0182009,0.0226388,0.0295634,0.0271174,0.0196092,0.0362724,0.0417988,0.028883,0.029736,0.0302967,0.0149205,0.0248714,0.0204152,0.042351,0.0105426,0.0722912,0,0.0248721,0.0347075,0.0420228,0,0,0.0230044,0,0.0191854,0.0595611,0.0311577,0.0164091,0.0258853,0.0376573,0.0431437,0.0663443,0.0865156,0.0929213,0.143553,0.0723518,0.0478546,0.0418712,0.0648291,0.0258038,0.0409992,0.00734533,0.0562714,0,0,0,0.0119686,0,0,0
166,0,0,0,0,0,0,0.0209596,0,0,0,0.0414401,0,0.0288969,0.036702,0,0,0.0164174,0,0,0.0429812,0.0326272,0.0355397,0.0172753,0.0225552,0.0291259,0.0262967,0.0198118,0.0364946,0.0416828,0.0286006,0.0296579,0.0302051,0.0147064,0.0245052,0.0215756,0.0427708,0.0105605,0.0686497,0,0.0259228,0.0353652,0.042098,0,0,0.0227146,0,0.0191936,0.0592725,0.0274027,0.01742,0.0267105,0.0378954,0.0427813,0.0654108,0.0858715,0.0920604,0.143174,0.0719535,0.0477902,0.0409745,0.0636028,0.0252136,0.0413572,0.00724983,0.0560656,0,0,0,0.0119595,0,0,0
167,0,0,0,0,0,0,0.021084,0,0,0,0.0414815,0,0.0281838,0.0365957,0,0,0.0162881,0,0,0.0428389,0.0331318,0.0355491,0.0162397,0.0227544,0.0289022,0.0256916,0.0201689,0.0367118,0.041393,0.0282684,0.0297791,0.0300756,0.0145216,0.024102,0.0230365,0.0431746,0.0107573,0.0661739,0,0.0262953,0.0358657,0.0421771,0,0,0.0223692,0,0.0192253,0.0590226,0.0249012,0.0183672,0.0278508,0.0380344,0.0422229,0.063665,0.0863193,0.0909193,0.141346,0.0712063,0.0478811,0.0401194,0.0620474,0.0265297,0.0417147,0.00721758,0.0561014,0,0,0,0.0116452,0,0,0
168,0,0,0,0,0,0,0.0210545,0,0,0,0.0414048,0,0.0275183,0.0360203,0,0,0.0162068,0,0,0.042793,0.0334435,0.0357615,0.0153427,0.0231807,0.0289343,0.0254719,0.020548,0.0369462,0.0410577,0.0275803,0.029753,0.0300309,0.0143692,0.0232374,0.0250734,0.0435102,0.0109146,0.0655781,0,0.0249555,0.0361435,0.0422872,0,0,0.0220852,0,0.0192707,0.0587794,0.0237547,0.0191063,0.0284491,0.0381014,0.0416712,0.062234,0.0875287,0.0902994,0.139163,0.070547,0.0475353,0.0392966,0.0611402,0.0281116,0.0419366,0.0071793,0.0563269,0,0,0,0.0114301,0,0,0
169,0,0,0,0,0,0,0.0209032,0,0,0,0.0414052,0,0.0265223,0.035473,0,0,0.016194,0,0,0.0428933,0.0335074,0.0361592,0.0145179,0.0237626,0.0295887,0.0255677,0.0209484,0.0373778,0.0406792,0.0266304,0.0293312,0.0298585,0.0142802,0.0222331,0.0274945,0.0437309,0.010879,0.0642504,0,0.0234488,0.0363268,0.0423972,0,0,0.0219465,0,0.019289,0.0583276,0.0239359,0.0195447,0.027862,0.0382033,0.0413259,0.0617195,0.0883917,0.0903043,0.13816,0.0702888,0.0469977,0.0386807,0.061158,0.0278318,0.0420473,0.00717842,0.0566033,0,0,0,0.0114442,0,0,0
170,0,0,0,0,0,0,0.0205779,0,0,0,0.0410816,0,0.025405,0.0355921,0,0,0.0162426,0,0,0.0429934,0.0332811,0.0365308,0.0138277,0.0242886,0.030067,0.0258686,0.0213115,0.0381643,0.0405429,0.0253958,0.0290594,0.0296416,0.0141724,0.0211927,0.030435,0.0437994,0.0108294,0.0621997,0,0.0223589,0.0363422,0.0425257,0,0,0.021988,0,0.0193303,0.0577682,0.0242602,0.0194017,0.02693,0.038366,0.041169,0.061909,0.0880737,0.090404,0.138885,0.0703172,0.0464621,0.0382555,0.0613748,0.0256463,0.0420589,0.00718439,0.0570416,0,0,0,0.0114878,0,0,0
171,0,0,0,0,0,0,0.0200374,0,0,0,0.0399802,0,0.0243475,0.0359914,0,0,0.0162725,0,0,0.0429143,0.0330303,0.0369974,0.0130982,0.0244089,0.0296326,0.0261152,0.0215321,0.0391116,0.0407908,0.0242565,0.0289869,0.0296532,0.0138981,0.0199773,0.0341588,0.0438219,0.0108216,0.0602983,0,0.0215139,0.0361983,0.0425845,0,0,0.0221268,0,0.0193188,0.0570653,0.0247781,0.0189573,0.026492,0.0385315,0.0411039,0.0623606,0.0870779,0.0903558,0.140211,0.0702319,0.0460493,0.0379139,0.0612436,0.0233764,0.0420509,0.00716556,0.0577417,0,0,0,0.0114524,0,0,0
172,0,0,0,0,0,0,0.0194883,0,0,0,0.0383945,0,0.0230149,0.0364001,0,0,0.0162871,0,0,0.0427138,0.0326602,0.037496,0.0126321,0.0242367,0.0298668,0.0263145,0.0217116,0.0399976,0.0413795,0.0234124,0.0290309,0.0301059,0.013522,0.0185844,0.0386259,0.0436911,0.0108456,0.0590744,0,0.0209625,0.035693,0.0425277,0,0,0.0222552,0,0.0192632,0.056446,0.025871,0.0186251,0.0266063,0.0385309,0.041217,0.062718,0.0864839,0.0901675,0.140975,0.069831,0.0457928,0.037631,0.0607188,0.0222335,0.0419612,0.00706273,0.0584235,0,0,0,0.011366,0,0,0
