Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,LUPA,x73,LILC,LASI,LWRB
85,0,0,0,0,0,0,0.0314609,0.0356886,0,0,0,0.0530943,0,0.0257142,0,0.0213834,0,0,0.0453383,0.0351918,0.0319536,0.030571,0.0360065,0.0353916,0.027923,0.027537,0.0392852,0.0344192,0.0384507,0.035122,0.025004,0.0329842,0.0198749,0.0116203,0.0481515,0,0.0242534,0.0404261,0.0411974,0,0,0.0134921,0,0,0.0303689,0.0541257,0.0360847,0.0119969,0.0299342,0.0297288,0.0431684,0.0535571,0.0772141,0.083832,0.0637195,0.072526,0.0549481,0.0483623,0.070105,0.0104631,0.0344014,0.0109575,0.0131173,0.0380232,0.0694515,0,0,0,0,0.0410299,0,0.0322078,0.0289693,0.00954915
86,0,0,0,0,0,0,0.031746,0.0354404,0,0,0,0.0527567,0,0.0261711,0,0.0208579,0,0,0.0455762,0.0355923,0.031926,0.0307663,0.0357722,0.0352379,0.027813,0.0272778,0.0394935,0.0346484,0.0383339,0.0347839,0.0249348,0.0329971,0.020573,0.0109815,0.0480503,0,0.0240711,0.0409419,0.0414888,0,0,0.0137059,0,0,0.0302852,0.0544165,0.036133,0.0117852,0.0304556,0.0299995,0.0434707,0.0526945,0.0761551,0.0830017,0.0630109,0.0731094,0.0555863,0.0486105,0.0703506,0.0108053,0.0340302,0.0108424,0.0124925,0.038075,0.0693214,0,0,0,0,0.0409785,0,0.031755,0.0291069,0.0105217
87,0,0,0,0,0,0,0.0315897,0.0358197,0,0,0,0.0531062,0,0.0260087,0,0.0208947,0,0,0.0452464,0.0356333,0.0322538,0.0308633,0.0353579,0.0348669,0.0278695,0.0273337,0.0393545,0.0345135,0.0383044,0.0347545,0.0245544,0.0326457,0.0206494,0.0114301,0.046757,0,0.0235331,0.0409971,0.0416155,0,0,0.0133785,0,0,0.0303071,0.0542283,0.0355689,0.0117994,0.029909,0.0303018,0.0433672,0.0533626,0.0771448,0.082985,0.0623738,0.072233,0.0547098,0.0480738,0.0700183,0.0100007,0.034198,0.0109069,0.0129381,0.0386359,0.0686393,0,0,0,0,0.0412782,0,0.0318974,0.02951,0.0102698
88,0,0,0,0,0,0,0.0323198,0.0353903,0,0,0,0.0604839,0,0.0302728,0,0.0205271,0,0,0.0450449,0.0350741,0.0333842,0.0289601,0.0360365,0.0344565,0.0268378,0.028829,0.0391739,0.032727,0.0358606,0.0331304,0.0207428,0.0292276,0.02878,0.0115637,0.0469376,0,0.0240026,0.0409644,0.0418085,0,0,0.0144107,0,0,0.0297436,0.054227,0.0345383,0.0105176,0.0289965,0.0317282,0.0431133,0.0540682,0.078573,0.08295,0.0617208,0.0715458,0.0530231,0.0477291,0.0706916,0.00824154,0.033889,0.010387,0.0137914,0.0382679,0.0687102,0,0,0,0,0.0414142,0,0.0318814,0.0304331,0.010622
89,0,0,0,0,0,0,0.0322366,0.0355058,0,0,0,0.0604696,0,0.0301792,0,0.0204112,0,0,0.0449476,0.0349683,0.0336897,0.0285108,0.0355895,0.0339627,0.0263753,0.0290629,0.0392558,0.0324152,0.0354761,0.0326701,0.0204351,0.0290288,0.0296064,0.0114769,0.0459283,0,0.023357,0.0408984,0.0420674,0,0,0.0142125,0,0,0.0302892,0.0538937,0.0323958,0.0106987,0.0283344,0.0323432,0.0433234,0.0548432,0.0801612,0.0830758,0.0610876,0.0720119,0.0524226,0.0478433,0.071524,0.0122609,0.0342699,0.0103509,0.0137622,0.0385911,0.0685075,0,0,0,0,0.04145,0,0.0316983,0.0315164,0.0106925
90,0,0,0,0,0,0,0.0323647,0.0355574,0,0,0,0.0606447,0,0.0298543,0,0.0202715,0,0,0.044929,0.0351244,0.0338001,0.0281404,0.035154,0.0334622,0.02615,0.0292865,0.0393196,0.0322608,0.0351381,0.0323558,0.0201161,0.028659,0.0303698,0.0114463,0.0451817,0,0.0236582,0.0410518,0.0421401,0,0,0.0147087,0,0,0.030015,0.0533905,0.0304306,0.0112936,0.0277636,0.0327737,0.0435755,0.0550591,0.0815366,0.0829423,0.0598191,0.0722507,0.0521912,0.0473748,0.0712932,0.0158765,0.0341238,0.010262,0.0136219,0.0390196,0.0685197,0,0,0,0,0.0416519,0,0.0314652,0.0324404,0.0107428
91,0,0,0,0,0,0,0.0325974,0.0357794,0,0,0,0.0612068,0,0.0293794,0,0.0201648,0,0,0.0449051,0.0356727,0.0337143,0.0279757,0.0347127,0.0329838,0.026249,0.0294449,0.0392939,0.0322403,0.0349025,0.0322169,0.01995,0.0283802,0.0314453,0.0114286,0.0421361,0,0.0252925,0.0415015,0.0421902,0,0,0.0145542,0,0,0.030148,0.0527616,0.0293494,0.0120186,0.0280329,0.0328634,0.0435087,0.0540332,0.0815177,0.082009,0.0581439,0.0720945,0.0527519,0.0467216,0.0700492,0.0171433,0.0342351,0.0103337,0.0134227,0.0395978,0.0685421,0,0,0,0,0.0419408,0,0.0310038,0.0327864,0.0107265
92,0,0,0,0,0,0,0.0329211,0.0359751,0,0,0,0.0628186,0,0.0287183,0,0.020015,0,0,0.0448692,0.0365442,0.0336137,0.0277703,0.0343833,0.032657,0.0265151,0.0296357,0.0391433,0.0325553,0.0347063,0.0322266,0.0198323,0.0284249,0.0333611,0.0114422,0.0365522,0,0.0253156,0.0423103,0.0421753,0,0,0.0144844,0,0,0.0300799,0.0520721,0.0284897,0.0130362,0.0292242,0.0325074,0.0433107,0.0526938,0.0798588,0.0807981,0.0576569,0.071225,0.0531704,0.0460593,0.0687828,0.0152384,0.0342865,0.0104649,0.0131854,0.0399985,0.0686281,0,0,0,0,0.0422579,0,0.0301879,0.0323309,0.0107549
93,0,0,0,0,0,0,0.0331359,0.0362157,0,0,0,0.0637324,0,0.02834,0,0.0199867,0,0,0.0448361,0.0371677,0.033734,0.0278916,0.034226,0.0324406,0.0268948,0.0299595,0.0388191,0.0323554,0.0345935,0.0322006,0.0198037,0.0282579,0.034835,0.0114083,0.034705,0,0.0237849,0.0426664,0.0422385,0,0,0.0142816,0,0,0.0299323,0.0515569,0.0267521,0.0138432,0.0301023,0.0318665,0.0428929,0.0518347,0.0780431,0.0798431,0.0588821,0.0709869,0.0531324,0.0457239,0.0685028,0.0102252,0.0344397,0.0106043,0.0131368,0.0402861,0.0687682,0,0,0,0,0.0424995,0,0.0294444,0.0316104,0.0107627
94,0,0,0,0,0,0,0.033671,0.0359534,0,0,0,0.0653406,0,0.0275804,0,0.0175123,0,0,0.0372503,0.0374254,0.0340482,0.0276141,0.0342638,0.0306997,0.0270501,0.030546,0.0384931,0.0319331,0.0339643,0.0321459,0.0197643,0.0278495,0.0370298,0.0188023,0.0330296,0,0.0227843,0.0427504,0.0422452,0,0,0.0143075,0,0,0.0299426,0.0509574,0.0251552,0.0145282,0.0297948,0.0314154,0.0427007,0.0515126,0.0774124,0.0799106,0.0599407,0.0714275,0.0528131,0.0454729,0.068961,0.00861709,0.0341513,0.0105245,0.0134389,0.0403006,0.0690713,0,0,0,0,0.0430877,0,0.0287242,0.030933,0
