Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,T10,x70,x71,x72,,LEAR,RFHD,RHEE,x73,LWRA,x74,RUPA,STRN
9,0,0,0,0,0,0,0.0224921,0.0436929,0,0,0,0.0513122,0,0.0268585,0.0362674,0,0.0239984,0,0,0.0453172,0.0475932,0.0412501,0.0148021,0.0216848,0.0364595,0.0303157,0.0434771,0.0532727,0.039543,0.0234191,0.0334797,0.0330877,0.0246514,0.0307021,0.0159943,0.0359535,0.0106946,0.0390738,0,0.0224029,0.0450186,0.0405361,0,0,0.0218818,0,0.00909731,0.0520853,0.0112492,0.0299454,0.0311238,0.0333102,0.0474366,0.0760206,0.0796337,0.0536704,0.0658526,0.049826,0.0434371,0.0618115,0.00960659,0.00827102,0.0627449,0,0,0,0,0,0,0.0338066,0,0.0117592,0,0,0
10,0,0,0,0,0,0,0.0226455,0.04387,0,0,0,0.0529762,0,0.027,0.0359245,0,0.0238448,0,0,0.0452402,0.0478503,0.0406345,0.0149616,0.021043,0.0361332,0.030005,0.0429362,0.0526761,0.0399682,0.0242318,0.0340411,0.0336968,0.0249095,0.0313195,0.0143495,0.0361601,0.010636,0.0393037,0,0.0225083,0.0443788,0.0406641,0,0,0.0219074,0,0.00927094,0.0522711,0.0111236,0.0301833,0.0309946,0.0332216,0.0469989,0.075835,0.0790847,0.0535186,0.066052,0.0503162,0.0435793,0.0617933,0.00962766,0.00818538,0.0627135,0,0,0,0,0,0,0.0338659,0,0.0117747,0,0,0
11,0,0,0,0,0,0,0.0247003,0.0452773,0,0,0,0.0540364,0,0.0275118,0.0363439,0,0.0200605,0,0,0.043988,0.047308,0.0407686,0.0154893,0.0203155,0.0364332,0.0271185,0.0425772,0.0520789,0.0407318,0.0245753,0.0346775,0.0340989,0.0253177,0.0315514,0.013748,0,0.0106513,0.0401069,0,0.0228206,0.0435799,0.03649,0,0,0.0233351,0,0.0102549,0.0524779,0.0110071,0.0302134,0.0308566,0.0338531,0.0473872,0.0761595,0.0789653,0.0536138,0.066045,0.0502371,0.0433172,0.0614917,0.0097101,0.00788668,0.0620197,0,0,0,0,0,0,0.034207,0,0.011737,0,0,0
12,0,0,0,0,0,0,0.0229957,0.0442681,0,0,0,0.0559947,0,0.0275932,0.0354387,0,0.0235014,0,0,0.045125,0.0472734,0.0400956,0.0163778,0.0200435,0.035462,0.0292419,0.0425707,0.0509642,0.0410211,0.0258706,0.0357509,0.0350591,0.0262309,0.03219,0.0124831,0.036603,0.0105572,0.0405596,0,0.0228202,0.0432273,0.0407679,0,0,0.0221229,0,0.0101333,0.0533089,0.0109557,0.030751,0.0304801,0.0327194,0.046517,0.075157,0.0777084,0.0531197,0.0665243,0.0509775,0.0439306,0.0619449,0.0101864,0.00805659,0.0623434,0,0,0,0,0,0,0.0338849,0,0.011789,0,0,0
13,0,0,0,0,0,0,0.0232037,0.0443468,0,0,0,0.0573492,0,0.0277486,0.0348144,0,0.0232686,0,0,0.0449856,0.0468413,0.0394985,0.0173055,0.019813,0.0349441,0.028805,0.0423409,0.0504758,0.0413681,0.0268237,0.0367073,0.0355508,0.0269264,0.0323774,0.0116233,0.036745,0.0105991,0.0410315,0,0.0229385,0.0423067,0.0406961,0,0,0.022116,0,0.010603,0.0537611,0.0110541,0.0311168,0.0301683,0.0323805,0.0462011,0.0746522,0.0770702,0.0532464,0.0668372,0.0513282,0.0441739,0.0620452,0.0102398,0.00828053,0.0622257,0,0,0,0,0,0,0.033976,0,0.0116742,0,0,0
14,0,0,0,0,0,0,0.0256712,0.0451578,0,0,0,0.0569044,0,0.0284359,0.0349883,0,0.017123,0,0,0.0358329,0.0456889,0.0395016,0.0181116,0.0203543,0.0351387,0.0246437,0.0426497,0.0499561,0.0420102,0.0269644,0.0373022,0.0352583,0.0272482,0.0320782,0.0116406,0,0,0.0415415,0,0.0231863,0.04118,0.0362744,0,0,0.0225525,0,0.00983591,0.0541825,0.0111928,0.0313864,0.0300854,0.0330944,0.0465287,0.0746165,0.0786604,0.0533917,0.0669146,0.0510979,0.0440319,0.0618239,0.0105515,0.00825184,0.0616242,0,0,0,0,0,0,0.0344086,0,0.0188656,0,0,0
15,0,0,0,0,0,0,0.0237226,0.0446445,0,0,0,0.0548611,0,0.0296358,0.0345868,0,0.022662,0,0,0.0450247,0.0445035,0.0396272,0.0194604,0.0221709,0.0336116,0.0280668,0.0427086,0.0483257,0.0422387,0.02728,0.0382429,0.0354028,0.0275012,0.0319114,0.0125583,0.037124,0.0108653,0.0414467,0,0.0232227,0.0408417,0.0407151,0,0,0.0209433,0,0.00917431,0.0555018,0.0115156,0.0319709,0.0298191,0.0316809,0.0456539,0.0734281,0.0797187,0.0525967,0.0671549,0.051057,0.0444086,0.0622118,0.0106587,0.0084043,0.0617781,0,0,0,0,0,0,0.0341817,0,0.0115753,0,0,0
16,0,0,0,0,0,0,0.0282215,0.0415515,0,0,0,0.0538106,0,0.0303234,0.0345961,0,0.0215711,0,0,0.0443366,0.0437947,0.0396609,0.0195796,0.0238194,0.0311437,0.0280769,0.0418638,0.0471622,0.0420749,0.0276266,0.039187,0.0364875,0.0274534,0.0324885,0.0129862,0.039404,0.0108423,0.0408312,0,0.0235646,0.0413264,0.0380161,0,0,0.0240239,0,0.0103429,0.0563871,0.0122132,0.0318594,0.0296807,0.0352844,0.045845,0.0729778,0.0724258,0.0527766,0.0668045,0.0508464,0.0440963,0.0620744,0.0103311,0.00723034,0.0632277,0,0,0,0,0,0,0.0349226,0,0.0116806,0,0.0405186,0
17,0,0,0,0,0,0,0.02917,0.0424185,0,0,0,0.054108,0,0.0310581,0.0362312,0,0.0209382,0,0,0.0438838,0.0433322,0.0415309,0.0198643,0.0247913,0.0292772,0.0248313,0.0410355,0.047078,0.0431642,0.0280823,0.038813,0.036186,0.026748,0.0324043,0.013063,0.0413634,0.0107848,0.0431621,0,0.0256805,0.04655,0.0385417,0,0,0.0233856,0,0.0100445,0.0542219,0.0123878,0.0296373,0.0290935,0.0346877,0,0.079263,0,0.0588658,0.0599324,0.0455449,0.0392355,0.056481,0.014606,0.0073742,0.0609867,0,0,0,0,0,0,0.038972,0,0.0115833,0,0.0413501,0
18,0,0,0,0,0,0,0.02914,0.0425459,0,0,0,0.0538916,0,0.0312948,0.0357676,0,0.02083,0,0,0.0440855,0.04334,0.0423614,0.0208125,0.025368,0.0292909,0.0246923,0.0407002,0.0462731,0.0430618,0.0286824,0.0390834,0.0366169,0.0267911,0.032319,0.0135314,0.0415685,0.0113772,0.0432447,0,0.0254733,0.0467038,0.038445,0,0,0.0231853,0,0.010033,0.0541672,0.0125557,0.0292392,0.0288793,0.0345058,0,0.0796461,0,0.0586182,0.0600453,0.045681,0.0392577,0.0565259,0.0149333,0.00738034,0.0607866,0,0,0,0,0,0,0.0391524,0,0.0113185,0,0.0415913,0
