Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x69,x70,x71,x72,LASI,
166,0,0,0,0,0,0,0.0328346,0,0,0,0.0456362,0,0.0297769,0,0,0.0171484,0,0,0.0181384,0.0413113,0.0414807,0.0239039,0.0269188,0.0319066,0.0335701,0.0421021,0.0448167,0.0391702,0.0287682,0.0411446,0.038421,0.0283109,0.0324807,0.0172211,0.0473843,0.00301915,0.0375078,0,0.022963,0.0406477,0.0399302,0,0,0.00960065,0,0,0.0281915,0.060287,0.0266404,0.0155689,0.031563,0.0293484,0.0325801,0.0481346,0.0776757,0.082103,0.0576123,0.0682239,0.050648,0.0439069,0.0629715,0.00586037,0.0600902,0.0152435,0.0677141,0,0,0,0,0.0306276,0
167,0,0,0,0,0,0,0.0329039,0,0,0,0.0455258,0,0.0301456,0,0,0.0173016,0,0,0.0181696,0.0411631,0.0421363,0.0241379,0.0274635,0.0319356,0.0334523,0.0414335,0.044021,0.0388828,0.0289068,0.0413959,0.038479,0.0281524,0.0327296,0.0180835,0.0468418,0.0030238,0.0380252,0,0.0225265,0.0407174,0.0397939,0,0,0.00962804,0,0,0.0282447,0.0602405,0.0264982,0.0158354,0.0312847,0.028953,0.0322152,0.0479608,0.0775903,0.0820073,0.0573278,0.0683672,0.0508411,0.04384,0.0629192,0.00582719,0.0605156,0.0152643,0.0673806,0,0,0,0,0.0299679,0
168,0,0,0,0,0,0,0.032969,0,0,0,0.0455511,0,0.030258,0,0,0.0172101,0,0,0.0179258,0.0412431,0.0424184,0.0241217,0.0277897,0.0320107,0.0334519,0.0410149,0.0434975,0.0383587,0.0290855,0.0412767,0.038133,0.0280962,0.0329367,0.0186965,0.0455508,0.00286901,0.0391224,0,0.0219616,0.0409364,0.0395165,0,0,0.00969371,0,0,0.0282727,0.06004,0.0263089,0.0161854,0.0307476,0.0286746,0.0319091,0.0479071,0.0773212,0.0816692,0.0570915,0.0683834,0.0508497,0.0436965,0.062738,0.00600565,0.0608741,0.0152745,0.0670302,0,0,0,0,0.0297858,0
169,0,0,0,0,0,0,0.0329689,0,0,0,0.0462165,0,0.0300765,0,0,0.0171327,0,0,0.0178734,0.0412252,0.0412993,0.0239536,0.0276331,0.0321416,0.0333233,0.0410506,0.0436547,0.037583,0.0287898,0.0407649,0.0375602,0.0282129,0.0331696,0.0184255,0.0450908,0.00276957,0.0403195,0,0.021329,0.0410975,0.039335,0,0,0.00979056,0,0,0.0282825,0.0600485,0.0261628,0.0167437,0.0303071,0.0286456,0.0316212,0.0480749,0.0773239,0.0818567,0.0570125,0.0684892,0.0508195,0.043535,0.0625533,0.00648125,0.0609347,0.015286,0.0668454,0,0,0,0,0.029582,0
170,0,0,0,0,0,0,0.0328966,0,0,0,0.0471104,0,0.0299227,0,0,0.0170639,0,0,0.0179156,0.0408691,0.0390832,0.0237991,0.0270317,0.0323276,0.0331177,0.0416188,0.044515,0.036598,0.0278314,0.0400402,0.0368822,0.0287667,0.033851,0.0172955,0.0451607,0.00270765,0.041412,0,0.0206228,0.0411481,0.0392573,0,0,0.00986644,0,0,0.0283183,0.0602292,0.0264493,0.0175094,0.0298058,0.0288332,0.0314029,0.0483937,0.0775858,0.082288,0.056986,0.0686481,0.0509349,0.043351,0.062505,0.00678806,0.0609596,0.015328,0.0668243,0,0,0,0,0.0294127,0
171,0,0,0,0,0,0,0.0328986,0,0,0,0.04697,0,0.0291325,0,0,0.0169683,0,0,0.0179213,0.0402666,0.0357658,0.0239659,0.0262867,0.0325304,0.0328968,0.0423551,0.0451207,0.0356045,0.0264897,0.0394713,0.0364921,0.0292962,0.0345918,0.0157693,0.0453348,0.00266063,0.042502,0,0.019953,0.0412906,0.0392305,0,0,0.00987405,0,0,0.0284652,0.0602921,0.0269601,0.0183722,0.0292508,0.0288513,0.0311407,0.0482943,0.0780386,0.0825755,0.0569645,0.0686669,0.0507645,0.0431461,0.0624205,0.00688107,0.0613628,0.0154123,0.0667195,0,0,0,0,0.0292158,0
172,0,0,0,0,0,0,0.0330278,0,0,0,0.0447386,0,0.0273021,0,0,0.0169053,0,0,0.0179508,0.0393554,0.0324449,0.0247422,0.0257486,0.0327089,0.0325928,0.0425995,0.0455285,0.0348307,0.0253596,0.0392928,0.0368326,0.0288471,0.0342542,0.0151503,0.0454467,0.0026841,0.0444465,0,0.0194482,0.0410581,0.0392384,0,0,0.00986464,0,0,0.0287579,0.0604012,0.0276201,0.0195291,0.0288742,0.0285832,0.0306488,0.0479114,0.0785891,0.0826597,0.0567897,0.0688168,0.0505076,0.0428568,0.0621698,0.00781835,0.0617827,0.0153426,0.0666224,0,0,0,0,0.029199,0
173,0,0,0,0,0,0,0.033175,0,0,0,0.0411284,0,0.0261412,0,0,0.0167531,0,0,0.0179385,0.039037,0.0303911,0.0253824,0.0255235,0.0329697,0.0321935,0.0418474,0.0455499,0.034612,0.0254924,0.0395698,0.0379538,0.0276644,0.0330701,0.0148652,0.045578,0.00264695,0.0441044,0,0.0191925,0.0406779,0.0391597,0,0,0.00985068,0,0,0.0288554,0.0606704,0.0281544,0.020356,0.0283077,0.0280319,0.0301099,0.0477992,0.0790358,0.0831206,0.0567112,0.0688103,0.050265,0.0425699,0.0620434,0.00878937,0.0622671,0.0156454,0.0667304,0,0,0,0,0.0292498,0
174,0,0,0,0,0,0,0.0333022,0,0,0,0.0387195,0,0.0264029,0,0,0.0167326,0,0,0.0179874,0.0395327,0.0290054,0.0259114,0.0254796,0.0331258,0.0319182,0.0403654,0.0451984,0.0353827,0.026813,0.0395959,0.0389285,0.0263492,0.0319387,0.0146151,0.0455871,0.00267753,0.0437177,0,0.019191,0.0398721,0.038995,0,0,0.0100387,0,0,0.0289885,0.0610434,0.0289618,0.0212453,0.0281782,0.0271549,0.0296135,0.0477355,0.0793962,0.0834821,0.0561613,0.0690186,0.0502641,0.0421688,0.0621673,0.00965999,0.0628364,0.0157387,0.0669029,0,0,0,0,0.0299387,0
175,0,0,0,0,0,0,0.0333372,0,0,0,0.0376714,0,0.0271088,0,0,0.0168552,0,0,0.0181014,0.0405786,0.0278995,0.0263904,0.0255196,0.0331296,0.0318719,0.0387528,0.0448675,0.0366539,0.0288596,0.0392571,0.0394872,0.0255364,0.0315577,0.0144234,0.0454795,0.0027752,0.0434428,0,0.0191651,0.0389274,0.0388259,0,0,0.0101689,0,0,0.0291564,0.0614039,0.0299186,0.0220741,0.0283815,0.0260811,0.0293047,0.0475889,0.079727,0.0835781,0.0553311,0.0693801,0.0502147,0.0413715,0.062341,0.0099509,0.0633264,0.0158262,0.0671686,0,0,0,0,0.0315723,0
