Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,T10,x66,x67,x68,x69,x70,CLAV
76,0,0,0,0,0,0,0.0183947,0,0,0,0.0413746,0,0.0274297,0.0304441,0,0,0.0219883,0,0,0.0350905,0.0395562,0.0291795,0.0289715,0.0268879,0.0373229,0.0318339,0.0398732,0.0432851,0.0340382,0.0287674,0.0378236,0.0376919,0.024809,0.0329481,0.0109436,0.0402922,0.0174086,0.050574,0.038173,0.0358993,0.0411115,0,0,0.0109864,0,0,0.0266617,0.0618084,0.0269632,0.0376115,0.0224752,0.0303827,0.0483039,0.0826227,0.0848976,0.0525622,0.0695948,0.0482969,0.031862,0.0588788,0.0160887,0,0.0151415,0.0662974,0,0,0,0,0,0
77,0,0,0,0,0,0,0.0179385,0,0,0,0.0417348,0,0.0280463,0.0298057,0,0,0.0221928,0,0,0.0351753,0.0400901,0.0302215,0.0284931,0.0273591,0.0372375,0.0328039,0.0400864,0.0429691,0.0334732,0.0290972,0.0372509,0.037256,0.0242511,0.0326473,0.0110025,0.0395237,0.0175302,0.0490862,0.0391321,0.0350461,0.0409439,0,0,0.0109358,0,0,0.0263185,0.0618419,0.0273171,0.0384588,0.02286,0.0310177,0.0489702,0.0833091,0.0852357,0.0524974,0.0695996,0.0475962,0.0301728,0.0588372,0.0230749,0,0.0149633,0.067347,0,0,0,0,0,0
78,0,0,0,0,0,0,0.0256638,0,0,0,0.0420234,0,0.0277818,0.0291091,0,0,0.0218417,0,0,0.0347686,0.040136,0.0292263,0.0275981,0.02889,0.0321938,0.034491,0.0390571,0.0412302,0.0327639,0.030088,0.0377296,0.0380477,0.0243419,0.032284,0.0110799,0.0404344,0.0178202,0.0487298,0.0393019,0.0343723,0.0366883,0,0,0.011285,0,0,0.0252235,0.0630957,0.0301726,0.0392782,0.0230849,0.0375703,0.0495998,0.0834476,0.0853859,0.05284,0.0695404,0.046879,0.029098,0.0594139,0.0292056,0.0639088,0.0148712,0.0714682,0,0,0,0,0,0
79,0,0,0,0,0,0,0.0258339,0,0,0,0.0419141,0,0.0277645,0.0274745,0,0,0.022354,0,0,0.0347228,0.0404671,0.0292175,0.027687,0.0287383,0.0319051,0.0359091,0.0383432,0.0406285,0.0331933,0.0296295,0.0371333,0.0374861,0.0236728,0.0314172,0.011627,0.0398413,0.0178904,0.0484686,0.038028,0.0336924,0.0366051,0,0,0.0124452,0,0,0.0250814,0.0630413,0.0296122,0.039299,0.0239332,0.0387632,0.0508261,0.0842495,0.0863593,0.0536472,0.0698263,0.046344,0.0284504,0.0607542,0.0358593,0.0653636,0.0147023,0.0723693,0,0,0,0,0,0
80,0,0,0,0,0,0,0.0258813,0,0,0,0.0416586,0,0.0276493,0.0259155,0,0,0.0228605,0,0,0.0347503,0.0397875,0.0289131,0.0281073,0.0283664,0.0318117,0.0372927,0.0376532,0.0404028,0.033735,0.0288284,0.0368528,0.0370994,0.0234182,0.0308683,0.0118338,0.0392936,0.0179601,0.0478648,0.0359369,0.0330903,0.0366616,0,0,0.0134833,0,0,0.0247949,0.0631049,0.0286806,0.0393391,0.0246917,0.0397788,0.0520937,0.0853402,0.0872173,0.054417,0.0702496,0.0463676,0.0281102,0.062366,0.0410857,0.0655963,0.0145907,0.0730587,0,0,0,0,0,0
81,0,0,0,0,0,0,0.0258192,0,0,0,0.0412039,0,0.027469,0.0242203,0,0,0.0233663,0,0,0.0348026,0.0380313,0.0282418,0.0288248,0.0279723,0.0318998,0.0385608,0.0369032,0.0404216,0.034287,0.0279936,0.0368457,0.0368993,0.0234167,0.0304789,0.0118944,0.0389302,0.0179947,0.0459123,0.0339921,0.0326211,0.0368512,0,0,0.0142135,0,0,0.0246394,0.063459,0.0277208,0.0394677,0.0253424,0.0405132,0.0533394,0.0867525,0.0881085,0.0552178,0.0704703,0.0467087,0.0280136,0.0637358,0.045772,0.0649155,0.014506,0.0735964,0,0,0,0,0,0
82,0,0,0,0,0,0,0.0171274,0,0,0,0.04044,0,0.0279157,0.0225428,0,0,0.0248593,0,0,0.0352513,0.0367519,0.0290508,0.0306143,0.0265495,0.036563,0.0394068,0.0368845,0.0414869,0.0352232,0.0266241,0.0357282,0.0355859,0.0226504,0.0297413,0.0124816,0.037021,0.0178787,0.0423083,0.0318687,0.0324313,0.0409123,0,0,0.0119528,0,0,0.0248229,0.0623858,0.0239036,0.0397429,0.0269738,0.0354271,0.0549556,0.0885169,0.0898623,0.0562825,0.0701354,0.0466208,0.0279769,0.0648103,0.0535496,0,0.0141426,0.0709308,0,0,0,0,0,0
83,0,0,0,0,0,0,0.0300927,0,0,0,0.0400937,0,0.0273908,0.0234842,0,0,0.0243779,0,0,0.0348236,0.0337125,0.0274674,0.0301435,0.0280486,0.0325367,0.0402085,0.0354032,0.0398242,0.0345904,0.0276584,0.0369233,0.0369774,0.0235209,0.0300261,0.0123233,0.0367791,0.0186084,0.0394305,0.0294003,0.0315824,0.0378383,0,0,0.0168232,0,0,0.024209,0.0641583,0.0264694,0.0405386,0.0271102,0.0432781,0.0545529,0.0878728,0.0895381,0.0558287,0.0703771,0.0463476,0.0285361,0.0654096,0.0618852,0.0614943,0.0139129,0.0762317,0,0,0,0,0,0.0304308
84,0,0,0,0,0,0,0.0260591,0,0,0,0.0390479,0,0.0276666,0.0247627,0,0,0.0243321,0,0,0.0348153,0.0323019,0.0277698,0.0300683,0.0283211,0.0332209,0.0412825,0.0346703,0.0393286,0.0345644,0.0278108,0.03694,0.0370872,0.0232609,0.0297708,0.0131423,0.0384994,0.0181499,0.0374894,0.0283484,0.0310433,0.0372015,0,0,0.0145152,0,0,0.0247334,0.0642722,0.0253847,0.0408111,0.0281963,0.0413238,0.055296,0.0887643,0.0898305,0.0561783,0.0695281,0.045496,0.0282257,0.064918,0.068622,0.0641114,0.0143703,0.0756157,0,0,0,0,0,0
85,0,0,0,0,0,0,0.0173657,0,0,0,0.0382101,0,0.0285216,0.025303,0,0,0.0256147,0,0,0.0352018,0.0327588,0.0297606,0.0309423,0.0274237,0.0378779,0.0411913,0.0347792,0.039903,0.0350025,0.0273126,0.0358381,0.0361412,0.022178,0.0293064,0.014183,0.0368796,0.0180811,0.0367252,0.029252,0.0310533,0.0408603,0,0,0.011878,0,0,0.0248767,0.0625895,0.0214287,0.041473,0.0297869,0.0355296,0.056265,0.0896896,0.0904637,0.0565283,0.068033,0.0443111,0.0269189,0.0639734,0.0698315,0,0.0141461,0.0730266,0,0,0,0,0,0
86,0,0,0,0,0,0,0.0262561,0,0,0,0.0380232,0,0.0282937,0.0274321,0,0,0.0246824,0,0,0.0348448,0.0311345,0.0289105,0.0294929,0.0287844,0.0335778,0.0418512,0.0335265,0.038482,0.0344624,0.0284907,0.036844,0.0374671,0.0228376,0.0298591,0.0140156,0.0386676,0.0183097,0.0363707,0.0300451,0.0302081,0.0372849,0,0,0.0142835,0,0,0.0248014,0.0635896,0.0236704,0.0424766,0.0290586,0.0408694,0.0558237,0.0890456,0.0897885,0.055715,0.067382,0.0433414,0.0257931,0.0633964,0.0685638,0.0647308,0.0144081,0.0769791,0,0,0,0,0,0
87,0,0,0,0,0,0,0.0306524,0,0,0,0.0385555,0,0.0285338,0.0286346,0,0,0.025035,0,0,0.0348558,0.0305824,0.0291415,0.0294641,0.0287837,0.0331859,0.0413034,0.0330689,0.0381904,0.034468,0.0286005,0.0368947,0.037444,0.0228298,0.0300181,0.0135808,0.0370485,0.0188774,0.0363021,0.030578,0.0296453,0.0381671,0,0,0.0162564,0,0,0.0243784,0.0634802,0.023204,0.0434371,0.0293105,0.042613,0.0556724,0.0890908,0.0895998,0.0550168,0.067271,0.0428654,0.0254779,0.063656,0.0691205,0.0622595,0.013931,0.0787337,0,0,0,0,0,0.0312269
88,0,0,0,0,0,0,0.0263804,0,0,0,0.0394841,0,0.0287675,0.0300132,0,0,0.0246194,0,0,0.0349062,0.0298335,0.0297369,0.029324,0.0286781,0.0328814,0.0414377,0.0328057,0.0380975,0.0345157,0.0284523,0.0368464,0.0371911,0.0229434,0.0301111,0.0129071,0.0389267,0.01837,0.0364977,0.0311177,0.0290207,0.0372716,0,0,0.0138489,0,0,0.024991,0.0635451,0.0221015,0.0441031,0.0297741,0.0405692,0.0560322,0.089587,0.0901171,0.0552211,0.0672315,0.0425929,0.0256365,0.0641628,0.0696107,0.064924,0.0144838,0.0775594,0,0,0,0,0,0
89,0,0,0,0,0,0,0.0174831,0,0,0,0.0407073,0,0.0293786,0.0304224,0,0,0.025556,0,0,0.0352595,0.030415,0.0318538,0.0306329,0.0275799,0.0366002,0.0405906,0.0333664,0.039025,0.0350669,0.0275355,0.0358557,0.0358319,0.0224447,0.0299047,0.0122925,0.0372771,0.0181788,0.0366294,0.0319459,0.0289833,0.040802,0,0,0.0116411,0,0,0.0251695,0.0624127,0.018154,0.0444911,0.0308242,0.0348627,0.0567207,0.0904602,0.0911123,0.0558285,0.0671025,0.042536,0.0261887,0.064837,0.0706728,0,0.0143078,0.0741612,0,0,0,0,0,0
90,0,0,0,0,0,0,0.026231,0,0,0,0.0422119,0,0.0288594,0.0323659,0,0,0.0243903,0,0,0.034813,0.0287209,0.031436,0.0291765,0.0286081,0.0325717,0.0408436,0.032471,0.0377579,0.0344097,0.0280756,0.0368911,0.0366671,0.0235408,0.0304567,0.0111717,0.0388611,0.0182463,0.0368671,0.032227,0.0275326,0.0372408,0,0,0.0138861,0,0,0.0248721,0.0640161,0.0206506,0.0453723,0.0303867,0.0406157,0.0559385,0.0895586,0.0904561,0.0551059,0.0676123,0.0428179,0.0269726,0.0654537,0.0702247,0.0645731,0.0144226,0.0773405,0,0,0,0,0,0
91,0,0,0,0,0,0,0.0230408,0,0,0,0.043468,0,0.0294832,0.0321565,0,0,0.0256249,0,0,0.0350537,0.0294711,0.033184,0.0305904,0.0276066,0.0358503,0.0393391,0.0328897,0.0383119,0.0348277,0.0272421,0.0360782,0.0354921,0.0230965,0.0301896,0.0109894,0.0350334,0.018675,0.0369318,0.0326649,0.0275599,0.0409051,0,0,0.0131552,0,0,0.0240712,0.0628267,0.0174719,0.0456333,0.0309183,0.0371097,0.0562065,0.0899213,0.0907357,0.0550916,0.0672202,0.0426705,0.0270166,0.065626,0.0711294,0,0.0136024,0.0754573,0,0,0,0,0,0.0372118
92,0,0,0,0,0,0,0.0229556,0,0,0,0.0445072,0,0.0296928,0.0325594,0,0,0.0255792,0,0,0.0350267,0.0289691,0.0333136,0.0306342,0.0275071,0.0358411,0.039233,0.0323942,0.0379042,0.0350571,0.0270094,0.0360162,0.0353032,0.0231883,0.0301015,0.0108488,0.0349293,0.0186599,0.0367427,0.0326348,0.0270707,0.0409099,0,0,0.0132851,0,0,0.0239865,0.0627688,0.0166969,0.0458049,0.0311663,0.0373302,0.0561895,0.0899282,0.0907099,0.0550429,0.0666436,0.0422234,0.0265766,0.0650592,0.0703242,0,0.013565,0.0753326,0,0,0,0,0,0.0372739
93,0,0,0,0,0,0,0.0254881,0,0,0,0.0451349,0,0.0294171,0.0337667,0,0,0.0243058,0,0,0.0347472,0.0272594,0.0320694,0.0293415,0.0282318,0.0328274,0.0404666,0.0309799,0.0366095,0.0350874,0.0273274,0.0366441,0.0359624,0.0236586,0.0301803,0.0107276,0.0384491,0.0181374,0.0360861,0.0325773,0.025917,0.0374704,0,0,0.0143287,0,0,0.0245454,0.063772,0.0182399,0.0459308,0.0312266,0.0409367,0.0559585,0.0896061,0.0904523,0.0547921,0.0660615,0.0418409,0.0260894,0.0640766,0.0679859,0.0610565,0.0141939,0.0767292,0,0,0,0,0,0
94,0,0,0,0,0,0,0.0256142,0,0,0,0.045189,0,0.029512,0.0339446,0,0,0.0241695,0,0,0.034758,0.0266939,0.0321239,0.0294354,0.0280559,0.0327582,0.0404551,0.0302864,0.0363071,0.0354079,0.027201,0.0364639,0.0357605,0.0233658,0.0299912,0.0109603,0.0383278,0.0181231,0.0354394,0.032759,0.0258746,0.0374529,0,0,0.0147015,0,0,0.0245798,0.0635414,0.01753,0.0458564,0.031504,0.0412895,0.0559503,0.0897068,0.0904562,0.0546196,0.065725,0.041608,0.0258434,0.0634663,0.0662665,0.0626074,0.0141885,0.0766704,0,0,0,0,0,0
95,0,0,0,0,0,0,0.0169674,0,0,0,0.0447772,0,0.0300884,0.0332207,0,0,0.0251196,0,0,0.0351438,0.0271978,0.0335082,0.030884,0.0269713,0.0359987,0.0399767,0.0304887,0.0371029,0.0361111,0.0263217,0.0353865,0.0345429,0.0225039,0.02939,0.0113163,0.0365982,0.0179386,0.0354797,0.0330909,0.0270369,0.0411098,0,0,0.0120025,0,0,0.0245931,0.0618997,0.0135734,0.04511,0.0325009,0.0358972,0.0567764,0.0907063,0.0912739,0.0551234,0.0656662,0.0416066,0.0259499,0.0631888,0.0651872,0,0.013977,0.0732201,0,0,0,0,0,0
