Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,FTL,LTHIP,x77,LILC,x78
356,0.0177135,0.0598463,0,0,0,0,0,0,0,0,0,0,0,0,0.0327838,0,0.0203355,0.0436768,0,0,0.0234588,0,0,0.0461526,0.0510853,0.0248518,0.0221537,0.0753444,0.0532296,0.0647034,0.0852221,0.0615729,0.059885,0.0622284,0,0.0316179,0.00988413,0.030142,0.0125657,0.0265556,0.0233457,0,0.0244353,0.0423838,0.0458377,0,0,0.033962,0,0,0.0382973,0.0736723,0.0361166,0.0144099,0.0202779,0.0646349,0.0842933,0.0390639,0.0700111,0.0724635,0.0394376,0.0239748,0.0222537,0.0112686,0.0290998,0.0696758,0.0542825,0.0310453,0.0102801,0.0460778,0.050291,0,0,0,0,0,0.0260179,0,0.0353946,0
357,0.0176661,0.0598741,0,0,0,0,0,0,0,0,0,0,0,0,0.0330848,0,0.0205658,0.0442118,0,0,0.0232122,0,0,0.0460804,0.0510794,0.0252469,0.0223587,0.075205,0.0532062,0.0646726,0.0850396,0.0614589,0.0599043,0.0622511,0,0.0317086,0.00984188,0.0300542,0.0125411,0.0265173,0.0223994,0,0.0245319,0.0424792,0.0458835,0,0,0.0338866,0,0,0.0380288,0.0734902,0.0351293,0.0143354,0.0204015,0.0646131,0.0847253,0.0391679,0.0699936,0.0722975,0.0392337,0.0241167,0.021609,0.0105579,0.0294218,0.0658872,0.0545946,0.0306965,0.0104355,0.0462005,0.0503778,0,0,0,0,0,0.0261405,0,0.0353019,0
358,0.017675,0.0600649,0,0,0,0,0,0,0,0,0,0,0,0,0.0331879,0,0.020717,0.044658,0,0,0.022979,0,0,0.0460224,0.0510377,0.0256862,0.0225584,0.0750747,0.0532514,0.0645079,0.0847961,0.0613369,0.0600532,0.0623045,0,0.0318379,0.00971542,0.0299698,0.0125408,0.0265106,0.021804,0,0.0246254,0.0426521,0.045899,0,0,0.0337521,0,0,0.0376336,0.0736803,0.034332,0.0143528,0.0204193,0.0643589,0.0852473,0.03952,0.0701346,0.0721056,0.0390061,0.0240979,0.0210803,0.0100238,0.0296264,0.0623552,0.0547982,0.0299532,0.0107717,0.0463544,0.0505584,0,0,0,0,0,0.0262862,0,0.035288,0
359,0.0176941,0.0602932,0,0,0,0,0,0,0,0,0,0,0,0,0.0331744,0,0.0208285,0.0450988,0,0,0.0227348,0,0,0.0459505,0.0509331,0.0261328,0.0228685,0.0748955,0.0532989,0.0642141,0.0845503,0.0612289,0.0601438,0.0623684,0,0.032032,0.00960379,0.0299021,0.0125397,0.0265221,0.0213861,0,0.0246201,0.0427444,0.0458922,0,0,0.03356,0,0,0.0374133,0.0739895,0.0340029,0.0142746,0.0203257,0.0640001,0.0856297,0.0398681,0.0703249,0.0719341,0.0387905,0.0239862,0.0208133,0.00968753,0.0298285,0.0594369,0.0549548,0.0292437,0.0111093,0.0465104,0.0507347,0,0,0,0,0,0.0262957,0,0.0352879,0
360,0.0177373,0.06048,0,0,0,0,0,0,0,0,0,0,0,0,0.0332352,0,0.0210015,0.0455788,0,0,0.0224866,0,0,0.0458687,0.0507923,0.0265808,0.0232291,0.0746406,0.0533884,0.0638602,0.084337,0.0611143,0.0601312,0.0624108,0,0.0322455,0.00965454,0.0298606,0.0125519,0.0265253,0.0213542,0,0.0245451,0.0427002,0.0458993,0,0,0.0332755,0,0,0.0372822,0.0743857,0.0339987,0.0139205,0.0201656,0.0637247,0.0858713,0.0402015,0.0705677,0.0717742,0.0386546,0.0238758,0.0206173,0.00940692,0.0300413,0.0572914,0.0550469,0.0283682,0.0115697,0.046605,0.050975,0,0,0,0,0,0.0259315,0,0.035301,0
361,0.0178704,0.0605838,0,0,0,0,0,0,0,0,0,0,0,0,0.033296,0,0.0211732,0.0461976,0,0,0.0222266,0,0,0.0457618,0.05069,0.0270532,0.0235137,0.0742703,0.0534911,0.0636184,0.0841407,0.0609906,0.0602333,0.0624833,0,0.0324229,0.00972313,0.0298237,0.0125626,0.0264985,0.0219695,0,0.0242938,0.0425647,0.0457219,0,0,0.0329321,0,0,0.0371471,0.0747654,0.0340684,0.0137483,0.0200298,0.0635623,0.0860355,0.0405311,0.0708047,0.0716029,0.0385263,0.023832,0.0202811,0.00909235,0.0303333,0.0552006,0.0550718,0.0273871,0.012003,0.0464352,0.0513004,0,0,0,0,0,0.025688,0,0.035217,0
362,0.0180618,0.0606314,0,0,0,0,0,0,0,0,0,0,0,0,0.0332835,0,0.0212821,0.046953,0,0,0.0219137,0,0,0.0456192,0.0506381,0.0275517,0.0237338,0.0737774,0.0535616,0.0634522,0.0839103,0.0608774,0.060288,0.0625776,0,0.0325631,0.00975481,0.0298242,0.0125274,0.0265032,0.0231494,0,0.0239011,0.042374,0.0454618,0,0,0.0324465,0,0,0.0368183,0.0748493,0.0341839,0.0139967,0.020091,0.0635043,0.0859944,0.0406273,0.0709709,0.0713905,0.0382524,0.0238666,0.0197069,0.00855981,0.0305924,0.052912,0.0549974,0.0262861,0.0124642,0.0462505,0.0515279,0,0,0,0,0,0.0255396,0,0.0350363,0
363,0.018255,0.0606151,0,0,0,0,0,0,0,0,0,0,0,0,0.0332371,0,0.0213214,0.0477061,0,0,0.0216103,0,0,0.0454905,0.0506026,0.0280916,0.0239776,0.0732806,0.0536318,0.0633921,0.0836891,0.0607639,0.0603435,0.062661,0,0.032697,0.00971418,0.0300075,0.0125124,0.0264621,0.0247976,0,0.0235491,0.042161,0.04521,0,0,0.0318431,0,0,0.0364373,0.0750136,0.034071,0.0146106,0.0203969,0.0634735,0.0857226,0.040734,0.0711053,0.0711979,0.0378714,0.0240209,0.0189081,0.00789916,0.0308197,0.0502217,0.0548201,0.0250552,0.0130423,0.046306,0.0514632,0,0,0,0,0,0.0254485,0,0.0348107,0
364,0.0184384,0.0605081,0,0,0,0,0,0,0,0,0,0,0,0,0.0332243,0,0.0214183,0.0483679,0,0,0.0213144,0,0,0.0454392,0.0506064,0.0286023,0.0242344,0.0727882,0.0537679,0.0632654,0.0835063,0.0606616,0.0604091,0.0627063,0,0.0328357,0.00975035,0.0301959,0.0125391,0.0264087,0.0271536,0,0.0232443,0.0421096,0.0449642,0,0,0.0312672,0,0,0.0358337,0.0752309,0.0334367,0.0151756,0.0206337,0.0636394,0.0851774,0.0409331,0.0712898,0.0710204,0.0375732,0.0243574,0.0177252,0.00733151,0.0311801,0.0470001,0.0545749,0.0237335,0.0137697,0.0463896,0.0513737,0,0,0,0,0,0.0254288,0,0.0345329,0
365,0.0185841,0.0603868,0,0,0,0,0,0,0,0,0,0,0,0,0.0331008,0,0.0215576,0.0489543,0,0,0.0210255,0,0,0.0454224,0.0506318,0.0290482,0.0244165,0.072293,0.0538633,0.0630266,0.0833336,0.0605803,0.0604492,0.0627354,0,0.0329699,0.00988434,0.0303482,0.0125751,0.0263582,0.0299936,0,0.0229105,0.0421021,0.0447657,0,0,0.0308493,0,0,0.0352261,0.0754613,0.032631,0.0156745,0.0208776,0.0639246,0.084574,0.0411707,0.0713827,0.0708457,0.0373147,0.0248307,0.0165838,0.00706866,0.0314326,0.0434839,0.0542281,0.0225302,0.0145047,0.0465046,0.051262,0,0,0,0,0,0.0254848,0,0.0341866,0
366,0.0187104,0.0602566,0,0,0,0,0,0,0,0,0,0,0,0,0.0328563,0,0.0216748,0.0494915,0,0,0.0206622,0,0,0.0452099,0.0506669,0.029537,0.0245774,0.0718707,0.053986,0.0626888,0.0831448,0.0605055,0.060503,0.0628045,0,0.0330709,0.0100408,0.0305659,0.0125696,0.0262598,0.0330197,0,0.022473,0.0421179,0.0446633,0,0,0.0305572,0,0,0.0346964,0.0756007,0.031858,0.0160948,0.0212347,0.0642868,0.0838557,0.0413322,0.0714079,0.0706397,0.0370236,0.0254088,0.0155559,0.00665803,0.0317741,0.0397658,0.0538595,0.0215372,0.0151464,0.0466468,0.0511765,0,0,0,0,0,0.0256215,0,0.0337868,0
