Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LTHII,,LILC
21,0.0281619,0.0625321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409748,0,0.0114771,0.0792208,0,0,0.0121816,0,0,0.0414141,0.0649485,0.0382477,0.0133722,0.0958094,0.0226087,0.0425821,0.0841548,0.0318321,0.0503037,0.0512069,0.0252081,0.0326088,0.00775994,0.0386116,0.0110168,0.0140617,0.0472753,0,0.0191859,0.0488113,0.0481672,0,0,0.0123403,0,0,0.031447,0.107962,0.0220966,0.0353374,0.0294683,0.0968562,0.044092,0.0443299,0.0503281,0.0722836,0.0658594,0.0290029,0.0297521,0.0178641,0.0402254,0.0152371,0.0476667,0.0080126,0.0165943,0.0416758,0.0608271,0,0,0,0,0,0,0
22,0.0282585,0.0625876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405915,0,0.0115133,0.0791902,0,0,0.0121115,0,0,0.0414904,0.065185,0.0381878,0.0133961,0.095968,0.0226139,0.0426188,0.0841145,0.0312297,0.0506555,0.0510193,0.0251377,0.0325616,0.00768439,0.0387073,0.0109635,0.0139544,0.047682,0,0.0190872,0.0489596,0.0481716,0,0,0.0122869,0,0,0.0316349,0.107914,0.0222803,0.0347486,0.0297025,0.097033,0.0441052,0.0445157,0.0504028,0.0724495,0.0661472,0.0290105,0.0296603,0.0178082,0.0403023,0.0154671,0.0474203,0.00814617,0.0164088,0.0416307,0.0609493,0,0,0,0,0,0,0
23,0.0285172,0.0623281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395435,0,0.0112376,0.0806086,0,0,0.0123117,0,0,0.0411621,0.0672738,0.0388912,0.0127351,0.0974091,0.0231257,0.0428008,0.084752,0,0.0502048,0.0501401,0.0249105,0.0338615,0.00683089,0.0390696,0.0110735,0.0143034,0.0481748,0,0.0191131,0.0500088,0.0481394,0,0,0.0124985,0,0,0.0313589,0.107999,0.0226988,0.0342459,0.0299087,0.0976884,0.0439542,0.0445217,0.0506376,0.0728374,0.0666172,0.0286428,0.0295849,0.0173385,0.0401337,0.0161796,0.04728,0.00844711,0.0165379,0.0411604,0.0615282,0,0,0,0,0,0,0
24,0.028136,0.061969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392686,0,0.0114413,0.0802873,0,0,0.0129126,0,0,0.0401018,0.0664004,0.0375839,0.0129772,0.0967609,0.0232934,0.0430844,0.0846076,0,0.0490777,0.0501449,0.0249512,0.033829,0.00514714,0.0388913,0.0118443,0.015487,0.0468489,0,0.0191451,0.0492588,0.0485591,0,0,0.0122372,0,0,0.0311733,0.108078,0.0226016,0.0341862,0.0302637,0.0972351,0.0441863,0.0446701,0.0505119,0.0728483,0.0665944,0.028832,0.0289616,0.0170389,0.0401578,0.0145702,0.0476078,0.0084136,0.0164371,0.0409543,0.061435,0,0,0,0,0,0,0
25,0.0282258,0.0622281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393747,0,0.0112878,0.0789323,0,0,0.0127084,0,0,0.0404605,0.0646594,0.036619,0.013902,0.0954074,0.0230455,0.0430703,0.0837318,0.0306935,0.0483629,0.0508716,0.0252373,0.032557,0.00566387,0.0388583,0.0117522,0.0150319,0.0471571,0,0.019259,0.0482834,0.0482803,0,0,0.0122049,0,0,0.0314446,0.107704,0.0222708,0.0343064,0.0300766,0.096442,0.0441385,0.0444899,0.0503785,0.07263,0.0662284,0.0289037,0.0291939,0.0173363,0.0400302,0.0142213,0.0472944,0.00846677,0.0161516,0.0413401,0.0609802,0,0,0,0,0,0,0
26,0.0282608,0.062268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390778,0,0.0112969,0.0788594,0,0,0.0127058,0,0,0.0404992,0.0648248,0.0364548,0.0139501,0.0954438,0.0230957,0.0428246,0.0836482,0.0302765,0.0482827,0.0508791,0.0252981,0.0322216,0.00540707,0.0389008,0.0118106,0.0150811,0.0473809,0,0.019173,0.0482899,0.0482495,0,0,0.0122476,0,0,0.0315902,0.107649,0.0224112,0.0343252,0.0301684,0.0964147,0.0440218,0.0444793,0.0504241,0.0727108,0.0663679,0.0288874,0.0291314,0.0172985,0.040021,0.0142384,0.0472168,0.008485,0.0160898,0.0413316,0.0610573,0,0,0,0,0,0,0
27,0.0282851,0.0622881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387931,0,0.0112938,0.0788494,0,0,0.0126648,0,0,0.0405277,0.0650691,0.0362618,0.0139907,0.0955193,0.0231561,0.0427302,0.0835777,0.0297168,0.0484237,0.0507955,0.0252871,0.0320474,0.00513284,0.038925,0.0118299,0.0151567,0.0475765,0,0.0191007,0.048322,0.048251,0,0,0.0123254,0,0,0.0317072,0.107547,0.0225564,0.0342121,0.0302556,0.0964371,0.0439306,0.0445652,0.0504975,0.0727861,0.0664159,0.0288581,0.0290674,0.0172562,0.0400108,0.0142194,0.0471151,0.00850001,0.0160073,0.0413233,0.0611383,0,0,0,0,0,0,0
28,0.0283221,0.0623162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384347,0,0.0113364,0.0788148,0,0,0.0126384,0,0,0.0404638,0.0654697,0.0361022,0.0139992,0.0955873,0.0232445,0.0434196,0.0835744,0.0299132,0.048279,0.0507095,0.0251564,0.0319266,0.00496161,0.0388777,0.0117038,0.0152202,0.0477534,0,0.0190118,0.0482781,0.0482443,0,0,0.0122314,0,0,0.0317756,0.10749,0.0227098,0.034186,0.0303803,0.0964882,0.0438728,0.0446054,0.0505578,0.0728564,0.0664089,0.0288394,0.0289942,0.0172186,0.040029,0.0141744,0.0470303,0.00859003,0.0159034,0.0413025,0.0612044,0,0,0,0,0,0,0
29,0.028577,0.0621874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373467,0,0.0110756,0.0813914,0,0,0.0127158,0,0,0.0401794,0.0670205,0.0368422,0.0131182,0.0978835,0.0236687,0.0441131,0.0847143,0,0.0480021,0.0500765,0.024813,0.0327465,0.00443551,0.0388003,0.0116061,0.0156737,0.0494904,0,0.018304,0.0509017,0.0485569,0,0,0.0121058,0,0,0.0317317,0.11066,0.0239567,0,0.0317999,0.0990893,0.0440878,0.0465341,0.0510079,0.0742714,0.0691238,0.0287742,0.0285539,0.0169388,0.0403281,0.0157783,0.0469722,0.00867731,0.0160238,0.0406628,0.0626721,0,0,0,0,0,0,0
30,0.0284528,0.0623096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379711,0,0.0114627,0.0790075,0,0,0.0125829,0,0,0.0404203,0.0665112,0.0358262,0.0142188,0.0958098,0.0233955,0.0441309,0.0834568,0.0297979,0.0479927,0.0505018,0.0249795,0.0318673,0.00467248,0.038717,0.0115748,0.0153712,0.0481357,0,0.0188594,0.0481206,0.0481361,0,0,0.0119038,0,0,0.0317149,0.107324,0.0228486,0.0342347,0.0304686,0.096603,0.043783,0.0444664,0.0506507,0.0729665,0.0664647,0.0288814,0.0289517,0.0172052,0.0400528,0.0143141,0.0469821,0.00878022,0.0157104,0.041213,0.0612399,0,0,0,0,0,0,0
31,0.028487,0.0623123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378599,0,0.011482,0.0789882,0,0,0.0125439,0,0,0.0403764,0.0672881,0.0355976,0.0143142,0.0959416,0.0235026,0.0446111,0.083297,0.0292487,0.0482181,0.0504456,0.0249033,0.0318524,0.00426063,0.0388438,0.011557,0.0154533,0.0481602,0,0.0188457,0.0480386,0.0481108,0,0,0.0118495,0,0,0.0317409,0.107202,0.0229789,0.0341757,0.0303977,0.0966584,0.0437227,0.0445851,0.0507232,0.0730511,0.0667302,0.0288571,0.0289902,0.0171898,0.0400089,0.0142506,0.0469738,0.00879748,0.0156536,0.0412209,0.0612434,0,0,0,0,0,0,0
32,0.0285323,0.062259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037643,0,0.0115405,0.0788195,0,0,0.0124807,0,0,0.0402621,0.0678059,0.0353552,0.0144186,0.0960719,0.0235583,0.0445875,0.0831635,0.0284884,0.0485346,0.0504199,0.0247025,0.0317596,0.00385932,0.0388565,0.0115178,0.0155799,0.048222,0,0.0188046,0.0480797,0.0481039,0,0,0.0118805,0,0,0.0318383,0.107076,0.0231081,0.0341845,0.0302604,0.0967146,0.0435893,0.0447425,0.0507428,0.0730997,0.0672817,0.0288428,0.0289906,0.0171989,0.0400272,0.0143204,0.0469802,0.00873191,0.0156592,0.0411642,0.0613022,0,0,0,0,0,0,0
33,0.0285112,0.0620647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371562,0,0.0118472,0.079924,0,0,0.0126081,0,0,0.0398243,0.0691802,0.0361463,0.0131962,0.0973738,0.0237931,0.0441078,0.0838121,0,0.0476033,0.0495488,0.0242464,0.0324617,0.00306158,0.0387622,0.0115652,0.0160573,0.0481045,0,0.0185216,0.0488724,0.0482483,0,0,0.0117536,0,0,0.031809,0.10725,0.0236808,0.0345549,0.0303126,0.0973762,0.0433354,0.0449299,0.0508798,0.0733962,0.06771,0.0288431,0.0287127,0.0170251,0.0401606,0.0145934,0.0472153,0.00867349,0.0157486,0.0408296,0.0617001,0,0,0,0,0,0,0
34,0.029025,0.0623451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339609,0,0.00993626,0.0796173,0,0,0.0116967,0,0,0.0409062,0.0708124,0.0336072,0.0150331,0.0987372,0.0239728,0.0410704,0.0816473,0,0,0.0518867,0.0276111,0.0352429,0.00396925,0.038265,0.0105453,0.0150551,0.0493945,0,0.0180876,0.0503092,0.0482718,0,0,0.0117988,0,0,0.0322738,0.106826,0.0242294,0.0370522,0.0299732,0.099011,0.0438014,0.0443197,0.0508336,0.0732617,0.0669832,0.0289614,0.0292082,0.0173685,0.0406472,0.0167114,0.0461611,0.00837775,0.0162796,0.0408123,0.0626668,0,0,0,0,0,0,0
