Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LTIB,FTL,LGTR,,LILC,x77
19,0.0280601,0.0594095,0,0,0,0,0,0,0,0,0,0,0,0,0.0296133,0,0.023329,0.0465706,0,0.00985068,0,0,0.0408073,0.0215019,0.0269655,0.0605399,0.0362721,0.0554784,0.0767899,0,0.0851831,0.0633619,0.0359043,0.0359915,0.012354,0.0386248,0.0120975,0.0197965,0.0221132,0,0.0249793,0.0493197,0.0460484,0,0,0.011712,0,0,0.0328455,0.0732521,0.0151719,0.0196237,0.0248689,0.0550434,0.040919,0.031517,0.0589038,0.0650917,0.0398826,0.0256094,0.0303297,0.0151639,0.0342179,0.0206914,0.0459479,0.0111026,0.0145493,0.0510663,0.0478535,0,0,0,0,0.0599966,0,0.0562751,0,0,0
20,0.0281109,0.0594322,0,0,0,0,0,0,0,0,0,0,0,0,0.0300121,0,0.0233052,0.0463645,0,0.00987634,0,0,0.0408367,0.021592,0.0268677,0.0606758,0.036341,0.0555885,0.0769834,0,0.0848439,0.0633484,0.0357055,0.0358952,0.0120408,0.0385239,0.0121176,0.0198033,0.0221749,0,0.0249817,0.0493101,0.0460593,0,0,0.0116531,0,0,0.0327906,0.0732674,0.0151611,0.0197698,0.0248822,0.0549917,0.0408466,0.0314928,0.0589282,0.0651046,0.0399132,0.0255804,0.0303173,0.015145,0.0341924,0.0206757,0.0458989,0.0111414,0.014653,0.051005,0.0478972,0,0,0,0,0.0610129,0,0.0562592,0,0,0
21,0.0281562,0.0594087,0,0,0,0,0,0,0,0,0,0,0,0,0.0301954,0,0.0233234,0.0448367,0,0.0100809,0,0,0.0407693,0.0215743,0.0268689,0.0593368,0.0357711,0.0554862,0.0768986,0,0.0850788,0.0635274,0.0355735,0.0359094,0.0117215,0.0383851,0.0121503,0.0196467,0.0212205,0,0.0248519,0.0521478,0.0463758,0,0,0.0117819,0,0,0.0328632,0.0719261,0.0157462,0,0.0246552,0.0555692,0.0414031,0.0322803,0.0600045,0.065455,0.0393958,0.0251068,0.0298605,0.0146457,0.0336101,0.0220557,0.0456223,0.0109933,0.0149505,0.051546,0.0471472,0,0,0,0,0.0609283,0,0.05663,0,0,0
22,0.0282279,0.0593207,0,0,0,0,0,0,0,0,0,0,0,0,0.0301613,0,0.0230013,0.0459041,0,0.00997257,0,0,0.0407648,0.0212812,0.0266344,0.0608833,0.0361334,0.0555853,0.0771378,0,0.0847856,0.0635794,0.0355681,0.036076,0.0118855,0.0383623,0.0120724,0.0197679,0.0222394,0,0.0250015,0.049243,0.0460516,0,0,0.0117495,0,0,0.032869,0.0732608,0.0151451,0.0197204,0.0248702,0.0549609,0.0409721,0.0314101,0.0589891,0.0650798,0.0399053,0.0255432,0.0302917,0.0150242,0.0340916,0.0207531,0.0459304,0.0111128,0.0146181,0.0509359,0.0480332,0,0,0,0,0.0598671,0,0.0564881,0,0,0
23,0.0282623,0.0592682,0,0,0,0,0,0,0,0,0,0,0,0,0.0298654,0,0.0229264,0.0457465,0,0.0100725,0,0,0.0406754,0.0212052,0.026507,0.0610222,0.0360298,0.0555269,0.0771546,0,0.0851657,0.0635032,0.0355922,0.0361625,0.012086,0.0382514,0.012033,0.0197202,0.0223378,0,0.0249299,0.0492699,0.046073,0,0,0.0117113,0,0,0.0328686,0.0732827,0.0151518,0.0193964,0.0248952,0.0549602,0.0410483,0.0313877,0.0590141,0.0650746,0.0398945,0.0254616,0.0302668,0.0149827,0.0340372,0.0207048,0.0458482,0.0110459,0.0146662,0.050917,0.048097,0,0,0,0,0.0595648,0,0.0566688,0,0,0
24,0.0283061,0.0592325,0,0,0,0,0,0,0,0,0,0,0,0,0.0299203,0,0.0230168,0.0441714,0,0.0103059,0,0,0.0406249,0.0210883,0.0267025,0.0597742,0.0353637,0.0553383,0.0769143,0,0.0876559,0.0636935,0.0357144,0.0363191,0.011947,0.0381246,0.0120817,0.0195425,0.0213282,0,0.0247188,0.052177,0.0463807,0,0,0.0118599,0,0,0.0328415,0.0718629,0.0157552,0,0.0246764,0.0554898,0.0415972,0.0321297,0.060079,0.0654271,0.0393306,0.0249608,0.0297948,0.0145142,0.0334796,0.0221228,0.04547,0.0108495,0.0150359,0.0514514,0.0473987,0,0,0,0,0.0596663,0,0.0572965,0,0,0
25,0.0283636,0.0591616,0,0,0,0,0,0,0,0,0,0,0,0,0.0298596,0,0.0227757,0.0454541,0,0.0102801,0,0,0.0406749,0.0208991,0.0266085,0.061266,0.0355378,0.0554264,0.0771033,0,0.0879353,0.063621,0.0357238,0.0363611,0.012157,0.0381186,0.012093,0.0196161,0.0225011,0,0.0248258,0.0493432,0.0461201,0,0,0.0117852,0,0,0.0327041,0.0730775,0.0151617,0.0186985,0.024894,0.0550529,0.0410769,0.0313867,0.0591009,0.0651387,0.0399247,0.0253431,0.0301878,0.0148732,0.0339613,0.0206166,0.0456872,0.0110865,0.014797,0.0508019,0.0482441,0,0,0,0,0.0596689,0,0.0570628,0,0,0
26,0.0285395,0.059228,0,0,0,0,0,0,0,0,0,0,0,0,0.0289654,0,0.0225659,0.0469528,0,0.0103498,0,0,0.0405653,0.0220076,0.0256752,0.0617827,0.035533,0.0556566,0.0779218,0,0.070142,0.06181,0.0343171,0.0349463,0.0128331,0.0382053,0.0120483,0.0195268,0.02317,0,0.0247485,0.0497636,0.0460941,0,0,0.0116291,0,0,0.032635,0.0732832,0.0152278,0.0186169,0.0247605,0.0549398,0.040648,0.0316385,0.0589838,0.0653015,0.0403869,0.0252382,0.0302483,0.0148408,0.03396,0.0199857,0.0460251,0.0112998,0.0145334,0.0507427,0.0481584,0,0,0,0,0.0580027,0,0.0559308,0,0,0
27,0.0284617,0.0591627,0,0,0,0,0,0,0,0,0,0,0,0,0.0216876,0,0.0218544,0.0458486,0,0.0104165,0,0,0.0405686,0.0177622,0.0269395,0.0616305,0.0355928,0.0526194,0.076041,0,0.0252033,0.0641813,0,0.0389944,0.0188345,0.0379341,0.0119051,0.0196093,0.0231971,0,0.0248091,0.0493293,0.0461009,0,0,0.011791,0,0,0.0328337,0.0732235,0.0150507,0.0189406,0.0248423,0.0553707,0.0412831,0.0314607,0.0586759,0.0652352,0.0402836,0.025307,0.0302367,0.0148669,0.0340667,0.0199386,0.0456719,0.0110927,0.0148193,0.0505977,0.0484491,0,0,0,0,0,0,0.0573619,0,0,0
28,0.0288001,0.0592639,0,0,0,0,0,0,0,0,0,0,0,0,0.0259208,0,0.0238908,0.0492971,0,0.0104958,0,0,0.0404728,0.0241003,0.0284255,0.0626743,0.0354294,0.057126,0.0783503,0.0577519,0.0186194,0.0584892,0.0317514,0.0305762,0.0146115,0.0382032,0.0119408,0.0194845,0.0244706,0,0.0246825,0.0498053,0.0459698,0,0,0.0114457,0,0,0.032728,0.0740407,0.0151133,0.0195636,0.0246879,0.0550591,0.0403752,0.0319404,0.0585651,0.0654732,0.0411613,0.0252229,0.0303433,0.0148963,0.034102,0.0186449,0.0463273,0.0113276,0.014291,0.0505014,0.0482035,0,0,0,0,0.0554131,0,0.0548076,0,0,0
