Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x74,x75,x76,RWRA,,x77,LILC
185,0.0393693,0.0488743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424567,0,0.0143447,0.0391707,0,0,0.0162004,0,0,0.0374894,0.0587814,0.0350483,0.019024,0.066414,0.0348243,0.0787138,0.0950253,0.0304851,0,0.0575924,0.0609401,0.0330178,0.0362739,0.017059,0.0401638,0.0109096,0.0223856,0.0166582,0,0.0272273,0.0627526,0.0475807,0,0,0.0171244,0,0,0.0285339,0.0688746,0.0341035,0.0207111,0.0267441,0.0486544,0.040902,0.0325803,0.0580504,0.0624479,0.0387493,0.0281025,0.0228968,0.0145555,0.032754,0.0255729,0.0440573,0.0129771,0.0422427,0.0569584,0,0,0,0.0123531,0,0,0.0441312
186,0.0389492,0.049128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443745,0,0.0147287,0.0396258,0,0,0.0162196,0,0,0.0375139,0.0589157,0.0347382,0.0189536,0.0663147,0.0348776,0.07874,0.0945157,0.0312766,0,0.0573372,0.0606479,0.0328087,0.0358746,0.0143891,0.0401425,0.0109237,0.0223731,0.0183886,0,0.0266712,0.0623132,0.04772,0,0,0.0171208,0,0,0.0292311,0.0692973,0.0350672,0.0207843,0.0269186,0.0489235,0.0404498,0.032548,0.0579996,0.062434,0.0386307,0.0282153,0.0236636,0.0156399,0.032501,0.024909,0.0439493,0.0135705,0.0423755,0.0568333,0,0,0,0.0122739,0,0,0.0442183
187,0.038588,0.0494113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462163,0,0.0151315,0.0400251,0,0,0.0162828,0,0,0.0375327,0.0590002,0.0344853,0.0191252,0.0661488,0.0349086,0.0786861,0.0939326,0.0320822,0,0.0571471,0.0603517,0.0326528,0.0354566,0.0121615,0.0401636,0.0109478,0.0223379,0.0201323,0,0.0265178,0.0618866,0.0478914,0,0,0.0173367,0,0,0.0301282,0.0697156,0.0359923,0.0208566,0.0270504,0.04919,0.0397497,0.032476,0.0579137,0.0624318,0.0385301,0.0283774,0.0243735,0.0166336,0.0323026,0.024446,0.0437085,0.0141594,0.0424813,0.0564762,0,0,0,0.0123086,0,0,0.0442938
188,0.0378009,0.0498093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454886,0,0.0139874,0.0405109,0,0,0.0166438,0,0,0.0374358,0.0589704,0.0340376,0.0194004,0.0652575,0.0349278,0.0777388,0.092457,0.0336121,0,0.0577257,0.0608649,0.0332371,0.0355793,0.01417,0.0400261,0.0110425,0.022359,0.0186705,0,0.0298998,0.0616582,0.048287,0,0,0.016988,0,0,0.0309819,0.0698234,0.032741,0.0219708,0.0282957,0.0496636,0.039596,0.0321398,0.0582535,0.0630658,0.0389273,0.027933,0.0207483,0.01155,0.0332368,0.0214484,0.0435288,0.0140291,0.0428379,0.05586,0,0,0,0.0126977,0,0,0.0440322
189,0.0374591,0.0500997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463783,0,0.0143447,0.0408181,0,0,0.0166666,0,0,0.0374726,0.05891,0.0338905,0.0201032,0.0649526,0.03501,0.077438,0.091751,0.03425,0,0.0576716,0.0607759,0.0332535,0.0352834,0.013149,0.0400617,0.0110423,0.0223439,0.0192465,0,0.0294241,0.061289,0.0484233,0,0,0.0169886,0,0,0.0308903,0.0701591,0.0326492,0.0221889,0.0285415,0.0498002,0.0390451,0.0320041,0.0581137,0.0631234,0.0389361,0.0280549,0.0205335,0.0114061,0.0333179,0.0207674,0.043227,0.0138561,0.0429666,0.0556099,0,0,0,0.0129811,0,0,0.0439933
190,0.0372146,0.0503471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467831,0,0.0148366,0.0410954,0,0,0.0167059,0,0,0.0375011,0.0588202,0.0338497,0.0210486,0.0646744,0.0350906,0.0771078,0.0910772,0.0347781,0,0.0575493,0.0606666,0.0333403,0.0349335,0.0124212,0.0400709,0.011077,0.0222281,0.0198051,0,0.0290894,0.060998,0.0485219,0,0,0.0168408,0,0,0.0303839,0.0704781,0.0325042,0.0224151,0.0288699,0.0498916,0.0385899,0.0318341,0.0579542,0.0631203,0.0389093,0.0282011,0.0203696,0.0113152,0.0333486,0.0201471,0.043133,0.0137031,0.0430834,0.0554332,0,0,0,0.0131256,0,0,0.0439255
191,0.0370396,0.0505105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467804,0,0.0152255,0.0413314,0,0,0.0167107,0,0,0.0375784,0.0586696,0.0338652,0.0220247,0.0644273,0.0351339,0.0766912,0.0904568,0.0353442,0,0.0571112,0.0605249,0.0334004,0.034517,0.0120316,0.0400489,0.011123,0.0221208,0.0202722,0,0.0288347,0.060736,0.0486305,0,0,0.0169315,0,0,0.0303449,0.0708088,0.0323151,0.022635,0.0292362,0.0498948,0.0381753,0.031626,0.0577716,0.0630895,0.0389084,0.0282227,0.0202326,0.0112025,0.0333119,0.0195837,0.0431717,0.0137383,0.0431826,0.0552691,0,0,0,0.0131536,0,0,0.0438097
192,0.0368839,0.0506006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466526,0,0.015517,0.0415253,0,0,0.0166216,0,0,0.0375586,0.0584788,0.033902,0.0230129,0.0642163,0.0351776,0.0761529,0.089814,0.0357223,0,0.0568348,0.0603928,0.033439,0.0340928,0.0116945,0.040062,0.0110588,0.0220852,0.0207329,0,0.0288679,0.0604583,0.0487189,0,0,0.0172084,0,0,0.0307595,0.0711831,0.0320099,0.0228323,0.029281,0.049797,0.0377558,0.0314014,0.0575925,0.0630326,0.0389179,0.0282648,0.0200901,0.0111397,0.0333202,0.0190129,0.0431677,0.0138993,0.0432594,0.0550832,0,0,0,0.0131813,0,0,0.0436605
193,0.0367839,0.0506058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467204,0,0.0157403,0.0416689,0,0,0.0165483,0,0,0.0375653,0.0583284,0.0339684,0.0239734,0.0640399,0.0352333,0.075513,0.0891652,0.0358178,0,0.0567346,0.0602799,0.0335249,0.0336994,0.0113554,0.040081,0.0110283,0.0220634,0.0211363,0,0.0287852,0.0601916,0.0488093,0,0,0.0173154,0,0,0.0307686,0.0715704,0.0316548,0.0229949,0.0292835,0.0496671,0.0373591,0.0312581,0.0574268,0.0629377,0.0387674,0.0283374,0.0199727,0.0112217,0.0333877,0.0184414,0.0431856,0.0137987,0.0433325,0.0548918,0,0,0,0.0133535,0,0,0.0434824
194,0.0367482,0.0505445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472027,0,0.0158522,0.0417988,0,0,0.0164372,0,0,0.0376121,0.0582141,0.0339415,0.0248629,0.0639229,0.035406,0.0748071,0.0886045,0.0361472,0,0.0566493,0.0602279,0.033686,0.0333693,0.0111056,0.0401285,0.01108,0.0220105,0.0214265,0,0.0286145,0.0599529,0.0488629,0,0,0.0174284,0,0,0.0306286,0.0719251,0.0312776,0.0231495,0.029283,0.049545,0.0369588,0.0311183,0.0572235,0.0628065,0.0386293,0.0284051,0.0199742,0.0114591,0.0334938,0.0179411,0.0432891,0.0136141,0.0433852,0.0547246,0,0,0,0.0136604,0,0,0.0432877
