Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,x80,LILC
432,0.022706,0.0596775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438176,0,0.0134957,0.0420973,0,0,0.00943551,0,0,0.0398032,0.0510893,0.0271447,0.0150636,0.0648066,0.0440761,0.0714124,0,0.0649867,0.0305743,0.0524388,0.0557917,0.0266264,0.0360148,0.00272166,0.0408885,0.0120767,0.0201016,0.0306897,0,0.0208294,0.0519051,0.0472656,0,0,0.0219646,0,0,0.0217887,0.0828661,0.0196072,0.0200793,0.0260449,0.0466456,0.043806,0.024501,0.0485835,0.056446,0.034914,0.0277724,0.027335,0.0170878,0.0362467,0.0156396,0.0433354,0,0.0153314,0.0500732,0.0448608,0,0,0,0,0,0.0333535
433,0.0226265,0.0596816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431169,0,0.013269,0.0426693,0,0,0.0094196,0,0,0.0398417,0.0510934,0.0265072,0.0154492,0.0658826,0.0438069,0.0719827,0,0.0643881,0.0309333,0.0528493,0.0560778,0.0266748,0.0359198,0.00324482,0.0407224,0.0120455,0.0202834,0.0302677,0,0.020189,0.0517918,0.0473202,0,0,0.0225852,0,0,0.0217602,0.082435,0.0201001,0.0198955,0.0256585,0.0467716,0.0457294,0.0241374,0.0490032,0.0568119,0.0349794,0.0274377,0.0274376,0.0171213,0.0358981,0.0161911,0.0432827,0,0.0156651,0.0503048,0.0448818,0,0,0,0,0,0.0341807
434,0.0219611,0.0602905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420252,0,0.0127761,0.0433905,0,0,0.00967251,0,0,0.0398604,0.0511977,0.0260032,0.0160015,0.0667223,0.0437065,0.0721099,0,0.0636517,0.030571,0.053039,0.0563468,0.0267819,0.0356686,0.00423613,0.0406723,0.011915,0.020408,0.0300027,0,0.0196623,0.0516164,0.0476386,0,0,0.0292738,0,0,0.0174145,0.0819852,0.0204221,0.0199107,0.0253744,0.0469705,0.0481215,0.0239995,0.0494701,0.0571588,0.0345134,0.0271563,0.0276273,0.0172101,0.035535,0.0168553,0.0435781,0,0.0130019,0.0507469,0.0447171,0,0,0,0,0,0.0348384
435,0.0214919,0.0604801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404468,0,0.0124798,0.0438146,0,0,0.0096901,0,0,0.039932,0.0513189,0.0259507,0.0163625,0.0675185,0.0434595,0.0718965,0,0.0631285,0.0295937,0.0527126,0.0560764,0.0265702,0.0350457,0.00570806,0.0404496,0.0119214,0.0204621,0.0296086,0,0.019216,0.05137,0.0480017,0,0,0.0295868,0,0,0.017283,0.0817883,0.0208433,0.0196017,0.0250699,0.0473809,0.0498207,0.0240017,0.0499132,0.0575364,0.0342788,0.0268989,0.0280254,0.017303,0.0351466,0.0177009,0.0437091,0,0.01277,0.0507428,0.0448912,0,0,0,0,0,0.0353939
436,0.02114,0.0607555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386199,0,0.0124204,0.0436738,0,0,0.00973565,0,0,0.0400165,0.0514839,0.0262724,0.0165222,0.0679535,0.0431822,0.071508,0,0.0630154,0.0282246,0.0520674,0.0554771,0.0261092,0.0342109,0.0073674,0.0401267,0.0118003,0.020597,0.0293076,0,0.0188051,0.0511994,0.0482871,0,0,0.0298436,0,0,0.0174524,0.0813861,0.0214246,0.0193107,0.0248986,0.0479805,0.0519551,0.0239304,0.0503442,0.0578845,0.0341634,0.0265421,0.0285835,0.0173737,0.0347491,0.0189347,0.0439487,0,0.0128114,0.0507288,0.0451403,0,0,0,0,0,0.0357779
437,0.020816,0.0611129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369482,0,0.0124397,0.0429882,0,0,0.00981605,0,0,0.0401306,0.0516242,0.0268245,0.0166503,0.0682989,0.0430124,0.0710368,0,0.0633237,0.0264828,0.051467,0.0548975,0.0256299,0.0334751,0.0090796,0.0396695,0.011651,0.0208681,0.0290248,0,0.0182477,0.0511693,0.0485875,0,0,0.03036,0,0,0.0177354,0.0806735,0.021992,0.0189833,0.0247102,0.0486812,0.0542977,0.023818,0.050713,0.0580297,0.0339642,0.0262073,0.0286555,0.0176408,0.0342582,0.0205398,0.044501,0,0.0129157,0.0507207,0.0454239,0,0,0,0,0,0.0360824
438,0.0204833,0.0614068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355911,0,0.0122682,0.0419152,0,0,0.00996229,0,0,0.0402705,0.0517718,0.027424,0.0169689,0.0686575,0.0430142,0.0706335,0,0.0637699,0.0246661,0.0510527,0.0545587,0.0253353,0.0331129,0.0106303,0.0391318,0.0115629,0.021222,0.0287394,0,0.0176155,0.0512368,0.0488691,0,0,0.0310968,0,0,0.0181009,0.079656,0.0226324,0.0187005,0.0242704,0.0494062,0.0566438,0.0239655,0.0511058,0.0583301,0.0340033,0.0258328,0.0286339,0.0178604,0.0337647,0.0225628,0.0453762,0,0.0131111,0.0506556,0.0456899,0,0,0,0,0,0.0364409
439,0.0201046,0.0615248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345859,0,0.0121265,0.0409201,0,0,0.0102075,0,0,0.0404477,0.0519651,0.0278273,0.0173815,0.069013,0.0432532,0.0704173,0,0.0640817,0.0232428,0.0507979,0.0544129,0.0251904,0.0330708,0.0117605,0.0386053,0.0115283,0.0216005,0.0286396,0,0.0170846,0.0512849,0.0491587,0,0,0.0317932,0,0,0.0185618,0.0788191,0.0232029,0.0184629,0.0237792,0.0499988,0.0590167,0.0246893,0.0516626,0.058761,0.0339901,0.0253822,0.0286721,0.0178695,0.0332253,0.0249959,0.0459021,0,0.0133529,0.0505425,0.0457983,0,0,0,0,0,0.0369596
440,0.019788,0.0614696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340865,0,0.0121549,0.040377,0,0,0.0104909,0,0,0.0406975,0.0520289,0.0283505,0.0177829,0.0693776,0.0436769,0.070476,0,0.0641598,0.0223555,0.0506805,0.0543058,0.0249842,0.0330542,0.0121593,0.0381616,0.0115579,0.0220094,0.0286632,0,0.0166766,0.0510224,0.0493867,0,0,0.0324042,0,0,0.0189937,0.0783709,0.0237643,0.0180946,0.0234713,0.0504806,0.0615194,0.025046,0.0523873,0.0592528,0.0339634,0.0253555,0.0283993,0.0176812,0.0326354,0.0278681,0.046278,0,0.013588,0.0504088,0.0455942,0,0,0,0,0,0.0376847
441,0.0195499,0.0615016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034188,0,0.0125077,0.0403371,0,0,0.0113178,0,0,0.0407671,0.051527,0.0288008,0.0179879,0.0697694,0.0444821,0.0706748,0,0.0639669,0.0220564,0.0505367,0.0540961,0.0245951,0.0329397,0.0117654,0.0376885,0.0120196,0.0218528,0.0288349,0,0.0163523,0.0505743,0.0494896,0,0,0.0329935,0,0,0.0193487,0.0785001,0.0244744,0.0176084,0.0231882,0.0508413,0.0639877,0.0256581,0.0534431,0.0598429,0.0335783,0.0252034,0.02804,0.0178346,0.0319456,0.0311732,0.0466683,0,0.0137813,0.0503046,0.0454548,0,0,0,0,0,0.0383319
