Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTIB
771,0.0323834,0.0541085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269569,0,0.0240387,0.0590612,0,0,0.0063911,0,0,0.0417884,0.0554997,0.0309197,0,0.0265931,0.0551285,0.0418405,0.0489058,0.0712311,0.0542527,0.0164895,0.0593459,0.0314315,0.0312002,0.0182551,0.0409641,0.0112429,0.0202805,0.0204142,0,0.0232125,0.045762,0.0426875,0,0,0.00827585,0,0,0.0329045,0.0777442,0.0168682,0.0154743,0.0315382,0.0508835,0.0364414,0.0307768,0.0603677,0.0612049,0.0392787,0.0234173,0.0315364,0.0134647,0.0318865,0.0229377,0.0499978,0.00942228,0.0153287,0.0477104,0.0502329,0,0,0,0.0558668
772,0.0323931,0.0541135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269867,0,0.0240225,0.0591042,0,0,0.0062668,0,0,0.0418224,0.0554988,0.0309446,0,0.0265785,0.0552282,0.0418408,0.048922,0.071228,0.0542363,0.0164769,0.0593385,0.031423,0.0311898,0.0182301,0.0410169,0.0111654,0.0204116,0.0205438,0,0.0232055,0.0457116,0.0426357,0,0,0.0082295,0,0,0.0330336,0.077748,0.0169037,0.0152704,0.0315361,0.0511446,0.036438,0.0307366,0.0603518,0.0611937,0.0391126,0.0234471,0.0315021,0.0134285,0.0319115,0.0228824,0.0499909,0.0093565,0.0154515,0.0476958,0.0502709,0,0,0,0.0558541
773,0.0324744,0.0541757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269805,0,0.0240142,0.0591326,0,0,0.00616559,0,0,0.041871,0.055478,0.0309877,0,0.0265696,0.0553269,0.0417551,0.0489317,0.0712129,0.0542115,0.0164687,0.0593317,0.0314308,0.0311694,0.0182325,0.0410587,0.0110801,0.0205511,0.0206347,0,0.0231907,0.0456752,0.0426128,0,0,0.0081804,0,0,0.0330146,0.0777644,0.0169205,0.0151401,0.0315725,0.0511095,0.0364599,0.0307372,0.0603308,0.0611862,0.038883,0.0234715,0.0314784,0.0134015,0.0319181,0.022858,0.0499756,0.00930325,0.0155162,0.0477244,0.0502925,0,0,0,0.0558491
774,0.0325433,0.0542295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269537,0,0.0240344,0.0591074,0,0,0.00611529,0,0,0.041928,0.0554699,0.0310005,0,0.0266076,0.0553441,0.0416772,0.0489506,0.0712205,0.0541947,0.0164766,0.0593323,0.031424,0.0311673,0.0182352,0.0410905,0.0110466,0.0206474,0.0206687,0,0.023195,0.0456872,0.0426271,0,0,0.00816079,0,0,0.0330148,0.0777703,0.0169406,0.0152229,0.0315785,0.0509634,0.0364914,0.0307779,0.0603371,0.0612002,0.038948,0.0234939,0.0314808,0.0133911,0.0319051,0.0228636,0.0499638,0.00926872,0.01556,0.047762,0.0502656,0,0,0,0.0558453
775,0.0325974,0.0542453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269555,0,0.0240482,0.0590899,0,0,0.00608398,0,0,0.0419953,0.0555134,0.0310314,0,0.0266233,0.0553512,0.0416669,0.0489645,0.0712238,0.0542197,0.0164922,0.0593024,0.0313955,0.0311658,0.0182099,0.0411219,0.0110309,0.0207317,0.0207316,0,0.0231949,0.0456909,0.0426355,0,0,0.0081764,0,0,0.0330774,0.0777843,0.0169623,0.0150373,0.0316018,0.0510873,0.0365006,0.0307615,0.0603247,0.0611913,0.0390217,0.0235129,0.0314752,0.0134114,0.0319423,0.02282,0.0499625,0.00927566,0.0155848,0.0477689,0.0503167,0,0,0,0.0558056
776,0.0326363,0.0542391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026953,0,0.0240524,0.0590798,0,0,0.00602757,0,0,0.0419838,0.0555387,0.0310061,0,0.0266077,0.0553508,0.0416731,0.0489593,0.0712191,0.0541932,0.0165131,0.0592837,0.0313763,0.0312107,0.0181896,0.0411564,0.0110074,0.0207826,0.0207811,0,0.0231935,0.0457048,0.0426434,0,0,0.00815954,0,0,0.0330526,0.0777971,0.0170119,0.014913,0.0316606,0.0512292,0.0365298,0.0307503,0.0603215,0.0611848,0.0390178,0.0235189,0.0314366,0.0133917,0.0319656,0.0227847,0.0499674,0.00927244,0.0155948,0.0477788,0.0503717,0,0,0,0.0557441
777,0.0326741,0.0542319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269161,0,0.0240472,0.059055,0,0,0.00602299,0,0,0.0420151,0.0555292,0.0309837,0,0.0266049,0.0553548,0.0416757,0.048973,0.0711901,0.0541582,0.0165278,0.0592826,0.0313616,0.0312394,0.0181693,0.0411731,0.0110121,0.0208246,0.0208002,0,0.0232103,0.0456988,0.0426648,0,0,0.00813358,0,0,0.0330706,0.0778198,0.0170399,0.0149331,0.031657,0.051224,0.0365427,0.0307638,0.060327,0.0611596,0.0390407,0.0235456,0.0313891,0.0133728,0.0319744,0.0227706,0.0499913,0.0092513,0.0156093,0.0477567,0.0503838,0,0,0,0.0556442
778,0.0327041,0.054213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026887,0,0.0240516,0.0590182,0,0,0.00603647,0,0,0.0419957,0.0555221,0.0309911,0,0.0266008,0.055334,0.0416354,0.0490077,0.0711772,0.0541491,0.0165338,0.0592756,0.0313659,0.0312321,0.0181709,0.0411779,0.0110595,0.0208004,0.0208096,0,0.023222,0.045721,0.0426889,0,0,0.00808472,0,0,0.0330213,0.0778147,0.0170782,0.015005,0.0316258,0.05117,0.0365393,0.0307565,0.0603498,0.0611548,0.0390394,0.0235537,0.0313513,0.0133519,0.0319749,0.0227845,0.0499711,0.009216,0.015621,0.0477508,0.0503664,0,0,0,0.0556166
779,0.0327054,0.0541926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026866,0,0.0240584,0.0589773,0,0,0.00599076,0,0,0.0419826,0.0554968,0.0309644,0,0.0266137,0.0553467,0.0415578,0.0490598,0.0711934,0.0541444,0.0165237,0.0592494,0.0313808,0.0312089,0.0181639,0.0412085,0.0110663,0.0208147,0.0207955,0,0.0232032,0.0457437,0.0427181,0,0,0.00807944,0,0,0.0331125,0.0778015,0.0170893,0.01508,0.0316003,0.0509908,0.0365637,0.0307803,0.0603808,0.0611568,0.0390078,0.0235469,0.0313434,0.0133377,0.0319671,0.022803,0.0499736,0.00922779,0.015658,0.0477421,0.0503604,0,0,0,0.0555939
780,0.032574,0.0541636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268776,0,0.0240438,0.0589778,0,0,0.0059053,0,0,0.0420581,0.0555067,0.0309331,0,0.0266271,0.0553779,0.0415792,0.0490802,0.0711979,0.0541715,0.0165483,0.0592253,0.0313912,0.0312183,0.0181209,0.0412491,0.0109865,0.020909,0.0208014,0,0.0231859,0.0457294,0.0427116,0,0,0.00815716,0,0,0.033356,0.0778171,0.0170533,0.0149159,0.031607,0.0510375,0.0366042,0.0307506,0.0603593,0.0611666,0.0390017,0.0235751,0.0313672,0.0133375,0.0319533,0.0227509,0.0499526,0.00924118,0.0157546,0.0476926,0.0504111,0,0,0,0.0555926
