Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LTIB,LILC,
32,0.0290745,0.0548547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364282,0,0.0254042,0.0525998,0,0,0.00649285,0,0,0.0317951,0.0557232,0.0337207,0.0286508,0.0586105,0.0221571,0.0407999,0.0702021,0.0579074,0.068165,0.0382857,0.0370562,0.0213804,0.0383058,0,0.0183146,0.0206677,0,0.0283922,0.0470334,0.0469813,0,0,0.0114427,0,0,0.0355158,0.0800478,0.0148413,0.0285885,0.0271484,0.0670363,0.0466607,0.0337163,0.0540211,0.0613396,0.043749,0.0290743,0.026655,0.014973,0.0370323,0.0206254,0.043194,0.00664298,0.020484,0.0462589,0.0500808,0,0,0,0.0219814,0.0631389,0.132304,0
33,0.0290239,0.0548982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362682,0,0.0253825,0.0525749,0,0,0.00643757,0,0,0.0316797,0.0557722,0.0334224,0.0286397,0.0583958,0.0227621,0.0407152,0.0700947,0.0577398,0.0680231,0.0382589,0.0369993,0.0211214,0.03828,0,0.0184442,0.0205707,0,0.0284292,0.0471735,0.046965,0,0,0.0115118,0,0,0.0351066,0.0800508,0.0150354,0.028564,0.0270172,0.0668576,0.0466512,0.0337382,0.0540776,0.0613453,0.0436884,0.028999,0.0266222,0.0149572,0.0372975,0.0207462,0.0434354,0.007456,0.0199916,0.0463173,0.0499811,0,0,0,0.0216993,0.0630538,0.131819,0
34,0.0289897,0.0546591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358042,0,0.023716,0.0540438,0,0,0.00648846,0,0,0.0310808,0.0558085,0.0315431,0.0271191,0.0596637,0.0229721,0.0401393,0.0716581,0,0.0665043,0.0372243,0.0379159,0.017465,0.0385909,0,0.0192807,0.0208111,0,0.0276087,0.0494057,0.0470709,0,0,0.0106237,0,0,0.0350518,0.0796242,0.0150959,0.0283201,0.0265789,0.0667219,0.0456276,0.0337213,0.0543686,0.0618495,0.0442317,0.0287687,0.0264465,0.0148094,0.0371896,0.0204804,0.0441519,0.00652343,0.0204852,0.0457894,0.0501129,0,0,0,0,0.0624423,0.131555,0
35,0.0292685,0.054909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350293,0,0.0244115,0.0542076,0,0,0.00660157,0,0,0.0312057,0.055125,0.0335269,0.026828,0.0591566,0.0229687,0.040311,0.071772,0,0.0662118,0.0367395,0.0368258,0.0195298,0.0385602,0,0.018812,0.0211696,0,0.0278508,0.0484046,0.0467421,0,0,0.0102581,0,0,0.0359218,0.0796598,0.0153691,0.0284884,0.0266371,0.0660965,0.0456593,0.0340887,0.0544011,0.0617669,0.0441773,0.0287409,0.026646,0.0149789,0.0370732,0.0202249,0.0443019,0.0110802,0.01844,0.0461739,0.0497263,0,0,0,0.0204696,0.0617264,0.131919,0
36,0.029132,0.0539145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358766,0,0.0250465,0.0519951,0,0,0.00604676,0,0,0.0301888,0.055449,0.0299538,0.029173,0.0575648,0.0237264,0.0415053,0.0701185,0.055947,0.0679308,0.0386553,0.0372292,0.0170119,0.0382625,0,0.0205221,0.0199949,0,0.028526,0.0467602,0.0474135,0,0,0.0100782,0,0,0.0310052,0.0790248,0.0153341,0.0285439,0.0268279,0.0651785,0.0451429,0.0339361,0.0542761,0.0613245,0.0433617,0.0289491,0.0263508,0.014851,0.0367889,0.0217069,0.0438753,0,0.023769,0.0458963,0.0499241,0,0,0,0.0193593,0.0631024,0.131454,0
37,0.0293105,0.0546604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352504,0,0.0254357,0.0519751,0,0,0.00605158,0,0,0.0316189,0.0563196,0.032483,0.0290385,0.0584326,0.0229904,0.0405144,0.0696669,0.0590413,0.0679076,0.038418,0.0368362,0.0203788,0.0384608,0,0.0188439,0.0204349,0,0.0284378,0.046918,0.0466981,0,0,0.0105227,0,0,0.0356336,0.0790514,0.0153892,0.0284131,0.0270345,0.0661003,0.0463373,0.0337583,0.0541394,0.0613997,0.0437366,0.0289305,0.026288,0.0147747,0.0367993,0.021019,0.0437433,0.0097742,0.0199986,0.0461826,0.0500857,0,0,0,0.0201026,0.0633624,0.129842,0
38,0.0290885,0.054735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350863,0,0.0254694,0.0519947,0,0,0.00594889,0,0,0.031475,0.0564889,0.0323409,0.0290426,0.0582594,0.0236994,0.0410179,0.06958,0.0591391,0.0677827,0.0383813,0.0366906,0.0201928,0.038417,0,0.0191026,0.0203957,0,0.028487,0.0470209,0.0468058,0,0,0.0111977,0,0,0.0347704,0.0792151,0.0156188,0.0285754,0.02692,0.0660488,0.0465545,0.0338039,0.0541891,0.0614401,0.0437613,0.0288572,0.0263322,0.0147533,0.0371925,0.0210997,0.0436062,0.00744241,0.020337,0.0462321,0.0499734,0,0,0,0.0202854,0.0638,0.129464,0
39,0.0290245,0.0548285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366059,0,0.0240116,0.0527177,0,0,0.00585811,0,0,0.0315503,0.0560977,0.0301853,0.0281869,0.0584135,0.0240493,0.042184,0.0706203,0.0460579,0.0665547,0.0374961,0.0365135,0.0169153,0.0385001,0,0.0193466,0.020652,0,0.0280791,0.0486487,0.0466891,0,0,0.0108953,0,0,0.0348681,0.0787844,0.0159366,0.0287307,0.0263007,0.0654279,0.0459594,0.0338388,0.054572,0.0617118,0.0437807,0.0286318,0.0266288,0.0149998,0.0371924,0.0209254,0.043868,0.00754519,0.019668,0.0462465,0.0497245,0,0,0,0,0.0622819,0.129973,0
40,0.0291966,0.0549894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378794,0,0.0226983,0.0554782,0,0,0.00612048,0,0,0.0315315,0.0542235,0.0312805,0.0255359,0.0589846,0.0241121,0.0437396,0.0732718,0.0485884,0.0637224,0.0348816,0.0352098,0.0153922,0.038798,0,0.0192422,0.0211714,0,0.0279235,0.0496693,0.0464956,0,0,0.010626,0,0,0.0345893,0.0789827,0.0162298,0.0288201,0.0261895,0.0649902,0.0450779,0.0343296,0.0547291,0.0621435,0.044556,0.0284903,0.0265014,0.01489,0.0370854,0.0204362,0.0443867,0.00784279,0.0187662,0.0462623,0.0492527,0,0,0,0,0.0593152,0.131894,0
41,0.0289999,0.0544466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339609,0,0.0215685,0.0530581,0,0,0.00605437,0,0,0.0311701,0.056101,0.0246808,0.027976,0.059252,0.0238863,0.0422677,0.0711535,0.0565404,0.0662719,0.0383464,0.0388547,0.0127411,0.0384941,0,0.0198653,0.0204599,0,0.0280491,0.0491357,0.0468726,0,0,0.010569,0,0,0.0348866,0.0785915,0.0158415,0.0285658,0.0264565,0.0655467,0.0455904,0.0338565,0.0544769,0.0618705,0.0441864,0.0287178,0.0261819,0.0147233,0.0373618,0.0211096,0.0442716,0.00706517,0.0205436,0.0456666,0.0499896,0,0,0,0,0,0.129737,0
