Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHIP,LILC,,x77
19,0.030584,0.052959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270618,0,0.0232666,0.0527316,0,0,0.0174204,0,0,0.0380274,0.0570286,0.0227476,0.0279726,0.0555305,0.0382218,0.053582,0.0732784,0.0531799,0.0563144,0.0605755,0.0336465,0.0322605,0.0122131,0.0339158,0.013201,0.0170712,0.0253971,0,0.026606,0.0490452,0.0468969,0,0,0.00502112,0,0,0.0208897,0.0761726,0.0122901,0.0200536,0.0255367,0.0486191,0.0351181,0.0277458,0.0520144,0.0607626,0.0404407,0.0298532,0.0289185,0.0167695,0.0388829,0.0170821,0.0490465,0,0.0169887,0.0474595,0.0508043,0,0,0,0.0185311,0.0315273,0,0
20,0.0306713,0.0529428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310406,0,0.0230617,0.0524959,0,0,0.0167118,0,0,0.0379073,0.0567442,0.0215976,0.0272308,0.0556399,0.0383004,0.0543507,0.0745696,0.0531611,0.0562522,0.0606216,0.0333385,0.0324781,0.00708042,0.0341401,0.0134016,0.0175162,0.0252468,0,0.02658,0.0493375,0.046825,0,0,0.00504758,0,0,0.0208289,0.0758521,0.0125513,0.0200176,0.0253565,0.0482619,0.03492,0.027619,0.0522594,0.0609036,0.0402828,0.029795,0.0287889,0.0166863,0.0388687,0.0172665,0.0490448,0,0.0169715,0.0474486,0.0509337,0,0,0,0,0.0315447,0,0
21,0.0306487,0.0529849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274512,0,0.0231766,0.0528557,0,0,0.0160746,0,0,0.0377061,0.0568599,0.0229871,0.0279559,0.0555122,0.0379849,0.0536425,0.0732829,0.0530086,0.0564034,0.0608723,0.033778,0.0321824,0.0115694,0.0344776,0.014113,0.0175775,0.0258049,0,0.0265037,0.0487687,0.0468928,0,0,0.00510542,0,0,0.0208893,0.0761332,0.0125726,0.0200532,0.025412,0.0487907,0.0349627,0.0278659,0.0523654,0.0609742,0.0403673,0.0297979,0.0286884,0.0166402,0.0389462,0.0167814,0.0489636,0,0.0170433,0.0474816,0.0509833,0,0,0,0.0184305,0.03174,0,0
22,0.0312624,0.0532373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310166,0,0.0212204,0.0549036,0,0,0.016729,0,0,0.0386946,0.0553493,0.0239021,0.0242053,0.0559498,0.039756,0.0537249,0.0758741,0,0.0548183,0.058735,0.0316723,0.031948,0.00848553,0.0350859,0.0120606,0.0171352,0.0257951,0,0.0259151,0.0508459,0.0460483,0,0,0.00901964,0,0,0.0323146,0.0757568,0.0134797,0.020152,0.0248017,0.0480589,0.0378667,0.0280035,0.0529244,0.0614866,0.0404774,0.0293443,0.0286058,0.0164296,0.0385728,0.0169384,0.0486713,0.00825897,0.0166635,0.0478142,0.0507312,0,0,0,0,0.0347646,0,0
23,0.0317691,0.0528427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268469,0,0.0222271,0.0546623,0,0,0.0152885,0,0,0.0294136,0.0550454,0.0245752,0.0268446,0.0570156,0.034,0.0547052,0.0750372,0.0549263,0.0544921,0.0583633,0.0320528,0.0309633,0.0123857,0.0347234,0,0.0213652,0.0262694,0,0.0266433,0.0485532,0.0457627,0,0,0.00930162,0,0,0.0322393,0.077161,0.0118577,0.0196149,0.0261686,0.0489695,0.0375333,0.0276959,0.0519786,0.0604467,0.0397288,0.0302326,0.0286597,0.0169204,0.0393268,0.0162423,0.0482187,0.00814845,0.0167914,0.047159,0.0512727,0,0,0,0.0185208,0,0,0
24,0.0318155,0.0527803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279404,0,0.0215274,0.0543347,0,0,0.0151181,0,0,0.0295213,0.0551241,0.0232227,0.0271692,0.0572414,0.0342395,0.0550733,0.0750176,0.0548825,0.0543748,0.0581378,0.0319865,0.0311758,0.0104525,0.0349542,0,0.021631,0.0257886,0,0.0265024,0.0492485,0.0456688,0,0,0.00925745,0,0,0.0322543,0.076836,0.0124575,0.0195334,0.0258218,0.0484311,0.0371949,0.0275785,0.0524625,0.0606341,0.0393321,0.0300307,0.028625,0.0167985,0.0392117,0.0167549,0.0483751,0.00811639,0.0166976,0.0471015,0.0513521,0,0,0,0,0,0,0
25,0.0311098,0.0541548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269907,0,0.0221505,0.0548073,0,0,0.0395452,0,0,0.0485954,0.0545147,0.0246013,0.0268497,0.0570459,0.0524268,0.0541307,0.0744869,0.0547125,0.0544179,0.0584694,0.0318021,0.0311784,0.0121255,0.0338381,0.05233,0.0330884,0.0263137,0,0.026369,0.0479217,0.045548,0,0,0.00902361,0,0,0.032226,0.0773547,0.0127644,0.0199782,0.0258877,0.0494561,0.0382034,0.0281855,0.0528102,0.0608639,0.0395445,0.0299028,0.0285151,0.0166853,0.0390958,0.0163536,0.049247,0.00839366,0.0165021,0.0479769,0.0508134,0,0,0,0.0180119,0,0,0
26,0.0310927,0.0541335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271999,0,0.0221447,0.0548303,0,0,0.0400891,0,0,0.049091,0.0542361,0.0247162,0.0269145,0.0570678,0.0532142,0.0541432,0.0743653,0.0547151,0.0543929,0.0586908,0.031746,0.0311607,0.0118735,0.0338483,0.0559866,0.0361986,0.0258905,0,0.0262698,0.047746,0.0455536,0,0,0.0090679,0,0,0.0321883,0.0775422,0.0132863,0.0199831,0.0257241,0.0495825,0.0381841,0.0283137,0.0531514,0.0610293,0.0393992,0.0297758,0.0285756,0.016603,0.0389853,0.0168299,0.0492038,0.00833353,0.0165989,0.0479907,0.0508897,0,0,0,0.0179907,0,0,0
27,0.0309735,0.0541007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249289,0,0.0221292,0.0533315,0,0,0.0396995,0,0,0.048079,0.0551091,0.0223652,0.0280341,0.0566194,0.0531664,0.0534903,0.0727076,0.0533808,0.056562,0.0605488,0,0.0332308,0.0135211,0.0334756,0.053544,0.0356754,0.0252028,0,0.0262868,0.046898,0.045558,0,0,0.00908618,0,0,0.0321797,0.0776915,0.0136972,0.0197246,0.0257322,0.0499639,0.0387509,0.0282102,0.0534326,0.0610623,0.0389407,0.0297742,0.0287116,0.0165283,0.0388928,0.0175443,0.0487096,0.00816171,0.0169543,0.0480413,0.0511403,0,0,0,0.018214,0,0,0
28,0.0311027,0.0541273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306662,0,0.0227632,0.0552312,0,0,0.0389896,0,0,0.0474483,0.0528029,0.0253369,0.0258209,0.0568891,0.0530908,0.0538315,0.075294,0.0549389,0.0542946,0.0583905,0.0317371,0.0312915,0.00844227,0.0333194,0.0520658,0.0353351,0.025385,0,0.0261239,0.0465327,0.0455154,0,0,0.0091491,0,0,0.0319806,0.0783791,0.014351,0.0197335,0.0256581,0.0500132,0.0381877,0.0286744,0.0537411,0.0613548,0.0390565,0.0296181,0.0284786,0.0163167,0.0386968,0.0174476,0.0488037,0.00817447,0.0166953,0.0480481,0.05103,0,0,0,0.0174197,0,0,0
