Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,
19,0,0,0,0,0.0159005,0.0221418,0,0,0,0.0546703,0.0108339,0.0233218,0.00732444,0,0,0.00642269,0,0.0185032,0.00284867,0.0461621,0.0220962,0.0254314,0.008256,0.0157741,0.0147459,0.00662557,0.00905536,0.00973738,0.0528418,0.0186064,0.0228249,0.015486,0.0180985,0.0597919,0.0079633,0.00827508,0.00220658,0.0351803,0.013302,0.0166202,0.0180374,0.0124957,0,0,0.0284842,0,0.012241,0.01986,0.075825,0.030158,0.0147186,0.0194681,0.0224791,0.0179039,0,0.0513392,0,0.0990677,0,0,0,0,0.0436908,0.0167604,0.00843303,0.0106817,0.022879,0.00746522,0,0,0,0,0,0
20,0,0,0,0,0.0170973,0.022972,0,0,0,0.0564408,0.01062,0.0246855,0.00672671,0,0,0.00670482,0,0.0186798,0.00288252,0.0448814,0.0230975,0.0281534,0.00937625,0.0142958,0.0163224,0.00747181,0.00962821,0.0111329,0.0542013,0.0196728,0.0235347,0.0164029,0.0193135,0.0621806,0.00823318,0.00844318,0.00229793,0.0558197,0.0132271,0.0377809,0.019635,0.0143553,0,0,0.0284183,0,0.0122456,0.019942,0.0744136,0.0551529,0.0159128,0.032638,0.0229736,0.0175808,0,0.0557413,0,0.111482,0.036359,0.0356184,0,0,0.0725074,0.0168205,0.00847786,0.010737,0.0235177,0.00981964,0,0,0,0,0,0
21,0,0,0,0,0.0169276,0.0227267,0,0,0,0.058586,0.0106019,0.0257755,0.00669394,0,0,0.00623477,0,0.018686,0.00267662,0.0446044,0.0234405,0.0289708,0.0099047,0.0137125,0.0162019,0.00757833,0.00979186,0.0117556,0.0544024,0.0199736,0.0238305,0.0167884,0.0197409,0.0647396,0.00800776,0.00847022,0.00222636,0.0547469,0.0132141,0.0374527,0.0204943,0.0142786,0,0,0.0281561,0,0.0122742,0.01986,0.074572,0.0543711,0.0162288,0.0345163,0.0230377,0.0172652,0.0110938,0.0557184,0,0.112304,0.0288262,0.035741,0,0,0.0712562,0.0167561,0.00839945,0.0107252,0.0232441,0.0101795,0,0,0,0,0,0
22,0,0,0,0,0.0169253,0.0227755,0,0,0,0.0603247,0.0104815,0.0268492,0.00644004,0,0,0.00619172,0,0.0187078,0.00268374,0.0444802,0.0239308,0.0294583,0.0104288,0.0136693,0.0160861,0.0075096,0.00980847,0.0122534,0.0543761,0.0201358,0.024008,0.0171042,0.020148,0.0668715,0.00801801,0.00853359,0.00224023,0.0493427,0.0130932,0.0280335,0.0203007,0.0144133,0,0,0.0284033,0,0.0123484,0.0201227,0.0744726,0.0440249,0.016506,0.0282754,0.0231967,0.0171672,0.00734172,0.0538692,0,0.106587,0.0187254,0.0306991,0,0,0.0648536,0.0169602,0.00864729,0.0108284,0.0233516,0.0108024,0,0,0,0,0,0
23,0,0,0,0,0.0173396,0.0233528,0,0,0,0.0614413,0.0102613,0.0277901,0.00582039,0,0,0.00681003,0,0.0188445,0.00300838,0.044457,0.0246072,0.0297572,0.0109685,0.0143493,0.0164535,0.00736242,0.0097567,0.0126452,0.0542605,0.0202082,0.0238271,0.0173949,0.0205625,0.0682699,0.00831835,0.0087153,0.00243744,0.0419049,0.0128635,0.00745341,0.0191226,0.0150451,0,0,0.0293684,0,0.0124713,0.0208051,0.0736315,0.0220001,0.017062,0.0142911,0.0237285,0.0173444,0.00378006,0.0513579,0,0.0948548,0.0147884,0.0273223,0,0,0.053714,0.0176068,0.008911,0.0111197,0.0240561,0.0119504,0,0,0,0,0,0
24,0,0,0,0,0.0175096,0.0238706,0,0,0,0.0630338,0.0102047,0.0285635,0.00562178,0,0,0.00719353,0,0.0189085,0.00322114,0.0444517,0.0250078,0.0299899,0.0114936,0.0146879,0.0165562,0.0073326,0.00992763,0.0130129,0.0542022,0.0202183,0.0235594,0.0176618,0.0207535,0.0701635,0.00842303,0.00881545,0.00264642,0.0396075,0.0127713,0.00466023,0.0190102,0.015218,0,0,0.0301066,0,0.0125914,0.0212984,0.0728363,0.0136838,0.0173199,0.0109343,0.024237,0.0176721,0.00536627,0.0505529,0,0.091557,0.0108555,0.0279154,0,0,0.048321,0.0180251,0.00893286,0.0112937,0.0246128,0.0122782,0,0,0,0,0,0
25,0,0,0,0,0.0173744,0.0239992,0,0,0,0.0648562,0.0103007,0.0292782,0.00548356,0,0,0.00714527,0,0.0188982,0.00331895,0.0443645,0.0253241,0.0303189,0.0119213,0.0145235,0.0164758,0.00735624,0.0101514,0.0134184,0.0541457,0.0201996,0.0234793,0.0177468,0.0209104,0.0723114,0.00838049,0.00879326,0.00286967,0.0358902,0.0127087,0.00493361,0.019485,0.0150654,0,0,0.0303307,0,0.0125841,0.0214775,0.072598,0.0112925,0.017356,0.0130412,0.0244814,0.017877,0.0033906,0.0503275,0,0.0927417,0.00901097,0.0262434,0,0,0.043598,0.0180837,0.00904383,0.0112836,0.0247301,0.0121,0,0,0,0,0,0
26,0,0,0,0,0.0170783,0.0238574,0,0,0,0.0663114,0.0104102,0.0299483,0.00523745,0,0,0.00696539,0,0.0188454,0.00337403,0.044212,0.0255322,0.030491,0.0122709,0.0142548,0.0163782,0.00732382,0.0102261,0.0137668,0.0540744,0.0201513,0.0234963,0.0177787,0.0210119,0.0744193,0.00834254,0.00873334,0.00310703,0.0310988,0.0126465,0.00485569,0.0198446,0.0148685,0,0,0.030363,0,0.0125857,0.0215593,0.0725864,0.00833932,0.0172353,0.0147342,0.0245076,0.0179661,0.00153229,0.0504352,0,0.0936368,0.00944203,0.0243859,0,0,0.0374943,0.0180025,0.00921129,0.0112721,0.0246893,0.0117931,0,0,0,0,0,0
27,0,0,0,0,0.0167795,0.0238082,0,0,0,0.0673324,0.0103722,0.0304476,0.0047854,0,0,0.00692281,0,0.018746,0.00338664,0.044112,0.0256696,0.0303,0.0125313,0.0144262,0.0162669,0.00719487,0.0100937,0.0139962,0.0538992,0.0199255,0.0233096,0.0177027,0.0209247,0.075848,0.00822969,0.00872183,0.00318598,0.0222773,0.0126072,0.00296201,0.0194341,0.0146459,0,0,0.0306516,0,0.0127046,0.0217817,0.0731875,0.0124076,0.0167205,0.0158226,0.024497,0.0181741,0.00130486,0.0499215,0,0.0938689,0.0111423,0.0250031,0.0117469,0,0.0275171,0.0181245,0.00935955,0.0113855,0.0247265,0.0115095,0,0,0,0,0,0
28,0,0,0,0,0.0165867,0.0238381,0,0,0,0.0684593,0.0103974,0.0310115,0.00446358,0,0,0.00681399,0,0.0187146,0.00333987,0.0439967,0.0259271,0.0300979,0.012882,0.0144474,0.0160542,0.00721108,0.0100739,0.0143912,0.0537743,0.0197293,0.0231389,0.0177128,0.0209473,0.0774988,0.00807413,0.00872427,0.00329958,0.0166166,0.0125834,0.00382481,0.0194194,0.0144121,0,0,0.0309764,0,0.0128101,0.0220536,0.0728125,0.00911423,0.0165979,0.0153235,0.0245734,0.0184505,0.0024551,0.0497513,0,0.0922294,0.011374,0.0240436,0.0132081,0,0.019179,0.0182365,0.00955232,0.0115415,0.0248042,0.0112165,0,0,0,0,0,0
