Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_M,
53,0,0,0,0,0.00792203,0.00413332,0,0,0.0248277,0.0123557,0.00687109,0.00808127,0,0,0.00654827,0,0.0181089,0.00251501,0.0527128,0.0088005,0.0239526,0.0266956,0.00566836,0.00767503,0.0167706,0.0240708,0.0175186,0.0497845,0.0167955,0.0211496,0.0067774,0.0145395,0.0242515,0.00577006,0.00772208,0.00220457,0.0559252,0.0141305,0.0511262,0.0116572,0.00555146,0,0,0.00265246,0,0.0124384,0.00109214,0.075597,0.0732497,0.030665,0.0124308,0.00211331,0.00226123,0.0160377,0.0555636,0,0.0276029,0.0330269,0,0.0389797,0.0473003,0.0480702,0.00325957,0.00684992,0.00283107,0.00344394,0.00654675,0,0,0,0,0,0,0
54,0,0,0,0,0.00751465,0.00390065,0,0,0.0262557,0.0123529,0.0072806,0.0077749,0,0,0.00589535,0,0.0179108,0.00208057,0.0526359,0.00918424,0.0244245,0.0266409,0.00530841,0.00676074,0.0164503,0.0239686,0.0171041,0.0497067,0.0176035,0.0225753,0.00694822,0.0140809,0.0262419,0.00513258,0.00763918,0.00214885,0.051704,0.0143781,0.0514237,0.0118368,0.00524633,0,0,0.00242469,0,0.012495,0.00105801,0.0757958,0.0718366,0.030377,0.0128402,0.00206417,0.00237277,0.0169182,0.0554378,0.0132309,0.0288404,0.0349394,0,0.0406169,0.049521,0.0428129,0.00283514,0.00657175,0.00277295,0.00343042,0.00535083,0,0,0,0,0,0,0
55,0,0,0,0,0.00728993,0.00376458,0,0,0.0277153,0.0122691,0.00758355,0.00741456,0,0,0.00508467,0,0.017796,0.00164469,0.0524742,0.00974561,0.0249831,0.0263357,0.00493831,0.00592878,0.0159445,0.0236815,0.0164322,0.0495264,0.0182528,0.0236357,0.00706747,0.0137859,0.0282169,0.00439654,0.00764534,0.00212716,0.0485682,0.014498,0.0512526,0.0114522,0.00515964,0,0,0.00242987,0,0.0124419,0.00109803,0.0759584,0.0713883,0.0298564,0.0135325,0.00196707,0.00262241,0.0171737,0.0554299,0.0138075,0.0295399,0.0362802,0,0.0412754,0.0511891,0.0383148,0.00262312,0.00618806,0.00270117,0.00336069,0.00428478,0,0,0,0,0,0,0
56,0,0,0,0,0.00695164,0.00370896,0,0,0.0291363,0.0122971,0.00760269,0.00706724,0,0,0.00386086,0,0.0177005,0.000981341,0.0524201,0.0102419,0.0253683,0.0258401,0.00480099,0.00507152,0.015656,0.0233964,0.0157484,0.0492213,0.0183346,0.0240153,0.00696177,0.0138381,0.0300322,0.00336667,0.00761045,0.00201127,0.0545344,0.014738,0,0.011869,0.00472117,0,0,0.00317078,0,0.0124499,0.00094277,0.0754062,0.0786084,0.0296374,0.0195407,0.00251129,0.00347787,0.0209202,0.0570933,0.0176609,0.0343188,0.0434024,0,0.0488841,0.0575536,0.043593,0.00334733,0.0051402,0.00239786,0.00339125,0.00362852,0,0,0,0,0,0,0
57,0,0,0,0,0.00641845,0.00354194,0,0,0.0308519,0.0121393,0.0075164,0.00663366,0,0,0.00321179,0,0.0176635,0.000812885,0.0521064,0.0108364,0.0261725,0.0247329,0.00453613,0.00417756,0.0148826,0.0225566,0.0145653,0.0492175,0.0178986,0.0237785,0.00675761,0.0140375,0.0322158,0.00265578,0.00767552,0.00206019,0.0409539,0.0148432,0.0502932,0.010273,0.00464741,0,0,0.00292216,0,0.0124857,0.0010838,0.076142,0.0699005,0.0286426,0.0147239,0.00190786,0.00337533,0.0169094,0.0550114,0.0143401,0.029858,0.0401122,0,0.0425668,0.0530869,0.0283209,0.00290534,0.00531737,0.00260479,0.0033051,0.00289754,0,0,0,0,0,0,0
58,0,0,0,0,0.00590811,0.00340668,0,0,0.0326254,0.0120833,0.00748097,0.00610148,0,0,0.00225867,0,0.0176051,0.000514206,0.0518696,0.0112456,0.0266865,0.0234738,0.00456822,0.00341809,0.0142654,0.021776,0.0135907,0.049041,0.0173673,0.0234098,0.00660593,0.0143068,0.0346081,0.00178639,0.0076854,0.00202036,0.0365423,0.014955,0.049413,0.00956278,0.00418341,0,0,0.00250866,0,0.0124926,0.00144924,0.0761773,0.0682788,0.0279208,0.015418,0.00187856,0.00323924,0.0164121,0.0547103,0.0146975,0.0294374,0.041029,0,0.0437535,0.0534188,0.0229479,0.00251449,0.00537951,0.00278073,0.00309433,0.00263273,0,0,0,0,0,0,0
59,0,0,0,0,0.00553799,0.00339337,0,0,0.0345507,0.0121156,0.00784508,0.00568621,0,0,0.00129525,0,0.0175722,0.000449801,0.0516298,0.01136,0.0270975,0.0218825,0.00409883,0.0029936,0.0133851,0.0207856,0.0124689,0.0486795,0.0168858,0.0232988,0.00660914,0.0145065,0.0370986,0.00121457,0.00763831,0.00194461,0.0333857,0.015073,0.0476964,0.00879488,0.00367475,0,0,0.00250605,0,0.0124987,0.00167397,0.0763245,0.0664796,0.0271462,0.0160283,0.00197772,0.00339132,0.0156154,0.0543636,0.0151242,0.0286655,0.0368382,0,0.0436199,0.0538669,0.017833,0.00263832,0.00523821,0.00282085,0.00300668,0.00247912,0,0,0,0,0,0,0
60,0,0,0,0,0.00490812,0.00311205,0,0,0.0365448,0.0121523,0.00847639,0.00543124,0,0,0.000500755,0,0.0175506,0.000444457,0.0515247,0.0112533,0.0274586,0.0203889,0.00356857,0.00243132,0.0123451,0.0198501,0.0113231,0.0482797,0.0165718,0.0234049,0.00682838,0.0146398,0.0401171,0.000893446,0.00766127,0.00188769,0.0328196,0.0151503,0.0469247,0.00827487,0.00318623,0,0,0.00179258,0,0.0124565,0.00221041,0.0762959,0.0651541,0.0263318,0.0169293,0.00204609,0.00306749,0.0147963,0.0541189,0.0158007,0.0276046,0.0674266,0,0.0433666,0.0550501,0.0174523,0.0020817,0.00548973,0.00301295,0.00258954,0.00221333,0,0,0,0,0,0,0
61,0,0,0,0,0.00502766,0.00386869,0,0,0.03905,0.0119935,0.00979215,0.00585449,0,0,0.00107902,0,0.0176226,0.000446745,0.0494808,0.0126631,0.0312325,0.0181968,0.00188733,0.0011573,0.0107316,0.0184016,0.00937898,0.0500367,0.0172944,0.024225,0.00775702,0.0152476,0.0439406,0.00105569,0.00777293,0.00191149,0.0444467,0.0151609,0.0364058,0.00293448,0.00555442,0,0,0.00156544,0,0.0124763,0.00236036,0.0518043,0.043803,0.021406,0.0809129,0.00214369,0.00376289,0.055047,0,0.0777276,0.0640572,0.113016,0,0.0515964,0.057504,0.0499064,0.00205145,0.00512679,0.00314821,0.00404272,0.00359721,0,0,0,0,0,0,0
62,0,0,0,0,0.0036855,0.00288161,0,0,0.0405064,0.0122588,0.0103436,0.00464537,0,0,0.00107094,0,0.0174527,0.000848032,0.0513927,0.011021,0.028502,0.0171231,0.00271095,0.00221527,0.0105666,0.0176427,0.00878434,0.0477199,0.0167016,0.0238679,0.00754555,0.0150757,0.0454569,0.00173704,0.00760295,0.00171361,0.0251777,0.0153421,0.0419917,0.00726517,0.00238967,0,0,0.00156903,0,0.0125193,0.00266085,0.0759792,0.0576274,0.0246512,0.019118,0.00199079,0.00320987,0.0134239,0.0538992,0.0169877,0.0252809,0.0856344,0,0.0411018,0.0544843,0.0106528,0.00196335,0.00515917,0.00313672,0.00230891,0.00173945,0,0,0,0,0,0,0
