Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M
133,0,0,0,0,0.037949,0.0470659,0,0.0285492,0.0101654,0.011448,0.0185538,0,0,0.0133389,0,0.0196416,0.00860586,0.0551003,0.0254874,0.0172393,0.0145639,0.028966,0.0393182,0.0137299,0.021297,0.0111828,0.0448893,0.0118897,0.0149104,0.00874785,0.0101593,0.044033,0.00583866,0.00822989,0.00478347,0.0280569,0.00837192,0.0136524,0.0194335,0.0174998,0,0,0.0534207,0,0.014024,0.0359767,0.0607632,0.0180994,0.0244366,0.017606,0.0270741,0.0340493,0.0140189,0.0603135,0.0209256,0.0216004,0,0,0.00671183,0.0211585,0.0319752,0.0298597,0.0144319,0.0161379,0.0441551,0.0177499,0,0,0,0,0,0,0
134,0,0,0,0,0.0380667,0.0472835,0,0.0265376,0.00980526,0.0111957,0.0181254,0,0,0.0130889,0,0.0197281,0.00838256,0.0553042,0.0240855,0.0174624,0.0144439,0.02876,0.0397364,0.013222,0.0210441,0.0113176,0.0453194,0.0122895,0.0146742,0.008921,0.0097438,0.0409897,0.00611718,0.00837416,0.00459485,0.0292098,0.008344,0.0136117,0.0193047,0.0171829,0,0,0.0538448,0,0.0139822,0.0361893,0.0605337,0.0202189,0.0242033,0.0169999,0.0272356,0.0337363,0.0145019,0.0604832,0.0211168,0.0228722,0,0,0.00507415,0.0225397,0.0340989,0.0302826,0.0143956,0.0160762,0.0443432,0.0179919,0,0,0,0,0,0,0
135,0,0,0,0,0.0380167,0.0474139,0,0.0249531,0.00953463,0.0111651,0.0178982,0,0,0.0127562,0,0.0197839,0.0082289,0.0553779,0.0229342,0.0177855,0.0142256,0.0285535,0.0401445,0.0128954,0.0204193,0.0115532,0.0455442,0.0125501,0.0144581,0.00896704,0.00941416,0.0383443,0.0064341,0.00853458,0.00442638,0.0304347,0.00835397,0.0136368,0.0192403,0.0168074,0,0,0.0541096,0,0.0139628,0.0362977,0.060427,0.0221208,0.023961,0.0167897,0.0274005,0.0335283,0.0147305,0.0606945,0.0212493,0.0237221,0,0,0.00321318,0.0239098,0.0362754,0.030457,0.0143968,0.0160203,0.0444939,0.0180355,0,0,0,0,0,0,0
136,0,0,0,0,0.0378119,0.0474362,0,0.0239625,0.00943439,0.0115067,0.0178907,0,0,0.0123963,0,0.0198217,0.00808501,0.0554059,0.0222342,0.0180881,0.0139368,0.0283041,0.0403811,0.0127541,0.0195973,0.0118977,0.0456406,0.0126251,0.0142914,0.00894145,0.00928206,0.0363213,0.00666704,0.00865648,0.00427424,0.0316841,0.00841955,0.0135414,0.0191838,0.0164634,0,0,0.0541249,0,0.0139489,0.0362433,0.0603667,0.0237706,0.0237761,0.0165244,0.0274787,0.0334157,0.0147838,0.060893,0.0212894,0.0240891,0,0,0.00193384,0.025196,0.0383312,0.030326,0.0143782,0.0159205,0.0445101,0.017916,0,0,0,0,0,0,0
137,0,0,0,0,0.0375105,0.047377,0,0.0232957,0.00947297,0.012016,0.0180372,0,0,0.0121602,0,0.0198391,0.00800908,0.0553398,0.0217723,0.0184179,0.0136712,0.0280333,0.040474,0.0126303,0.0188092,0.0122282,0.0456132,0.0126256,0.014171,0.00891101,0.00928302,0.0346255,0.00690415,0.0086898,0.00417234,0.0328303,0.00852297,0.0133703,0.0191199,0.0161808,0,0,0.053828,0,0.0139282,0.0360412,0.0603083,0.0250668,0.0236031,0.0161366,0.0275268,0.0333605,0.014591,0.0609613,0.0212258,0.0239907,0,0,0.00153039,0.0263946,0.0397878,0.029952,0.0143678,0.0158113,0.0443942,0.0175636,0,0,0,0,0,0,0
138,0,0,0,0,0.0372793,0.0472408,0,0.0226992,0.00948211,0.0125735,0.0182863,0,0,0.0120169,0,0.019834,0.00791501,0.0551818,0.0214868,0.0187294,0.0135359,0.0277593,0.0405218,0.0126319,0.0183216,0.0126188,0.045466,0.0126009,0.0140455,0.00889546,0.00929721,0.0330652,0.00735631,0.00869561,0.00399626,0.033521,0.00862425,0.0127267,0.0190452,0.0159505,0,0,0.0533795,0,0.0139255,0.0357629,0.0604112,0.025931,0.0234843,0.0154461,0.0276163,0.0333342,0.0141581,0.0607392,0.0208412,0.0234571,0,0,0.00220177,0.0272628,0.0410038,0.0295455,0.0143352,0.0157106,0.0442443,0.0170927,0,0,0,0,0,0,0
139,0,0,0,0,0.0370921,0.0471014,0,0.0221612,0.00954674,0.0132866,0.018536,0,0,0.0120448,0,0.0197842,0.00788113,0.0550278,0.0212957,0.0188752,0.0135992,0.027628,0.0405379,0.0126293,0.0181308,0.0131057,0.0451522,0.0126953,0.0140068,0.00899238,0.00928845,0.0316095,0.00770506,0.00868524,0.00391171,0.0339252,0.00871148,0.011662,0.0188837,0.0157715,0,0,0.0530302,0,0.0139353,0.0354691,0.060624,0.0263511,0.0233217,0.014473,0.027845,0.0332869,0.0136028,0.0605438,0.0201881,0.0227224,0,0,0.00506598,0.0280218,0.0417176,0.0291836,0.0142434,0.0155806,0.0441141,0.0166096,0,0,0,0,0,0,0
140,0,0,0,0,0.0368689,0.0470189,0,0.0216601,0.00970004,0.014022,0.0186369,0,0,0.0122943,0,0.0197668,0.00799085,0.0548463,0.0212773,0.0190976,0.0138619,0.0275614,0.0404869,0.0127013,0.0181881,0.0136943,0.0447793,0.0128757,0.0140738,0.00912573,0.00926365,0.0303451,0.00794672,0.00869703,0.00398677,0.034953,0.00879973,0.0108734,0.0185598,0.0156059,0,0,0.052752,0,0.0139727,0.0352238,0.06074,0.0261775,0.0231336,0.0137989,0.0281933,0.0332877,0.0128369,0.0603223,0.0198121,0.0212849,0.0186364,0,0.00946102,0.028545,0.0433826,0.0289439,0.0141247,0.0154993,0.0440263,0.016174,0,0,0,0,0,0,0
141,0,0,0,0,0.0366909,0.0469614,0,0.0214273,0.00987236,0.0149375,0.0187355,0,0,0.0126749,0,0.0197434,0.00810413,0.0546968,0.0216384,0.0192761,0.0142705,0.0276386,0.0403871,0.0128696,0.0183639,0.0143388,0.0443882,0.0130873,0.0141735,0.00927585,0.00924706,0.0293578,0.00827944,0.00867443,0.00412391,0.0354518,0.00885557,0.0112319,0.0184035,0.0155727,0,0,0.0525082,0,0.0139815,0.0350124,0.0607974,0.0266939,0.0229518,0.0137458,0.0286283,0.0333199,0.0121687,0.0599962,0.0199614,0.0197263,0.0197097,0,0.0122421,0.0296808,0.0441251,0.0288368,0.014063,0.0154389,0.0439655,0.015945,0,0,0,0,0,0,0
142,0,0,0,0,0.0345885,0.0485568,0,0.0199741,0.00874621,0.0157944,0.0154132,0,0,0.0175555,0,0.0208088,0.0101709,0.052792,0.0220214,0.023553,0.0156797,0.027559,0.0429413,0.0134731,0.0193497,0.0153767,0.0463765,0.0139665,0.0147264,0.00928606,0.0103604,0.0274402,0.00975832,0.00913947,0.0054172,0.0297703,0.00831722,0.0212837,0.00847783,0.0126016,0,0,0.0558269,0,0.0145689,0.037531,0.0400657,0.0186126,0.0259929,0.0508677,0.0333781,0.0332822,0.0440096,0,0.0533369,0.0481874,0.0333751,0,0.0096407,0.0320997,0.028594,0.0313038,0.0151184,0.0165829,0.0466841,0.0131473,0,0,0,0,0,0,0
