Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,RANK,RTHII,RTIBI,RTHIP,IMU_B,RTIBA,x73,
182,0,0,0,0,0.00613305,0.00815717,0,0,0.0905267,0.0129528,0.0342649,0.000813626,0,0,0.00756023,0,0.0186554,0.00269199,0.0419031,0.0310681,0.0302343,0.00734878,0.00246505,0.00713628,0.00568338,0.0111519,0.0222559,0.0321082,0.0174362,0.033693,0.109941,0.0088531,0.00745375,0.0022604,0.0230614,0.0126465,0.00572886,0.00898316,0,0,0.005102,0,0.0127596,0.00395468,0.0716696,0.0331739,0.0262939,0.0141019,0.00411389,0.00552974,0.00662619,0.0493783,0.019986,0,0.0216748,0.00392292,0.0036942,0.00470408,0.00795548,0.00735614,0,0,0,0,0,0.0190214,0.0616758,0.0255232,0,0.0196831,0.0854281,0,0.0219348,0,0
183,0,0,0,0,0.00551765,0.00787999,0,0,0.0883794,0.0130552,0.0331914,0.00105685,0,0,0.00808114,0,0.0188543,0.0029617,0.0422173,0.0312525,0.0300656,0.00787203,0.00245375,0.00784727,0.00523236,0.0107875,0.0217258,0.0309628,0.0170808,0.0336558,0.107583,0.00938333,0.00748295,0.00238111,0.0212186,0.0125571,0.00563858,0.00862645,0,0,0.00452917,0,0.0127792,0.00372373,0.0715672,0.0332569,0.0263769,0.015059,0.00448802,0.0054937,0.00652552,0.049702,0.0198762,0,0.0191714,0.00365308,0.00389375,0.00486949,0.00786372,0.00700068,0,0,0,0,0,0.0185355,0.0604547,0.0250111,0,0.0196983,0.0859738,0,0.0213464,0,0
184,0,0,0,0,0.00518337,0.00764973,0,0,0.0860957,0.0131149,0.0319342,0.00134011,0,0,0.00864058,0,0.0190735,0.0032258,0.0425872,0.0310561,0.0298324,0.00851242,0.00250214,0.00830581,0.00471124,0.0103818,0.0210669,0.0295812,0.0165819,0.0335259,0.104962,0.00985801,0.00756803,0.00253645,0.0191261,0.0124997,0.00559773,0.0084647,0,0,0.00449709,0,0.0127924,0.00362179,0.0714613,0.0337565,0.0264431,0.0139514,0.00487668,0.00488582,0.00651365,0.049923,0.0197582,0,0.0169792,0.00390371,0.0039645,0.00497759,0.0077068,0.00669479,0,0,0,0,0,0.0182124,0.0593136,0.0244395,0,0.0198013,0.0875562,0,0.0208479,0,0
185,0,0,0,0,0.00457713,0.00733286,0,0,0.0834416,0.0131389,0.0304391,0.00180235,0,0,0.00919763,0,0.0192471,0.00352971,0.0429826,0.0305104,0.0297038,0.00938555,0.00275185,0.00879559,0.00448068,0.0100036,0.0201024,0.0279789,0.0159289,0.0331989,0.101761,0.0103328,0.00764302,0.00261621,0.0180873,0.0124928,0.00687341,0.00812717,0,0,0.00473687,0,0.0127705,0.00364201,0.0710886,0.035001,0.0263767,0,0.00502708,0.00446036,0.00835644,0.0512316,0.0227547,0,0.0180558,0.00427093,0.00402118,0.00505572,0.00745473,0.00623114,0,0,0,0,0,0.0180126,0.0584734,0.0247098,0,0.020364,0,0,0.019658,0,0
186,0,0,0,0,0.00542715,0.00760318,0,0,0.0813992,0.0132245,0.0288371,0.00173343,0,0,0.00911496,0,0.01933,0.00354067,0.0439617,0.0305113,0.028632,0.00979071,0.00337663,0.00863935,0.00314553,0.00962912,0.0197068,0.0269266,0.0152979,0.0331428,0.0995879,0.0102065,0.00767586,0.00276002,0.0090597,0.0124954,0.00386313,0.00877228,0,0,0.00457268,0,0.0128037,0.00345034,0.0723108,0.0264986,0.0269778,0.0165202,0.0067524,0.0039943,0.0090607,0.0506158,0.023234,0,0.00810411,0.00431677,0.00396067,0.00505883,0.00784322,0.00663998,0,0,0,0,0,0.0176444,0.0567312,0.0158002,0.0140895,0.017309,0,0,0,0,0
187,0,0,0,0,0.00502106,0.0072331,0,0,0.0789608,0.013114,0.0271049,0.00181664,0,0,0.00935108,0,0.0193466,0.00362032,0.0444333,0.0298941,0.0284241,0.0105786,0.00330245,0.00875232,0.00307793,0.00954855,0.0187593,0.0252925,0.0146097,0.0327713,0.0969491,0.0103113,0.00774708,0.00273897,0.00742866,0.0124865,0.00380192,0.00847656,0,0,0.00474763,0,0.0128562,0.00352374,0.0720715,0.0263436,0.0272335,0.015205,0.00701286,0.00334791,0.00835201,0.050469,0.0251233,0,0.00890229,0.00470837,0.00395911,0.00496994,0.00745051,0.00627267,0,0,0,0,0,0.0174721,0.0557901,0.0151097,0.0154889,0.017695,0,0,0,0,0
188,0,0,0,0,0.00351441,0.00638044,0,0,0.0761509,0.0128468,0.0254353,0.00219187,0,0,0.00991946,0,0.0193069,0.00387,0.0444604,0.028554,0.0288615,0.0118725,0.00274872,0.0092092,0.00399042,0.0095459,0.0172733,0.02297,0.0139568,0.032107,0.0935601,0.0107538,0.00778281,0.00247888,0.00755861,0.0124778,0.0063693,0.00740003,0,0,0.00527847,0,0.012874,0.00373932,0.0694775,0.0352216,0.0271065,0.0093613,0.006148,0.00268008,0.00497988,0.0514398,0.0219969,0,0.0138275,0.00550008,0.00390311,0.00486685,0.00647913,0.00545771,0,0,0,0,0,0.0175218,0.0556504,0.0216884,0.00703377,0.0217967,0,0,0.0197925,0,0
189,0,0,0,0,0.0042774,0.00638094,0,0,0.0740598,0.0128657,0.0243401,0.00203777,0,0,0.00913176,0,0.0192147,0.00355187,0.0453425,0.0281534,0.0279869,0.0128393,0.003333,0.0088493,0.00409478,0.0100127,0.0167227,0.0213977,0.013545,0.0318304,0.0913262,0.00999649,0.00775358,0.00259326,0.00666076,0.0124059,0.00375825,0.00769238,0,0,0.00470231,0,0.012874,0.00348404,0.0714061,0.0271147,0.0276565,0.015782,0.00753663,0.00245841,0.00899672,0.0502549,0.0170652,0,0.0121893,0.00504881,0.00404081,0.00489798,0.00666673,0.0057513,0,0,0,0,0,0.0174723,0.0543104,0.0140269,0.0154149,0.018968,0,0,0,0,0
190,0,0,0,0,0.00279446,0.00538912,0,0,0.0710883,0.0126962,0.0233877,0.00216459,0,0,0.00882605,0,0.0191426,0.00335296,0.0453786,0.0268198,0.0282629,0.0142844,0.00288396,0.00917981,0.00498044,0.0107403,0.0154185,0.0194416,0.0130431,0.031037,0.0877249,0.00975682,0.00776862,0.00233711,0.00682778,0.0123459,0.00587246,0.00653089,0,0,0.00437392,0,0.0128635,0.00346463,0.0683909,0.037484,0.0273854,0.00772405,0.00678895,0.0022137,0.00548253,0.0522066,0.0433354,0,0.0158707,0.004976,0.00422787,0.0047469,0.00572406,0.00502683,0,0,0,0,0,0.0176254,0.0543701,0.0204086,0.00416833,0.0229357,0,0,0.0194247,0,0
191,0,0,0,0,0.00252675,0.0049526,0,0,0.0687902,0.0125529,0.0227559,0.00223553,0,0,0.00819983,0,0.0189962,0.00310669,0.0458077,0.0257131,0.0279486,0.0152217,0.00290941,0.00913228,0.00581412,0.0115317,0.0144609,0.0180066,0.0127824,0.0304434,0.0846696,0.00927691,0.00777018,0.00212392,0.00829631,0.0123275,0.00556469,0.00618321,0,0,0.00399717,0,0.0128669,0.00335402,0.0679744,0.0385431,0.0274916,0.00752767,0.00701001,0.00203269,0.00593399,0.0525125,0.0576958,0,0.0185674,0.00487288,0.00436449,0.00466204,0.00546481,0.00483213,0,0,0,0,0,0.0177033,0.053682,0.019823,0.00317594,0.023544,0,0,0.018376,0,0
192,0,0,0,0,0.0022247,0.00449437,0,0,0.0664383,0.0124385,0.0224051,0.0027325,0,0,0.00746801,0,0.0188282,0.00275999,0.0462953,0.0243114,0.0276453,0.0162813,0.00285551,0.00932946,0.00688384,0.0122554,0.0134602,0.0166131,0.0125912,0.0298098,0.0810444,0.00874283,0.00771791,0.00185316,0.0102363,0.0122706,0.0056147,0.00574808,0,0,0.00335049,0,0.012885,0.00321151,0.0674342,0.0409074,0.0276684,0.00832166,0.0073027,0.00188746,0.00659251,0.0528968,0.0590647,0,0.021544,0.00439292,0.00467499,0.00476843,0.00530392,0.00451377,0,0,0,0,0,0.0178898,0.0530282,0.0204688,0.00192452,0.0246345,0,0,0.0180209,0,0
193,0,0,0,0,0.00228861,0.00435436,0,0,0.0635359,0.0123092,0.0221634,0.00339345,0,0,0.00724273,0,0.0186973,0.00263874,0.0468722,0.0232804,0.0273348,0.0171653,0.00295929,0.00919553,0.00810922,0.0134621,0.0124618,0.015387,0.0125071,0.0292248,0.0769479,0.00842353,0.00770373,0.00173633,0.0122606,0.012274,0.00570711,0.00564161,0,0,0.00321841,0,0.0128781,0.00318666,0.066946,0.0434198,0.0278823,0.00973993,0.00757193,0.00166887,0.00742935,0.0532386,0.05902,0,0.024231,0.00453158,0.00466355,0.00478032,0.00522509,0.00442434,0,0,0,0,0,0.0180395,0.0523325,0.0214523,0.00201212,0.0258024,0,0,0.0178979,0,0
194,0,0,0,0,0.00251763,0.00429105,0,0,0.0601211,0.0121979,0.0219623,0.00403052,0,0,0.00717249,0,0.0186128,0.00259627,0.0474638,0.0225542,0.0270228,0.017624,0.0030144,0.00904903,0.00929815,0.0148356,0.0114867,0.0143375,0.0126127,0.0286972,0.0720551,0.00826372,0.00770782,0.0016746,0.0142282,0.0122752,0.00576142,0.00552538,0,0,0.00321931,0,0.0128607,0.00318085,0.0665151,0.0457655,0.0281464,0.0112428,0.0079243,0.00169603,0.00831252,0.053522,0.0603948,0,0.0267566,0.00471325,0.0046426,0.00479529,0.00520751,0.00439863,0,0,0,0,0,0.0179527,0.0515523,0.0224584,0.003027,0.02699,0,0,0.0176697,0,0
195,0,0,0,0,0.00279168,0.00430588,0,0,0.0559342,0.0121546,0.0216136,0.00460785,0,0,0.0073266,0,0.0185862,0.00273812,0.0481322,0.0217714,0.0267674,0.0173346,0.00300928,0.00888295,0.0101566,0.0158151,0.0104406,0.0134323,0.0127762,0.0281543,0.0663539,0.0083568,0.00769944,0.00163816,0.0155195,0.0122808,0.00585244,0.00552291,0,0,0.00348385,0,0.0128378,0.00325272,0.0662929,0.0474664,0.0283719,0.0124781,0.008285,0.00196985,0.00921108,0.0535104,0.0610476,0,0.0285404,0.00509851,0.00451141,0.00471035,0.00521631,0.00443997,0,0,0,0,0,0.0173958,0.0507131,0.0233221,0.00387737,0.0280937,0,0,0.0171773,0,0
