Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBI,IMU_M,IMU_B
114,0,0,0,0,0.0531468,0.0665615,0,0.0348051,0.0100835,0.0277102,0.0177309,0,0,0.0159743,0,0.0192463,0.00447581,0.0527801,0.0394308,0.0222753,0.0251788,0.0330752,0.051678,0.0284954,0.0351778,0.0201406,0.0491554,0.0144138,0.0148444,0.00722417,0.0117231,0.0403098,0.0137633,0.00799097,0.00564195,0.0102065,0.0104593,0.0192239,0.00866565,0.0280135,0,0,0.0496317,0,0.0147515,0.0374204,0.0592029,0.026757,0.0222386,0.013607,0.0309303,0.0455203,0.0065285,0.0546334,0.00924805,0.0104157,0.0200791,0.00994487,0.0217679,0.0101785,0.0248057,0.0191023,0.0159005,0.0620189,0.0207497,0,0,0,0,0,0.0295766,0,0
115,0,0,0,0,0.053015,0.0662091,0,0.0319232,0.0100828,0.0262694,0.017809,0,0,0.0163262,0,0.0192055,0.00438322,0.0525891,0.0374978,0.0217145,0.0239925,0.0331696,0.0506768,0.0266174,0.034354,0.019423,0.0478178,0.013271,0.013785,0.00690289,0.0118963,0.0388715,0.0132062,0.00794195,0.00556421,0.0120373,0.0102368,0.0197846,0.00885055,0.0276011,0,0,0.0512479,0,0.0150058,0.0385726,0.0594098,0.0264733,0.0227145,0.0129861,0.0310703,0.0462978,0.00571535,0.0551153,0.00920125,0.00877887,0.0191983,0.00972795,0.0205938,0.0110441,0.0256968,0.0196091,0.0165282,0.0618064,0.0204837,0,0,0,0,0,0.0292569,0,0
116,0,0,0,0,0.0526632,0.0657902,0,0.0264024,0.0100888,0.0233201,0.0175213,0,0,0.0163402,0,0.0191765,0.0042172,0.0519405,0.0321211,0.0210592,0.024053,0.0327437,0.0498002,0.0249073,0.0335954,0.0195133,0.0465707,0.0126268,0.0141072,0.00750463,0.0111066,0.0349488,0.0124426,0.00787998,0.00552013,0.0140309,0.0100232,0.0198674,0.00850208,0.0272415,0,0,0.0527461,0,0.0151875,0.0395073,0.0595104,0.0255634,0.0226423,0.0125097,0.0309665,0.0469408,0.00498419,0.0556314,0.00948686,0.00685031,0.0175212,0.00996795,0.0188656,0.0117628,0.0265672,0.0197294,0.0170454,0.0614924,0.0205961,0,0,0,0,0,0.0285738,0,0
117,0,0,0,0,0.0522629,0.0653298,0,0.0203905,0.0100996,0.0189747,0.0169662,0,0,0.0163114,0,0.0191757,0.00409207,0.0510562,0.0266402,0.0205126,0.0245123,0.0321738,0.0491099,0.0233813,0.03225,0.0195691,0.0459443,0.0135391,0.015971,0.00878581,0.00953381,0.0306749,0.0115834,0.00782469,0.00541555,0.0158114,0.00978846,0.019771,0.00831803,0.0269045,0,0,0.0541674,0,0.0152995,0.0402477,0.0596096,0.02396,0.0226787,0.012255,0.0308277,0.0473616,0.00471697,0.0563502,0.010224,0.00520181,0.0152602,0.0106768,0.0170241,0.0124884,0.0274668,0.0195521,0.0174313,0.0610579,0.0209047,0,0,0,0,0,0.0274711,0,0
118,0,0,0,0,0.0520629,0.0647895,0,0.0178643,0.0100775,0.0157872,0.0164058,0,0,0.0162408,0,0.0191694,0.00406704,0.0505,0.0245396,0.0202879,0.0244641,0.0318017,0.0485123,0.0223204,0.0304917,0.01928,0.0465198,0.0150969,0.017524,0.00967642,0.00858888,0.029777,0.0110066,0.00782979,0.00522673,0.0175454,0.00957782,0.0198,0.00851591,0.0266904,0,0,0.0553378,0,0.0153796,0.0407817,0.0597848,0.0223595,0.0228017,0.0120772,0.0308098,0.0476089,0.00489998,0.0571167,0.0112418,0.00448311,0.0128563,0.0116365,0.0155022,0.0132209,0.0281938,0.0192894,0.017753,0.0604881,0.021277,0,0,0,0,0,0.0263516,0,0
119,0,0,0,0,0.0522523,0.0643374,0,0.0193469,0.00997722,0.0147262,0.0162494,0,0,0.0160954,0,0.0191376,0.00400834,0.0505331,0.0250177,0.0203873,0.0238781,0.0318118,0.0480546,0.0218193,0.0286377,0.0186089,0.047881,0.015944,0.0182635,0.00981576,0.00868073,0.032239,0.0105543,0.00785591,0.00501301,0.0183745,0.00937803,0.02034,0.00911915,0.026735,0,0,0.0560209,0,0.0154585,0.0411863,0.0599836,0.0218815,0.0227967,0.0119263,0.030961,0.0478299,0.00550987,0.0578306,0.0122399,0.00495931,0.0105838,0.0126333,0.014596,0.0133661,0.0286179,0.0191273,0.01797,0.0599724,0.0215314,0,0,0,0,0,0.0253291,0,0
120,0,0,0,0,0.0524788,0.0638261,0,0.0218347,0.00994369,0.0149557,0.0165365,0,0,0.0160299,0,0.0190126,0.00392664,0.050817,0.0264493,0.0206062,0.0228455,0.0319864,0.047571,0.020814,0.0265407,0.0175056,0.0486993,0.0160225,0.0185623,0.00952058,0.00921534,0.035463,0.0102443,0.00780415,0.0047742,0.0194107,0.00921782,0.021133,0.010029,0.0270978,0,0,0.055981,0,0.0155278,0.0413432,0.0601772,0.0209091,0.022754,0.0120537,0.0309349,0.0480234,0.00622959,0.058655,0.013089,0.00618489,0.00848647,0.013614,0.0147344,0.0136196,0.0285467,0.0191216,0.0180881,0.0593338,0.0216267,0,0,0,0,0,0.0244192,0,0
121,0,0,0,0,0.0519832,0.0634372,0,0.0238259,0.00996126,0.0151211,0.017419,0,0,0.0157725,0,0.0188825,0.00383516,0.0512301,0.0277623,0.0206687,0.0215308,0.0324801,0.0471796,0.0185633,0.0244935,0.0164248,0.04825,0.0154718,0.018395,0.00913334,0.00974082,0.0384081,0.00997028,0.00772239,0.00449619,0.0201007,0.00908996,0.0217468,0.0112438,0.027663,0,0,0.0556088,0,0.0156453,0.0414648,0.0602764,0.0192022,0.0227237,0.0126972,0.0310169,0.048279,0.00688691,0.059479,0.013754,0.00771868,0.00710454,0.0144901,0.0153276,0.0144298,0.0280746,0.0192623,0.0182264,0.0587026,0.0215065,0,0,0,0,0,0.0235628,0,0
122,0,0,0,0,0.0513707,0.0629245,0,0.0248381,0.0101346,0.0142359,0.0185078,0,0,0.0153457,0,0.0187371,0.00369833,0.0516723,0.027813,0.0205731,0.0203476,0.0329607,0.0466849,0.0164837,0.0233252,0.0157105,0.0471138,0.014506,0.0177513,0.00882041,0.00996237,0.040074,0.00972117,0.00762973,0.00415223,0.0214679,0.00909904,0.0217803,0.0125908,0.0282902,0,0,0.054882,0,0.0158067,0.0414174,0.0603019,0.0159059,0.0227569,0.0134425,0.0310106,0.0484532,0.00753227,0.0601769,0.0145878,0.00937254,0.00656124,0.0151834,0.0157123,0.0156769,0.0271757,0.0195393,0.018359,0.0578575,0.0211599,0,0,0,0,0,0.0227818,0,0
123,0,0,0,0,0.051385,0.0624824,0,0.0251957,0.0103924,0.0127045,0.0197306,0,0,0.0147018,0,0.0185301,0.003341,0.0521678,0.0268855,0.0204557,0.0193675,0.0333301,0.0462444,0.0160097,0.0235935,0.0154583,0.0460812,0.0136038,0.0171186,0.00863607,0.00994083,0.0408166,0.00948595,0.00751182,0.00389969,0.022495,0.0091893,0.0208729,0.0140745,0.0287757,0,0,0.0539096,0,0.0159398,0.0411321,0.0603798,0.0120481,0.0226463,0.0142009,0.0312729,0.0487097,0.00813853,0.0606766,0.0154163,0.0109923,0.00644927,0.0157989,0.0158202,0.0175578,0.0262067,0.0198306,0.0184944,0.0571207,0.020548,0,0,0,0,0,0.0220856,0,0
