Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,IMU_T
139,0,0,0,0,0.044093,0.0587631,0.0292431,0.00657743,0.0358965,0.0278984,0,0,0.0163587,0,0.0249871,0.010176,0.0526198,0.0539105,0.0240129,0.0244491,0.0397,0.0499168,0.024854,0.0298236,0.022571,0.0530002,0.0134016,0.0152127,0.0131433,0.0154468,0.0398085,0.0110965,0.0125522,0.00766053,0.00863458,0.00940962,0.00870433,0.0198357,0.0169203,0,0,0.0550238,0,0.0165186,0.0408667,0.0628396,0.00795469,0.0164582,0.00763342,0.0381586,0.0341209,0.00880809,0.0502841,0.00496375,0.0134598,0.00871254,0,0.0204784,0.0136768,0.0103778,0.031406,0.0217924,0.0178793,0.0585275,0.011747,0,0,0,0,0,0,0,0
140,0,0,0,0,0.0441824,0.0590206,0.0338672,0.00652765,0.0383486,0.027803,0,0,0.0166444,0,0.0250408,0.0102864,0.0523662,0.0562809,0.023799,0.0262297,0.039598,0.0501781,0.028475,0.0340007,0.0242061,0.0536576,0.014359,0.0161468,0.0142328,0.0141784,0.0432356,0.011216,0.0125475,0.00773514,0.00805844,0.00939559,0.00841008,0.0198519,0.0169241,0,0,0.0552436,0,0.0165042,0.0410533,0.0628392,0.00781345,0.0162499,0.00727645,0.038545,0.0339748,0.00913451,0.0498133,0.00530523,0.0134333,0.00777834,0,0.0201242,0.0139726,0.0100284,0.031716,0.0219883,0.0179932,0.0589305,0.0116826,0,0,0,0,0,0,0,0
141,0,0,0,0,0.0442666,0.0593156,0.039759,0.00646629,0.041328,0.0276518,0,0,0.0169964,0,0.0251321,0.0104583,0.0523471,0.0590979,0.0236384,0.0270026,0.039485,0.0504886,0.0303193,0.0361197,0.024792,0.0541179,0.0151758,0.0173484,0.0157921,0.0127135,0.0491083,0.0112668,0.0125375,0.00779905,0.00723534,0.00936622,0.00788276,0.0198254,0.0170272,0,0,0.0555579,0,0.0165394,0.0413288,0.0627744,0.00776765,0.0161743,0.00956216,0.0388069,0.0340016,0.00937568,0.0495559,0.00496614,0.0131581,0.00765934,0,0.0199009,0.0141325,0.00943124,0.032022,0.022263,0.018164,0.059376,0.0118009,0,0,0,0,0,0,0,0
142,0,0,0,0,0.0445992,0.059614,0.0406389,0.0064475,0.041018,0.027391,0,0,0.0174703,0,0.025237,0.0107007,0.0525975,0.0574104,0.0235702,0.0270234,0.0395401,0.0506456,0.030615,0.0367133,0.0242804,0.0540285,0.015091,0.017124,0.0154214,0.0123861,0.049457,0.0111678,0.0125204,0.00785657,0.00601626,0.00930287,0.00715886,0.0198312,0.017187,0,0,0.0560022,0,0.0166197,0.04172,0.0626415,0.00794779,0.0162027,0.0116909,0.0389291,0.0341816,0.00949208,0.0494931,0.00459112,0.0127246,0.00782068,0,0.0197417,0.0141691,0.00828995,0.0323312,0.0226078,0.0183453,0.0597556,0.0120826,0,0,0,0,0,0,0,0
143,0,0,0,0,0.0449379,0.0599197,0.036771,0.00644966,0.0377094,0.0271469,0,0,0.0179641,0,0.0253134,0.0109154,0.0528948,0.0513561,0.0234807,0.026405,0.0397132,0.0506321,0.0298721,0.0362325,0.0227755,0.0533926,0.0143122,0.015655,0.0134242,0.0131287,0.0444603,0.0109957,0.0124844,0.00791383,0.00463132,0.00924975,0.0064312,0.0198892,0.0173697,0,0,0.056534,0,0.016733,0.0421408,0.0626268,0.00827163,0.0163292,0.00910125,0.0389081,0.0344757,0.00946605,0.0495687,0.00429209,0.0122447,0.00788689,0,0.0196065,0.0143497,0.00684654,0.0326374,0.0229647,0.018559,0.0599899,0.0125407,0,0,0,0,0,0,0,0
144,0,0,0,0,0.0451405,0.0602541,0.033693,0.00647251,0.0350043,0.0269106,0,0,0.0184228,0,0.0253864,0.0110715,0.0532252,0.0476299,0.0233732,0.024968,0.0398971,0.0505088,0.0285618,0.0349847,0.0207358,0.0525269,0.0141429,0.0150732,0.0123223,0.0133329,0.0407156,0.0108408,0.0124476,0.00800036,0.00358025,0.00920352,0.00622461,0.0199425,0.0176223,0,0,0.0570968,0,0.0168889,0.0425206,0.062552,0.00863298,0.016497,0.00722458,0.0388056,0.0349378,0.00916661,0.0497413,0.0040611,0.0114516,0.00796117,0,0.0195296,0.0143204,0.00509288,0.0329225,0.0233112,0.0187875,0.0601369,0.0130906,0,0,0,0,0,0,0,0
145,0,0,0,0,0.0456143,0.0606817,0.0331986,0.00652163,0.0333772,0.026755,0,0,0.0190928,0,0.0254986,0.0113307,0.053662,0.0470153,0.0232273,0.0224507,0.0401364,0.050366,0.0266421,0.0328037,0.0184479,0.0515228,0.0141817,0.0149839,0.0122376,0.0128618,0.0401014,0.0106155,0.0124375,0.00815426,0.00373538,0.00913948,0.00610827,0.0199245,0.0180469,0,0,0.0577039,0,0.0170316,0.0429264,0.0623497,0.00934784,0.0166956,0.00712676,0.0386017,0.0356146,0.00872676,0.0499693,0.00401015,0.0103747,0.00798694,0,0.0197991,0.0141053,0.00330321,0.033084,0.0237018,0.018981,0.0603087,0.0136917,0,0,0,0,0,0,0,0
146,0,0,0,0,0.0458516,0.0616651,0.0343101,0.0064275,0.0328182,0.0254891,0,0,0.0211679,0,0.026011,0.0123929,0.0536767,0.0453117,0.0232128,0.0196484,0.0398807,0.0505986,0.0245747,0.0302559,0.016512,0.0507813,0.0138122,0.0146394,0.0126516,0.0125914,0.0409691,0.0108934,0.0125862,0.00879886,0.010881,0.00893444,0.012691,0.0169791,0.0171406,0,0,0.0595478,0,0.0174108,0.0442294,0.0609472,0.0185227,0.0178194,0.0114518,0.038997,0.0367076,0.00752951,0.0511467,0.00625709,0.0102153,0.0134115,0.0145998,0.0238704,0.0189512,0.00755226,0.0339235,0.024437,0.0195431,0.0612256,0.0133978,0,0,0,0,0,0,0,0
147,0,0,0,0,0.0465193,0.061218,0.032441,0.00653297,0.0316341,0.0264478,0,0,0.0204237,0,0.0257945,0.0120308,0.0538406,0.0408811,0.0225474,0.0178124,0.0401543,0.0497876,0.0215959,0.0281226,0.0149319,0.0488463,0.0125052,0.0139224,0.0126498,0.0122761,0.0404864,0.0103562,0.0124927,0.00848486,0.00616228,0.00897783,0.00654262,0.019847,0.0183622,0,0,0.0593285,0,0.0174267,0.0440665,0.0624112,0.010842,0.0172112,0.00628639,0.0381517,0.0374549,0.00807769,0.0504787,0.00532801,0.00775439,0.0073611,0,0.0195459,0.0139465,0.00281554,0.0338317,0.0243084,0.0195401,0.0604101,0.014203,0,0,0,0,0,0,0,0
148,0,0,0,0,0.0466769,0.0622983,0.0300532,0.00646219,0.0293098,0.0249434,0,0,0.0228998,0,0.0264891,0.0133535,0.0532896,0.0361898,0.0222071,0.0167601,0.0397674,0.0500448,0.019322,0.0260696,0.0145197,0.0477785,0.0122621,0.0144455,0.0132385,0.0113497,0.0378696,0.0109074,0.0126937,0.00936405,0.0152752,0.00875521,0.0143215,0.017024,0.0174932,0,0,0.0618837,0,0.0179352,0.0456671,0.0610571,0.0185251,0.0180018,0.00998899,0.0390249,0.0388115,0.00605467,0.0522445,0,0.00643351,0.0116695,0.0160284,0.0232166,0.0168241,0.0108361,0.0351022,0.0246156,0.0203752,0.0616157,0.0137852,0,0,0,0,0,0,0,0
