Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBP,LTHI,LHEE,LTHII,RTIBI,
233,0,0,0,0,0.0113859,0.00704797,0,0,0,0.045317,0.0113328,0.024069,0.0141794,0,0,0.00558038,0,0.0184107,0.00294502,0.0436526,0.0435339,0.0240287,0.00837689,0.00213004,0.0144698,0.0522218,0.0148215,0.013391,0.0109366,0.0229464,0.0532817,0.00482158,0.00794185,0.000717012,0.0272648,0.0164493,0.0249841,0.0212542,0.011813,0,0,0.005126,0,0.013442,0.00228606,0.064869,0.0316921,0.0218598,0.0311365,0.00920546,0.00572005,0.0199496,0.0611604,0.0303958,0.0236134,0,0.0936459,0.0359245,0.005539,0.00419579,0.00330773,0.00510813,0.0120986,0,0,0,0,0,0,0.010435,0.0162407,0.023744,0,0
234,0,0,0,0,0.0111497,0.00656303,0,0,0,0.0472159,0.0114621,0.0246748,0.01413,0,0,0.00650165,0,0.018344,0.00340164,0.0436625,0.0434398,0.0246538,0.00817165,0.00299484,0.014913,0.0522582,0.0147688,0.0131619,0.0107997,0.0229391,0.0553678,0.00565324,0.00780938,0.000726319,0.0225304,0.0163789,0.0253838,0.0209696,0.0117416,0,0,0.00480739,0,0.0133921,0.00196779,0.0654019,0.0307318,0.0209861,0.0384677,0.00868563,0.00508906,0.0235399,0.062122,0.0362712,0.0289681,0,0.0903138,0.0302839,0.00556505,0.00426209,0.00334302,0.00422473,0.0116146,0,0,0,0,0,0,0.0110424,0.0162186,0.0246013,0,0
235,0,0,0,0,0.0104325,0.00599719,0,0,0,0.0489604,0.0115423,0.0250971,0.0137164,0,0,0.00692481,0,0.0182898,0.00353589,0.043711,0.0431123,0.0250915,0.00765399,0.00365481,0.0152553,0.0520854,0.0145644,0.0128173,0.0104952,0.0228015,0.0573555,0.00611306,0.00774288,0.000731782,0.0207375,0.0163534,0.0274433,0.0198584,0.0111216,0,0,0.0046268,0,0.0133947,0.00159026,0.0658153,0.0320927,0.0200017,0.0435074,0.00808078,0.00441543,0.0256654,0.062437,0.0400289,0.032745,0,0.0866068,0.02672,0.00573612,0.00442021,0.00341542,0.00343141,0.0107049,0,0,0,0,0,0,0.0115701,0.0161688,0.0250232,0,0
236,0,0,0,0,0.0097477,0.00557718,0,0,0,0.0505723,0.0115172,0.0252586,0.0128585,0,0,0.00639307,0,0.0183213,0.00310374,0.043897,0.0423259,0.0253084,0.00662283,0.00358704,0.0154328,0.051484,0.0140329,0.0121952,0.00998795,0.0225843,0.0590777,0.00571706,0.00775192,0.000848391,0.0392525,0.0163671,0.0436297,0.0174409,0.0104366,0,0,0.00377907,0,0.0134327,0.00070478,0.0654309,0.0490965,0.0192723,0.0399313,0.00784016,0.00389244,0.023511,0.0607837,0.0360434,0.0291572,0,0.0836128,0.0447822,0.0052275,0.00479084,0.00361954,0.00298962,0.00984076,0,0,0,0,0,0,0.0117595,0.0151354,0.025111,0.0434399,0
237,0,0,0,0,0.00903018,0.00515392,0,0,0,0.0519255,0.011546,0.0253811,0.0122582,0,0,0.00648131,0,0.0182807,0.00313686,0.0440135,0.041738,0.025315,0.00539875,0.0039799,0.0154786,0.0511229,0.0136812,0.0118561,0.00962102,0.0224202,0.0606904,0.0060866,0.00770953,0.000850878,0.0616509,0.016424,0.0625262,0.0157782,0.00963013,0,0,0.00375148,0,0.0135218,0.000539172,0.0650582,0.0698578,0.018772,0.037636,0.00742943,0.00328812,0.0226604,0.0596655,0.0329974,0.0270343,0,0.0799406,0.0666036,0.00545994,0.00474835,0.00360589,0.00276609,0.00897746,0,0,0,0,0,0,0.0117457,0.0151257,0.0251492,0,0
238,0,0,0,0,0.0082668,0.00478024,0,0,0,0.0531204,0.0115657,0.0254192,0.0114459,0,0,0.00651254,0,0.0182969,0.00323851,0.0443466,0.0409613,0.0251569,0.0047235,0.00447297,0.015428,0.0506722,0.0132854,0.0115838,0.0091997,0.0221403,0.0620627,0.00631847,0.00768612,0.000828351,0.0835633,0.0164428,0.0813474,0.0140067,0.00879913,0,0,0.00365988,0,0.0136081,0.000413151,0.0646571,0.0904829,0.0186256,0.0359494,0.00706166,0.00264197,0.0223913,0.0586306,0,0.0260322,0,0.076829,0.0878705,0.00549939,0.00469558,0.00361971,0.00277714,0.00822472,0,0,0,0,0,0,0.0117524,0.0150459,0.0250541,0,0
239,0,0,0,0,0.00754314,0.00448681,0,0,0,0.0540973,0.0115319,0.0253215,0.0107131,0,0,0.00661738,0,0.0183222,0.00335849,0.0445025,0.0402557,0.0247477,0.00477343,0.0048905,0.0150246,0.0502438,0.0129768,0.0115018,0.00892739,0.0218941,0.0632841,0.00646574,0.00764378,0.000789345,0.097028,0.0164495,0.0923998,0.0125867,0.00817283,0,0,0.00360231,0,0.0136732,0.000405192,0.0641639,0.102578,0.0187512,0.0316911,0.0068043,0.00211952,0.0213683,0.0570933,0.0257435,0.0239651,0,0.0756108,0.100361,0.00550622,0.00478951,0.00371806,0.00303583,0.00763867,0,0,0,0,0,0,0.0117396,0.0149729,0.0247469,0,0
240,0,0,0,0,0.00690689,0.004296,0,0,0,0.0546666,0.011421,0.0250307,0.0100922,0,0,0.00665198,0,0.0182732,0.00338537,0.0443634,0.0396365,0.0240285,0.00493636,0.00521838,0.014107,0.0497144,0.0126696,0.0114934,0.00863339,0.0215821,0.0641476,0.00657431,0.00763325,0.00079484,0.108725,0.0164409,0.101922,0.0113477,0.00769433,0,0,0.00351679,0,0.013711,0.000427191,0.0635676,0.112991,0.0191357,0.0280495,0.00672529,0.00162722,0.0208799,0.056065,0.0222682,0.0226938,0,0.0751148,0.111283,0.0055984,0.00486937,0.00363639,0.0033915,0.00726137,0,0,0,0,0,0,0.0115228,0.0149585,0.0241579,0.0765997,0
241,0,0,0,0,0.00642951,0.00418264,0,0,0,0.054718,0.0112765,0.0246443,0.00965588,0,0,0.00647988,0,0.0180276,0.00319189,0.0441408,0.0391563,0.0230215,0.00419061,0.0054963,0.0128496,0.0492841,0.012498,0.0115633,0.00837584,0.02125,0.0643378,0.00654388,0.00779376,0.000886698,0.120318,0.0164134,0.11141,0.0106126,0.00725283,0,0,0.00337509,0,0.0137255,0.000574207,0.0630006,0.122811,0.0195085,0.0263796,0.00668223,0.00112136,0.0215874,0.0555511,0.021133,0.0231649,0,0.0749144,0.121988,0.00564113,0.00484435,0.00375096,0.00372008,0.00704252,0,0,0,0,0,0,0.0110343,0.015035,0.0231908,0.0821395,0
242,0,0,0,0,0.00649415,0.00431901,0,0,0,0.056081,0.0114497,0.02446,0.0091554,0,0,0.00651739,0,0.0179291,0.00330567,0.0439952,0.0386123,0.0217076,0.00365359,0.00548019,0.0113533,0.0488089,0.012218,0.0119665,0.00837849,0.0211497,0.0654273,0.0065687,0.00771311,0.000857603,0.127904,0.0163565,0.117404,0.0100198,0.00745463,0,0,0.00334417,0,0.0136728,0.000777077,0.0625428,0.128809,0.0198655,0.0256093,0.00677619,0.000677191,0.0225016,0.0551666,0.020866,0.023969,0,0.0752577,0.128458,0.0056059,0.00448959,0.00405353,0.00410589,0.00710851,0,0,0,0,0,0,0.00983462,0.0157558,0.0219186,0.0849242,0
