Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIB,RTHII,RTIBA,LASI,RTIBI,IMU_B
19,0,0,0,0,0.0227688,0.0386125,0,0,0.0232896,0.00659817,0.021099,0,0,0.0232739,0,0.0270784,0.0139393,0.0497968,0.0317534,0.0219545,0.00684674,0.0287691,0.0314263,0.00884329,0.00612485,0.00598351,0.0504021,0.0132151,0.0155085,0.0124346,0.0105743,0.0326912,0.0116845,0.0131479,0.00929225,0.0273139,0.00795121,0.0155641,0.0108175,0.0051633,0,0,0.050032,0,0.0143341,0.0355388,0.0647505,0.0215801,0.0219911,0.0114635,0.0233149,0.0278966,0.00798994,0.0588971,0.0137221,0.0247122,0.0368595,0.0275612,0.0168323,0.0174389,0.0394503,0.00728902,0,0,0,0,0,0.0132761,0.0102899,0.0234079,0.0103676,0.0263262,0
20,0,0,0,0,0.0226959,0.0377435,0,0,0.0229803,0.00650237,0.0205624,0,0,0.0217045,0,0.0267784,0.0127677,0.0497708,0.0316398,0.0219299,0.0057568,0.0287037,0.0310594,0,0.00478172,0.00472101,0.0498993,0.0131055,0.0154856,0.0123839,0.0110796,0.032662,0.0108341,0.0129918,0.00874384,0.0266027,0.00782227,0.0161449,0.0117586,0.0054101,0,0,0.0493605,0,0.0144028,0.0355003,0.0652011,0.0227809,0.0226642,0.0128018,0.0229459,0.027864,0.00924494,0.0595597,0.0154896,0.0269079,0.0343729,0.0272235,0.017495,0.0175067,0.0382608,0.00773633,0,0,0,0,0,0.015606,0.0113435,0.0239025,0.0105259,0.0269193,0
21,0,0,0,0,0.0230104,0.0366236,0,0,0.0223292,0.00645721,0.0196557,0,0,0.0192465,0,0.0262968,0.0113266,0.0505391,0.0315716,0.0208987,0.00523099,0.0297009,0.0302027,0.00941745,0.00530997,0.00432453,0.0485099,0.012714,0.0151779,0.0122752,0.0116651,0.0330608,0.00941456,0.0127486,0.00782296,0.0505727,0.00788738,0.0335506,0.0169943,0.00615008,0,0,0.0475802,0,0.0143605,0.0347726,0.0668422,0.0465582,0.0242801,0.0162715,0.0220889,0.0280754,0.0130784,0.0593055,0.0214917,0.0425792,0.0569907,0.0258969,0.0175182,0.0173626,0.0367566,0.00739362,0,0,0,0,0,0.0287814,0.0138886,0,0.0121383,0.0369472,0
22,0,0,0,0,0.0225725,0.0361754,0,0,0.0215984,0.00640749,0.0186199,0,0,0.0191574,0,0.0262216,0.0110044,0.0502637,0.0302104,0.0217212,0.00573768,0.0291122,0.0307269,0.00919442,0.00668573,0.00545575,0.0486468,0.0134537,0.0157185,0.0124965,0.0121232,0.0317343,0.00985328,0.012688,0.00750778,0.022945,0.00793142,0.0153582,0.014188,0.00589953,0,0,0.0464711,0,0.0143914,0.034571,0.0652602,0.0258184,0.0234428,0.0151727,0.0223008,0.0275263,0.0122057,0.0611518,0.0191424,0.0300885,0.027374,0.0253841,0.0176352,0.0174864,0.0363559,0.0060826,0,0,0,0,0,0.0188544,0.0133906,0.0248776,0.0106692,0.0282816,0
23,0,0,0,0,0.022086,0.0353491,0,0,0.0213518,0.00648878,0.0177374,0,0,0.0176866,0,0.0258142,0.0100693,0.0507433,0.0295161,0.0215001,0.00625537,0.0293803,0.0304893,0.00874307,0.00767876,0.0060793,0.0485143,0.0136292,0.015762,0.0124145,0.0122406,0.0314604,0.00953936,0.0125008,0.00676639,0.0214516,0.00807318,0.014433,0.0154975,0.00596598,0,0,0.0444775,0,0.0142451,0.0334672,0.0651081,0.0267069,0.0237664,0.0162911,0.0219668,0.0271524,0.0138829,0.0619118,0.0209849,0.0303419,0.0223453,0.0243196,0.0173772,0.017238,0.0354891,0.00472187,0,0,0,0,0,0.0192957,0.0146688,0.025334,0.0111288,0.0287979,0
24,0,0,0,0,0.0216591,0.0345835,0,0,0.0215433,0.0066398,0.0170082,0,0,0.0161047,0,0.0254544,0.00917346,0.0511396,0.0288576,0.0212275,0.00685524,0.0294262,0.0303008,0.00792402,0.00803145,0.00626719,0.0485342,0.013596,0.0156104,0.0121938,0.0121043,0.031421,0.00940312,0.0123281,0.00604987,0.0198748,0.00829697,0.0140289,0.0164952,0.00613932,0,0,0.0423614,0,0.0140043,0.0319741,0.0644988,0.0289205,0.023798,0.0175524,0.0214251,0.0265313,0.0155345,0.0626892,0.0229191,0.0299054,0.0170334,0.0231507,0.0168924,0.016721,0.0346702,0.00358997,0,0,0,0,0,0.0192908,0.0160411,0.0259585,0.0115144,0.029187,0
25,0,0,0,0,0.0213901,0.0339355,0,0,0.0220364,0.00685437,0.0162058,0,0,0.0146964,0,0.0250789,0.00844212,0.0513805,0.0282836,0.020896,0.00740121,0.0291399,0.0301867,0.00753429,0.00806043,0.00621186,0.0486336,0.0134031,0.0153446,0.0118045,0.0118657,0.0313439,0.00951367,0.0121833,0.00544362,0.0196261,0.00859714,0.0144504,0.0170581,0.00637282,0,0,0.0401294,0,0.0136951,0.0303122,0.0641466,0.0311019,0.0237354,0.018935,0.0206945,0.0256172,0.0172712,0.0634217,0.0252341,0.0292534,0.0133949,0.0219435,0.0162413,0.0161096,0.0338712,0.00298176,0,0,0,0,0,0,0.0173303,0.0267154,0.0120907,0.0296408,0
26,0,0,0,0,0.021675,0.0331347,0,0,0.0230676,0.00713963,0.0155735,0,0,0.0129025,0,0.0245159,0.00753007,0.0520053,0.0278711,0.0196237,0.00748992,0.0294435,0.0296179,0.00689347,0.00793458,0.00574184,0.0482727,0.0127922,0.0148003,0.0113181,0.0115176,0.0321052,0.0100411,0.011978,0.0047876,0.0510054,0.00893697,0.0438559,0.0212089,0.00740009,0,0,0.0380664,0,0.0133551,0.0286033,0.0659027,0.0670729,0.0250452,0.0224449,0.0198182,0.0245493,0.0220234,0.0632952,0.0327571,0.0458566,0.0451696,0.0208267,0.0154544,0.0153771,0.032885,0.00436833,0,0,0,0,0,0,0.0203702,0,0.0138635,0.0432926,0
27,0,0,0,0,0.0217934,0.0332477,0,0,0.0237693,0.00709722,0.014968,0,0,0.0124958,0,0.0242245,0.00723241,0.0516636,0.0264633,0.0194178,0.00787468,0.0291397,0.030013,0.00603729,0.00751063,0.0054944,0.0487539,0.0125752,0.0146758,0.0110411,0.0111791,0.0318654,0.0107418,0.0118844,0.00461216,0.0551495,0.00908454,0.048713,0.0210608,0.00756616,0,0,0.0374433,0,0.0131964,0.0280272,0.0659183,0.0741129,0.0246008,0.0231778,0.0199618,0.023696,0.0234245,0.063815,0.0343379,0.0472519,0.0474627,0.0207257,0.0150845,0.0149897,0.0330621,0.00496754,0,0,0,0,0,0.0346048,0.0212686,0,0.0137814,0.0449407,0
28,0,0,0,0,0.0218638,0.0334944,0,0,0.0244744,0.00708519,0.014649,0,0,0.0121491,0,0.0239705,0.0070097,0.0513523,0.0250813,0.0192502,0.00816395,0.0287436,0.0303098,0.00536819,0.00694999,0.00522017,0.0492898,0.0126068,0.0146605,0.0108606,0.0107569,0.0314606,0.0113445,0.0117898,0.00448854,0.0551219,0.00918666,0.0515246,0.0210362,0.00768051,0,0,0.0369192,0,0.0130008,0.0275869,0.0661768,0.0764162,0.0242634,0.024043,0.0200299,0.0227571,0.025076,0.0639787,0.0366916,0.0488909,0.046047,0.0207292,0.01476,0.0146441,0.033269,0.00573394,0,0,0,0,0,0.0363227,0.0222591,0,0.0136584,0.0464923,0
