Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LHEE,RTHI,,IMU_T
20,0,0,0,0,0.0355941,0.0525491,0,0.0572378,0.0114779,0.0348462,0.0197538,0,0,0.00192407,0,0.0175187,0.0019403,0.0513954,0.0225198,0.0229511,0.0314399,0.0543902,0.0130875,0.0193998,0.0202908,0.0431836,0.0151443,0.0173166,0.0153063,0.0126574,0.0596451,0.0219993,0.00802812,0.00194078,0.0462726,0.00950646,0.0251788,0.0178057,0.0100018,0,0,0.0546418,0,0.0150126,0.0366982,0.0622418,0.0331503,0.0197205,0.0118931,0.0363568,0.0305437,0.0536018,0.00895948,0.0059512,0.0101873,0.027026,0.0195404,0.0303802,0.0422627,0.0321112,0.0129407,0.0160238,0.0510029,0.00963528,0,0,0,0,0,0.0289375,0.00733766,0,0
21,0,0,0,0,0.0355813,0.0523276,0,0.0580154,0.0115315,0.0348258,0.0198177,0,0,0.00208175,0,0.0173208,0.00176239,0.0512604,0.0221653,0.0223948,0.0315473,0.0545818,0.0127927,0.0188521,0.0199348,0.042804,0.0150715,0.0173138,0.0150238,0.0122669,0.060722,0.0220381,0.00791346,0.00184992,0.0464307,0.00955318,0.0268946,0.0185733,0.0100741,0,0,0.0545179,0,0.0149671,0.036599,0.0625047,0.0374746,0.0196256,0.0149894,0.036142,0.0306627,0.052697,0.0101753,0.00670661,0.00993616,0.0255499,0.0195251,0.0298095,0.0418477,0.0320155,0.0129711,0.0159443,0.0508264,0.00956688,0,0,0,0,0,0.0286999,0.00730172,0,0
22,0,0,0,0,0.0355742,0.0520815,0,0.0586497,0.0116675,0.0346946,0.0199164,0,0,0.00239717,0,0.0173406,0.00167954,0.0510268,0.0218349,0.0216933,0.0316512,0.0547362,0.0124665,0.0181813,0.0194396,0.0423672,0.015,0.0173543,0.0148009,0.0118242,0.0613479,0.0221931,0.00788673,0.00184542,0.0416348,0.00964131,0.0241223,0.0194686,0.0102151,0,0,0.0541918,0,0.0149142,0.0363337,0.0626166,0.0373897,0.0193851,0.0149296,0.035884,0.0306666,0.0519479,0.0100342,0.00607492,0.00891853,0.023689,0.0185525,0.0266709,0.0385252,0.0317192,0.0129782,0.0157772,0.0506256,0.00978826,0,0,0,0,0,0.0282469,0.00689522,0,0
23,0,0,0,0,0.0353869,0.0516886,0,0.0587404,0.0118398,0.0344109,0.0201342,0,0,0.00307868,0,0.0173436,0.0017752,0.0507625,0.0214646,0.020797,0.0316852,0.0545965,0.0120768,0.017514,0.0187924,0.0420142,0.015035,0.017502,0.0146928,0.0114546,0.0617018,0.0225948,0.00780141,0.00190227,0.0266029,0.00972485,0.0156737,0.0202527,0.0102903,0,0,0.0538433,0,0.0148531,0.0361146,0.0624085,0.036493,0.0192614,0.011964,0.0354312,0.0305817,0.0515473,0.00789933,0.00384889,0.00962947,0.022146,0.0176941,0.0189566,0.0360497,0.0314104,0.0129773,0.0155718,0.0503265,0.00997467,0,0,0,0,0,0.0275151,0.00636107,0,0
24,0,0,0,0,0.0352106,0.0513606,0,0.0588704,0.0119602,0.0342485,0.0201834,0,0,0.00358714,0,0.017344,0.00174364,0.0506358,0.0211481,0.019642,0.0316408,0.0545207,0.0116293,0.0169597,0.0179488,0.0417191,0.015126,0.0178533,0.0149408,0.0111454,0.062232,0.0228709,0.00773708,0.00182565,0.0268215,0.00977814,0.0239396,0.0207605,0.0103084,0,0,0.053476,0,0.0147694,0.0358809,0.0621285,0.0439971,0.0191733,0.0095481,0.0351182,0.0304878,0.051781,0.00720465,0.00439617,0.0124714,0.0240799,0.0214227,0.0147241,0.0434952,0.0311379,0.0129021,0.015315,0.0500318,0.0100606,0,0,0,0,0,0.0269776,0.00712425,0,0
25,0,0,0,0,0.0349391,0.0510377,0,0.0592975,0.011846,0.0341737,0.0204408,0,0,0.00398289,0,0.0173115,0.00168844,0.0504235,0.0208371,0.0183367,0.031553,0.0543968,0.0111855,0.0160358,0.0169921,0.0414339,0.0152725,0.0183944,0.0153362,0.0109362,0.0626418,0.0229329,0.0077662,0.00164501,0.0352986,0.00985269,0.0342345,0.0210229,0.0101943,0,0,0.0531841,0,0.0147357,0.0357483,0.0617741,0.0520235,0.0191991,0.00855794,0.0348149,0.0303443,0.0521664,0.00950626,0.00809333,0.0160865,0.0276289,0.0260033,0.012261,0.0523639,0.0309403,0.0129203,0.0151674,0.0497488,0.00997661,0,0,0,0,0,0.0269194,0.00901092,0,0
26,0,0,0,0,0.0346257,0.0507757,0,0.0596029,0.0117362,0.0341634,0.020647,0,0,0.00420041,0,0.0172856,0.00164097,0.0502182,0.0205544,0.016934,0.0314906,0.0542858,0.0106925,0.0147913,0.0158686,0.0412493,0.0156136,0.0190194,0.0153513,0.0107576,0.0628143,0.0228861,0.00779037,0.00153437,0.0442429,0.00990298,0.0422414,0.0211082,0.00997985,0,0,0.0530342,0,0.0147274,0.0357083,0.0614287,0.0577132,0.0193242,0.00881017,0.0345482,0.0302787,0.0525631,0.0129828,0.0118434,0.0198072,0.0313785,0.0300234,0.0117881,0.0593872,0.0307805,0.0130158,0.0151057,0.049539,0.00972538,0,0,0,0,0,0.0270775,0.0112481,0,0
27,0,0,0,0,0.0344503,0.0506972,0,0.0583055,0.0116506,0.0327409,0.0205717,0,0,0.0042343,0,0.0173039,0.00157009,0.0500977,0.0202982,0.0158007,0.0314083,0.0543221,0.0102987,0.0136772,0.0149747,0.0410641,0.0154145,0.0188186,0.0145418,0.0104542,0.0618006,0.0227821,0.00783376,0.0014826,0.0507343,0.00990894,0.047275,0.0210682,0.00978249,0,0,0.0530408,0,0.014761,0.0357136,0.0612617,0.0609095,0.0194987,0.00952333,0.0343248,0.0303305,0.0529403,0.0156837,0.0146109,0.0222204,0.0342143,0.0327221,0.0123812,0.0635544,0.0307108,0.0130817,0.0151207,0.0493097,0.00942513,0,0,0,0,0,0.0258756,0.0131286,0,0
28,0,0,0,0,0.0342421,0.0507136,0,0.0567746,0.011551,0.0312679,0.0203818,0,0,0.00409876,0,0.0173367,0.00144427,0.049973,0.0200979,0.0144944,0.0312366,0.0543379,0.00972482,0.0123715,0.0138933,0.0409234,0.0153172,0.0186184,0.0139728,0.0102505,0.0605705,0.0227135,0.00789945,0.0014988,0.053276,0.0098701,0.0488595,0.0209358,0.00949451,0,0,0.0531076,0,0.014771,0.0357847,0.0612251,0.0613811,0.0196907,0.00977008,0.0340391,0.0304163,0.0529031,0.016621,0.0155939,0.0229647,0.0354204,0.0336414,0.0126076,0.0644101,0.0307292,0.013149,0.0151426,0.0492589,0.0090156,0,0,0,0,0,0.0248334,0.0141473,0,0
29,0,0,0,0,0.0381812,0.0529059,0,0.0554129,0.0118201,0.0307755,0.0199782,0,0,0.00453419,0,0.0169627,0.00115256,0.0501998,0.0205227,0.0130075,0.0289419,0.0569688,0.00918879,0.0111706,0.012448,0.0405906,0.0152637,0.0186895,0.0141889,0.00973439,0.0591984,0.0237448,0.00825406,0.0015633,0.0124157,0.0104027,0.0167337,0.0204037,0.0132053,0,0,0.0509293,0,0.0142334,0.0344081,0.0610058,0.029954,0.0207933,0.0204685,0.0316313,0.0316648,0.0557468,0.0295998,0.0290575,0.00613612,0.0287712,0.017388,0.0205182,0.0220404,0.027552,0.013108,0.0144526,0.0498359,0.0119366,0,0,0,0,0,0.0250235,0.023067,0,0
30,0,0,0,0,0.0335641,0.0507555,0,0.0529971,0.0112502,0.0286088,0.0205976,0,0,0.00332109,0,0.0175908,0.0013739,0.0498152,0.0201114,0.0117201,0.0306155,0.054563,0.00871244,0.00999023,0.0111629,0.0413507,0.0155544,0.0183915,0.0132639,0.00993608,0.0570806,0.0225429,0.00814811,0.00173757,0.043648,0.00973352,0.040501,0.020656,0.00862246,0,0,0.0535031,0,0.0148313,0.0360749,0.061821,0.0510841,0.0200465,0.00896092,0.0337136,0.030297,0.0517664,0.0140037,0.0126691,0.0205531,0.0321524,0.0296953,0.00961262,0.0543565,0.031188,0.0132428,0.0152048,0.049639,0.00809613,0,0,0,0,0,0.0232384,0.0130735,0,0
31,0,0,0,0,0.0333822,0.0507236,0,0.051047,0.0111189,0.0269836,0.0205225,0,0,0.00296618,0,0.0177053,0.00146847,0.0498137,0.0203506,0.0101321,0.0300802,0.0548565,0.00820068,0.00872693,0.00966446,0.0419176,0.0156099,0.0180602,0.0128663,0.00991689,0.0551605,0.0225019,0.00823729,0.00193018,0.0330727,0.00972874,0.0316006,0.0204151,0.00822096,0,0,0.0538826,0,0.0149656,0.0363196,0.0623689,0.0404495,0.0202576,0.00837637,0.0336149,0.0300795,0.0509354,0.0115447,0.0103543,0.0182944,0.0288776,0.0258574,0.00725116,0.0434776,0.0314985,0.0134515,0.0152866,0.0500151,0.00777405,0,0,0,0,0,0.0224789,0.0112914,0,0
