Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,
168,0,0,0,0,0.0216316,0.0272662,0,0.0518,0.0149509,0.0355527,0.0114269,0,0,0.00687665,0,0.0162686,0.00351185,0.0402231,0.0285948,0.030802,0.0158142,0.0106389,0.0225125,0.0128368,0.0178686,0.0206086,0.0572355,0.00773573,0.0221517,0.0126601,0.0115083,0.0524127,0.00296227,0.00509134,0.0051758,0.0321703,0.0108299,0.0172195,0.00706626,0.0141048,0,0,0.0362999,0,0.0129925,0.0281706,0.0618037,0.0185087,0.0290227,0.00765421,0.0190268,0.0309192,0.0029237,0.0529455,0.00618846,0.00568636,0.0110712,0.0193214,0.0207386,0,0.0324503,0.0179234,0.0168668,0.0137501,0.0253212,0.00982524,0,0,0,0,0,0,0,0
169,0,0,0,0,0.0213852,0.0272016,0,0.0600017,0.0152121,0.0378327,0.0113743,0,0,0.00674853,0,0.0162926,0.00331877,0.0398446,0.0308652,0.0307524,0.0155377,0.0104674,0.0221476,0.0125839,0.0188429,0.0206239,0.0581552,0.0092389,0.0252813,0.0135688,0.011949,0.0650591,0.00252539,0.00495142,0.00513908,0.031894,0.0108436,0.0178409,0.00715292,0.0142244,0,0,0.0360988,0,0.0130168,0.0281405,0.0616645,0.0185742,0.0288506,0.00767929,0.0186585,0.0312164,0.00299646,0.0533243,0.0064937,0.00611666,0.0103061,0.0196477,0.0202199,0,0.0322883,0.0179795,0.0170046,0.013854,0.02537,0.00922377,0,0,0,0,0,0,0,0
170,0,0,0,0,0.0211207,0.0271891,0,0.0676106,0.0153436,0.039547,0.0112554,0,0,0.0063345,0,0.016301,0.00306479,0.0396827,0.0335729,0.0307336,0.0156986,0.0102896,0.0218019,0.0124075,0.0199267,0.0203355,0.059078,0.0111146,0.0285496,0.0146491,0.0124812,0.078305,0.00196495,0.00489043,0.00497539,0.0312562,0.0108522,0.0182391,0.00738244,0.0141639,0,0,0.036111,0,0.0130467,0.0281233,0.0614615,0.018511,0.0286964,0.00777309,0.0183916,0.0313617,0.00327322,0.0536469,0.00683984,0.00660495,0.00933701,0.019862,0.0196656,0,0.0318211,0.0180648,0.0170953,0.0139544,0.0255825,0.00888721,0,0,0,0,0,0,0,0
171,0,0,0,0,0.0210451,0.0272156,0,0.0743904,0.0153238,0.0405388,0.0110484,0,0,0.00569102,0,0.0163053,0.00281961,0.039723,0.0365287,0.0307503,0.0162724,0.0101947,0.0214928,0.0122312,0.0212173,0.0197879,0.0599131,0.0130097,0.0316677,0.0157052,0.0131282,0.091941,0.00150317,0.00491629,0.00472884,0.030319,0.010842,0.0183698,0.00766973,0.01399,0,0,0.0362864,0,0.0130926,0.0281688,0.061284,0.0185874,0.0286407,0.00788656,0.0181664,0.0313197,0.00340195,0.0539314,0.00703074,0.00690319,0.00836302,0.0199846,0.0189989,0,0.0309846,0.0181527,0.0172123,0.0140364,0.0258716,0.00882674,0,0,0,0,0,0,0,0
172,0,0,0,0,0.0210514,0.0272891,0,0.0803769,0.015166,0.0408754,0.0108352,0,0,0.00501045,0,0.0163482,0.00257665,0.0398217,0.039837,0.0308055,0.0171804,0.0102029,0.0213752,0.0122305,0.0228255,0.0191603,0.0604894,0.014762,0.0343053,0.0166383,0.0137836,0.10429,0.00149768,0.00502484,0.00442566,0.0294158,0.0108413,0.0184211,0.00797497,0.0138055,0,0,0.0365851,0,0.0131532,0.0283342,0.0610728,0.0184517,0.0286858,0.00773921,0.0180144,0.0311207,0.00338068,0.0542567,0.00713159,0.00696068,0.00746434,0.0199045,0,0,0.0301891,0.0182961,0.017392,0.0140699,0.02615,0.00928475,0,0,0,0,0,0,0,0
173,0,0,0,0,0.0210675,0.0272292,0,0.0860286,0.0149613,0.0408366,0.0107288,0,0,0.004417,0,0.016436,0.00250076,0.0400493,0.0437392,0.0307156,0.0183506,0.0102294,0.0213003,0.0123076,0.0246841,0.0188648,0.0608163,0.0163424,0.0365226,0.0175529,0.0143683,0.113572,0.00211475,0.00517731,0.00415595,0.0288161,0.0108138,0.0184238,0.00827384,0.0136625,0,0,0.0367386,0,0.0131614,0.0284026,0.0610566,0.0181229,0.0287288,0.00774757,0.0177565,0.0307878,0.00315747,0.0544393,0.00704458,0.00678709,0.00685296,0.0197978,0,0,0.0296407,0.0184227,0.0175355,0.0140277,0.0261552,0.0103616,0,0,0,0,0,0,0,0
174,0,0,0,0,0.0211575,0.027157,0,0.0910067,0.0146683,0.0404802,0.0105587,0,0,0.00386818,0,0.0165452,0.00250958,0.04025,0.0476689,0.0305383,0.0196639,0.0102903,0.0213669,0.0124454,0.026579,0.0184871,0.0609667,0.0177549,0.0384328,0.018312,0.0149904,0.121155,0.00297329,0.00540374,0.00388778,0.0286509,0.0107688,0.0183546,0.00861382,0.0135679,0,0,0.0368127,0,0.0131264,0.0283754,0.0610977,0.0177716,0.0288976,0.00788719,0.0173792,0.0304617,0.00293465,0.0545832,0.00699185,0.00656921,0.00661703,0.0195709,0,0,0.0296171,0.0184666,0.0173986,0.0139733,0.0259497,0.0118377,0,0,0,0,0,0,0,0
175,0,0,0,0,0.021177,0.0271417,0,0.0951373,0.0143482,0.0405072,0.0102284,0,0,0.00372887,0,0.0166936,0.00251002,0.040375,0.0514478,0.0303378,0.0208932,0.0104071,0.0217664,0.012628,0.0280168,0.0181449,0.0610265,0.0190874,0.0401562,0.0188514,0.0157307,0.127675,0.00386702,0.00564749,0.00374403,0.0289722,0.0107405,0.0185604,0.00877407,0.0133853,0,0,0.0370459,0,0.0131507,0.0284242,0.0612004,0.017771,0.0290482,0.00809152,0.0169767,0.030364,0.00282461,0.0547099,0.00709906,0.00644953,0.00668921,0.0193224,0,0,0.0301783,0.0186222,0.017211,0.0139871,0.0257625,0.0130998,0,0,0,0,0,0,0,0
176,0,0,0,0,0.0211148,0.0271122,0,0.0988553,0.0140852,0.0412019,0.00997391,0,0,0.00402576,0,0.016844,0.00257805,0.0406991,0.0544597,0.0301004,0.0220233,0.0104806,0.0221384,0.0130371,0.0294181,0.0178955,0.0611686,0.020335,0.0418123,0.0191551,0.0165871,0.133284,0.00452702,0.0058411,0.00373371,0.0295747,0.0107552,0.0192083,0.0088221,0.0131915,0,0,0.037294,0,0.0132224,0.0285192,0.0613027,0.0180688,0.0291489,0.00836289,0.0165053,0.03038,0.00266078,0.0549231,0.00721323,0.00619929,0.00717509,0.0190264,0,0,0.0309421,0.0188292,0.0171468,0.0140322,0.0255533,0.0136369,0,0,0,0,0,0,0,0
177,0,0,0,0,0.0210245,0.0270356,0,0.102349,0.013871,0.0423013,0.00982974,0,0,0.00438632,0,0.0169414,0.00265376,0.0411916,0.0569003,0.0298204,0.0232149,0.010447,0.0223905,0.0136767,0.031108,0.0176335,0.0616515,0.021554,0.0434956,0.0193322,0.0174267,0.138051,0.00490331,0.0059987,0.00377121,0.029738,0.0107554,0.0194241,0.00886348,0.0130607,0,0,0.03743,0,0.0132613,0.0285638,0.0613151,0.0181621,0.0291734,0.00869073,0.0162104,0.0303953,0.00204928,0.055241,0.00725794,0.0056665,0.00840884,0.0186224,0,0,0.031303,0.0189761,0.0171086,0.0140855,0.0252717,0.0133134,0,0,0,0,0,0,0,0
