Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LGTR,,LASI,LTHII
29,0,0,0,0,0.0268308,0.0163212,0,0,0,0.0280659,0.0127712,0.0280536,0,0,0.00384975,0,0.0175031,0.00319263,0.0288752,0.0382838,0.0215262,0.00234415,0.0406502,0.0112139,0.0132857,0.0407336,0.0120735,0.0135477,0.0477973,0.0351207,0.0129568,0.00781987,0.0016903,0.00192608,0.0193898,0.0105291,0.00491807,0.0209356,0,0,0.010312,0,0.0144811,0.00913871,0.0745828,0.0190634,0.0175648,0.013011,0.0078551,0.00924254,0.00999994,0.0425805,0.0125252,0.0108969,0.0171799,0,0.00831398,0.093092,0.00739768,0.00667967,0.00781905,0.00638221,0.0154078,0.0211202,0,0,0,0,0,0.0553821,0,0.00659419,0.0226054
30,0,0,0,0,0.0273628,0.0164782,0,0,0,0.0280574,0.0127409,0.0278597,0,0,0.00372492,0,0.017521,0.00311558,0.028579,0.038105,0.0213179,0.00215482,0.0408097,0.0114241,0.0134369,0.0404418,0.0120848,0.0135542,0.0474943,0.0353973,0.0129629,0.0078232,0.00169449,0.0101194,0.0192439,0.0166319,0.00550509,0.0217255,0,0,0.00994116,0,0.0144275,0.00884626,0.0740135,0.0243482,0.0179023,0.0128691,0.00750904,0.009212,0.00885762,0.0428189,0.0108152,0.0114113,0.0188391,0,0.0135897,0.096775,0.0122451,0.00644473,0.00728299,0.006331,0.0152965,0.0216894,0,0,0,0,0,0.0554736,0,0.0060623,0.0224584
31,0,0,0,0,0.0281324,0.0166756,0,0,0,0.0277986,0.0126751,0.0277606,0,0,0.00415663,0,0.0175576,0.00331725,0.0283636,0.0378482,0.0209316,0.00204927,0.0411298,0.0115334,0.0133304,0.0400848,0.0121187,0.0135032,0.0472233,0.0356295,0.0130506,0.00785632,0.00169734,0.0142966,0.019113,0.0195941,0.00627464,0.0226686,0,0,0.0100717,0,0.014324,0.00880025,0.073653,0.0263371,0.0184163,0.0112625,0.00716239,0.00894895,0.00848512,0.0423595,0.0078937,0.0111532,0.0189046,0,0.0156946,0.0988053,0.0166609,0.00651092,0.0070509,0.00613808,0.0153974,0.0222527,0,0,0,0,0,0.0555366,0,0.00566058,0.0220529
32,0,0,0,0,0.0287315,0.0168476,0,0,0,0.0276785,0.0126623,0.0277206,0,0,0.00429153,0,0.0175681,0.00327803,0.0284186,0.0373555,0.0202332,0.00185043,0.0414251,0.0115324,0.0127777,0.0396713,0.0119641,0.0133982,0.0469425,0.0360062,0.0131937,0.0078697,0.0016535,0.0181632,0.0190728,0.0219367,0.00725172,0.023379,0,0,0.0103457,0,0.0142689,0.0088631,0.0732866,0.0273791,0.0187619,0.0101385,0.00671807,0.00857139,0.0090103,0.042067,0.00562798,0.0106627,0.0192026,0,0.0169746,0.101025,0.0202385,0.00673914,0.00717411,0.00597234,0.0153198,0.0225255,0,0,0,0,0,0.0555941,0,0.0057431,0.0214661
33,0,0,0,0,0.0293495,0.0171961,0,0,0,0.0276126,0.0127463,0.0277106,0,0,0.00466079,0,0.0176324,0.00330716,0.0285304,0.0367401,0.0191864,0.00151911,0.0418156,0.0112872,0.011845,0.0392827,0.0115164,0.0132589,0.0466754,0.0364737,0.0135567,0.00790947,0.00174728,0.0223784,0.0190998,0.0242782,0.00820717,0.0241172,0,0,0.0106946,0,0.0142251,0.00897069,0.0728478,0.0283076,0.0189202,0.0099626,0.00626108,0.0080467,0.0101149,0.0418604,0.0047104,0.00926816,0.0208969,0,0.0185867,0.104346,0.0241977,0.00711929,0.00701857,0.00588517,0.0151081,0.0228285,0,0,0,0,0,0.0555636,0,0.00718151,0.0206343
34,0,0,0,0,0.0299153,0.0176491,0,0,0,0.0273551,0.0128935,0.027913,0,0,0.00466327,0,0.0176807,0.00316465,0.0286314,0.0362538,0.0178781,0.00116861,0.0422525,0.0109602,0.0109032,0.0390168,0.0109012,0.0130659,0.0463414,0.036643,0.0138222,0.00789712,0.00167079,0.0259903,0.0189969,0.0264946,0.00890957,0.0248728,0,0,0.0109882,0,0.0141301,0.0090587,0.0723847,0.0300509,0.0190415,0.0092082,0.00589054,0.00752898,0.0125293,0.0420878,0.00388269,0.00902362,0.0219368,0,0.0201215,0.106589,0.0279142,0.00755184,0.0070437,0.00575777,0.014892,0.0231853,0,0,0,0,0,0.0553917,0,0.00931292,0.0194908
35,0,0,0,0,0.0306193,0.0179163,0,0,0,0.0269554,0.0128639,0.02801,0,0,0.00419832,0,0.0176822,0.00298146,0.0290586,0.0360259,0.0164419,0.000954519,0.0427026,0.0104635,0.00980712,0.0387685,0.0103632,0.0129156,0.0460731,0.0369075,0.0139375,0.0079006,0.00166783,0.0283909,0.0188925,0.0284615,0.00918872,0.0259237,0,0,0.0103845,0,0.0141178,0.00870206,0.0721095,0.0327435,0.0191558,0.00849511,0.00551731,0.00778444,0.0131031,0.0423618,0.00378911,0.00994606,0.0224997,0,0.0212767,0.107808,0.03051,0.00704985,0.00723927,0.00563261,0.014944,0.0238803,0,0,0,0,0,0.0552186,0,0.010323,0.0182114
36,0,0,0,0,0.0312553,0.0181403,0,0,0,0.0265006,0.0127825,0.0280846,0,0,0.0039026,0,0.0176827,0.00292926,0.0296849,0.0360134,0.0148633,0.000897505,0.0429651,0.00976746,0.0086072,0.0385722,0.00983036,0.0128258,0.0458676,0.037272,0.0143464,0.00792913,0.00163364,0.0298075,0.0188204,0.0298519,0.00912241,0.0267704,0,0,0.00973301,0,0.01412,0.00830412,0.0720435,0.0352339,0.0191425,0.00826623,0.00524544,0.00793713,0.0148082,0.0424535,0.0040734,0.010784,0.0228085,0,0.0219363,0.108328,0.031951,0.00656539,0.00730137,0.00548214,0.0152589,0.024553,0,0,0,0,0,0.0550312,0,0.0106673,0.0167887
37,0,0,0,0,0.0313948,0.0183026,0,0,0,0.0260232,0.0128035,0.028202,0,0,0.00366235,0,0.0176305,0.00283837,0.0303726,0.0360919,0.0131461,0.00107976,0.0430988,0.00903667,0.0076092,0.0385691,0.00922766,0.012838,0.0457689,0.0376368,0.0151967,0.00789448,0.00168901,0.0308124,0.0187988,0.0304738,0.00870532,0.0268626,0,0,0.00893965,0,0.0140878,0.00785983,0.0722273,0.0364424,0.0189686,0.00832115,0.00502462,0.00753244,0.0161035,0.042357,0.00443533,0.0110447,0.0227456,0,0.0220742,0.10818,0.0326807,0.00612056,0.00750454,0.00547261,0.015536,0.0247522,0,0,0,0,0,0.0547861,0,0.010497,0.0152208
38,0,0,0,0,0.0325999,0.0188101,0,0,0,0.0252178,0.0126095,0.0285831,0,0,0.00388309,0,0.0177903,0.00303302,0.0311778,0.0361974,0.0114389,0.00130258,0.0438606,0.00880495,0.00707667,0.0386077,0.00835362,0.012325,0.0452473,0.0371538,0.0152741,0.00806186,0.00153958,0.0297382,0.0186693,0.0303404,0.00828652,0.0281007,0,0,0.00834464,0,0.0140979,0.0075001,0.0725733,0.0366756,0.0189451,0.00854561,0.00495619,0.0080147,0.0152611,0.042075,0.00474524,0.0110424,0.0224151,0,0.0219607,0.107359,0.0320151,0.00568119,0.00701222,0.00533911,0.0161249,0.0258662,0,0,0,0,0,0.054637,0,0.0102033,0
