Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTHI,RTIBI,LTHII,
161,0,0,0,0,0.0432278,0.0530806,0,0,0,0.0999829,0.00881031,0.0404812,0.0143377,0,0,0.0193933,0,0.0219583,0.0083565,0.0480837,0.0569876,0.0247288,0.0143072,0.0187937,0.0566209,0.0118617,0.022544,0.0531045,0.0166489,0.036535,0.0134273,0.0193466,0.129852,0.0255693,0.0107742,0.00269465,0.0381868,0.0105346,0.0288082,0.00267906,0.0200554,0,0,0.042359,0,0.0131756,0.030547,0.0651691,0.0261754,0.0256419,0.0175981,0.0201807,0.0217775,0.0553604,0.0149425,0.0066291,0.0535527,0.019308,0,0.0361609,0.0274529,0.0127424,0.0134644,0.0503002,0.0207788,0,0,0,0,0,0.00792006,0,0.0138836,0
162,0,0,0,0,0.0431825,0.0531944,0,0,0,0.0960371,0.00876088,0.0385277,0.0137781,0,0,0.0192387,0,0.0219889,0.00856608,0.0484375,0.0548044,0.0245252,0.0135201,0.0187966,0.0567114,0.0110787,0.0210301,0.0526402,0.0152871,0.034285,0.0129488,0.0187978,0.124842,0.0254247,0.0107482,0.00275601,0.0374391,0.0106123,0.0285549,0.00302992,0.0199273,0,0,0.0421663,0,0.0130937,0.0304341,0.0650015,0.0262979,0.0257046,0.0172235,0.0198106,0.0216152,0.0553678,0.0147476,0.00704997,0.0542828,0.0190539,0,0.0349188,0.027472,0.012633,0.0133184,0.0504104,0.0206438,0,0,0,0,0,0.00790453,0,0.0136136,0
163,0,0,0,0,0.0436157,0.0527703,0,0,0,0.0924595,0.00883262,0.0367637,0.0145164,0,0,0.0192228,0,0.0218468,0.00845864,0.048955,0.0530531,0.0240176,0.0129012,0.0194071,0.0562206,0.0100556,0.0198243,0.0516497,0.014315,0.0325486,0.0125097,0.0184016,0.120633,0.0255064,0.0106474,0.00288532,0.0294294,0.0107436,0.0331024,0.00370155,0.0206418,0,0,0.0414665,0,0.0129819,0.0300385,0.0652502,0.0340353,0.0246006,0.0165318,0.0186737,0.0212294,0.0564595,0.0149682,0.00920068,0.0556249,0,0,0.0223116,0.0272869,0.0123153,0.0130939,0.0498541,0.0209275,0,0,0,0,0,0.00902032,0,0.0131823,0
164,0,0,0,0,0.0439011,0.0530054,0,0,0,0.0867557,0.00861137,0.0345416,0.0130433,0,0,0.0190443,0,0.0219625,0.00854667,0.0492476,0.049285,0.0239278,0.0124736,0.0189235,0.0565432,0.00926855,0.0179949,0.051715,0.0128553,0.0301133,0.0121381,0.0176192,0.113256,0.0253963,0.0107274,0.00316361,0.034465,0.0108451,0.027218,0.00396737,0.0197007,0,0,0.0413987,0,0.0129496,0.0299167,0.0645632,0.0261374,0.0258564,0.0171918,0.0188334,0.020955,0.0554173,0.014778,0.00779502,0.0543309,0.0172641,0,0.0314675,0.0271671,0.012334,0.0129522,0.0503827,0.0205413,0,0,0,0,0,0.00825052,0,0.0134597,0
165,0,0,0,0,0.0441052,0.0528317,0,0,0,0.0810989,0.00859535,0.0323955,0.0129395,0,0,0.0189067,0,0.0220244,0.00842632,0.0497008,0.0463312,0.0235238,0.0122906,0.0190529,0.0563943,0.00847287,0.0165315,0.0511435,0.011798,0.0278134,0.0117282,0.0169449,0.105814,0.0253049,0.0107268,0.00321413,0.0334691,0.0109222,0.0270138,0.00428267,0.0196506,0,0,0.041066,0,0.0128403,0.0296283,0.0642819,0.0264229,0.0260022,0.0172761,0.0184138,0.0207185,0.0554281,0.0148386,0.00843858,0.0542421,0.0162679,0,0.0305172,0.0269948,0.0121199,0.0128627,0.0503147,0.0205397,0,0,0,0,0,0.00872521,0.0236505,0.0139321,0
166,0,0,0,0,0.0440636,0.052816,0,0,0,0.0743733,0.0085517,0.0300377,0.0128188,0,0,0.0187414,0,0.0220886,0.00821991,0.0500481,0.0435275,0.0232515,0.0121851,0.0192509,0.0563933,0.00793422,0.0154188,0.0506184,0.0109474,0.0254191,0.0113228,0.0162889,0.0970493,0.0253021,0.0107553,0.00311977,0.0322019,0.0110267,0.0267317,0.00465265,0.0195113,0,0,0.0407573,0,0.0127473,0.0294827,0.0641329,0.0264833,0.0262858,0.0170786,0.0181645,0.0204987,0.0554768,0.0146684,0.0085527,0.0548965,0.0167273,0,0.0289657,0.0268838,0.0119927,0.0127434,0.0504104,0.020486,0,0,0,0,0,0.00845752,0,0.0142459,0
167,0,0,0,0,0.0440303,0.0526622,0,0,0,0.0661111,0.0085165,0.0275334,0.0128435,0,0,0.0187374,0,0.0221248,0.00803776,0.0505719,0.0404183,0.0228746,0.0119929,0.0192671,0.0562764,0.00768572,0.0144142,0.0499775,0.0104031,0.0228851,0.0108675,0.0156007,0.0865482,0.0254363,0.0107684,0.00297633,0.0312135,0.0112017,0.0264808,0.00507676,0.0195679,0,0,0.0402091,0,0.0127585,0.0291403,0.0638253,0.0274363,0.0264665,0.0171376,0.0176439,0.0202158,0.0555559,0.0147122,0.00959198,0.0550851,0.015906,0,0.0282866,0.0264736,0.0119085,0.012385,0.050304,0.0205703,0,0,0,0,0,0.00903509,0.0247364,0.0140862,0
168,0,0,0,0,0.0440027,0.0525588,0,0,0,0.0567495,0.00856428,0.0250785,0.0129041,0,0,0.018902,0,0.0221174,0.00804263,0.0511013,0.0368072,0.0227121,0.0116683,0.0193227,0.0562429,0.00766912,0.0135347,0.0493175,0.0100121,0.0203505,0.00995005,0.0148202,0.0747391,0.0255879,0.0107786,0.00302315,0.030002,0.0113723,0.0262971,0.00540642,0.01963,0,0,0.0396847,0,0.0127238,0.0287628,0.0636846,0.0279607,0.0266026,0.017012,0.0172909,0.0198844,0.0556825,0.0145737,0.0101188,0.0551811,0.0156258,0,0.0273725,0.0260364,0.0117591,0.0121463,0.0502644,0.020563,0,0,0,0,0,0.00937055,0.0253171,0.0135724,0
169,0,0,0,0,0.0442144,0.0524824,0,0,0,0.0468571,0.00861128,0.0228071,0.0129289,0,0,0.0191789,0,0.0222292,0.00804867,0.0517006,0.0337138,0.0227201,0.0110184,0.0194455,0.0562026,0.00755085,0.0124409,0.0485578,0.00983615,0.0179287,0.00867022,0.0140365,0.0623709,0.0257539,0.0107952,0.00303217,0.0288948,0.0115335,0.0261391,0.00554203,0.0197289,0,0,0.0392415,0,0.0126444,0.0283255,0.0636052,0.0283627,0.0265914,0.0168587,0.0170406,0.0195689,0.0556905,0.0144553,0.0107141,0.0549847,0.0153669,0,0.0266639,0.0256706,0.0115536,0.0119019,0.0502372,0.0204596,0,0,0,0,0,0.00980924,0.0258966,0.0124733,0
170,0,0,0,0,0.0446555,0.0524896,0,0,0,0.0376527,0.00861805,0.02093,0.0128169,0,0,0.0194993,0,0.0224311,0.00803498,0.052381,0.0323956,0.0229963,0.010208,0.0196547,0.0562077,0.00705991,0.0109095,0.0477306,0.00978477,0.0158614,0.00744973,0.0132823,0.050803,0.0259869,0.0108836,0.00303678,0.0279364,0.0116778,0.0259738,0.00529335,0.0198225,0,0,0.0387973,0,0.0125717,0.0278892,0.0635594,0.0287516,0.0263413,0.0167317,0.0169276,0.0192806,0.0554829,0.0143641,0.0111907,0.0548272,0.0152291,0,0.0261777,0.0253788,0.0113489,0.0116553,0.050333,0.0201526,0,0,0,0,0,0.0100549,0.0257933,0.0108764,0
